                                 Task                                  |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    | d:bio  | d:swap | d:reclaim 
 128151 Thread 1 - main                                                |   576000 |    80000 |    39796651 |   4963106964 |  21218304 |   1024 |     5897068 |      0 |      0 |         0 
 128173 Thread 2 - Reference Handler                                   |     5000 |        0 |      494390 |     38768867 |         0 |      0 |     1590614 |      0 |      0 |         0 
 128174 Thread 3 - Finalizer                                           |     3000 |     2000 |      406726 |     37929406 |      5120 |      0 |      788283 |      0 |      0 |         0 
 128175 Thread 4 - Surrogate Locker Thread (Concurrent GC)             |        0 |     1000 |       30347 |      7291285 |         0 |      0 |         739 |      0 |      0 |         0 
 128176 Thread 5 - Signal Dispatcher                                   |        0 |     1000 |      306597 |      9756039 |         0 |      0 |        9935 |      0 |      0 |         0 
 128187 Thread 11 - DecatonSubscriptionThread-decaton-benchmark        | 29164000 | 32103000 | 18542031163 | 596661172740 | 638169088 | 119808 | 18806692971 | 102719 |      0 |         0 
 128188 Thread 13 - kafka-coordinator-hear...hread | decaton-benchmark |   162000 |    34000 |    58912581 |   1910074585 |   4786176 |   3072 |    16313456 | 637802 |      0 |         0 
 128192 Thread 14 - PartitionProcessorThre...7f2-92da-271b6d0d6f0e-2-0 |  1372000 |   452000 |   553333738 |  17794327093 |     33792 |      0 |  1305377810 |      0 |      0 |         0 
 128193 Thread 15 - PartitionProcessorThre...7f2-92da-271b6d0d6f0e-2-1 |  1379000 |   428000 |   544600163 |  17622852675 |         0 |      0 |  1497935148 |      0 |      0 |         0 
 128194 Thread 16 - PartitionProcessorThre...7f2-92da-271b6d0d6f0e-2-2 |  1338000 |   485000 |   550649218 |  17770583632 |    118784 |      0 |  1666109213 |      0 |      0 |         0 
 128195 Thread 17 - PartitionProcessorThre...7f2-92da-271b6d0d6f0e-2-3 |  1397000 |   461000 |   559104042 |  18112026042 |      6144 |      0 |  1522033981 |      0 |      0 |         0 
 128196 Thread 18 - PartitionProcessorThre...7f2-92da-271b6d0d6f0e-2-4 |  1298000 |   456000 |   530507495 |  17112390746 |      3072 |      0 |  1605127976 |      0 |      0 |         0 
 128199 Thread 19 - PartitionProcessorThre...7f2-92da-271b6d0d6f0e-2-5 |  1345000 |   495000 |   557673597 |  17952494074 |      1024 |      0 |  1600343602 |      0 |      0 |         0 
 128201 Thread 20 - PartitionProcessorThre...7f2-92da-271b6d0d6f0e-2-6 |  1285000 |   440000 |   523568843 |  16830622093 |         0 |      0 |  1444639121 |      0 |      0 |         0 
 128202 Thread 21 - PartitionProcessorThre...7f2-92da-271b6d0d6f0e-2-7 |  1324000 |   452000 |   536942300 |  17329547789 |         0 |      0 |  1554839104 |      0 |      0 |         0 
 128204 Thread 22 - PartitionProcessorThre...7f2-92da-271b6d0d6f0e-2-8 |  1324000 |   434000 |   531163909 |  17151847281 |         0 |      0 |  1318140435 |      0 |      0 |         0 
 128205 Thread 23 - PartitionProcessorThre...7f2-92da-271b6d0d6f0e-2-9 |  1338000 |   440000 |   538417261 |  17347534316 |         0 |      0 |  1637749963 |      0 |      0 |         0 
 128207 Thread 24 - PartitionProcessorThre...f2-92da-271b6d0d6f0e-2-10 |  1331000 |   435000 |   533830406 |  17229510277 |         0 |      0 |  1508973699 |      0 |      0 |         0 
 128209 Thread 25 - PartitionProcessorThre...f2-92da-271b6d0d6f0e-2-11 |  1361000 |   451000 |   547683843 |  17678078488 |         0 |      0 |  1197800021 |      0 |      0 |         0 
 128210 Thread 26 - PartitionProcessorThre...f2-92da-271b6d0d6f0e-2-12 |  1343000 |   422000 |   534898605 |  17221611140 |         0 |      0 |  1620880051 |      0 |      0 |         0 
 128213 Thread 27 - PartitionProcessorThre...f2-92da-271b6d0d6f0e-2-13 |  1347000 |   438000 |   539588343 |  17415754144 |         0 |      0 |  1367829837 |      0 |      0 |         0 
 128214 Thread 28 - PartitionProcessorThre...f2-92da-271b6d0d6f0e-2-14 |  1312000 |   443000 |   529092632 |  17119241249 |     43008 |      0 |  1236779135 |      0 |      0 |         0 
