                                 Task                                 |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    | d:bio  | d:swap | d:reclaim 
 96801 Thread 1 - main                                                |   560000 |    76000 |    40286740 |   4823433963 |  21055488 |   2048 |     2739954 |      0 |      0 |         0 
 96824 Thread 2 - Reference Handler                                   |     6000 |     1000 |      652859 |     53601535 |         0 |      0 |      162462 |      0 |      0 |         0 
 96825 Thread 3 - Finalizer                                           |     7000 |        0 |      653660 |     53767703 |      5120 |      0 |      680195 |      0 |      0 |         0 
 96828 Thread 4 - Surrogate Locker Thread (Concurrent GC)             |        0 |        0 |           0 |            0 |         0 |      0 |           0 |      0 |      0 |         0 
 96829 Thread 5 - Signal Dispatcher                                   |        0 |     1000 |      307269 |      9756035 |         0 |      0 |           0 |      0 |      0 |         0 
 96841 Thread 11 - DecatonSubscriptionThread-decaton-benchmark        | 29326000 | 31966000 | 18642260444 | 596805372189 | 636861440 | 142336 | 19856128343 | 116516 |      0 |         0 
 96842 Thread 13 - kafka-coordinator-hear...hread | decaton-benchmark |   187000 |    49000 |    71535448 |   2300643933 |   6321152 |   5120 |    32659796 | 649921 |      0 |         0 
 96845 Thread 14 - PartitionProcessorThre...2bc-a00d-5ac506556279-2-0 |  1326000 |   488000 |   549923898 |  17693044988 |         0 |      0 |  1593312974 |      0 |      0 |         0 
 96846 Thread 15 - PartitionProcessorThre...2bc-a00d-5ac506556279-2-1 |  1307000 |   479000 |   542587449 |  17418400649 |     33792 |      0 |  1548810942 |      0 |      0 |         0 
 96847 Thread 16 - PartitionProcessorThre...2bc-a00d-5ac506556279-2-2 |  1381000 |   463000 |   559762132 |  17984736172 |         0 |      0 |  1615798652 |      0 |      0 |         0 
 96848 Thread 17 - PartitionProcessorThre...2bc-a00d-5ac506556279-2-3 |  1324000 |   461000 |   544102785 |  17416748782 |         0 |      0 |  1689573227 |      0 |      0 |         0 
 96849 Thread 18 - PartitionProcessorThre...2bc-a00d-5ac506556279-2-4 |  1235000 |   463000 |   518323480 |  16568031805 |         0 |      0 |  1698356814 |      0 |      0 |         0 
 96850 Thread 19 - PartitionProcessorThre...2bc-a00d-5ac506556279-2-5 |  1181000 |   495000 |   510639996 |  16353516743 |         0 |      0 |  1664115591 |      0 |      0 |         0 
 96851 Thread 20 - PartitionProcessorThre...2bc-a00d-5ac506556279-2-6 |  1303000 |   430000 |   527245195 |  16900460516 |    123904 |      0 |  1523001438 |      0 |      0 |         0 
