                                 Task                                 |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    | d:bio  | d:swap | d:reclaim 
 89813 Thread 1 - main                                                |   697000 |   115000 |    51145533 |   6202308502 |  22117376 |   1024 |     7366550 |      0 |      0 |         0 
 89835 Thread 2 - Reference Handler                                   |     6000 |        0 |      527863 |     47505531 |         0 |      0 |     1667225 |      0 |      0 |         0 
 89836 Thread 3 - Finalizer                                           |     5000 |        0 |      427019 |     39539249 |      5120 |      0 |      907129 |      0 |      0 |         0 
 89837 Thread 4 - Surrogate Locker Thread (Concurrent GC)             |        0 |        0 |           0 |            0 |         0 |      0 |           0 |      0 |      0 |         0 
 89838 Thread 5 - Signal Dispatcher                                   |        0 |        0 |           0 |            0 |         0 |      0 |           0 |      0 |      0 |         0 
 89848 Thread 12 - RMI Scheduler(0)                                   |     2000 |     2000 |      952550 |     37033792 |      4096 |      0 |      255091 |      0 |      0 |         0 
 89849 Thread 13 - RMI RenewClean-[10.231.182.152:40207]              |     1000 |        0 |       81480 |      7893242 |      1024 |      0 |       30796 |      0 |      0 |         0 
 89850 Thread 14 - GC Daemon                                          |        0 |        0 |           0 |            0 |         0 |      0 |           0 |      0 |      0 |         0 
 89852 Thread 15 - DecatonSubscriptionThread-decaton-benchmark        | 29088000 | 31060000 | 17553223740 | 585748435638 | 584865792 | 130048 | 18675392009 | 138982 |      0 |         0 
 89854 Thread 16 - kafka-coordinator-hear...hread | decaton-benchmark |   241000 |    55000 |    87689276 |   2882750018 |   6729728 |   5120 |    26806739 | 165552 |      0 |         0 
 89858 Thread 17 - PartitionProcessorThre...454-8df7-3fdfc29d2332-2-0 |  1375000 |   429000 |   521264750 |  17577657400 |    152576 |      0 |  1887563058 |      0 |      0 |         0 
 89859 Thread 18 - PartitionProcessorThre...454-8df7-3fdfc29d2332-2-1 |  1320000 |   386000 |   496390746 |  16639743627 |      5120 |      0 |  1716965429 |      0 |      0 |         0 
 89860 Thread 19 - PartitionProcessorThre...454-8df7-3fdfc29d2332-2-2 |  1396000 |   413000 |   526437820 |  17647561603 |         0 |      0 |  1874291117 |      0 |      0 |         0 
 89861 Thread 20 - PartitionProcessorThre...454-8df7-3fdfc29d2332-2-3 |  1371000 |   442000 |   527357727 |  17690035509 |         0 |      0 |  2110778697 |      0 |      0 |         0 
 89862 Thread 21 - PartitionProcessorThre...454-8df7-3fdfc29d2332-2-4 |  1282000 |   461000 |   507841961 |  17001997185 |         0 |      0 |  1823476903 |      0 |      0 |         0 
 89863 Thread 22 - PartitionProcessorThre...454-8df7-3fdfc29d2332-2-5 |  1330000 |   437000 |   515503481 |  17240936888 |         0 |      0 |  1907686406 |      0 |      0 |         0 
 89864 Thread 23 - PartitionProcessorThre...454-8df7-3fdfc29d2332-2-6 |  1385000 |   446000 |   532435887 |  17865747720 |         0 |      0 |  2062625452 |      0 |      0 |         0 
 89865 Thread 24 - PartitionProcessorThre...454-8df7-3fdfc29d2332-2-7 |  1382000 |   422000 |   525027281 |  17601451654 |         0 |      0 |  1832751765 |      0 |      0 |         0 
 89866 Thread 25 - PartitionProcessorThre...454-8df7-3fdfc29d2332-2-8 |  1393000 |   434000 |   529930801 |  17827889466 |         0 |      0 |  1871126607 |      0 |      0 |         0 
 89867 Thread 26 - PartitionProcessorThre...454-8df7-3fdfc29d2332-2-9 |  1333000 |   424000 |   510171578 |  17142563994 |         0 |      0 |  1784539196 |      0 |      0 |         0 
 89868 Thread 27 - PartitionProcessorThre...54-8df7-3fdfc29d2332-2-10 |  1346000 |   431000 |   515577750 |  17336656392 |         0 |      0 |  1607237173 |      0 |      0 |         0 
 89869 Thread 28 - PartitionProcessorThre...54-8df7-3fdfc29d2332-2-11 |  1303000 |   424000 |   501998840 |  16850721877 |         0 |      0 |  1921508852 |      0 |      0 |         0 
 89870 Thread 29 - PartitionProcessorThre...54-8df7-3fdfc29d2332-2-12 |  1340000 |   423000 |   512154121 |  17202840650 |         0 |      0 |  1820293110 |      0 |      0 |         0 
 89871 Thread 30 - PartitionProcessorThre...54-8df7-3fdfc29d2332-2-13 |  1352000 |   430000 |   520699766 |  17388233877 |         0 |      0 |  1650126580 |      0 |      0 |         0 
 89872 Thread 31 - PartitionProcessorThre...54-8df7-3fdfc29d2332-2-14 |  1326000 |   399000 |   503303739 |  16831511232 |         0 |      0 |  1988113431 |      0 |      0 |         0 
 89873 Thread 32 - PartitionProcessorThre...54-8df7-3fdfc29d2332-2-15 |  1356000 |   438000 |   521500031 |  17503532263 |         0 |      0 |  1802646219 |      0 |      0 |         0 
 89874 Thread 33 - PartitionProcessorThre...54-8df7-3fdfc29d2332-2-16 |  1352000 |   425000 |   518277192 |  17338743662 |         0 |      0 |  1999225870 |      0 |      0 |         0 
 89875 Thread 34 - PartitionProcessorThre...54-8df7-3fdfc29d2332-2-17 |  1379000 |   433000 |   524510664 |  17678173857 |         0 |      0 |  1875138509 |      0 |      0 |         0 
 89876 Thread 35 - PartitionProcessorThre...54-8df7-3fdfc29d2332-2-18 |  1321000 |   442000 |   512037832 |  17201048802 |         0 |      0 |  1733088318 |      0 |      0 |         0 
