                                 Task                                  |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    | d:bio  | d:swap | d:reclaim 
 127511 Thread 1 - main                                                |   846000 |   151000 |    67625658 |   7660195744 |  34331648 |   1024 |    13187995 |      0 |      0 |         0 
 127533 Thread 2 - Reference Handler                                   |     6000 |        0 |      592191 |     48476246 |         0 |      0 |      282975 |      0 |      0 |         0 
 127534 Thread 3 - Finalizer                                           |     5000 |     1000 |      654175 |     48127445 |      5120 |      0 |     2661673 |      0 |      0 |         0 
 127535 Thread 4 - Surrogate Locker Thread (Concurrent GC)             |        0 |        0 |           0 |            0 |         0 |      0 |       30726 |      0 |      0 |         0 
 127536 Thread 5 - Signal Dispatcher                                   |        0 |        0 |           0 |            0 |         0 |      0 |        5884 |      0 |      0 |         0 
 127546 Thread 12 - RMI Scheduler(0)                                   |     1000 |     1000 |      588886 |     19515062 |      4096 |      0 |       33602 |      0 |      0 |         0 
 127547 Thread 13 - RMI RenewClean-[10.231.182.152:39453]              |        0 |     1000 |       82488 |      7893253 |      1024 |      0 |       14489 |      0 |      0 |         0 
 127548 Thread 14 - GC Daemon                                          |        0 |        0 |           0 |            0 |         0 |      0 |           0 |      0 |      0 |         0 
 127550 Thread 15 - DecatonSubscriptionThread-decaton-benchmark        | 29082000 | 34378000 | 18556915869 | 618401990206 | 625372160 | 123904 | 19645230877 |  91517 |      0 |         0 
 127552 Thread 16 - kafka-coordinator-hear...hread | decaton-benchmark |   184000 |    46000 |    66434577 |   2238956108 |   5614592 |   4096 |    18668124 | 116006 |      0 |         0 
 127556 Thread 17 - PartitionProcessorThre...096-ace1-69c1ac11c4ce-1-0 |  1450000 |   471000 |   556287230 |  18715655820 |     35840 |      0 |  1813402059 |      0 |      0 |         0 
 127557 Thread 18 - PartitionProcessorThre...096-ace1-69c1ac11c4ce-1-1 |  1499000 |   448000 |   566685566 |  18988636808 |         0 |      0 |  1648160009 |      0 |      0 |         0 
 127558 Thread 19 - PartitionProcessorThre...096-ace1-69c1ac11c4ce-1-2 |  1434000 |   493000 |   559985566 |  18792622707 |         0 |      0 |  1634900155 |      0 |      0 |         0 
 127559 Thread 20 - PartitionProcessorThre...096-ace1-69c1ac11c4ce-1-3 |  1480000 |   425000 |   554794910 |  18579713277 |      6144 |      0 |  1961504505 |      0 |      0 |         0 
 127560 Thread 21 - PartitionProcessorThre...096-ace1-69c1ac11c4ce-1-4 |  1526000 |   451000 |   576322187 |  19286987050 |      1024 |      0 |  1720165204 |      0 |      0 |         0 
 127561 Thread 22 - PartitionProcessorThre...096-ace1-69c1ac11c4ce-1-5 |  1458000 |   490000 |   567647961 |  18999656648 |         0 |      0 |  1559925784 |      0 |      0 |         0 
 127562 Thread 23 - PartitionProcessorThre...096-ace1-69c1ac11c4ce-1-6 |  1547000 |   493000 |   594158738 |  19896912972 |         0 |      0 |  1664316723 |      0 |      0 |         0 
 127563 Thread 24 - PartitionProcessorThre...096-ace1-69c1ac11c4ce-1-7 |  1545000 |   477000 |   587577265 |  19719403664 |         0 |      0 |  1892808284 |      0 |      0 |         0 
 127564 Thread 25 - PartitionProcessorThre...096-ace1-69c1ac11c4ce-1-8 |  1430000 |   506000 |   562879050 |  18883808504 |         0 |      0 |  1842497363 |      0 |      0 |         0 
 127565 Thread 26 - PartitionProcessorThre...096-ace1-69c1ac11c4ce-1-9 |  1424000 |   495000 |   558321961 |  18715744172 |         0 |      0 |  1919215200 |      0 |      0 |         0 
 127566 Thread 27 - PartitionProcessorThre...96-ace1-69c1ac11c4ce-1-10 |  1495000 |   440000 |   562762558 |  18869416183 |         0 |      0 |  1800279296 |      0 |      0 |         0 
 127567 Thread 28 - PartitionProcessorThre...96-ace1-69c1ac11c4ce-1-11 |  1504000 |   485000 |   581731859 |  19404428273 |         0 |      0 |  1882688983 |      0 |      0 |         0 
 127568 Thread 29 - PartitionProcessorThre...96-ace1-69c1ac11c4ce-1-12 |  1451000 |   449000 |   553423734 |  18532494297 |         0 |      0 |  1598769662 |      0 |      0 |         0 
 127569 Thread 30 - PartitionProcessorThre...96-ace1-69c1ac11c4ce-1-13 |  1433000 |   484000 |   556177972 |  18691831879 |         0 |      0 |  1813076224 |      0 |      0 |         0 
 127570 Thread 31 - PartitionProcessorThre...96-ace1-69c1ac11c4ce-1-14 |  1590000 |   458000 |   592578613 |  19968411250 |         0 |      0 |  1922800565 |      0 |      0 |         0 
 127571 Thread 32 - PartitionProcessorThre...96-ace1-69c1ac11c4ce-1-15 |  1614000 |   497000 |   615376355 |  20589011761 |         0 |      0 |  1704055260 |      0 |      0 |         0 
 127572 Thread 33 - PartitionProcessorThre...96-ace1-69c1ac11c4ce-1-16 |  1498000 |   523000 |   590047218 |  19713479574 |         0 |      0 |  1650945774 |      0 |      0 |         0 
 127573 Thread 34 - PartitionProcessorThre...96-ace1-69c1ac11c4ce-1-17 |  1491000 |   502000 |   579525242 |  19440041515 |         0 |      0 |  1802018561 |      0 |      0 |         0 
 127574 Thread 35 - PartitionProcessorThre...96-ace1-69c1ac11c4ce-1-18 |  1485000 |   493000 |   576739527 |  19296797996 |         0 |      0 |  1929544846 |      0 |      0 |         0 
 127575 Thread 36 - PartitionProcessorThre...96-ace1-69c1ac11c4ce-1-19 |  1460000 |   466000 |   559930175 |  18787685828 |         0 |      0 |  1625379210 |      0 |      0 |         0 
 127576 Thread 37 - PartitionProcessorThre...096-ace1-69c1ac11c4ce-2-0 |  1481000 |   454000 |   566216160 |  18886228371 |         0 |      0 |  1612238778 |      0 |      0 |         0 
 127577 Thread 38 - PartitionProcessorThre...096-ace1-69c1ac11c4ce-2-1 |  1452000 |   516000 |   575848918 |  19208196882 |         0 |      0 |  1786297399 |      0 |      0 |         0 
 127578 Thread 39 - PartitionProcessorThre...096-ace1-69c1ac11c4ce-2-2 |  1469000 |   483000 |   573183917 |  19053165074 |         0 |      0 |  1669635760 |      0 |      0 |         0 
 127579 Thread 40 - PartitionProcessorThre...096-ace1-69c1ac11c4ce-2-3 |  1422000 |   429000 |   542573547 |  18065843394 |      1024 |      0 |  1728108643 |      0 |      0 |         0 
 127580 Thread 41 - PartitionProcessorThre...096-ace1-69c1ac11c4ce-2-4 |  1388000 |   464000 |   543198715 |  18076132430 |         0 |      0 |  1799280788 |      0 |      0 |         0 
 127581 Thread 42 - PartitionProcessorThre...096-ace1-69c1ac11c4ce-2-5 |  1516000 |   468000 |   581389218 |  19364679937 |         0 |      0 |  1726335971 |      0 |      0 |         0 
 127582 Thread 43 - PartitionProcessorThre...096-ace1-69c1ac11c4ce-2-6 |  1453000 |   515000 |   578415238 |  19208628394 |         0 |      0 |  1871010363 |      0 |      0 |         0 
 127583 Thread 44 - PartitionProcessorThre...096-ace1-69c1ac11c4ce-2-7 |  1458000 |   478000 |   568363777 |  18896028058 |         0 |      0 |  1720327789 |      0 |      0 |         0 
 127584 Thread 45 - PartitionProcessorThre...096-ace1-69c1ac11c4ce-2-8 |  1429000 |   541000 |   575960750 |  19227953992 |         0 |      0 |  1704316221 |      0 |      0 |         0 
 127585 Thread 46 - PartitionProcessorThre...096-ace1-69c1ac11c4ce-2-9 |  1434000 |   448000 |   551198722 |  18368982387 |         0 |      0 |  1722978025 |      0 |      0 |         0 
 127586 Thread 47 - PartitionProcessorThre...96-ace1-69c1ac11c4ce-2-10 |  1509000 |   442000 |   570007195 |  19041852336 |         0 |      0 |  1760170555 |      0 |      0 |         0 
 127587 Thread 48 - PartitionProcessorThre...96-ace1-69c1ac11c4ce-2-11 |  1494000 |   488000 |   581240671 |  19345198347 |         0 |      0 |  1567119758 |      0 |      0 |         0 
 127588 Thread 49 - PartitionProcessorThre...96-ace1-69c1ac11c4ce-2-12 |  1440000 |   481000 |   563415554 |  18750093488 |         0 |      0 |  1739115383 |      0 |      0 |         0 
 127589 Thread 50 - PartitionProcessorThre...96-ace1-69c1ac11c4ce-2-13 |  1515000 |   492000 |   589154261 |  19589294449 |         0 |      0 |  1514133810 |      0 |      0 |         0 
 127590 Thread 51 - PartitionProcessorThre...96-ace1-69c1ac11c4ce-2-14 |  1496000 |   471000 |   577150554 |  19198740425 |         0 |      0 |  1801090711 |      0 |      0 |         0 
 127591 Thread 52 - PartitionProcessorThre...96-ace1-69c1ac11c4ce-2-15 |  1405000 |   453000 |   545738551 |  18135413652 |         0 |      0 |  1912236289 |      0 |      0 |         0 
 127592 Thread 53 - PartitionProcessorThre...96-ace1-69c1ac11c4ce-2-16 |  1408000 |   466000 |   549895039 |  18291084097 |         0 |      0 |  1672589507 |      0 |      0 |         0 
 127593 Thread 54 - PartitionProcessorThre...96-ace1-69c1ac11c4ce-2-17 |  1425000 |   419000 |   540458605 |  17998509680 |         0 |      0 |  1842165449 |      0 |      0 |         0 
 127594 Thread 55 - PartitionProcessorThre...96-ace1-69c1ac11c4ce-2-18 |  1470000 |   479000 |   571468504 |  19023209191 |         0 |      0 |  1828776809 |      0 |      0 |         0 
 127595 Thread 56 - PartitionProcessorThre...96-ace1-69c1ac11c4ce-2-19 |  1466000 |   481000 |   570128093 |  19002577621 |         0 |      0 |  1699838172 |      0 |      0 |         0 
 127596 Thread 57 - PartitionProcessorThre...096-ace1-69c1ac11c4ce-0-0 |  1492000 |   509000 |   590981550 |  19531975957 |         0 |      0 |  1755750587 |      0 |      0 |         0 
