                                 Task                                  |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    | d:bio  | d:swap | d:reclaim 
 116020 Thread 1 - main                                                |   720000 |   147000 |    52760474 |   6610558147 |  22117376 |   1024 |    11792599 |      0 |      0 |         0 
 116042 Thread 2 - Reference Handler                                   |     9000 |        0 |     1035613 |     73226859 |         0 |      0 |     1079822 |      0 |      0 |         0 
 116043 Thread 3 - Finalizer                                           |     5000 |     1000 |      550023 |     47578593 |      5120 |      0 |     1079581 |      0 |      0 |         0 
 116044 Thread 4 - Surrogate Locker Thread (Concurrent GC)             |        0 |        0 |           0 |            0 |         0 |      0 |       20556 |      0 |      0 |         0 
 116045 Thread 5 - Signal Dispatcher                                   |        0 |        0 |           0 |            0 |         0 |      0 |        3351 |      0 |      0 |         0 
 116055 Thread 12 - RMI Scheduler(0)                                   |     2000 |     1000 |      880777 |     29272570 |      4096 |      0 |       49956 |      0 |      0 |         0 
 116056 Thread 13 - RMI RenewClean-[10.231.182.152:40359]              |     2000 |        0 |      157894 |     15786492 |      1024 |      0 |       15629 |      0 |      0 |         0 
 116057 Thread 14 - GC Daemon                                          |        0 |        0 |           0 |            0 |         0 |      0 |           0 |      0 |      0 |         0 
 116059 Thread 15 - DecatonSubscriptionThread-decaton-benchmark        | 32489000 | 34428000 | 19673619147 | 651997601328 | 634927104 | 129024 | 21729811104 |  92011 |      0 |         0 
 116061 Thread 16 - kafka-coordinator-hear...hread | decaton-benchmark |   241000 |    54000 |    85672698 |   2875056011 |   7906304 |   5120 |    20151863 | 524870 |      0 |         0 
 116064 Thread 17 - PartitionProcessorThre...26b-8e05-3ba058179764-0-0 |  1456000 |   453000 |   559224832 |  18624356528 |     32768 |      0 |  1793194070 |      0 |      0 |         0 
 116065 Thread 18 - PartitionProcessorThre...26b-8e05-3ba058179764-0-1 |  1417000 |   477000 |   556550632 |  18484387633 |      3072 |      0 |  1623762593 |      0 |      0 |         0 
 116066 Thread 19 - PartitionProcessorThre...26b-8e05-3ba058179764-0-2 |  1451000 |   444000 |   556886402 |  18488220301 |      7168 |      0 |  1732911571 |      0 |      0 |         0 
 116067 Thread 20 - PartitionProcessorThre...26b-8e05-3ba058179764-0-3 |  1461000 |   476000 |   570363738 |  18905262637 |         0 |      0 |  1794817707 |      0 |      0 |         0 
 116068 Thread 21 - PartitionProcessorThre...26b-8e05-3ba058179764-0-4 |  1471000 |   476000 |   572516093 |  18999580938 |    117760 |      0 |  1743750250 |      0 |      0 |         0 
 116069 Thread 22 - PartitionProcessorThre...26b-8e05-3ba058179764-0-5 |  1413000 |   490000 |   559399394 |  18574009535 |         0 |      0 |  1730870815 |      0 |      0 |         0 
 116070 Thread 23 - PartitionProcessorThre...26b-8e05-3ba058179764-0-6 |  1423000 |   458000 |   555156426 |  18359560203 |         0 |      0 |  1744410097 |      0 |      0 |         0 
 116071 Thread 24 - PartitionProcessorThre...26b-8e05-3ba058179764-0-7 |  1530000 |   494000 |   593728578 |  19753119176 |         0 |      0 |  1648878159 |      0 |      0 |         0 
 116072 Thread 25 - PartitionProcessorThre...26b-8e05-3ba058179764-0-8 |  1521000 |   471000 |   585631234 |  19443830942 |         0 |      0 |  1895851218 |      0 |      0 |         0 
 116073 Thread 26 - PartitionProcessorThre...26b-8e05-3ba058179764-0-9 |  1493000 |   444000 |   568263418 |  18904362567 |      1024 |      0 |  2030890028 |      0 |      0 |         0 
 116074 Thread 27 - PartitionProcessorThre...6b-8e05-3ba058179764-0-10 |  1418000 |   470000 |   553375480 |  18423385137 |      1024 |      0 |  1785969452 |      0 |      0 |         0 
