                                 Task                                  |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    | d:bio  | d:swap | d:reclaim 
 146141 Thread 1 - main                                                |   820000 |   150000 |    64311431 |   7433844994 |  34336768 |   1024 |     5620423 |      0 |      0 |         0 
 146163 Thread 2 - Reference Handler                                   |     7000 |        0 |      958851 |     58821363 |         0 |      0 |      233747 |      0 |      0 |         0 
 146164 Thread 3 - Finalizer                                           |     7000 |        0 |      646292 |     55815550 |      5120 |      0 |     4483664 |      0 |      0 |         0 
 146165 Thread 4 - Surrogate Locker Thread (Concurrent GC)             |        0 |        0 |           0 |            0 |         0 |      0 |       11064 |      0 |      0 |         0 
 146166 Thread 5 - Signal Dispatcher                                   |        0 |        0 |           0 |            0 |         0 |      0 |        7172 |      0 |      0 |         0 
 146175 Thread 12 - RMI Scheduler(0)                                   |     3000 |        0 |      907332 |     29272593 |      4096 |      0 |        5666 |      0 |      0 |         0 
 146176 Thread 13 - RMI RenewClean-[10.231.182.152:46360]              |        0 |        0 |           0 |            0 |      1024 |      0 |      459746 |      0 |      0 |         0 
 146177 Thread 14 - GC Daemon                                          |        0 |        0 |           0 |            0 |         0 |      0 |           0 |      0 |      0 |         0 
 146180 Thread 15 - DecatonSubscriptionThread-decaton-benchmark        | 28461000 | 33912000 | 18764201485 | 607940843382 | 623531008 | 129024 | 21352058794 | 107324 |      0 |         0 
 146181 Thread 16 - kafka-coordinator-hear...hread | decaton-benchmark |   211000 |    50000 |    76563624 |   2534803140 |   7472128 |   5120 |    18453316 | 261520 |      0 |         0 
 146185 Thread 17 - PartitionProcessorThre...087-aa34-5de2e909aa0a-1-0 |  1492000 |   494000 |   595491022 |  19354472163 |     41984 |      0 |  1498900744 |      0 |      0 |         0 
 146186 Thread 18 - PartitionProcessorThre...087-aa34-5de2e909aa0a-1-1 |  1572000 |   487000 |   618712272 |  20086149835 |         0 |      0 |  1511297552 |      0 |      0 |         0 
 146187 Thread 19 - PartitionProcessorThre...087-aa34-5de2e909aa0a-1-2 |  1511000 |   473000 |   596159675 |  19353528343 |         0 |      0 |  1522328573 |      0 |      0 |         0 
 146188 Thread 20 - PartitionProcessorThre...087-aa34-5de2e909aa0a-1-3 |  1479000 |   446000 |   578465562 |  18777976284 |         0 |      0 |  1704644309 |      0 |      0 |         0 
 146189 Thread 21 - PartitionProcessorThre...087-aa34-5de2e909aa0a-1-4 |  1420000 |   459000 |   566278109 |  18332715718 |         0 |      0 |  1378532415 |      0 |      0 |         0 
 146190 Thread 22 - PartitionProcessorThre...087-aa34-5de2e909aa0a-1-5 |  1436000 |   460000 |   569496374 |  18497906183 |         0 |      0 |  1733091438 |      0 |      0 |         0 
 146191 Thread 23 - PartitionProcessorThre...087-aa34-5de2e909aa0a-1-6 |  1406000 |   473000 |   565033652 |  18332067089 |         0 |      0 |  1618384236 |      0 |      0 |         0 
 146192 Thread 24 - PartitionProcessorThre...087-aa34-5de2e909aa0a-1-7 |  1492000 |   487000 |   595630331 |  19309473277 |         0 |      0 |  1468248164 |      0 |      0 |         0 
 146193 Thread 25 - PartitionProcessorThre...087-aa34-5de2e909aa0a-1-8 |  1455000 |   484000 |   581516812 |  18917881972 |         0 |      0 |  1208711891 |      0 |      0 |         0 
 146194 Thread 26 - PartitionProcessorThre...087-aa34-5de2e909aa0a-1-9 |  1480000 |   468000 |   584412198 |  19005655991 |         0 |      0 |  1305436829 |      0 |      0 |         0 
 146195 Thread 27 - PartitionProcessorThre...87-aa34-5de2e909aa0a-1-10 |  1472000 |   481000 |   586893616 |  19055614902 |         0 |      0 |  1593121325 |      0 |      0 |         0 
 146196 Thread 28 - PartitionProcessorThre...87-aa34-5de2e909aa0a-1-11 |  1506000 |   449000 |   587309527 |  19073942261 |         0 |      0 |  1572983504 |      0 |      0 |         0 
 146197 Thread 29 - PartitionProcessorThre...87-aa34-5de2e909aa0a-1-12 |  1491000 |   474000 |   591470632 |  19174126163 |         0 |      0 |  1621222013 |      0 |      0 |         0 
 146198 Thread 30 - PartitionProcessorThre...87-aa34-5de2e909aa0a-1-13 |  1474000 |   494000 |   591311245 |  19201852616 |         0 |      0 |  1702326501 |      0 |      0 |         0 
 146199 Thread 31 - PartitionProcessorThre...87-aa34-5de2e909aa0a-1-14 |  1447000 |   479000 |   579441991 |  18792462093 |         0 |      0 |  1503336488 |      0 |      0 |         0 
 146200 Thread 32 - PartitionProcessorThre...87-aa34-5de2e909aa0a-1-15 |  1482000 |   442000 |   579417726 |  18773381636 |         0 |      0 |  1549356142 |      0 |      0 |         0 
 146201 Thread 33 - PartitionProcessorThre...87-aa34-5de2e909aa0a-1-16 |  1517000 |   430000 |   584260714 |  18996140624 |         0 |      0 |  1700994221 |      0 |      0 |         0 
 146202 Thread 34 - PartitionProcessorThre...87-aa34-5de2e909aa0a-1-17 |  1445000 |   527000 |   593065933 |  19242574159 |         0 |      0 |  1692688854 |      0 |      0 |         0 
 146203 Thread 35 - PartitionProcessorThre...87-aa34-5de2e909aa0a-1-18 |  1463000 |   463000 |   581703968 |  18796510491 |         0 |      0 |  1747754024 |      0 |      0 |         0 
 146204 Thread 36 - PartitionProcessorThre...87-aa34-5de2e909aa0a-1-19 |  1482000 |   449000 |   581164062 |  18841512734 |         0 |      0 |  1626233836 |      0 |      0 |         0 
 146205 Thread 37 - PartitionProcessorThre...087-aa34-5de2e909aa0a-0-0 |  1448000 |   475000 |   577442804 |  18768984257 |         0 |      0 |  1407711496 |      0 |      0 |         0 
 146206 Thread 38 - PartitionProcessorThre...087-aa34-5de2e909aa0a-0-1 |  1428000 |   467000 |   568485831 |  18496288632 |         0 |      0 |  1509522582 |      0 |      0 |         0 
 146207 Thread 39 - PartitionProcessorThre...087-aa34-5de2e909aa0a-0-2 |  1491000 |   497000 |   596530229 |  19402649073 |         0 |      0 |  1635168225 |      0 |      0 |         0 
 146208 Thread 40 - PartitionProcessorThre...087-aa34-5de2e909aa0a-0-3 |  1501000 |   452000 |   587530987 |  19061540620 |      1024 |      0 |  1487995122 |      0 |      0 |         0 
