                                 Task                                  |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    |  d:bio  | d:swap | d:reclaim 
 143760 Thread 1 - main                                                |   890000 |   125000 |    68401029 |   7807247768 |  34336768 |   1024 |     4628162 |       0 |      0 |         0 
 143782 Thread 2 - Reference Handler                                   |     5000 |        0 |      446730 |     38996902 |         0 |      0 |       77585 |       0 |      0 |         0 
 143783 Thread 3 - Finalizer                                           |     6000 |        0 |      526632 |     46685007 |      5120 |      0 |     1534268 |       0 |      0 |         0 
 143784 Thread 4 - Surrogate Locker Thread (Concurrent GC)             |        0 |        0 |           0 |            0 |         0 |      0 |       19825 |       0 |      0 |         0 
 143785 Thread 5 - Signal Dispatcher                                   |        0 |        0 |           0 |            0 |         0 |      0 |       11838 |       0 |      0 |         0 
 143796 Thread 12 - RMI Scheduler(0)                                   |     1000 |        0 |       82109 |      7763246 |      4096 |      0 |       89740 |       0 |      0 |         0 
 143797 Thread 13 - RMI RenewClean-[10.231.182.152:43564]              |        0 |        0 |           0 |            0 |      1024 |      0 |       11957 |       0 |      0 |         0 
 143798 Thread 14 - GC Daemon                                          |        0 |        0 |           0 |            0 |         0 |      0 |           0 |       0 |      0 |         0 
 143800 Thread 15 - DecatonSubscriptionThread-decaton-benchmark        | 27030000 | 30262000 | 17164060305 | 558161927811 | 574142464 | 132096 | 18826923525 |  215417 |      0 |         0 
 143802 Thread 16 - kafka-coordinator-hear...hread | decaton-benchmark |   240000 |    57000 |    89277132 |   2891351159 |   5620736 |   5120 |    30170849 |  537330 |      0 |         0 
 143805 Thread 17 - PartitionProcessorThre...765-9ab3-56502779fca9-1-0 |  1238000 |   463000 |   511983817 |  16591515391 |     34816 |      0 |  1595787546 |       0 |      0 |         0 
 143806 Thread 18 - PartitionProcessorThre...765-9ab3-56502779fca9-1-1 |  1362000 |   392000 |   526478153 |  17100130426 |      8192 |      0 |  1626833688 |       0 |      0 |         0 
 143807 Thread 19 - PartitionProcessorThre...765-9ab3-56502779fca9-1-2 |  1412000 |   431000 |   554769047 |  17981501695 |         0 |      0 |  1673112944 |       0 |      0 |         0 
 143808 Thread 20 - PartitionProcessorThre...765-9ab3-56502779fca9-1-3 |  1270000 |   408000 |   505511367 |  16372515437 |         0 |      0 |  1598675339 |       0 |      0 |         0 
 143809 Thread 21 - PartitionProcessorThre...765-9ab3-56502779fca9-1-4 |  1360000 |   398000 |   532141762 |  17154121797 |         0 |      0 |  1601917605 |       0 |      0 |         0 
 143810 Thread 22 - PartitionProcessorThre...765-9ab3-56502779fca9-1-5 |  1359000 |   421000 |   537229543 |  17367721375 |         0 |      0 |  1634443911 | 1882875 |      0 |         0 
 143811 Thread 23 - PartitionProcessorThre...765-9ab3-56502779fca9-1-6 |  1362000 |   403000 |   530770895 |  17218717910 |         0 |      0 |  1410381056 |       0 |      0 |         0 
 143812 Thread 24 - PartitionProcessorThre...765-9ab3-56502779fca9-1-7 |  1300000 |   427000 |   520790313 |  16851038016 |  10831872 |      0 |  1465069063 |       0 |      0 |         0 
 143813 Thread 25 - PartitionProcessorThre...765-9ab3-56502779fca9-1-8 |  1345000 |   437000 |   537257727 |  17388592129 |         0 |      0 |  1508106849 |       0 |      0 |         0 
 143814 Thread 26 - PartitionProcessorThre...765-9ab3-56502779fca9-1-9 |  1303000 |   443000 |   527010481 |  17037608789 |         0 |      0 |  1568229054 |       0 |      0 |         0 
 143815 Thread 27 - PartitionProcessorThre...65-9ab3-56502779fca9-1-10 |  1263000 |   409000 |   504245805 |  16314367738 |         0 |      0 |  1495021855 |       0 |      0 |         0 
 143816 Thread 28 - PartitionProcessorThre...65-9ab3-56502779fca9-1-11 |  1324000 |   410000 |   522907859 |  16920763996 |         0 |      0 |  1657797746 |       0 |      0 |         0 
 143817 Thread 29 - PartitionProcessorThre...65-9ab3-56502779fca9-1-12 |  1241000 |   412000 |   498700133 |  16129123582 |         0 |      0 |  1856890974 |       0 |      0 |         0 
 143818 Thread 30 - PartitionProcessorThre...65-9ab3-56502779fca9-1-13 |  1323000 |   397000 |   518646559 |  16783399098 |         0 |      0 |  1576306290 |       0 |      0 |         0 
 143819 Thread 31 - PartitionProcessorThre...65-9ab3-56502779fca9-1-14 |  1290000 |   417000 |   515972512 |  16656519176 |         0 |      0 |  1633050149 |       0 |      0 |         0 
 143820 Thread 32 - PartitionProcessorThre...65-9ab3-56502779fca9-1-15 |  1269000 |   387000 |   500942578 |  16158720277 |         0 |      0 |  1513353244 |       0 |      0 |         0 
 143822 Thread 33 - PartitionProcessorThre...65-9ab3-56502779fca9-1-16 |  1282000 |   454000 |   524139168 |  16938758965 |         0 |      0 |  1444459518 |       0 |      0 |         0 
 143823 Thread 34 - PartitionProcessorThre...65-9ab3-56502779fca9-1-17 |  1260000 |   409000 |   504523266 |  16286170344 |         0 |      0 |  1530052096 |       0 |      0 |         0 
 143824 Thread 35 - PartitionProcessorThre...65-9ab3-56502779fca9-1-18 |  1275000 |   404000 |   507202203 |  16383252926 |         0 |      0 |  1397983426 |       0 |      0 |         0 
 143825 Thread 36 - PartitionProcessorThre...65-9ab3-56502779fca9-1-19 |  1295000 |   419000 |   516306555 |  16724860156 |         0 |      0 |  1531876890 |       0 |      0 |         0 
 143826 Thread 37 - PartitionProcessorThre...765-9ab3-56502779fca9-2-0 |  1353000 |   421000 |   525965008 |  17310611238 |         0 |      0 |  1683206219 |       0 |      0 |         0 
 143827 Thread 38 - PartitionProcessorThre...765-9ab3-56502779fca9-2-1 |  1326000 |   417000 |   519824981 |  17008033387 |         0 |      0 |  1729279240 |       0 |      0 |         0 
 143828 Thread 39 - PartitionProcessorThre...765-9ab3-56502779fca9-2-2 |  1367000 |   462000 |   543411375 |  17846788734 |         0 |      0 |  1616636662 |       0 |      0 |         0 
 143829 Thread 40 - PartitionProcessorThre...765-9ab3-56502779fca9-2-3 |  1329000 |   410000 |   516460816 |  16968611465 |         0 |      0 |  1727764153 |       0 |      0 |         0 
 143830 Thread 41 - PartitionProcessorThre...765-9ab3-56502779fca9-2-4 |  1339000 |   437000 |   531255188 |  17330324707 |         0 |      0 |  1777642011 |       0 |      0 |         0 
 143831 Thread 42 - PartitionProcessorThre...765-9ab3-56502779fca9-2-5 |  1404000 |   436000 |   547029656 |  17954488297 |         0 |      0 |  1692054821 |       0 |      0 |         0 
