                                 Task                                 |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    |  d:bio  | d:swap | d:reclaim 
 15915 Thread 1 - main                                                |   701000 |   147000 |    53321697 |   6472388607 |  22117376 |   2048 |     5842693 |       0 |      0 |         0 
 15937 Thread 2 - Reference Handler                                   |     7000 |     2000 |     1156609 |     76851128 |         0 |      0 |     1004228 |       0 |      0 |         0 
 15938 Thread 3 - Finalizer                                           |     6000 |        0 |      602097 |     49296769 |      5120 |      0 |      465276 |       0 |      0 |         0 
 15939 Thread 4 - Surrogate Locker Thread (Concurrent GC)             |        0 |        0 |           0 |            0 |         0 |      0 |           0 |       0 |      0 |         0 
 15940 Thread 5 - Signal Dispatcher                                   |     1000 |        0 |      294542 |      9757742 |         0 |      0 |        1171 |       0 |      0 |         0 
 15948 Thread 12 - RMI Scheduler(0)                                   |     1000 |        0 |      287128 |      9757519 |      4096 |      0 |      805391 |       0 |      0 |         0 
 15949 Thread 13 - RMI RenewClean-[10.231.182.152:46356]              |        0 |     1000 |       75312 |      7762238 |      1024 |      0 |           0 |       0 |      0 |         0 
 15950 Thread 14 - GC Daemon                                          |        0 |        0 |           0 |            0 |         0 |      0 |        1825 |       0 |      0 |         0 
 15952 Thread 15 - DecatonSubscriptionThread-decaton-benchmark        | 29661000 | 30889000 | 17504708580 | 589704823972 | 585103360 | 150528 | 19370463264 | 1814572 |      0 |         0 
 15954 Thread 16 - kafka-coordinator-hear...hread | decaton-benchmark |   245000 |    84000 |    95549495 |   3209742170 |   6430720 |   7168 |    30525043 |  491135 |      0 |         0 
 15959 Thread 17 - PartitionProcessorThre...4fd-b700-ab2907150860-0-0 |  1279000 |   423000 |   491493278 |  16587920381 |    158720 |      0 |  1676572005 |       0 |      0 |         0 
 15960 Thread 18 - PartitionProcessorThre...4fd-b700-ab2907150860-0-1 |  1288000 |   392000 |   485238762 |  16385229342 |         0 |      0 |  1806936521 |       0 |      0 |         0 
 15961 Thread 19 - PartitionProcessorThre...4fd-b700-ab2907150860-0-2 |  1304000 |   434000 |   502992039 |  16952936228 |         0 |      0 |  1850416228 |       0 |      0 |         0 
 15962 Thread 20 - PartitionProcessorThre...4fd-b700-ab2907150860-0-3 |  1309000 |   374000 |   489704879 |  16422616318 |         0 |      0 |  1718573424 |       0 |      0 |         0 
 15963 Thread 21 - PartitionProcessorThre...4fd-b700-ab2907150860-0-4 |  1303000 |   401000 |   493214028 |  16627473264 |         0 |      0 |  1800834261 |       0 |      0 |         0 
 15964 Thread 22 - PartitionProcessorThre...4fd-b700-ab2907150860-0-5 |  1287000 |   437000 |   497585891 |  16820004451 |         0 |      0 |  1740879870 |       0 |      0 |         0 
 15965 Thread 23 - PartitionProcessorThre...4fd-b700-ab2907150860-0-6 |  1253000 |   458000 |   495063086 |  16694084681 |         0 |      0 |  1825231784 |       0 |      0 |         0 
 15966 Thread 24 - PartitionProcessorThre...4fd-b700-ab2907150860-0-7 |  1257000 |   419000 |   486923922 |  16353730318 |         0 |      0 |  1771102255 |       0 |      0 |         0 
