                                 Task                                 |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    | d:bio  | d:swap | d:reclaim 
 16973 Thread 1 - main                                                |   603000 |    82000 |    43886201 |   5218069589 |  21218304 |   1024 |     3340935 |      0 |      0 |         0 
 16995 Thread 2 - Reference Handler                                   |     6000 |        0 |      579781 |     46467437 |         0 |      0 |        9590 |      0 |      0 |         0 
 16996 Thread 3 - Finalizer                                           |     6000 |        0 |      729343 |     47779406 |      5120 |      0 |     1880382 |      0 |      0 |         0 
 16997 Thread 4 - Surrogate Locker Thread (Concurrent GC)             |        0 |        0 |           0 |            0 |         0 |      0 |       18500 |      0 |      0 |         0 
 16998 Thread 5 - Signal Dispatcher                                   |     1000 |        0 |      311808 |      9755035 |         0 |      0 |           0 |      0 |      0 |         0 
 17008 Thread 11 - DecatonSubscriptionThread-decaton-benchmark        | 28546000 | 32458000 | 18776600713 | 594117555881 | 636558336 | 124928 | 19511430308 |  89917 |      0 |         0 
 17010 Thread 13 - kafka-coordinator-hear...hread | decaton-benchmark |   189000 |    47000 |    71752081 |   2296782746 |   6449152 |   4096 |    17479313 | 254242 |      0 |         0 
 17013 Thread 14 - PartitionProcessorThre...983-803e-b40ed5ebb576-0-0 |  1257000 |   416000 |   511586653 |  16305151402 |     36864 |      0 |  1367136589 |      0 |      0 |         0 
 17014 Thread 15 - PartitionProcessorThre...983-803e-b40ed5ebb576-0-1 |  1240000 |   407000 |   505222122 |  16062693582 |    120832 |      0 |  1443251858 |      0 |      0 |         0 
 17015 Thread 16 - PartitionProcessorThre...983-803e-b40ed5ebb576-0-2 |  1266000 |   417000 |   517816110 |  16420615144 |         0 |      0 |  1308290446 |      0 |      0 |         0 
 17016 Thread 17 - PartitionProcessorThre...983-803e-b40ed5ebb576-0-3 |  1284000 |   450000 |   532859528 |  16913916437 |      1024 |      0 |  1287213928 |      0 |      0 |         0 
 17017 Thread 18 - PartitionProcessorThre...983-803e-b40ed5ebb576-0-4 |  1255000 |   456000 |   527229829 |  16693409386 |         0 |      0 |  1331570949 |      0 |      0 |         0 
 17018 Thread 19 - PartitionProcessorThre...983-803e-b40ed5ebb576-0-5 |  1165000 |   455000 |   497663169 |  15806765816 |         0 |      0 |  1209345528 |      0 |      0 |         0 
 17019 Thread 20 - PartitionProcessorThre...983-803e-b40ed5ebb576-0-6 |  1246000 |   473000 |   527573427 |  16769361710 |         0 |      0 |  1207627967 |      0 |      0 |         0 
 17020 Thread 21 - PartitionProcessorThre...983-803e-b40ed5ebb576-0-7 |  1246000 |   434000 |   517356317 |  16391040749 |         0 |      0 |  1304551424 |      0 |      0 |         0 
 17021 Thread 22 - PartitionProcessorThre...983-803e-b40ed5ebb576-0-8 |  1255000 |   474000 |   530295888 |  16870764722 |         0 |      0 |  1352893662 |      0 |      0 |         0 
 17022 Thread 23 - PartitionProcessorThre...983-803e-b40ed5ebb576-0-9 |  1283000 |   446000 |   530687688 |  16868660695 |         0 |      0 |  1559317677 |      0 |      0 |         0 
 17023 Thread 24 - PartitionProcessorThre...83-803e-b40ed5ebb576-0-10 |  1254000 |   458000 |   525787649 |  16703399480 |         0 |      0 |  1446803723 |      0 |      0 |         0 
 17024 Thread 25 - PartitionProcessorThre...83-803e-b40ed5ebb576-0-11 |  1296000 |   458000 |   541252985 |  17113881789 |         0 |      0 |  1215834941 |      0 |      0 |         0 
 17025 Thread 26 - PartitionProcessorThre...83-803e-b40ed5ebb576-0-12 |  1337000 |   437000 |   544052637 |  17306924437 |         0 |      0 |  1469619362 |      0 |      0 |         0 
 17026 Thread 27 - PartitionProcessorThre...83-803e-b40ed5ebb576-0-13 |  1262000 |   450000 |   525360247 |  16701913613 |         0 |      0 |  1372568134 |      0 |      0 |         0 
 17027 Thread 28 - PartitionProcessorThre...83-803e-b40ed5ebb576-0-14 |  1245000 |   439000 |   516817786 |  16430617624 |         0 |      0 |  1340639488 |      0 |      0 |         0 
 17028 Thread 29 - PartitionProcessorThre...83-803e-b40ed5ebb576-0-15 |  1332000 |   475000 |   556078481 |  17632423218 |         0 |      0 |  1377093806 |      0 |      0 |         0 
 17029 Thread 30 - PartitionProcessorThre...83-803e-b40ed5ebb576-0-16 |  1332000 |   445000 |   546528239 |  17338935722 |         0 |      0 |  1557621505 |      0 |      0 |         0 
 17030 Thread 31 - PartitionProcessorThre...83-803e-b40ed5ebb576-0-17 |  1299000 |   455000 |   538981063 |  17114470777 |     34816 |      0 |  1207341009 |      0 |      0 |         0 
 17031 Thread 32 - PartitionProcessorThre...83-803e-b40ed5ebb576-0-18 |  1265000 |   502000 |   542431262 |  17240779687 |         0 |      0 |  1454735246 |      0 |      0 |         0 
 17032 Thread 33 - PartitionProcessorThre...83-803e-b40ed5ebb576-0-19 |  1236000 |   431000 |   513149782 |  16264193546 |      7168 |      0 |  1443542925 |      0 |      0 |         0 
 17033 Thread 34 - PartitionProcessorThre...983-803e-b40ed5ebb576-2-0 |  1291000 |   429000 |   529085993 |  16781309699 |         0 |      0 |  1458855025 |      0 |      0 |         0 
 17034 Thread 35 - PartitionProcessorThre...983-803e-b40ed5ebb576-2-1 |  1300000 |   440000 |   536341239 |  16978184035 |         0 |      0 |  1261794071 |      0 |      0 |         0 
 17035 Thread 36 - PartitionProcessorThre...983-803e-b40ed5ebb576-2-2 |  1301000 |   444000 |   537688981 |  17026572253 |         0 |      0 |  1377854307 |      0 |      0 |         0 
 17036 Thread 37 - PartitionProcessorThre...983-803e-b40ed5ebb576-2-3 |  1307000 |   449000 |   541690012 |  17135195124 |         0 |      0 |  1488598348 |      0 |      0 |         0 
 17037 Thread 38 - PartitionProcessorThre...983-803e-b40ed5ebb576-2-4 |  1339000 |   444000 |   550417325 |  17398207312 |         0 |      0 |  1200097938 |      0 |      0 |         0 
 17038 Thread 39 - PartitionProcessorThre...983-803e-b40ed5ebb576-2-5 |  1274000 |   434000 |   526200856 |  16666844984 |      1024 |      0 |  1381643204 |      0 |      0 |         0 
 17039 Thread 40 - PartitionProcessorThre...983-803e-b40ed5ebb576-2-6 |  1268000 |   433000 |   524891516 |  16598050406 |         0 |      0 |  1231364668 |      0 |      0 |         0 
 17040 Thread 41 - PartitionProcessorThre...983-803e-b40ed5ebb576-2-7 |  1345000 |   442000 |   552213798 |  17437733742 |         0 |      0 |  1176948218 |      0 |      0 |         0 
 17041 Thread 42 - PartitionProcessorThre...983-803e-b40ed5ebb576-2-8 |  1271000 |   463000 |   536137583 |  16920687414 |         0 |      0 |  1275697953 |      0 |      0 |         0 
 17042 Thread 43 - PartitionProcessorThre...983-803e-b40ed5ebb576-2-9 |  1247000 |   444000 |   521767716 |  16501144624 |         0 |      0 |  1461138326 |      0 |      0 |         0 
 17043 Thread 44 - PartitionProcessorThre...83-803e-b40ed5ebb576-2-10 |  1233000 |   452000 |   520982575 |  16442229242 |         0 |      0 |  1321761613 |      0 |      0 |         0 
 17044 Thread 45 - PartitionProcessorThre...83-803e-b40ed5ebb576-2-11 |  1266000 |   495000 |   542485907 |  17183465433 |         0 |      0 |  1234863882 |      0 |      0 |         0 
 17045 Thread 46 - PartitionProcessorThre...83-803e-b40ed5ebb576-2-12 |  1260000 |   444000 |   524064591 |  16627311457 |         0 |      0 |  1460764608 |      0 |      0 |         0 
 17046 Thread 47 - PartitionProcessorThre...83-803e-b40ed5ebb576-2-13 |  1298000 |   439000 |   536708833 |  16949845089 |         0 |      0 |  1269507526 |      0 |      0 |         0 
