                                 Task                                 |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    | d:bio  | d:swap | d:reclaim 
 62449 Thread 1 - main                                                |  1006000 |   128000 |    75142599 |   7976115918 |  14848000 |   1024 |     3472626 |      0 |      0 |         0 
 62456 Thread 2 - Reference Handler                                   |        0 |        0 |           0 |            0 |         0 |      0 |      478249 |      0 |      0 |         0 
 62457 Thread 3 - Finalizer                                           |        0 |     1000 |       16882 |      6212687 |      5120 |      0 |        9203 |      0 |      0 |         0 
 62458 Thread 4 - Signal Dispatcher                                   |     1000 |        0 |      326066 |      9886957 |         0 |      0 |       17971 |      0 |      0 |         0 
 62464 Thread 11 - Common-Cleaner                                     |        0 |        0 |           0 |            0 |         0 |      0 |      839661 |      0 |      0 |         0 
 62469 Thread 13 - RMI Scheduler(0)                                   |     2000 |        0 |      673562 |     19803703 |      1024 |      0 |      131654 |      0 |      0 |         0 
 62475 Thread 14 - RMI RenewClean-[10.231.182.152:32853]              |     1000 |     1000 |      169121 |     14808011 |         0 |      0 |       33054 |      0 |      0 |         0 
 62476 Thread 15 - RMI GC Daemon                                      |        0 |     1000 |       83558 |      7437511 |         0 |      0 |       12215 |      0 |      0 |         0 
 62480 Thread 16 - DecatonSubscriptionThread-decaton-benchmark        | 22890000 | 31740000 | 17441624073 | 538820363691 | 574536704 | 106496 | 11517533913 |  90263 |      0 |         0 
 62482 Thread 17 - kafka-coordinator-hear...hread | decaton-benchmark |   224000 |    39000 |    81350159 |   2565663854 |   4591616 |   5120 |    11054308 | 461413 |      0 |         0 
 62487 Thread 18 - PartitionProcessorThre...dd4-b572-2a039555ebba-2-0 |   981000 |   334000 |   419059368 |  12981824640 |     33792 |      0 |   898254677 |      0 |      0 |         0 
 62488 Thread 19 - PartitionProcessorThre...dd4-b572-2a039555ebba-2-1 |   961000 |   337000 |   415632497 |  12826840640 |         0 |      0 |   934525691 |      0 |      0 |         0 
 62489 Thread 20 - PartitionProcessorThre...dd4-b572-2a039555ebba-2-2 |   957000 |   358000 |   419103102 |  12987723586 |         0 |      0 |   957897963 |      0 |      0 |         0 
 62490 Thread 21 - PartitionProcessorThre...dd4-b572-2a039555ebba-2-3 |   945000 |   356000 |   415733880 |  12855348871 |         0 |      0 |   948490535 |      0 |      0 |         0 
