                                Task                                 |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    | d:bio  | d:swap | d:reclaim 
 2921 Thread 1 - main                                                |   576000 |    79000 |    40598444 |   4946702959 |  21046272 |   1024 |     2483478 |      0 |      0 |         0 
 2965 Thread 2 - Reference Handler                                   |     5000 |        0 |      490644 |     38768847 |         0 |      0 |      516282 |      0 |      0 |         0 
 2966 Thread 3 - Finalizer                                           |     5000 |        0 |      405304 |     38094554 |     13312 |      0 |     1185063 |      0 |      0 |         0 
 2967 Thread 4 - Surrogate Locker Thread (Concurrent GC)             |        0 |        0 |           0 |            0 |         0 |      0 |           0 |      0 |      0 |         0 
 2968 Thread 5 - Signal Dispatcher                                   |        0 |        0 |           0 |            0 |         0 |      0 |           0 |      0 |      0 |         0 
 2977 Thread 11 - DecatonSubscriptionThread-decaton-benchmark        | 29249000 | 32759000 | 19575529579 | 603805253114 | 636548096 | 128000 | 19579775120 |  72635 |      0 |         0 
 2979 Thread 13 - kafka-coordinator-hear...hread | decaton-benchmark |   188000 |    32000 |    68773230 |   2142616101 |   6601728 |   4096 |    29850411 | 442690 |      0 |         0 
 2982 Thread 14 - PartitionProcessorThre...535-83e3-3ddfbd58181d-2-0 |  1288000 |   483000 |   557099535 |  17270407211 |     34816 |      0 |  1442189161 |      0 |      0 |         0 
 2983 Thread 15 - PartitionProcessorThre...535-83e3-3ddfbd58181d-2-1 |  1305000 |   481000 |   562690523 |  17416068684 |         0 |      0 |  1468230051 |      0 |      0 |         0 
 2984 Thread 16 - PartitionProcessorThre...535-83e3-3ddfbd58181d-2-2 |  1299000 |   422000 |   541960836 |  16784322094 |      4096 |      0 |  1331201368 |      0 |      0 |         0 
 2985 Thread 17 - PartitionProcessorThre...535-83e3-3ddfbd58181d-2-3 |  1356000 |   414000 |   555918062 |  17266364106 |         0 |      0 |  1303663234 |      0 |      0 |         0 
 2986 Thread 18 - PartitionProcessorThre...535-83e3-3ddfbd58181d-2-4 |  1296000 |   457000 |   551632082 |  17104650946 |         0 |      0 |  1347626294 |      0 |      0 |         0 
 2987 Thread 19 - PartitionProcessorThre...535-83e3-3ddfbd58181d-2-5 |  1358000 |   489000 |   577612574 |  18011389992 |      3072 |      0 |  1507441969 |      0 |      0 |         0 
 2988 Thread 20 - PartitionProcessorThre...535-83e3-3ddfbd58181d-2-6 |  1346000 |   477000 |   571731879 |  17786507692 |         0 |      0 |  1432945316 |      0 |      0 |         0 
