                                 Task                                 |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    | d:bio  | d:swap | d:reclaim 
 23048 Thread 1 - main                                                |   978000 |   166000 |    75516349 |   7988881889 |  14803968 |   2048 |     5938163 |      0 |      0 |         0 
 23055 Thread 2 - Reference Handler                                   |     1000 |        0 |      137257 |      9078667 |         0 |      0 |       89751 |      0 |      0 |         0 
 23056 Thread 3 - Finalizer                                           |     1000 |     1000 |       34804 |     12462539 |      5120 |      0 |       16281 |      0 |      0 |         0 
 23057 Thread 4 - Signal Dispatcher                                   |     1000 |        0 |      351261 |      9886957 |         0 |      0 |       16228 |      0 |      0 |         0 
 23063 Thread 11 - Common-Cleaner                                     |     1000 |        0 |      174273 |      9886824 |         0 |      0 |     1152192 |      0 |      0 |         0 
 23070 Thread 13 - RMI Scheduler(0)                                   |        0 |     1000 |       75691 |      6915453 |      1024 |      0 |     1505442 |      0 |      0 |         0 
 23076 Thread 14 - RMI RenewClean-[10.231.182.152:38078]              |     2000 |        0 |      162414 |     14745015 |         0 |      0 |       10979 |      0 |      0 |         0 
 23077 Thread 15 - RMI GC Daemon                                      |        0 |     1000 |       80179 |      7372507 |         0 |      0 |           0 |      0 |      0 |         0 
 23081 Thread 16 - DecatonSubscriptionThread-decaton-benchmark        | 25507000 | 36665000 | 21198714629 | 613527806102 | 625013760 | 114688 | 13222166007 | 321842 |      0 |         0 
 23084 Thread 17 - kafka-coordinator-hear...hread | decaton-benchmark |   240000 |    34000 |    91960823 |   2703023417 |   5434368 |   6144 |    20504888 | 430896 |      0 |         0 
 23087 Thread 18 - PartitionProcessorThre...1ce-b2c6-809646238bc8-0-0 |  1163000 |   455000 |   545245633 |  15959413651 |     33792 |      0 |   963205575 |      0 |      0 |         0 
 23088 Thread 19 - PartitionProcessorThre...1ce-b2c6-809646238bc8-0-1 |  1092000 |   406000 |   506932087 |  14783178839 |         0 |      0 |   964113439 |      0 |      0 |         0 
 23089 Thread 20 - PartitionProcessorThre...1ce-b2c6-809646238bc8-0-2 |  1140000 |   402000 |   520137516 |  15215921519 |         0 |      0 |   955999400 |      0 |      0 |         0 
 23090 Thread 21 - PartitionProcessorThre...1ce-b2c6-809646238bc8-0-3 |  1126000 |   395000 |   514932122 |  15018920234 |         0 |      0 |  1073309143 |      0 |      0 |         0 
 23091 Thread 22 - PartitionProcessorThre...1ce-b2c6-809646238bc8-0-4 |  1072000 |   447000 |   516931555 |  15002911941 |         0 |      0 |  1081857094 |      0 |      0 |         0 
 23092 Thread 23 - PartitionProcessorThre...1ce-b2c6-809646238bc8-0-5 |  1114000 |   419000 |   517621883 |  15133417730 |         0 |      0 |   859613343 |      0 |      0 |         0 
 23093 Thread 24 - PartitionProcessorThre...1ce-b2c6-809646238bc8-0-6 |  1167000 |   385000 |   526231102 |  15320665937 |         0 |      0 |  1109273924 |      0 |      0 |         0 
 23094 Thread 25 - PartitionProcessorThre...1ce-b2c6-809646238bc8-0-7 |  1149000 |   415000 |   530710360 |  15443335027 |         0 |      0 |   942479197 |      0 |      0 |         0 
 23095 Thread 26 - PartitionProcessorThre...1ce-b2c6-809646238bc8-0-8 |  1191000 |   391000 |   533782465 |  15612495937 |         0 |      0 |  1192986892 |      0 |      0 |         0 
 23096 Thread 27 - PartitionProcessorThre...1ce-b2c6-809646238bc8-0-9 |  1124000 |   410000 |   517912540 |  15134276343 |      6144 |      0 |  1030711610 |      0 |      0 |         0 
 23097 Thread 28 - PartitionProcessorThre...ce-b2c6-809646238bc8-0-10 |  1132000 |   400000 |   517923602 |  15122641003 |      3072 |      0 |  1052938289 |      0 |      0 |         0 
 23098 Thread 29 - PartitionProcessorThre...ce-b2c6-809646238bc8-0-11 |  1161000 |   396000 |   524377375 |  15370088648 |         0 |      0 |  1003437393 |      0 |      0 |         0 
 23099 Thread 30 - PartitionProcessorThre...ce-b2c6-809646238bc8-0-12 |  1087000 |   387000 |   498093813 |  14548702499 |         0 |      0 |   984667615 |      0 |      0 |         0 
 23100 Thread 31 - PartitionProcessorThre...ce-b2c6-809646238bc8-0-13 |  1113000 |   415000 |   516637337 |  15082227316 |         0 |      0 |   955803016 |      0 |      0 |         0 
 23101 Thread 32 - PartitionProcessorThre...ce-b2c6-809646238bc8-0-14 |  1105000 |   438000 |   522885422 |  15232220863 |         0 |      0 |  1089122301 |      0 |      0 |         0 
 23102 Thread 33 - PartitionProcessorThre...ce-b2c6-809646238bc8-0-15 |  1067000 |   396000 |   494009348 |  14442006609 |         0 |      0 |  1040858621 |      0 |      0 |         0 
 23103 Thread 34 - PartitionProcessorThre...ce-b2c6-809646238bc8-0-16 |  1061000 |   419000 |   499599426 |  14614833781 |      8192 |      0 |  1007276318 |      0 |      0 |         0 
 23104 Thread 35 - PartitionProcessorThre...ce-b2c6-809646238bc8-0-17 |  1146000 |   431000 |   532166625 |  15567121062 |         0 |      0 |  1067507283 |      0 |      0 |         0 
 23105 Thread 36 - PartitionProcessorThre...ce-b2c6-809646238bc8-0-18 |  1170000 |   422000 |   538077786 |  15719065023 |         0 |      0 |   993958156 |      0 |      0 |         0 
 23106 Thread 37 - PartitionProcessorThre...ce-b2c6-809646238bc8-0-19 |  1092000 |   407000 |   508361282 |  14803593417 |         0 |      0 |  1009472641 |      0 |      0 |         0 
 23111 Thread 38 - PartitionProcessorThre...1ce-b2c6-809646238bc8-2-0 |  1114000 |   477000 |   543621703 |  15735133409 |         0 |      0 |   986490305 |      0 |      0 |         0 
 23112 Thread 39 - PartitionProcessorThre...1ce-b2c6-809646238bc8-2-1 |  1118000 |   419000 |   520256172 |  15200240550 |         0 |      0 |  1101794766 |      0 |      0 |         0 
 23113 Thread 40 - PartitionProcessorThre...1ce-b2c6-809646238bc8-2-2 |  1122000 |   405000 |   519677110 |  15102304917 |         0 |      0 |  1079371461 |      0 |      0 |         0 
 23114 Thread 41 - PartitionProcessorThre...1ce-b2c6-809646238bc8-2-3 |  1047000 |   430000 |   502349563 |  14607125773 |         0 |      0 |   958047081 |      0 |      0 |         0 
 23115 Thread 42 - PartitionProcessorThre...1ce-b2c6-809646238bc8-2-4 |  1109000 |   384000 |   507683762 |  14764621609 |         0 |      0 |   949397638 |      0 |      0 |         0 
 23116 Thread 43 - PartitionProcessorThre...1ce-b2c6-809646238bc8-2-5 |  1115000 |   449000 |   533947860 |  15468126995 |      1024 |      0 |  1055655783 |      0 |      0 |         0 
 23117 Thread 44 - PartitionProcessorThre...1ce-b2c6-809646238bc8-2-6 |  1064000 |   403000 |   498195407 |  14508433906 |         0 |      0 |  1000657227 |      0 |      0 |         0 
 23118 Thread 45 - PartitionProcessorThre...1ce-b2c6-809646238bc8-2-7 |  1031000 |   416000 |   490565047 |  14310669043 |         0 |      0 |   895614598 |      0 |      0 |         0 
 23119 Thread 46 - PartitionProcessorThre...1ce-b2c6-809646238bc8-2-8 |  1137000 |   472000 |   550577242 |  15912856538 |      1024 |      0 |  1062232669 |      0 |      0 |         0 
