                                 Task                                 |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    | d:bio  | d:swap | d:reclaim 
 75051 Thread 1 - main                                                |   807000 |   155000 |    64095900 |   7381844135 |  34535424 |   1024 |     8155782 |      0 |      0 |         0 
 75073 Thread 2 - Reference Handler                                   |     7000 |     1000 |      994722 |     66484945 |         0 |      0 |      653800 |      0 |      0 |         0 
 75074 Thread 3 - Finalizer                                           |     7000 |        0 |      671539 |     56097753 |      5120 |      0 |     1484324 |      0 |      0 |         0 
 75075 Thread 4 - Surrogate Locker Thread (Concurrent GC)             |        0 |     1000 |      102808 |      7966628 |         0 |      0 |       27513 |      0 |      0 |         0 
 75076 Thread 5 - Signal Dispatcher                                   |        0 |        0 |           0 |            0 |         0 |      0 |       23494 |      0 |      0 |         0 
 75086 Thread 12 - RMI Scheduler(0)                                   |     2000 |        0 |      583820 |     19519734 |      2048 |      0 |       17405 |      0 |      0 |         0 
 75087 Thread 13 - RMI RenewClean-[10.231.182.152:32869]              |     1000 |        0 |       82980 |      7893589 |      1024 |      0 |       13262 |      0 |      0 |         0 
 75088 Thread 14 - GC Daemon                                          |        0 |        0 |           0 |            0 |         0 |      0 |           0 |      0 |      0 |         0 
 75090 Thread 15 - DecatonSubscriptionThread-decaton-benchmark        | 26448000 | 39202000 | 19120903331 | 639981477778 | 625223680 | 103424 | 16307451209 | 205434 |      0 |         0 
 75093 Thread 16 - kafka-coordinator-hear...hread | decaton-benchmark |   211000 |    30000 |    69400542 |   2350415952 |   6183936 |   4096 |    19155998 | 578097 |      0 |         0 
 75096 Thread 17 - PartitionProcessorThre...dca-bebb-5e2b88423bdf-2-0 |  1161000 |   453000 |   468438313 |  15739663998 |     37888 |      0 |   927409445 |      0 |      0 |         0 
 75097 Thread 18 - PartitionProcessorThre...dca-bebb-5e2b88423bdf-2-1 |  1246000 |   426000 |   484870516 |  16315655447 |      5120 |      0 |  1121222357 |      0 |      0 |         0 
 75098 Thread 19 - PartitionProcessorThre...dca-bebb-5e2b88423bdf-2-2 |  1179000 |   476000 |   482017922 |  16155507939 |         0 |      0 |  1013854365 |      0 |      0 |         0 
 75099 Thread 20 - PartitionProcessorThre...dca-bebb-5e2b88423bdf-2-3 |  1239000 |   477000 |   498342469 |  16747832588 |      2048 |      0 |  1153920504 |      0 |      0 |         0 
 75100 Thread 21 - PartitionProcessorThre...dca-bebb-5e2b88423bdf-2-4 |  1314000 |   441000 |   511290894 |  17133979197 |         0 |      0 |  1185837920 |      0 |      0 |         0 
 75101 Thread 22 - PartitionProcessorThre...dca-bebb-5e2b88423bdf-2-5 |  1297000 |   500000 |   524026660 |  17541873771 |         0 |      0 |  1001337513 |      0 |      0 |         0 
 75102 Thread 23 - PartitionProcessorThre...dca-bebb-5e2b88423bdf-2-6 |  1236000 |   476000 |   498352437 |  16713555845 |         0 |      0 |  1144547568 |      0 |      0 |         0 
 75103 Thread 24 - PartitionProcessorThre...dca-bebb-5e2b88423bdf-2-7 |  1185000 |   468000 |   481142922 |  16136263947 |         0 |      0 |   982968672 |      0 |      0 |         0 
 75104 Thread 25 - PartitionProcessorThre...dca-bebb-5e2b88423bdf-2-8 |  1210000 |   436000 |   479658609 |  16067969686 |         0 |      0 |   900862681 |      0 |      0 |         0 
 75105 Thread 26 - PartitionProcessorThre...dca-bebb-5e2b88423bdf-2-9 |  1166000 |   456000 |   472387203 |  15834317127 |         0 |      0 |   986702875 |      0 |      0 |         0 
 75106 Thread 27 - PartitionProcessorThre...ca-bebb-5e2b88423bdf-2-10 |  1289000 |   434000 |   502438992 |  16820002072 |         0 |      0 |  1095626129 |      0 |      0 |         0 
 75107 Thread 28 - PartitionProcessorThre...ca-bebb-5e2b88423bdf-2-11 |  1272000 |   430000 |   495061582 |  16613794732 |         0 |      0 |  1127101330 |      0 |      0 |         0 
 75108 Thread 29 - PartitionProcessorThre...ca-bebb-5e2b88423bdf-2-12 |  1218000 |   422000 |   478246180 |  16008883029 |         0 |      0 |   937810316 |      0 |      0 |         0 
 75109 Thread 30 - PartitionProcessorThre...ca-bebb-5e2b88423bdf-2-13 |  1186000 |   427000 |   469110746 |  15746212580 |         0 |      0 |  1144168024 |      0 |      0 |         0 
 75110 Thread 31 - PartitionProcessorThre...ca-bebb-5e2b88423bdf-2-14 |  1182000 |   451000 |   476545277 |  15942463803 |         0 |      0 |  1049054943 |      0 |      0 |         0 
 75111 Thread 32 - PartitionProcessorThre...ca-bebb-5e2b88423bdf-2-15 |  1177000 |   442000 |   471935129 |  15805197701 |         0 |      0 |  1007943788 |      0 |      0 |         0 
 75112 Thread 33 - PartitionProcessorThre...ca-bebb-5e2b88423bdf-2-16 |  1251000 |   432000 |   489809805 |  16430238799 |         0 |      0 |  1222238349 |      0 |      0 |         0 
 75113 Thread 34 - PartitionProcessorThre...ca-bebb-5e2b88423bdf-2-17 |  1222000 |   425000 |   480482191 |  16078552725 |         0 |      0 |  1012785235 |      0 |      0 |         0 
 75114 Thread 35 - PartitionProcessorThre...ca-bebb-5e2b88423bdf-2-18 |  1230000 |   435000 |   485032730 |  16255354260 |         0 |      0 |  1124874632 |      0 |      0 |         0 
 75115 Thread 36 - PartitionProcessorThre...ca-bebb-5e2b88423bdf-2-19 |  1174000 |   446000 |   472442492 |  15814924596 |         0 |      0 |  1089122464 |      0 |      0 |         0 
 75116 Thread 37 - PartitionProcessorThre...dca-bebb-5e2b88423bdf-0-0 |  1228000 |   407000 |   475280203 |  15962110096 |         0 |      0 |  1030949901 |      0 |      0 |         0 
 75117 Thread 38 - PartitionProcessorThre...dca-bebb-5e2b88423bdf-0-1 |  1201000 |   462000 |   480649004 |  16234811529 |         0 |      0 |   745246987 |      0 |      0 |         0 
 75118 Thread 39 - PartitionProcessorThre...dca-bebb-5e2b88423bdf-0-2 |  1174000 |   411000 |   457386676 |  15473939225 |         0 |      0 |  1024518353 |      0 |      0 |         0 
 75119 Thread 40 - PartitionProcessorThre...dca-bebb-5e2b88423bdf-0-3 |  1199000 |   431000 |   471368555 |  15913446729 |         0 |      0 |   959352036 |      0 |      0 |         0 
