                                 Task                                  |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    | d:bio  | d:swap | d:reclaim 
 136045 Thread 1 - main                                                |  1067000 |   114000 |    76473490 |   8224531842 |  14848000 |   1024 |    12662773 |      0 |      0 |         0 
 136052 Thread 2 - Reference Handler                                   |     1000 |        0 |       16628 |      6147683 |         0 |      0 |      566964 |      0 |      0 |         0 
 136053 Thread 3 - Finalizer                                           |     1000 |        0 |       16882 |      6212687 |      5120 |      0 |       24631 |      0 |      0 |         0 
 136054 Thread 4 - Signal Dispatcher                                   |        0 |        0 |           0 |            0 |         0 |      0 |           0 |      0 |      0 |         0 
 136060 Thread 11 - Common-Cleaner                                     |     2000 |        0 |      215062 |     16254156 |         0 |      0 |     1702889 |      0 |      0 |         0 
 136066 Thread 13 - RMI Scheduler(0)                                   |        0 |        0 |           0 |            0 |      1024 |      0 |       76058 |      0 |      0 |         0 
 136072 Thread 14 - RMI RenewClean-[10.231.182.152:46438]              |     4000 |        0 |      325390 |     29423019 |         0 |      0 |       17388 |      0 |      0 |         0 
 136073 Thread 15 - RMI GC Daemon                                      |     1000 |        0 |       80289 |      7372507 |         0 |      0 |       27065 |      0 |      0 |         0 
 136076 Thread 16 - DecatonSubscriptionThread-decaton-benchmark        | 23825000 | 31816000 | 17619838604 | 548751957910 | 574420992 | 108544 | 12750695237 | 424896 |      0 |         0 
 136078 Thread 17 - kafka-coordinator-hear...hread | decaton-benchmark |   242000 |    48000 |    91773143 |   2865360987 |   4716544 |   5120 |    30115146 | 223593 |      0 |         0 
 136113 Thread 18 - PartitionProcessorThre...438-820d-6fbdb63bec74-0-0 |  1145000 |   380000 |   476276770 |  15038778788 |     33792 |      0 |   999877910 |      0 |      0 |         0 
 136114 Thread 19 - PartitionProcessorThre...438-820d-6fbdb63bec74-0-1 |  1083000 |   357000 |   451574875 |  14204860546 |         0 |      0 |   982712909 |      0 |      0 |         0 
 136115 Thread 20 - PartitionProcessorThre...438-820d-6fbdb63bec74-0-2 |  1057000 |   360000 |   442515168 |  13977188210 |         0 |      0 |  1079728562 |      0 |      0 |         0 
 136116 Thread 21 - PartitionProcessorThre...438-820d-6fbdb63bec74-0-3 |  1058000 |   369000 |   447596766 |  14086193058 |         0 |      0 |  1097365344 |      0 |      0 |         0 
 136117 Thread 22 - PartitionProcessorThre...438-820d-6fbdb63bec74-0-4 |  1067000 |   392000 |   456453586 |  14398150871 |      2048 |      0 |  1161355292 |      0 |      0 |         0 
 136118 Thread 23 - PartitionProcessorThre...438-820d-6fbdb63bec74-0-5 |  1077000 |   358000 |   450119684 |  14158247597 |         0 |      0 |   957933267 |      0 |      0 |         0 
 136120 Thread 24 - PartitionProcessorThre...438-820d-6fbdb63bec74-0-6 |  1068000 |   326000 |   435007407 |  13749328457 |         0 |      0 |  1007540135 |      0 |      0 |         0 
 136121 Thread 25 - PartitionProcessorThre...438-820d-6fbdb63bec74-0-7 |  1149000 |   371000 |   475296391 |  14993837167 |         0 |      0 |  1182290422 |      0 |      0 |         0 
 136125 Thread 26 - PartitionProcessorThre...438-820d-6fbdb63bec74-0-8 |  1082000 |   402000 |   462627778 |  14634040183 |         0 |      0 |  1205862461 |      0 |      0 |         0 
 136126 Thread 27 - PartitionProcessorThre...438-820d-6fbdb63bec74-0-9 |  1165000 |   350000 |   474632696 |  14950687605 |         0 |      0 |  1155618579 |      0 |      0 |         0 
 136127 Thread 28 - PartitionProcessorThre...38-820d-6fbdb63bec74-0-10 |  1133000 |   369000 |   466952125 |  14812615117 |      3072 |      0 |  1068452789 |      0 |      0 |         0 
 136129 Thread 29 - PartitionProcessorThre...38-820d-6fbdb63bec74-0-11 |  1100000 |   397000 |   469643879 |  14771715054 |      8192 |      0 |  1097173976 |      0 |      0 |         0 
 136131 Thread 30 - PartitionProcessorThre...38-820d-6fbdb63bec74-0-12 |  1076000 |   420000 |   468470727 |  14761572066 |         0 |      0 |   970021926 |      0 |      0 |         0 
 136132 Thread 31 - PartitionProcessorThre...38-820d-6fbdb63bec74-0-13 |  1097000 |   397000 |   469672703 |  14747393484 |      3072 |      0 |  1086254230 |      0 |      0 |         0 
 136133 Thread 32 - PartitionProcessorThre...38-820d-6fbdb63bec74-0-14 |  1097000 |   369000 |   461618879 |  14472811218 |         0 |      0 |  1222093873 |      0 |      0 |         0 
 136134 Thread 33 - PartitionProcessorThre...38-820d-6fbdb63bec74-0-15 |  1041000 |   386000 |   446449559 |  14076862695 |         0 |      0 |  1129665472 |      0 |      0 |         0 
 136135 Thread 34 - PartitionProcessorThre...38-820d-6fbdb63bec74-0-16 |  1101000 |   373000 |   460656766 |  14544342589 |         0 |      0 |  1073372775 |      0 |      0 |         0 
 136136 Thread 35 - PartitionProcessorThre...38-820d-6fbdb63bec74-0-17 |  1099000 |   375000 |   463514985 |  14550722300 |         0 |      0 |  1089587773 |      0 |      0 |         0 
 136137 Thread 36 - PartitionProcessorThre...38-820d-6fbdb63bec74-0-18 |  1092000 |   349000 |   450543563 |  14213580238 |         0 |      0 |  1191759289 |      0 |      0 |         0 
 136138 Thread 37 - PartitionProcessorThre...38-820d-6fbdb63bec74-0-19 |  1114000 |   407000 |   476420266 |  15012467316 |         0 |      0 |  1101795983 |      0 |      0 |         0 
 136170 Thread 38 - PartitionProcessorThre...438-820d-6fbdb63bec74-2-0 |  1110000 |   395000 |   476512528 |  14880416081 |         0 |      0 |  1171885719 |      0 |      0 |         0 
 136171 Thread 39 - PartitionProcessorThre...438-820d-6fbdb63bec74-2-1 |  1054000 |   367000 |   450224708 |  14049249597 |      8192 |      0 |  1167537711 |      0 |      0 |         0 
 136172 Thread 40 - PartitionProcessorThre...438-820d-6fbdb63bec74-2-2 |  1048000 |   369000 |   447760051 |  14009673960 |         0 |      0 |  1151523233 |      0 |      0 |         0 
 136173 Thread 41 - PartitionProcessorThre...438-820d-6fbdb63bec74-2-3 |  1062000 |   355000 |   450286544 |  14009966953 |         0 |      0 |  1158158380 |      0 |      0 |         0 
 136174 Thread 42 - PartitionProcessorThre...438-820d-6fbdb63bec74-2-4 |  1059000 |   370000 |   450756262 |  14128360191 |         0 |      0 |  1210291634 |      0 |      0 |         0 
 136175 Thread 43 - PartitionProcessorThre...438-820d-6fbdb63bec74-2-5 |  1121000 |   349000 |   465230961 |  14533835886 |         0 |      0 |  1131764725 |      0 |      0 |         0 
