                                 Task                                  |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    | d:bio  | d:swap | d:reclaim 
 102122 Thread 1 - main                                                |   835000 |   199000 |    66494927 |   7912639576 |  34339840 |   1024 |    10473068 |      0 |      0 |         0 
 102145 Thread 2 - Reference Handler                                   |     6000 |        0 |      622917 |     48750464 |         0 |      0 |      779427 |      0 |      0 |         0 
 102146 Thread 3 - Finalizer                                           |     4000 |     1000 |      345351 |     37813570 |      5120 |      0 |     1909382 |      0 |      0 |         0 
 102147 Thread 4 - Surrogate Locker Thread (Concurrent GC)             |        0 |        0 |           0 |            0 |         0 |      0 |       51309 |      0 |      0 |         0 
 102148 Thread 5 - Signal Dispatcher                                   |        0 |        0 |           0 |            0 |         0 |      0 |       53490 |      0 |      0 |         0 
 102158 Thread 12 - RMI Scheduler(0)                                   |        0 |     1000 |      290746 |      9757539 |      4096 |      0 |      350449 |      0 |      0 |         0 
 102159 Thread 13 - RMI RenewClean-[10.231.182.152:35103]              |     1000 |        0 |       82593 |      7893261 |      1024 |      0 |           0 |      0 |      0 |         0 
 102160 Thread 14 - GC Daemon                                          |        0 |        0 |           0 |            0 |         0 |      0 |           0 |      0 |      0 |         0 
 102162 Thread 15 - DecatonSubscriptionThread-decaton-benchmark        | 28443000 | 38072000 | 19374692292 | 648317698061 | 624780288 | 138240 | 19737626882 | 163267 |      0 |         0 
 102164 Thread 16 - kafka-coordinator-hear...hread | decaton-benchmark |   225000 |    46000 |    78449022 |   2640971077 |   6192128 |   6144 |    41278111 | 283606 |      0 |         0 
 102167 Thread 17 - PartitionProcessorThre...b2e-b09c-1480eb5f12bb-1-0 |  1376000 |   445000 |   522210203 |  17745411925 |     34816 |      0 |  1488063182 |      0 |      0 |         0 
 102168 Thread 18 - PartitionProcessorThre...b2e-b09c-1480eb5f12bb-1-1 |  1295000 |   468000 |   507043859 |  17185731746 |         0 |      0 |  1286934712 |      0 |      0 |         0 
 102169 Thread 19 - PartitionProcessorThre...b2e-b09c-1480eb5f12bb-1-2 |  1312000 |   425000 |   497156129 |  16932626027 |         0 |      0 |  1222331804 |      0 |      0 |         0 
 102170 Thread 20 - PartitionProcessorThre...b2e-b09c-1480eb5f12bb-1-3 |  1266000 |   451000 |   495737430 |  16743339644 |         0 |      0 |  1288368763 |      0 |      0 |         0 
 102171 Thread 21 - PartitionProcessorThre...b2e-b09c-1480eb5f12bb-1-4 |  1361000 |   450000 |   522186504 |  17658589749 |         0 |      0 |  1522181738 |      0 |      0 |         0 
 102172 Thread 22 - PartitionProcessorThre...b2e-b09c-1480eb5f12bb-1-5 |  1347000 |   409000 |   506041332 |  17123032410 |         0 |      0 |  1233582505 |      0 |      0 |         0 
 102173 Thread 23 - PartitionProcessorThre...b2e-b09c-1480eb5f12bb-1-6 |  1333000 |   447000 |   513670531 |  17359429265 |         0 |      0 |  1346161196 |      0 |      0 |         0 
 102174 Thread 24 - PartitionProcessorThre...b2e-b09c-1480eb5f12bb-1-7 |  1293000 |   461000 |   505209773 |  17101317863 |         0 |      0 |  1222715010 |      0 |      0 |         0 
 102175 Thread 25 - PartitionProcessorThre...b2e-b09c-1480eb5f12bb-1-8 |  1394000 |   455000 |   531990195 |  18027972410 |         0 |      0 |  1380340518 |      0 |      0 |         0 
 102176 Thread 26 - PartitionProcessorThre...b2e-b09c-1480eb5f12bb-1-9 |  1334000 |   483000 |   524224660 |  17717487761 |      1024 |      0 |  1185290916 |      0 |      0 |         0 
 102177 Thread 27 - PartitionProcessorThre...2e-b09c-1480eb5f12bb-1-10 |  1298000 |   435000 |   498513777 |  16895567230 |         0 |      0 |  1209695723 |      0 |      0 |         0 
 102178 Thread 28 - PartitionProcessorThre...2e-b09c-1480eb5f12bb-1-11 |  1347000 |   483000 |   527055973 |  17845734488 |         0 |      0 |  1331738132 |      0 |      0 |         0 
 102179 Thread 29 - PartitionProcessorThre...2e-b09c-1480eb5f12bb-1-12 |  1407000 |   476000 |   543197187 |  18364051894 |         0 |      0 |  1238439567 |      0 |      0 |         0 
 102180 Thread 30 - PartitionProcessorThre...2e-b09c-1480eb5f12bb-1-13 |  1341000 |   429000 |   511281508 |  17260541042 |      2048 |      0 |  1318990058 |      0 |      0 |         0 
 102181 Thread 31 - PartitionProcessorThre...2e-b09c-1480eb5f12bb-1-14 |  1386000 |   465000 |   533539285 |  18049140745 |         0 |      0 |  1296920594 |      0 |      0 |         0 
 102182 Thread 32 - PartitionProcessorThre...2e-b09c-1480eb5f12bb-1-15 |  1337000 |   490000 |   527981109 |  17816331066 |         0 |      0 |  1309513332 |      0 |      0 |         0 
 102183 Thread 33 - PartitionProcessorThre...2e-b09c-1480eb5f12bb-1-16 |  1378000 |   432000 |   520652824 |  17646899097 |         0 |      0 |  1269835251 |      0 |      0 |         0 
