                                 Task                                 |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    | d:bio  | d:swap | d:reclaim 
 99038 Thread 1 - main                                                |   807000 |   142000 |    64001181 |   7288857681 |  34339840 |   1024 |     6845701 |      0 |      0 |         0 
 99060 Thread 2 - Reference Handler                                   |     4000 |        0 |      437160 |     33100066 |         0 |      0 |     1718104 |      0 |      0 |         0 
 99061 Thread 3 - Finalizer                                           |     4000 |     1000 |      368015 |     38091757 |      5120 |      0 |     3660036 |      0 |      0 |         0 
 99062 Thread 4 - Surrogate Locker Thread (Concurrent GC)             |     1000 |     1000 |      130503 |     15193585 |         0 |      0 |       14765 |      0 |      0 |         0 
 99063 Thread 5 - Signal Dispatcher                                   |        0 |     1000 |      302847 |      9757761 |         0 |      0 |           0 |      0 |      0 |         0 
 99072 Thread 12 - RMI Scheduler(0)                                   |     2000 |        0 |      380050 |     17520792 |      4096 |      0 |       93270 |      0 |      0 |         0 
 99073 Thread 13 - RMI RenewClean-[10.231.182.152:44360]              |        0 |        0 |           0 |            0 |      1024 |      0 |           0 |      0 |      0 |         0 
 99074 Thread 14 - GC Daemon                                          |        0 |        0 |           0 |            0 |         0 |      0 |        1031 |      0 |      0 |         0 
 99077 Thread 15 - DecatonSubscriptionThread-decaton-benchmark        | 27030000 | 34596000 | 18343454492 | 600480373893 | 574431232 | 137216 | 18975043905 |  74570 |      0 |         0 
 99078 Thread 16 - kafka-coordinator-hear...hread | decaton-benchmark |   223000 |    46000 |    79552105 |   2619510147 |   5291008 |   5120 |    19566303 | 469457 |      0 |         0 
 99082 Thread 17 - PartitionProcessorThre...baf-96b3-f930b5a3c982-1-0 |  1211000 |   416000 |   482061153 |  15857783527 |     34816 |      0 |  1044032325 |      0 |      0 |         0 
 99083 Thread 18 - PartitionProcessorThre...baf-96b3-f930b5a3c982-1-1 |  1229000 |   436000 |   494098731 |  16233224417 |      1024 |      0 |  1263006918 |      0 |      0 |         0 
 99084 Thread 19 - PartitionProcessorThre...baf-96b3-f930b5a3c982-1-2 |  1289000 |   412000 |   503177051 |  16589825987 |         0 |      0 |  1414317557 |      0 |      0 |         0 
 99085 Thread 20 - PartitionProcessorThre...baf-96b3-f930b5a3c982-1-3 |  1250000 |   405000 |   490760856 |  16136411046 |      7168 |      0 |  1271199640 |      0 |      0 |         0 
 99086 Thread 21 - PartitionProcessorThre...baf-96b3-f930b5a3c982-1-4 |  1291000 |   392000 |   499897742 |  16416503554 |         0 |      0 |  1164276097 |      0 |      0 |         0 
 99087 Thread 22 - PartitionProcessorThre...baf-96b3-f930b5a3c982-1-5 |  1327000 |   411000 |   515332648 |  16952753948 |         0 |      0 |  1161847269 |      0 |      0 |         0 
 99088 Thread 23 - PartitionProcessorThre...baf-96b3-f930b5a3c982-1-6 |  1246000 |   454000 |   506551500 |  16583936808 |         0 |      0 |  1421479909 |      0 |      0 |         0 
 99089 Thread 24 - PartitionProcessorThre...baf-96b3-f930b5a3c982-1-7 |  1359000 |   404000 |   525230820 |  17198500233 |         0 |      0 |  1446259536 |      0 |      0 |         0 
 99090 Thread 25 - PartitionProcessorThre...baf-96b3-f930b5a3c982-1-8 |  1336000 |   446000 |   529841164 |  17382864663 |         0 |      0 |  1401198302 |      0 |      0 |         0 
 99091 Thread 26 - PartitionProcessorThre...baf-96b3-f930b5a3c982-1-9 |  1264000 |   394000 |   492610137 |  16173266769 |         0 |      0 |  1332998246 |      0 |      0 |         0 
 99092 Thread 27 - PartitionProcessorThre...af-96b3-f930b5a3c982-1-10 |  1274000 |   422000 |   505322516 |  16541436644 |         0 |      0 |  1364586779 |      0 |      0 |         0 
 99093 Thread 28 - PartitionProcessorThre...af-96b3-f930b5a3c982-1-11 |  1295000 |   398000 |   502698778 |  16512122187 |         0 |      0 |  1445001738 |      0 |      0 |         0 
 99094 Thread 29 - PartitionProcessorThre...af-96b3-f930b5a3c982-1-12 |  1279000 |   403000 |   499541324 |  16403600523 |         0 |      0 |  1273147561 |      0 |      0 |         0 
 99095 Thread 30 - PartitionProcessorThre...af-96b3-f930b5a3c982-1-13 |  1279000 |   414000 |   504566098 |  16515527913 |         0 |      0 |  1103037039 |      0 |      0 |         0 
 99096 Thread 31 - PartitionProcessorThre...af-96b3-f930b5a3c982-1-14 |  1307000 |   407000 |   507519578 |  16717153226 |         0 |      0 |  1009151356 |      0 |      0 |         0 
 99097 Thread 32 - PartitionProcessorThre...af-96b3-f930b5a3c982-1-15 |  1336000 |   432000 |   524896344 |  17246529948 |         0 |      0 |  1239008763 |      0 |      0 |         0 
 99098 Thread 33 - PartitionProcessorThre...af-96b3-f930b5a3c982-1-16 |  1281000 |   414000 |   502961028 |  16533409195 |         0 |      0 |  1270456577 |      0 |      0 |         0 
 99099 Thread 34 - PartitionProcessorThre...af-96b3-f930b5a3c982-1-17 |  1284000 |   406000 |   500169879 |  16485174741 |      9216 |      0 |  1222619535 |      0 |      0 |         0 
 99100 Thread 35 - PartitionProcessorThre...af-96b3-f930b5a3c982-1-18 |  1214000 |   445000 |   492441770 |  16181657960 |         0 |      0 |  1190975630 |      0 |      0 |         0 
 99101 Thread 36 - PartitionProcessorThre...af-96b3-f930b5a3c982-1-19 |  1182000 |   447000 |   483073075 |  15889911972 |         0 |      0 |  1081023662 |      0 |      0 |         0 
 99102 Thread 37 - PartitionProcessorThre...baf-96b3-f930b5a3c982-2-0 |  1328000 |   405000 |   515815168 |  16910795327 |      1024 |      0 |  1191194446 |      0 |      0 |         0 
 99103 Thread 38 - PartitionProcessorThre...baf-96b3-f930b5a3c982-2-1 |  1303000 |   414000 |   511824164 |  16754404823 |         0 |      0 |  1378183431 |      0 |      0 |         0 
 99104 Thread 39 - PartitionProcessorThre...baf-96b3-f930b5a3c982-2-2 |  1208000 |   425000 |   484800528 |  15934758632 |         0 |      0 |  1094394074 |      0 |      0 |         0 
 99105 Thread 40 - PartitionProcessorThre...baf-96b3-f930b5a3c982-2-3 |  1270000 |   399000 |   497275821 |  16286377933 |         0 |      0 |  1415360510 |      0 |      0 |         0 
 99106 Thread 41 - PartitionProcessorThre...baf-96b3-f930b5a3c982-2-4 |  1284000 |   378000 |   495349242 |  16218075620 |         0 |      0 |  1402202846 |      0 |      0 |         0 
 99107 Thread 42 - PartitionProcessorThre...baf-96b3-f930b5a3c982-2-5 |  1236000 |   419000 |   492962391 |  16149767159 |         0 |      0 |  1214911746 |      0 |      0 |         0 
 99108 Thread 43 - PartitionProcessorThre...baf-96b3-f930b5a3c982-2-6 |  1280000 |   391000 |   497864082 |  16305877257 |         0 |      0 |  1252267616 |      0 |      0 |         0 
