                                 Task                                 |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    | d:bio  | d:swap | d:reclaim 
 59922 Thread 1 - main                                                |   599000 |    73000 |    41512955 |   5087657404 |  21203968 |   1024 |     8981603 |      0 |      0 |         0 
 59944 Thread 2 - Reference Handler                                   |     8000 |        0 |     1185167 |     66144289 |         0 |      0 |      556161 |      0 |      0 |         0 
 59945 Thread 3 - Finalizer                                           |     7000 |        0 |      791343 |     55582820 |      5120 |      0 |     1217129 |      0 |      0 |         0 
 59946 Thread 4 - Surrogate Locker Thread (Concurrent GC)             |        0 |        0 |           0 |            0 |         0 |      0 |           0 |      0 |      0 |         0 
 59947 Thread 5 - Signal Dispatcher                                   |        0 |        0 |           0 |            0 |         0 |      0 |       15743 |      0 |      0 |         0 
 59956 Thread 11 - DecatonSubscriptionThread-decaton-benchmark        | 28536000 | 31870000 | 17628028696 | 588267280075 | 637124608 | 125952 | 18713939560 |  77253 |      0 |         0 
 59957 Thread 13 - kafka-coordinator-hear...hread | decaton-benchmark |   161000 |    54000 |    62347183 |   2095789159 |   5854208 |   4096 |    25729413 | 366285 |      0 |         0 
 59960 Thread 14 - PartitionProcessorThre...b70-9653-72c0bb62d350-0-0 |  1322000 |   448000 |   515355387 |  17262110148 |     33792 |      0 |  1400623512 |      0 |      0 |         0 
 59961 Thread 15 - PartitionProcessorThre...b70-9653-72c0bb62d350-0-1 |  1284000 |   510000 |   522456246 |  17501029285 |      3072 |      0 |  1441656119 |      0 |      0 |         0 
 59962 Thread 16 - PartitionProcessorThre...b70-9653-72c0bb62d350-0-2 |  1315000 |   409000 |   501192188 |  16809442660 |    118784 |      0 |  1350572774 |      0 |      0 |         0 
 59963 Thread 17 - PartitionProcessorThre...b70-9653-72c0bb62d350-0-3 |  1313000 |   507000 |   530472863 |  17757740367 |         0 |      0 |  1541467289 |      0 |      0 |         0 
 59964 Thread 18 - PartitionProcessorThre...b70-9653-72c0bb62d350-0-4 |  1337000 |   419000 |   513298621 |  17130264152 |         0 |      0 |  1473270411 |      0 |      0 |         0 
 59965 Thread 19 - PartitionProcessorThre...b70-9653-72c0bb62d350-0-5 |  1241000 |   457000 |   495476992 |  16559810832 |      5120 |      0 |  1337573314 |      0 |      0 |         0 
 59966 Thread 20 - PartitionProcessorThre...b70-9653-72c0bb62d350-0-6 |  1259000 |   446000 |   497959707 |  16636070363 |         0 |      0 |  1372149883 |      0 |      0 |         0 
 59967 Thread 21 - PartitionProcessorThre...b70-9653-72c0bb62d350-0-7 |  1324000 |   417000 |   507474824 |  16985296914 |         0 |      0 |  1444677867 |      0 |      0 |         0 
 59968 Thread 22 - PartitionProcessorThre...b70-9653-72c0bb62d350-0-8 |  1321000 |   449000 |   517128988 |  17266239175 |      4096 |      0 |  1482338525 |      0 |      0 |         0 
 59969 Thread 23 - PartitionProcessorThre...b70-9653-72c0bb62d350-0-9 |  1290000 |   472000 |   513575309 |  17191581566 |         0 |      0 |  1295663458 |      0 |      0 |         0 
 59970 Thread 24 - PartitionProcessorThre...70-9653-72c0bb62d350-0-10 |  1295000 |   502000 |   524261875 |  17533054218 |      2048 |      0 |  1512111779 |      0 |      0 |         0 
 59971 Thread 25 - PartitionProcessorThre...70-9653-72c0bb62d350-0-11 |  1398000 |   487000 |   550510359 |  18393420722 |         0 |      0 |  1266615540 |      0 |      0 |         0 
 59972 Thread 26 - PartitionProcessorThre...70-9653-72c0bb62d350-0-12 |  1247000 |   461000 |   498557586 |  16663622882 |         0 |      0 |  1428508667 |      0 |      0 |         0 
 59973 Thread 27 - PartitionProcessorThre...70-9653-72c0bb62d350-0-13 |  1303000 |   448000 |   511822527 |  17083967402 |      1024 |      0 |  1418698219 |      0 |      0 |         0 
 59974 Thread 28 - PartitionProcessorThre...70-9653-72c0bb62d350-0-14 |  1267000 |   478000 |   509506695 |  17027775531 |         0 |      0 |  1388344928 |      0 |      0 |         0 
 59975 Thread 29 - PartitionProcessorThre...70-9653-72c0bb62d350-0-15 |  1263000 |   455000 |   501146195 |  16761007168 |         0 |      0 |  1462134839 |      0 |      0 |         0 
 59976 Thread 30 - PartitionProcessorThre...70-9653-72c0bb62d350-0-16 |  1218000 |   442000 |   485285071 |  16196338273 |         0 |      0 |  1466037075 |      0 |      0 |         0 
 59977 Thread 31 - PartitionProcessorThre...70-9653-72c0bb62d350-0-17 |  1272000 |   464000 |   505064695 |  16938173066 |         0 |      0 |  1201332559 |      0 |      0 |         0 
 59978 Thread 32 - PartitionProcessorThre...70-9653-72c0bb62d350-0-18 |  1416000 |   454000 |   543626703 |  18243223355 |     35840 |      0 |  1425646755 |      0 |      0 |         0 
 59979 Thread 33 - PartitionProcessorThre...70-9653-72c0bb62d350-0-19 |  1246000 |   474000 |   501771344 |  16783135027 |         0 |      0 |  1332166396 |      0 |      0 |         0 
 59981 Thread 34 - PartitionProcessorThre...b70-9653-72c0bb62d350-2-0 |  1281000 |   397000 |   491270024 |  16373590519 |         0 |      0 |  1381888578 |      0 |      0 |         0 
 59982 Thread 35 - PartitionProcessorThre...b70-9653-72c0bb62d350-2-1 |  1291000 |   464000 |   515350852 |  17124779046 |         0 |      0 |  1325466463 |      0 |      0 |         0 
 59983 Thread 36 - PartitionProcessorThre...b70-9653-72c0bb62d350-2-2 |  1361000 |   505000 |   545928594 |  18207456323 |         0 |      0 |  1487758878 |      0 |      0 |         0 
 59984 Thread 37 - PartitionProcessorThre...b70-9653-72c0bb62d350-2-3 |  1288000 |   464000 |   513244805 |  17095670355 |         0 |      0 |  1467700331 |      0 |      0 |         0 
 59985 Thread 38 - PartitionProcessorThre...b70-9653-72c0bb62d350-2-4 |  1304000 |   457000 |   516345566 |  17183467206 |         0 |      0 |  1561689900 |      0 |      0 |         0 
 59986 Thread 39 - PartitionProcessorThre...b70-9653-72c0bb62d350-2-5 |  1256000 |   476000 |   507831281 |  16901273121 |         0 |      0 |  1348181749 |      0 |      0 |         0 
