                                 Task                                  |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    | d:bio  | d:swap | d:reclaim 
 149726 Thread 1 - main                                                |   587000 |    72000 |    42095873 |   5015555189 |  21203968 |   1024 |     4453466 |      0 |      0 |         0 
 149749 Thread 2 - Reference Handler                                   |     6000 |     1000 |      724796 |     54442050 |         0 |      0 |      409284 |      0 |      0 |         0 
 149750 Thread 3 - Finalizer                                           |     7000 |     1000 |      695624 |     61227152 |      5120 |      0 |      148151 |      0 |      0 |         0 
 149751 Thread 4 - Surrogate Locker Thread (Concurrent GC)             |        0 |     1000 |      116218 |      7836582 |         0 |      0 |        4218 |      0 |      0 |         0 
 149752 Thread 5 - Signal Dispatcher                                   |        0 |        0 |           0 |            0 |         0 |      0 |        7304 |      0 |      0 |         0 
 149761 Thread 11 - DecatonSubscriptionThread-decaton-benchmark        | 30885000 | 33081000 | 19267771094 | 623008226129 | 637221888 | 124928 | 19490615076 | 154286 |      0 |         0 
 149762 Thread 13 - kafka-coordinator-hear...hread | decaton-benchmark |   195000 |    52000 |    73702581 |   2406476647 |   5737472 |   4096 |    29496928 | 174773 |      0 |         0 
 149766 Thread 14 - PartitionProcessorThre...415-92e6-35954aebad1f-1-0 |  1289000 |   427000 |   512403824 |  16727914394 |     33792 |      0 |  1541604230 |      0 |      0 |         0 
 149767 Thread 15 - PartitionProcessorThre...415-92e6-35954aebad1f-1-1 |  1305000 |   444000 |   523520371 |  17053354734 |    128000 |      0 |  1415500203 |      0 |      0 |         0 
 149768 Thread 16 - PartitionProcessorThre...415-92e6-35954aebad1f-1-2 |  1300000 |   489000 |   537943148 |  17456328804 |         0 |      0 |  1467000730 |      0 |      0 |         0 
 149769 Thread 17 - PartitionProcessorThre...415-92e6-35954aebad1f-1-3 |  1346000 |   447000 |   539976507 |  17492615203 |         0 |      0 |  1337406847 |      0 |      0 |         0 
 149770 Thread 18 - PartitionProcessorThre...415-92e6-35954aebad1f-1-4 |  1334000 |   500000 |   550961308 |  17893511574 |         0 |      0 |  1388255467 |      0 |      0 |         0 
 149771 Thread 19 - PartitionProcessorThre...415-92e6-35954aebad1f-1-5 |  1394000 |   459000 |   558937554 |  18080448937 |         0 |      0 |  1404986609 |      0 |      0 |         0 
 149772 Thread 20 - PartitionProcessorThre...415-92e6-35954aebad1f-1-6 |  1325000 |   451000 |   534496445 |  17323564738 |         0 |      0 |  1600469314 |      0 |      0 |         0 
 149773 Thread 21 - PartitionProcessorThre...415-92e6-35954aebad1f-1-7 |  1301000 |   468000 |   530412535 |  17260209589 |         0 |      0 |  1371244500 |      0 |      0 |         0 
 149774 Thread 22 - PartitionProcessorThre...415-92e6-35954aebad1f-1-8 |  1300000 |   461000 |   528383793 |  17182829765 |         0 |      0 |  1631276664 |      0 |      0 |         0 
 149775 Thread 23 - PartitionProcessorThre...415-92e6-35954aebad1f-1-9 |  1345000 |   433000 |   533967871 |  17347083152 |         0 |      0 |  1701975567 |      0 |      0 |         0 
 149776 Thread 24 - PartitionProcessorThre...15-92e6-35954aebad1f-1-10 |  1312000 |   445000 |   528107043 |  17142678812 |         0 |      0 |  1410803438 |      0 |      0 |         0 
 149777 Thread 25 - PartitionProcessorThre...15-92e6-35954aebad1f-1-11 |  1348000 |   462000 |   545754859 |  17660722527 |         0 |      0 |  1604569662 |      0 |      0 |         0 
 149778 Thread 26 - PartitionProcessorThre...15-92e6-35954aebad1f-1-12 |  1241000 |   429000 |   501732293 |  16294228953 |         0 |      0 |  1654394024 |      0 |      0 |         0 
 149779 Thread 27 - PartitionProcessorThre...15-92e6-35954aebad1f-1-13 |  1314000 |   507000 |   548331793 |  17768111417 |         0 |      0 |  1329698586 |      0 |      0 |         0 
 149780 Thread 28 - PartitionProcessorThre...15-92e6-35954aebad1f-1-14 |  1350000 |   424000 |   531141031 |  17309320820 |         0 |      0 |  1530428458 |      0 |      0 |         0 
 149781 Thread 29 - PartitionProcessorThre...15-92e6-35954aebad1f-1-15 |  1348000 |   440000 |   535871875 |  17446584410 |         0 |      0 |  1542030401 |      0 |      0 |         0 
 149782 Thread 30 - PartitionProcessorThre...15-92e6-35954aebad1f-1-16 |  1338000 |   424000 |   530072867 |  17191253816 |      2048 |      0 |  1547829549 |      0 |      0 |         0 
 149783 Thread 31 - PartitionProcessorThre...15-92e6-35954aebad1f-1-17 |  1271000 |   472000 |   523255707 |  17004119374 |     40960 |      0 |  1595147961 |      0 |      0 |         0 
 149784 Thread 32 - PartitionProcessorThre...15-92e6-35954aebad1f-1-18 |  1336000 |   461000 |   538178484 |  17534566695 |         0 |      0 |  1358756321 |      0 |      0 |         0 
 149785 Thread 33 - PartitionProcessorThre...15-92e6-35954aebad1f-1-19 |  1335000 |   463000 |   539849254 |  17543509011 |         0 |      0 |  1610806218 |      0 |      0 |         0 
 149786 Thread 34 - PartitionProcessorThre...415-92e6-35954aebad1f-0-0 |  1255000 |   425000 |   507850523 |  16393291668 |         0 |      0 |  1501282543 |      0 |      0 |         0 
 149787 Thread 35 - PartitionProcessorThre...415-92e6-35954aebad1f-0-1 |  1282000 |   480000 |   532050461 |  17193071742 |         0 |      0 |  1362803941 |      0 |      0 |         0 
 149788 Thread 36 - PartitionProcessorThre...415-92e6-35954aebad1f-0-2 |  1274000 |   464000 |   524690929 |  16959510269 |         0 |      0 |  1412709459 |      0 |      0 |         0 
 149789 Thread 37 - PartitionProcessorThre...415-92e6-35954aebad1f-0-3 |  1269000 |   467000 |   526027128 |  16940071250 |         0 |      0 |  1460586050 |      0 |      0 |         0 
 149790 Thread 38 - PartitionProcessorThre...415-92e6-35954aebad1f-0-4 |  1260000 |   491000 |   530262046 |  17086237906 |         0 |      0 |  1520620349 |      0 |      0 |         0 
 149791 Thread 39 - PartitionProcessorThre...415-92e6-35954aebad1f-0-5 |  1314000 |   457000 |   536675117 |  17281647863 |         0 |      0 |  1470853517 |      0 |      0 |         0 
 149792 Thread 40 - PartitionProcessorThre...415-92e6-35954aebad1f-0-6 |  1286000 |   472000 |   532579851 |  17155362800 |         0 |      0 |  1298168812 |      0 |      0 |         0 
 149793 Thread 41 - PartitionProcessorThre...415-92e6-35954aebad1f-0-7 |  1285000 |   477000 |   533154964 |  17193743074 |         0 |      0 |  1464569041 |      0 |      0 |         0 
 149794 Thread 42 - PartitionProcessorThre...415-92e6-35954aebad1f-0-8 |  1287000 |   514000 |   544205336 |  17574101113 |         0 |      0 |  1654806709 |      0 |      0 |         0 
 149795 Thread 43 - PartitionProcessorThre...415-92e6-35954aebad1f-0-9 |  1287000 |   488000 |   537944746 |  17320692359 |         0 |      0 |  1369077232 |      0 |      0 |         0 
 149796 Thread 44 - PartitionProcessorThre...15-92e6-35954aebad1f-0-10 |  1285000 |   405000 |   511802191 |  16491086101 |         0 |      0 |  1453777221 |      0 |      0 |         0 
 149797 Thread 45 - PartitionProcessorThre...15-92e6-35954aebad1f-0-11 |  1257000 |   452000 |   516593894 |  16675853421 |         0 |      0 |  1264899486 |      0 |      0 |         0 
 149798 Thread 46 - PartitionProcessorThre...15-92e6-35954aebad1f-0-12 |  1276000 |   452000 |   522611531 |  16861681027 |         0 |      0 |  1468890151 |      0 |      0 |         0 
 149799 Thread 47 - PartitionProcessorThre...15-92e6-35954aebad1f-0-13 |  1286000 |   446000 |   525363933 |  16901264058 |         0 |      0 |  1465939523 |      0 |      0 |         0 
 149800 Thread 48 - PartitionProcessorThre...15-92e6-35954aebad1f-0-14 |  1298000 |   479000 |   537722531 |  17340202257 |         0 |      0 |  1426508818 |      0 |      0 |         0 
 149801 Thread 49 - PartitionProcessorThre...15-92e6-35954aebad1f-0-15 |  1244000 |   398000 |   497539101 |  16022472175 |         0 |      0 |  1553918240 |      0 |      0 |         0 
 149802 Thread 50 - PartitionProcessorThre...15-92e6-35954aebad1f-0-16 |  1227000 |   496000 |   521525875 |  16813160664 |         0 |      0 |  1512127932 |      0 |      0 |         0 
 149803 Thread 51 - PartitionProcessorThre...15-92e6-35954aebad1f-0-17 |  1304000 |   466000 |   537159140 |  17272601601 |         0 |      0 |  1474440935 |      0 |      0 |         0 
 149804 Thread 52 - PartitionProcessorThre...15-92e6-35954aebad1f-0-18 |  1318000 |   482000 |   545510496 |  17564590988 |         0 |      0 |  1326106912 |      0 |      0 |         0 
 149805 Thread 53 - PartitionProcessorThre...15-92e6-35954aebad1f-0-19 |  1253000 |   439000 |   511326781 |  16510487054 |         0 |      0 |  1404958925 |      0 |      0 |         0 
 149806 Thread 54 - PartitionProcessorThre...415-92e6-35954aebad1f-2-0 |  1289000 |   478000 |   536178554 |  17243001066 |         0 |      0 |  1502941884 |      0 |      0 |         0 
 149807 Thread 55 - PartitionProcessorThre...415-92e6-35954aebad1f-2-1 |  1275000 |   482000 |   532105258 |  17145464296 |         0 |      0 |  1284425164 |      0 |      0 |         0 
 149808 Thread 56 - PartitionProcessorThre...415-92e6-35954aebad1f-2-2 |  1329000 |   417000 |   528861695 |  17037971183 |         0 |      0 |  1578577410 |      0 |      0 |         0 
 149809 Thread 57 - PartitionProcessorThre...415-92e6-35954aebad1f-2-3 |  1322000 |   498000 |   552437910 |  17760401640 |         0 |      0 |  1299576853 |      0 |      0 |         0 
 149810 Thread 58 - PartitionProcessorThre...415-92e6-35954aebad1f-2-4 |  1264000 |   471000 |   526656320 |  16930369792 |         0 |      0 |  1252012160 |      0 |      0 |         0 
 149811 Thread 59 - PartitionProcessorThre...415-92e6-35954aebad1f-2-5 |  1236000 |   477000 |   518590332 |  16715427406 |         0 |      0 |  1518582993 |      0 |      0 |         0 
 149812 Thread 60 - PartitionProcessorThre...415-92e6-35954aebad1f-2-6 |  1335000 |   479000 |   550432738 |  17701148249 |         0 |      0 |  1425681991 |      0 |      0 |         0 
 149813 Thread 61 - PartitionProcessorThre...415-92e6-35954aebad1f-2-7 |  1277000 |   473000 |   531041066 |  17076871703 |         0 |      0 |  1464839713 |      0 |      0 |         0 
 149814 Thread 62 - PartitionProcessorThre...415-92e6-35954aebad1f-2-8 |  1256000 |   498000 |   531622125 |  17116523382 |         0 |      0 |  1509633434 |      0 |      0 |         0 
 149815 Thread 63 - PartitionProcessorThre...415-92e6-35954aebad1f-2-9 |  1274000 |   457000 |   523068062 |  16891035351 |         0 |      0 |  1350304218 |      0 |      0 |         0 
 149816 Thread 64 - PartitionProcessorThre...15-92e6-35954aebad1f-2-10 |  1288000 |   414000 |   514076441 |  16607466687 |         0 |      0 |  1331571322 |      0 |      0 |         0 
 149817 Thread 65 - PartitionProcessorThre...15-92e6-35954aebad1f-2-11 |  1148000 |   468000 |   489339121 |  15768792844 |         0 |      0 |  1321051572 |      0 |      0 |         0 
 149818 Thread 66 - PartitionProcessorThre...15-92e6-35954aebad1f-2-12 |  1284000 |   449000 |   524121008 |  16910709457 |         0 |      0 |  1379543511 |      0 |      0 |         0 
 149819 Thread 67 - PartitionProcessorThre...15-92e6-35954aebad1f-2-13 |  1257000 |   463000 |   520947824 |  16783662824 |         0 |      0 |  1315774896 |      0 |      0 |         0 
 149820 Thread 68 - PartitionProcessorThre...15-92e6-35954aebad1f-2-14 |  1278000 |   414000 |   511471203 |  16510365230 |         0 |      0 |  1331131387 |      0 |      0 |         0 
 149821 Thread 69 - PartitionProcessorThre...15-92e6-35954aebad1f-2-15 |  1224000 |   425000 |   499858434 |  16091841125 |         0 |      0 |  1315386976 |      0 |      0 |         0 
 149822 Thread 70 - PartitionProcessorThre...15-92e6-35954aebad1f-2-16 |  1261000 |   468000 |   524632246 |  16872156312 |         0 |      0 |  1371334740 |      0 |      0 |         0 
 149823 Thread 71 - PartitionProcessorThre...15-92e6-35954aebad1f-2-17 |  1290000 |   451000 |   527740281 |  16989646917 |         0 |      0 |  1298563455 |      0 |      0 |         0 
 149824 Thread 72 - PartitionProcessorThre...15-92e6-35954aebad1f-2-18 |  1266000 |   477000 |   527825312 |  17008019546 |      1024 |      0 |  1460540926 |      0 |      0 |         0 
 149825 Thread 73 - PartitionProcessorThre...15-92e6-35954aebad1f-2-19 |  1214000 |   517000 |   524629265 |  16891629265 |         0 |      0 |  1326551058 |      0 |      0 |         0 
 150188 Thread 74 - process reaper                                     |     2000 |     1000 |      961949 |     29357253 |      2048 |      0 |           0 |      0 |      0 |         0 
 150194 Thread 75 - Attach Listener                                    |   373000 |    93000 |   143670295 |   4554020952 |   5304320 | 269312 |     1780660 |      0 |      0 |         0 
