                                 Task                                 |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    | d:bio  | d:swap | d:reclaim 
 11325 Thread 1 - main                                                |  1056000 |   105000 |    77976685 |   8202481556 |  15109120 |   1024 |     6678074 |      0 |      0 |         0 
 11332 Thread 2 - Reference Handler                                   |        0 |        0 |           0 |            0 |         0 |      0 |     1658862 |      0 |      0 |         0 
 11333 Thread 3 - Finalizer                                           |        0 |     1000 |       16894 |      6212687 |      5120 |      0 |     1873150 |      0 |      0 |         0 
 11334 Thread 4 - Signal Dispatcher                                   |        0 |        0 |           0 |            0 |         0 |      0 |        1592 |      0 |      0 |         0 
 11340 Thread 11 - Common-Cleaner                                     |     1000 |     1000 |      228835 |     17438308 |         0 |      0 |      454183 |      0 |      0 |         0 
 11347 Thread 13 - RMI Scheduler(0)                                   |     4000 |        0 |     1139679 |     36649941 |      1024 |      0 |           0 |      0 |      0 |         0 
 11353 Thread 14 - RMI RenewClean-[10.231.182.152:33356]              |     1000 |     1000 |      166980 |     14808011 |         0 |      0 |        7705 |      0 |      0 |         0 
 11354 Thread 15 - RMI GC Daemon                                      |        0 |        0 |           0 |            0 |         0 |      0 |           0 |      0 |      0 |         0 
 11356 Thread 16 - logging-metrics-publisher                          |   204000 |    16000 |    75661323 |   2175781269 |     17408 | 330752 |   144629482 |      0 |      0 |         0 
 11358 Thread 17 - DecatonSubscriptionThread-decaton-benchmark        | 26884000 | 34927000 | 21300498212 | 610164207605 | 624504832 | 103424 | 17779995614 | 111198 |      0 |         0 
 11359 Thread 18 - kafka-coordinator-hear...hread | decaton-benchmark |   235000 |    33000 |    90082233 |   2636737277 |   5957632 |   5120 |    10881657 | 314337 |      0 |         0 
 11362 Thread 19 - PartitionProcessorThre...b0b-b92d-51f39ac922ab-1-0 |  1909000 |   403000 |   795701495 |  22861457513 |         0 |      0 |  1280072526 |      0 |      0 |         0 
 11363 Thread 20 - PartitionProcessorThre...b0b-b92d-51f39ac922ab-1-1 |  1923000 |   450000 |   814892245 |  23458330173 |     33792 |      0 |  1488627993 |      0 |      0 |         0 
 11364 Thread 21 - PartitionProcessorThre...b0b-b92d-51f39ac922ab-1-2 |  1915000 |   408000 |   795785152 |  22969296388 |         0 |      0 |  1401414909 |      0 |      0 |         0 
 11365 Thread 22 - PartitionProcessorThre...b0b-b92d-51f39ac922ab-1-3 |  1878000 |   367000 |   770572566 |  22196793880 |         0 |      0 |  1403575802 |      0 |      0 |         0 
 11366 Thread 23 - PartitionProcessorThre...b0b-b92d-51f39ac922ab-1-4 |  1835000 |   415000 |   772841761 |  22249108810 |         0 |      0 |  1182057467 |      0 |      0 |         0 
 11367 Thread 24 - PartitionProcessorThre...b0b-b92d-51f39ac922ab-1-5 |  1953000 |   460000 |   830809698 |  23859719778 |         0 |      0 |  1308987472 |      0 |      0 |         0 
 11368 Thread 25 - PartitionProcessorThre...b0b-b92d-51f39ac922ab-1-6 |  1851000 |   460000 |   794815964 |  22850075833 |         0 |      0 |  1436022457 |      0 |      0 |         0 
 11369 Thread 26 - PartitionProcessorThre...b0b-b92d-51f39ac922ab-1-7 |  1974000 |   404000 |   817128562 |  23517687060 |         0 |      0 |  1314904845 |      0 |      0 |         0 
 11370 Thread 27 - PartitionProcessorThre...b0b-b92d-51f39ac922ab-1-8 |  1947000 |   394000 |   806805851 |  23150884778 |         0 |      0 |  1300309767 |      0 |      0 |         0 
 11371 Thread 28 - PartitionProcessorThre...b0b-b92d-51f39ac922ab-1-9 |  1892000 |   402000 |   792063488 |  22684512450 |         0 |      0 |  1336508100 |      0 |      0 |         0 
 11372 Thread 29 - PartitionProcessorThre...0b-b92d-51f39ac922ab-1-10 |  1901000 |   425000 |   804178171 |  23000724087 |         0 |      0 |  1362820967 |      0 |      0 |         0 
 11373 Thread 30 - PartitionProcessorThre...0b-b92d-51f39ac922ab-1-11 |  1864000 |   396000 |   777273808 |  22345743821 |         0 |      0 |  1311973915 | 853370 |      0 |         0 
 11374 Thread 31 - PartitionProcessorThre...0b-b92d-51f39ac922ab-1-12 |  1882000 |   389000 |   786117937 |  22454307974 |         0 |      0 |  1211879007 |      0 |      0 |         0 
