                                Task                                 |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    | d:bio  | d:swap | d:reclaim 
 8431 Thread 1 - main                                                |  1068000 |   108000 |    80302618 |   8256346123 |  15109120 |   1024 |     9543070 | 571000 |      0 |         0 
 8439 Thread 2 - Reference Handler                                   |     1000 |        0 |       82421 |      7240492 |         0 |      0 |      174283 |      0 |      0 |         0 
 8440 Thread 3 - Finalizer                                           |     1000 |        0 |       16898 |      6212687 |      5120 |      0 |       27965 |      0 |      0 |         0 
 8441 Thread 4 - Signal Dispatcher                                   |        0 |        0 |           0 |            0 |         0 |      0 |      144415 |      0 |      0 |         0 
 8447 Thread 11 - Common-Cleaner                                     |        0 |        0 |           0 |            0 |         0 |      0 |      772280 |      0 |      0 |         0 
 8452 Thread 13 - RMI Scheduler(0)                                   |        0 |        0 |           0 |            0 |      1024 |      0 |       89648 |      0 |      0 |         0 
 8458 Thread 14 - RMI RenewClean-[10.231.182.152:43592]              |     1000 |        0 |       84527 |      7372507 |         0 |      0 |           0 |      0 |      0 |         0 
 8459 Thread 15 - RMI GC Daemon                                      |        0 |        0 |           0 |            0 |         0 |      0 |           0 |      0 |      0 |         0 
 8461 Thread 16 - logging-metrics-publisher                          |   228000 |    13000 |    87544171 |   2383561738 |     17408 | 377856 |    54484666 |      0 |      0 |         0 
 8464 Thread 17 - DecatonSubscriptionThread-decaton-benchmark        | 24923000 | 32440000 | 20773219964 | 565969607597 | 572887040 | 115712 | 17033040405 | 256614 |      0 |         0 
 8466 Thread 18 - kafka-coordinator-hear...hread | decaton-benchmark |   250000 |    49000 |   106501413 |   2951079124 |   6312960 |   6144 |    21756240 | 284477 |      0 |         0 
 8470 Thread 19 - PartitionProcessorThre...ffd-b1f5-16b452bf20c6-0-0 |  1896000 |   415000 |   834171538 |  22830666591 |     34816 |      0 |  1411540460 |      0 |      0 |         0 
 8471 Thread 20 - PartitionProcessorThre...ffd-b1f5-16b452bf20c6-0-1 |  1918000 |   386000 |   831948925 |  22761546392 |         0 |      0 |  1274727509 |      0 |      0 |         0 
 8472 Thread 21 - PartitionProcessorThre...ffd-b1f5-16b452bf20c6-0-2 |  1881000 |   408000 |   825083741 |  22612850313 |      1024 |      0 |  1422859029 |      0 |      0 |         0 
 8473 Thread 22 - PartitionProcessorThre...ffd-b1f5-16b452bf20c6-0-3 |  1902000 |   399000 |   827350308 |  22736648009 |         0 |      0 |  1406592704 |      0 |      0 |         0 
 8474 Thread 23 - PartitionProcessorThre...ffd-b1f5-16b452bf20c6-0-4 |  1853000 |   389000 |   804629280 |  22146367274 |         0 |      0 |  1608356605 |      0 |      0 |         0 
 8475 Thread 24 - PartitionProcessorThre...ffd-b1f5-16b452bf20c6-0-5 |  1922000 |   354000 |   818443277 |  22479803364 |         0 |      0 |  1637916580 |      0 |      0 |         0 
 8476 Thread 25 - PartitionProcessorThre...ffd-b1f5-16b452bf20c6-0-6 |  1900000 |   412000 |   836323526 |  22841781372 |      8192 |      0 |  1529469080 |      0 |      0 |         0 
 8477 Thread 26 - PartitionProcessorThre...ffd-b1f5-16b452bf20c6-0-7 |  1930000 |   364000 |   827642593 |  22661947556 |      8192 |      0 |  1619185425 |      0 |      0 |         0 
 8478 Thread 27 - PartitionProcessorThre...ffd-b1f5-16b452bf20c6-0-8 |  1813000 |   386000 |   797127171 |  21722030259 |      2048 |      0 |  1516363151 |      0 |      0 |         0 
 8479 Thread 28 - PartitionProcessorThre...ffd-b1f5-16b452bf20c6-0-9 |  1892000 |   411000 |   830501577 |  22749356767 |         0 |      0 |  1579478838 |      0 |      0 |         0 
 8480 Thread 29 - PartitionProcessorThre...fd-b1f5-16b452bf20c6-0-10 |  1894000 |   393000 |   824007433 |  22597915739 |         0 |      0 |  1548548319 |      0 |      0 |         0 
 8481 Thread 30 - PartitionProcessorThre...fd-b1f5-16b452bf20c6-0-11 |  1828000 |   392000 |   801555285 |  21931983814 |      1024 |      0 |  1572603249 |      0 |      0 |         0 
 8482 Thread 31 - PartitionProcessorThre...fd-b1f5-16b452bf20c6-0-12 |  1928000 |   396000 |   836233628 |  22958482306 |      3072 |      0 |  1483650464 |      0 |      0 |         0 
 8483 Thread 32 - PartitionProcessorThre...fd-b1f5-16b452bf20c6-0-13 |  1806000 |   352000 |   781310581 |  21325479505 |      2048 |      0 |  1502451985 |      0 |      0 |         0 
 8484 Thread 33 - PartitionProcessorThre...fd-b1f5-16b452bf20c6-0-14 |  1833000 |   378000 |   797219960 |  21849539798 |         0 |      0 |  1510654005 |      0 |      0 |         0 
 8485 Thread 34 - PartitionProcessorThre...fd-b1f5-16b452bf20c6-0-15 |  1869000 |   377000 |   811042925 |  22197494821 |         0 |      0 |  1568472599 |      0 |      0 |         0 
 8486 Thread 35 - PartitionProcessorThre...fd-b1f5-16b452bf20c6-0-16 |  1920000 |   382000 |   827220866 |  22744897106 |         0 |      0 |  1551491908 |      0 |      0 |         0 
 8487 Thread 36 - PartitionProcessorThre...fd-b1f5-16b452bf20c6-0-17 |  1786000 |   375000 |   778158507 |  21351485376 |         0 |      0 |  1550261862 |      0 |      0 |         0 
 8488 Thread 37 - PartitionProcessorThre...fd-b1f5-16b452bf20c6-0-18 |  1820000 |   392000 |   798103093 |  21856468384 |         0 |      0 |  1620993580 |      0 |      0 |         0 
 8489 Thread 38 - PartitionProcessorThre...fd-b1f5-16b452bf20c6-0-19 |  1819000 |   379000 |   792471347 |  21720797505 |         0 |      0 |  1457868502 |      0 |      0 |         0 
 8494 Thread 39 - PartitionProcessorThre...ffd-b1f5-16b452bf20c6-2-0 |  1743000 |   380000 |   772231273 |  20996085818 |         0 |      0 |  1656835810 |      0 |      0 |         0 
 8495 Thread 40 - PartitionProcessorThre...ffd-b1f5-16b452bf20c6-2-1 |  1835000 |   355000 |   798364132 |  21656269794 |         0 |      0 |  1372561031 |      0 |      0 |         0 
 8496 Thread 41 - PartitionProcessorThre...ffd-b1f5-16b452bf20c6-2-2 |  1802000 |   413000 |   806445054 |  21905403255 |         0 |      0 |  1704367063 |      0 |      0 |         0 
 8497 Thread 42 - PartitionProcessorThre...ffd-b1f5-16b452bf20c6-2-3 |  1863000 |   372000 |   815576698 |  22103436583 |         0 |      0 |  1457331190 |      0 |      0 |         0 
 8498 Thread 43 - PartitionProcessorThre...ffd-b1f5-16b452bf20c6-2-4 |  1819000 |   419000 |   816290253 |  22133281220 |         0 |      0 |  1404827010 |      0 |      0 |         0 
 8499 Thread 44 - PartitionProcessorThre...ffd-b1f5-16b452bf20c6-2-5 |  1844000 |   380000 |   808283640 |  21994713329 |         0 |      0 |  1647062420 |      0 |      0 |         0 
 8500 Thread 45 - PartitionProcessorThre...ffd-b1f5-16b452bf20c6-2-6 |  1850000 |   374000 |   810161316 |  21995015954 |         0 |      0 |  1656660403 |      0 |      0 |         0 
 8501 Thread 46 - PartitionProcessorThre...ffd-b1f5-16b452bf20c6-2-7 |  1755000 |   358000 |   768539027 |  20897027228 |         0 |      0 |  1604069113 |      0 |      0 |         0 
 8502 Thread 47 - PartitionProcessorThre...ffd-b1f5-16b452bf20c6-2-8 |  1815000 |   360000 |   792639027 |  21510545775 |         0 |      0 |  1634293235 |      0 |      0 |         0 
 8503 Thread 48 - PartitionProcessorThre...ffd-b1f5-16b452bf20c6-2-9 |  1927000 |   368000 |   836777925 |  22697326196 |         0 |      0 |  1585631739 |      0 |      0 |         0 
 8504 Thread 49 - PartitionProcessorThre...fd-b1f5-16b452bf20c6-2-10 |  1948000 |   354000 |   837632741 |  22766517681 |         0 |      0 |  1651795352 |      0 |      0 |         0 
 8505 Thread 50 - PartitionProcessorThre...fd-b1f5-16b452bf20c6-2-11 |  1905000 |   355000 |   824736124 |  22351353013 |         0 |      0 |  1521887156 |      0 |      0 |         0 
 8506 Thread 51 - PartitionProcessorThre...fd-b1f5-16b452bf20c6-2-12 |  1895000 |   373000 |   827711062 |  22430271618 |         0 |      0 |  1616255190 |      0 |      0 |         0 
 8507 Thread 52 - PartitionProcessorThre...fd-b1f5-16b452bf20c6-2-13 |  1861000 |   362000 |   811189308 |  21985200817 |         0 |      0 |  1582226733 |      0 |      0 |         0 
 8508 Thread 53 - PartitionProcessorThre...fd-b1f5-16b452bf20c6-2-14 |  1785000 |   373000 |   785534417 |  21342211978 |         0 |      0 |  1478200715 |      0 |      0 |         0 
