                                 Task                                 |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    | d:bio  | d:swap | d:reclaim 
 52927 Thread 1 - main                                                |   560000 |    73000 |    40871412 |   4803929838 |  21046272 |   1024 |     5743109 |      0 |      0 |         0 
 52949 Thread 2 - Reference Handler                                   |     6000 |     2000 |      740011 |     61300101 |         0 |      0 |      961187 |      0 |      0 |         0 
 52950 Thread 3 - Finalizer                                           |     4000 |     1000 |      470796 |     38630839 |     13312 |      0 |     1529962 |      0 |      0 |         0 
 52951 Thread 4 - Surrogate Locker Thread (Concurrent GC)             |        0 |        0 |           0 |            0 |         0 |      0 |           0 |      0 |      0 |         0 
 52952 Thread 5 - Signal Dispatcher                                   |        0 |        0 |           0 |            0 |         0 |      0 |        2371 |      0 |      0 |         0 
 52961 Thread 11 - DecatonSubscriptionThread-decaton-benchmark        | 26393000 | 28783000 | 17157409879 | 536975787458 | 585499648 | 129024 | 18482300738 | 116065 |      0 |         0 
 52962 Thread 13 - kafka-coordinator-hear...hread | decaton-benchmark |   205000 |    58000 |    82455565 |   2562359409 |   6633472 |   4096 |    32018215 | 465694 |      0 |         0 
 52965 Thread 14 - PartitionProcessorThre...a37-a052-c532d086d050-0-0 |  1309000 |   408000 |   534514457 |  16732782032 |     33792 |      0 |  1732585552 |      0 |      0 |         0 
 52966 Thread 15 - PartitionProcessorThre...a37-a052-c532d086d050-0-1 |  1280000 |   438000 |   534407269 |  16747642985 |         0 |      0 |  1526551191 |      0 |      0 |         0 
 52967 Thread 16 - PartitionProcessorThre...a37-a052-c532d086d050-0-2 |  1250000 |   417000 |   518761828 |  16250773833 |      1024 |      0 |  1473032025 |      0 |      0 |         0 
 52968 Thread 17 - PartitionProcessorThre...a37-a052-c532d086d050-0-3 |  1180000 |   418000 |   496669496 |  15574856188 |    122880 |      0 |  1496091405 |      0 |      0 |         0 
 52969 Thread 18 - PartitionProcessorThre...a37-a052-c532d086d050-0-4 |  1211000 |   439000 |   515196348 |  16091623696 |         0 |      0 |  1396588199 |      0 |      0 |         0 
 52970 Thread 19 - PartitionProcessorThre...a37-a052-c532d086d050-0-5 |  1238000 |   410000 |   512516082 |  16071116126 |      1024 |      0 |  1656266454 |      0 |      0 |         0 
 52971 Thread 20 - PartitionProcessorThre...a37-a052-c532d086d050-0-6 |  1208000 |   396000 |   500492281 |  15647103981 |         0 |      0 |  1567789471 |      0 |      0 |         0 
 52972 Thread 21 - PartitionProcessorThre...a37-a052-c532d086d050-0-7 |  1232000 |   415000 |   510278918 |  16064408989 |         0 |      0 |  1513833619 |      0 |      0 |         0 
 52973 Thread 22 - PartitionProcessorThre...a37-a052-c532d086d050-0-8 |  1266000 |   443000 |   531507906 |  16669954223 |         0 |      0 |  1697687545 |      0 |      0 |         0 
 52974 Thread 23 - PartitionProcessorThre...a37-a052-c532d086d050-0-9 |  1259000 |   398000 |   514784113 |  16164285930 |         0 |      0 |  1624568225 |      0 |      0 |         0 
 52975 Thread 24 - PartitionProcessorThre...37-a052-c532d086d050-0-10 |  1235000 |   358000 |   493509031 |  15538514059 |         0 |      0 |  1449821291 |      0 |      0 |         0 
 52976 Thread 25 - PartitionProcessorThre...37-a052-c532d086d050-0-11 |  1213000 |   385000 |   498714320 |  15587662755 |         0 |      0 |  1759163059 |      0 |      0 |         0 
 52977 Thread 26 - PartitionProcessorThre...37-a052-c532d086d050-0-12 |  1203000 |   404000 |   500013621 |  15675118590 |         0 |      0 |  1733426438 |      0 |      0 |         0 
 52978 Thread 27 - PartitionProcessorThre...37-a052-c532d086d050-0-13 |  1106000 |   400000 |   467775324 |  14688139470 |         0 |      0 |  1491821308 |      0 |      0 |         0 
 52979 Thread 28 - PartitionProcessorThre...37-a052-c532d086d050-0-14 |  1241000 |   414000 |   513970711 |  16143658829 |         0 |      0 |  1637815619 |      0 |      0 |         0 
 52980 Thread 29 - PartitionProcessorThre...37-a052-c532d086d050-0-15 |  1147000 |   436000 |   491554625 |  15441361719 |         0 |      0 |  1630583472 |      0 |      0 |         0 
 52981 Thread 30 - PartitionProcessorThre...37-a052-c532d086d050-0-16 |  1216000 |   400000 |   502956813 |  15762522813 |         0 |      0 |  1773620782 |      0 |      0 |         0 
 52982 Thread 31 - PartitionProcessorThre...37-a052-c532d086d050-0-17 |  1174000 |   405000 |   493886848 |  15404341329 |         0 |      0 |  1525827172 |      0 |      0 |         0 
 52983 Thread 32 - PartitionProcessorThre...37-a052-c532d086d050-0-18 |  1225000 |   362000 |   492231293 |  15476668762 |     46080 |      0 |  1636273279 |      0 |      0 |         0 
 52984 Thread 33 - PartitionProcessorThre...37-a052-c532d086d050-0-19 |  1213000 |   386000 |   498584840 |  15597036790 |         0 |      0 |  1468244405 |      0 |      0 |         0 
 52985 Thread 34 - PartitionProcessorThre...a37-a052-c532d086d050-1-0 |  1108000 |   380000 |   465732243 |  14515929169 |         0 |      0 |  1476367582 |      0 |      0 |         0 
 52986 Thread 35 - PartitionProcessorThre...a37-a052-c532d086d050-1-1 |  1196000 |   368000 |   490153223 |  15257347059 |         0 |      0 |  1471250395 |      0 |      0 |         0 
 52987 Thread 36 - PartitionProcessorThre...a37-a052-c532d086d050-1-2 |  1209000 |   412000 |   507141652 |  15813106704 |         0 |      0 |  1390191341 |      0 |      0 |         0 
 52988 Thread 37 - PartitionProcessorThre...a37-a052-c532d086d050-1-3 |  1273000 |   455000 |   541502652 |  16857398918 |         0 |      0 |  1550881110 |      0 |      0 |         0 
 52989 Thread 38 - PartitionProcessorThre...a37-a052-c532d086d050-1-4 |  1209000 |   416000 |   510380527 |  15852657872 |         0 |      0 |  1560857940 |      0 |      0 |         0 
 52990 Thread 39 - PartitionProcessorThre...a37-a052-c532d086d050-1-5 |  1273000 |   412000 |   527774258 |  16437617805 |         0 |      0 |  1544743151 |      0 |      0 |         0 
 52991 Thread 40 - PartitionProcessorThre...a37-a052-c532d086d050-1-6 |  1287000 |   394000 |   526943852 |  16398656821 |         0 |      0 |  1566790184 |      0 |      0 |         0 
 52992 Thread 41 - PartitionProcessorThre...a37-a052-c532d086d050-1-7 |  1162000 |   422000 |   496907371 |  15452699352 |         0 |      0 |  1596047581 |      0 |      0 |         0 
 52993 Thread 42 - PartitionProcessorThre...a37-a052-c532d086d050-1-8 |  1162000 |   450000 |   504936445 |  15725802352 |         0 |      0 |  1561525215 |      0 |      0 |         0 
 52994 Thread 43 - PartitionProcessorThre...a37-a052-c532d086d050-1-9 |  1111000 |   413000 |   477569668 |  14867677594 |         0 |      0 |  1690986369 |      0 |      0 |         0 
 52995 Thread 44 - PartitionProcessorThre...37-a052-c532d086d050-1-10 |  1144000 |   403000 |   485004754 |  15091870395 |         0 |      0 |  1418365308 |      0 |      0 |         0 
 52996 Thread 45 - PartitionProcessorThre...37-a052-c532d086d050-1-11 |  1164000 |   417000 |   496603641 |  15423532590 |         0 |      0 |  1567492331 |      0 |      0 |         0 
 52997 Thread 46 - PartitionProcessorThre...37-a052-c532d086d050-1-12 |  1136000 |   390000 |   479641664 |  14887128005 |         0 |      0 |  1437107955 |      0 |      0 |         0 
 52998 Thread 47 - PartitionProcessorThre...37-a052-c532d086d050-1-13 |  1179000 |   424000 |   502286414 |  15637584415 |         0 |      0 |  1579850224 |      0 |      0 |         0 
 52999 Thread 48 - PartitionProcessorThre...37-a052-c532d086d050-1-14 |  1179000 |   408000 |   496845156 |  15481952313 |         0 |      0 |  1574633527 |      0 |      0 |         0 
 53000 Thread 49 - PartitionProcessorThre...37-a052-c532d086d050-1-15 |  1137000 |   418000 |   487544418 |  15169749528 |         0 |      0 |  1567534463 |      0 |      0 |         0 
 53001 Thread 50 - PartitionProcessorThre...37-a052-c532d086d050-1-16 |  1183000 |   405000 |   498244750 |  15491833274 |  10831872 |      0 |  1418037073 |      0 |      0 |         0 
 53002 Thread 51 - PartitionProcessorThre...37-a052-c532d086d050-1-17 |  1200000 |   434000 |   513046090 |  15940663063 |         0 |      0 |  1488718254 |      0 |      0 |         0 
 53003 Thread 52 - PartitionProcessorThre...37-a052-c532d086d050-1-18 |  1214000 |   418000 |   512156879 |  15921280196 |         0 |      0 |  1377574922 |      0 |      0 |         0 
 53004 Thread 53 - PartitionProcessorThre...37-a052-c532d086d050-1-19 |  1163000 |   420000 |   496049969 |  15443127126 |         0 |      0 |  1502822061 |      0 |      0 |         0 
 53005 Thread 54 - PartitionProcessorThre...a37-a052-c532d086d050-2-0 |  1110000 |   384000 |   469961989 |  14574770841 |         0 |      0 |  1692824120 |      0 |      0 |         0 
 53006 Thread 55 - PartitionProcessorThre...a37-a052-c532d086d050-2-1 |  1162000 |   380000 |   483693094 |  15043048149 |         0 |      0 |  1519040613 |      0 |      0 |         0 
 53007 Thread 56 - PartitionProcessorThre...a37-a052-c532d086d050-2-2 |  1191000 |   398000 |   499153387 |  15501490813 |         0 |      0 |  1408072799 |      0 |      0 |         0 
 53008 Thread 57 - PartitionProcessorThre...a37-a052-c532d086d050-2-3 |  1201000 |   404000 |   505585098 |  15657654157 |         0 |      0 |  1295876771 |      0 |      0 |         0 
 53009 Thread 58 - PartitionProcessorThre...a37-a052-c532d086d050-2-4 |  1175000 |   379000 |   487857758 |  15159846231 |         0 |      0 |  1433447111 |      0 |      0 |         0 
 53010 Thread 59 - PartitionProcessorThre...a37-a052-c532d086d050-2-5 |  1123000 |   394000 |   476563188 |  14798867884 |         0 |      0 |  1545612604 |      0 |      0 |         0 
 53011 Thread 60 - PartitionProcessorThre...a37-a052-c532d086d050-2-6 |  1132000 |   403000 |   481273992 |  14974294454 |         0 |      0 |  1573842326 |      0 |      0 |         0 
 53012 Thread 61 - PartitionProcessorThre...a37-a052-c532d086d050-2-7 |  1161000 |   379000 |   484659813 |  15023807856 |      1024 |      0 |  1531637732 |      0 |      0 |         0 
 53013 Thread 62 - PartitionProcessorThre...a37-a052-c532d086d050-2-8 |  1194000 |   394000 |   499887742 |  15491782126 |         0 |      0 |  1480532323 |      0 |      0 |         0 
 53014 Thread 63 - PartitionProcessorThre...a37-a052-c532d086d050-2-9 |  1191000 |   413000 |   503542070 |  15647302883 |         0 |      0 |  1464158890 |      0 |      0 |         0 
 53015 Thread 64 - PartitionProcessorThre...37-a052-c532d086d050-2-10 |  1112000 |   395000 |   474833129 |  14701702048 |         0 |      0 |  1498684022 |      0 |      0 |         0 
 53016 Thread 65 - PartitionProcessorThre...37-a052-c532d086d050-2-11 |  1188000 |   396000 |   497772403 |  15452360571 |         0 |      0 |  1514616138 |      0 |      0 |         0 
 53017 Thread 66 - PartitionProcessorThre...37-a052-c532d086d050-2-12 |  1236000 |   416000 |   519988086 |  16115905848 |         0 |      0 |  1515950241 |      0 |      0 |         0 
 53018 Thread 67 - PartitionProcessorThre...37-a052-c532d086d050-2-13 |  1173000 |   396000 |   493316996 |  15306272887 |         0 |      0 |  1502206436 |      0 |      0 |         0 
