                                 Task                                  |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    | d:bio  | d:swap | d:reclaim 
 103380 Thread 1 - main                                                |   558000 |    85000 |    39155549 |   4871200064 |  21054464 |   1024 |     5216079 |      0 |      0 |         0 
 103402 Thread 2 - Reference Handler                                   |     4000 |     1000 |      404304 |     37864386 |         0 |      0 |     2155700 |      0 |      0 |         0 
 103403 Thread 3 - Finalizer                                           |     6000 |        0 |      722761 |     47779386 |      5120 |      0 |     1600134 |      0 |      0 |         0 
 103404 Thread 4 - Surrogate Locker Thread (Concurrent GC)             |        0 |     1000 |       31441 |      7163285 |         0 |      0 |       31337 |      0 |      0 |         0 
 103405 Thread 5 - Signal Dispatcher                                   |        0 |        0 |           0 |            0 |         0 |      0 |       23948 |      0 |      0 |         0 
 103415 Thread 11 - DecatonSubscriptionThread-decaton-benchmark        | 29637000 | 32080000 | 18744849353 | 600939391493 | 636196864 | 121856 | 17785920853 |  57287 |      0 |         0 
 103416 Thread 13 - kafka-coordinator-hear...hread | decaton-benchmark |   155000 |    39000 |    58059745 |   1887008468 |   6932480 |   4096 |    42653508 | 150215 |      0 |         0 
 103419 Thread 14 - PartitionProcessorThre...ff1-a333-28468512fdeb-0-0 |  1287000 |   466000 |   530853785 |  17101966453 |     33792 |      0 |  1458563236 |      0 |      0 |         0 
 103420 Thread 15 - PartitionProcessorThre...ff1-a333-28468512fdeb-0-1 |  1230000 |   454000 |   511347352 |  16427680055 |         0 |      0 |  1234907256 |      0 |      0 |         0 
 103421 Thread 16 - PartitionProcessorThre...ff1-a333-28468512fdeb-0-2 |  1256000 |   483000 |   528971324 |  16967055852 |         0 |      0 |  1157528539 |      0 |      0 |         0 
 103422 Thread 17 - PartitionProcessorThre...ff1-a333-28468512fdeb-0-3 |  1224000 |   463000 |   512761817 |  16457129047 |         0 |      0 |  1244147375 |      0 |      0 |         0 
 103423 Thread 18 - PartitionProcessorThre...ff1-a333-28468512fdeb-0-4 |  1266000 |   480000 |   530300449 |  17032720887 |         0 |      0 |  1337714990 |      0 |      0 |         0 
 103424 Thread 19 - PartitionProcessorThre...ff1-a333-28468512fdeb-0-5 |  1293000 |   462000 |   531041586 |  17120537309 |      2048 |      0 |  1371984714 |      0 |      0 |         0 
