                                 Task                                  |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    |  d:bio  | d:swap | d:reclaim 
 127409 Thread 1 - main                                                |   596000 |   117000 |    42028373 |   5418452686 |  21204992 |   2048 |     4528566 |       0 |      0 |         0 
 127431 Thread 2 - Reference Handler                                   |     8000 |     1000 |     1419800 |     76034160 |         0 |      0 |      712318 |       0 |      0 |         0 
 127432 Thread 3 - Finalizer                                           |     7000 |     1000 |      962003 |     64087421 |      5120 |      0 |      392932 |       0 |      0 |         0 
 127433 Thread 4 - Surrogate Locker Thread (Concurrent GC)             |        0 |        0 |           0 |            0 |         0 |      0 |       30135 |       0 |      0 |         0 
 127434 Thread 5 - Signal Dispatcher                                   |        0 |        0 |           0 |            0 |         0 |      0 |       38693 |       0 |      0 |         0 
 127445 Thread 11 - DecatonSubscriptionThread-decaton-benchmark        | 30751000 | 34142000 | 18903283546 | 631943574009 | 636295168 | 142336 | 19775718405 |   77101 |      0 |         0 
 127446 Thread 13 - kafka-coordinator-hear...hread | decaton-benchmark |   263000 |    62000 |    93340495 |   3159803007 |   6666240 |   6144 |    24391367 | 1222528 |      0 |         0 
 127449 Thread 14 - PartitionProcessorThre...030-ba0f-4da899dd27a4-2-0 |  1366000 |   465000 |   533584832 |  17855443345 |     33792 |      0 |  1397159152 |       0 |      0 |         0 
 127450 Thread 15 - PartitionProcessorThre...030-ba0f-4da899dd27a4-2-1 |  1364000 |   402000 |   511935797 |  17227880700 |         0 |      0 |  1588013783 |       0 |      0 |         0 
 127451 Thread 16 - PartitionProcessorThre...030-ba0f-4da899dd27a4-2-2 |  1393000 |   462000 |   538928629 |  18078138513 |    120832 |      0 |  1737572106 |       0 |      0 |         0 
 127452 Thread 17 - PartitionProcessorThre...030-ba0f-4da899dd27a4-2-3 |  1335000 |   441000 |   517772383 |  17327109802 |         0 |      0 |  1597349425 |       0 |      0 |         0 
 127453 Thread 18 - PartitionProcessorThre...030-ba0f-4da899dd27a4-2-4 |  1404000 |   508000 |   558464813 |  18654449075 |      1024 |      0 |  1736763455 |       0 |      0 |         0 
 127454 Thread 19 - PartitionProcessorThre...030-ba0f-4da899dd27a4-2-5 |  1393000 |   459000 |   540575657 |  18066225681 |      3072 |      0 |  1355086724 |       0 |      0 |         0 
 127455 Thread 20 - PartitionProcessorThre...030-ba0f-4da899dd27a4-2-6 |  1452000 |   445000 |   552390903 |  18502817407 |      1024 |      0 |  1713500000 |       0 |      0 |         0 
 127456 Thread 21 - PartitionProcessorThre...030-ba0f-4da899dd27a4-2-7 |  1384000 |   479000 |   543896274 |  18175366247 |         0 |      0 |  1496203157 |       0 |      0 |         0 
 127457 Thread 22 - PartitionProcessorThre...030-ba0f-4da899dd27a4-2-8 |  1371000 |   461000 |   534506914 |  17875546341 |         0 |      0 |  1493233397 |       0 |      0 |         0 
 127458 Thread 23 - PartitionProcessorThre...030-ba0f-4da899dd27a4-2-9 |  1338000 |   498000 |   536678793 |  17914679857 |         0 |      0 |  1531202864 |       0 |      0 |         0 
 127459 Thread 24 - PartitionProcessorThre...30-ba0f-4da899dd27a4-2-10 |  1331000 |   424000 |   510461102 |  17120181872 |         0 |      0 |  1555755653 |       0 |      0 |         0 
 127460 Thread 25 - PartitionProcessorThre...30-ba0f-4da899dd27a4-2-11 |  1384000 |   486000 |   544096453 |  18244004150 |         0 |      0 |  1459525017 |       0 |      0 |         0 
 127461 Thread 26 - PartitionProcessorThre...30-ba0f-4da899dd27a4-2-12 |  1352000 |   474000 |   530058356 |  17814212860 |         0 |      0 |  1473320445 |       0 |      0 |         0 
 127462 Thread 27 - PartitionProcessorThre...30-ba0f-4da899dd27a4-2-13 |  1421000 |   490000 |   557135176 |  18644963872 |         0 |      0 |  1828521087 |       0 |      0 |         0 
 127463 Thread 28 - PartitionProcessorThre...30-ba0f-4da899dd27a4-2-14 |  1297000 |   425000 |   501628899 |  16801107236 |         0 |      0 |  1636768393 |       0 |      0 |         0 
 127464 Thread 29 - PartitionProcessorThre...30-ba0f-4da899dd27a4-2-15 |  1402000 |   459000 |   544361364 |  18158345357 |      1024 |      0 |  1575061059 |       0 |      0 |         0 
 127465 Thread 30 - PartitionProcessorThre...30-ba0f-4da899dd27a4-2-16 |  1400000 |   480000 |   549106621 |  18342965985 |      3072 |      0 |  1526570103 |       0 |      0 |         0 
 127466 Thread 31 - PartitionProcessorThre...30-ba0f-4da899dd27a4-2-17 |  1367000 |   447000 |   526559360 |  17694212583 |     43008 |      0 |  1815877639 |       0 |      0 |         0 
 127467 Thread 32 - PartitionProcessorThre...30-ba0f-4da899dd27a4-2-18 |  1327000 |   467000 |   523172649 |  17500919318 |         0 |      0 |  1652205842 |       0 |      0 |         0 
 127468 Thread 33 - PartitionProcessorThre...30-ba0f-4da899dd27a4-2-19 |  1395000 |   484000 |   545038527 |  18332942509 |         0 |      0 |  1679035398 |       0 |      0 |         0 
 127469 Thread 34 - PartitionProcessorThre...030-ba0f-4da899dd27a4-0-0 |  1408000 |   452000 |   543918063 |  18148088333 |         0 |      0 |  1518532323 |       0 |      0 |         0 
 127470 Thread 35 - PartitionProcessorThre...030-ba0f-4da899dd27a4-0-1 |  1360000 |   487000 |   540476762 |  18022279290 |         0 |      0 |  1554687403 |       0 |      0 |         0 
 127471 Thread 36 - PartitionProcessorThre...030-ba0f-4da899dd27a4-0-2 |  1348000 |   413000 |   515191180 |  17182222884 |         0 |      0 |  1633198281 |       0 |      0 |         0 
 127472 Thread 37 - PartitionProcessorThre...030-ba0f-4da899dd27a4-0-3 |  1406000 |   456000 |   544985059 |  18168235306 |         0 |      0 |  1603414198 |       0 |      0 |         0 
 127473 Thread 38 - PartitionProcessorThre...030-ba0f-4da899dd27a4-0-4 |  1395000 |   479000 |   550241543 |  18286769142 |         0 |      0 |  1631116135 |       0 |      0 |         0 
 127474 Thread 39 - PartitionProcessorThre...030-ba0f-4da899dd27a4-0-5 |  1311000 |   446000 |   513140125 |  17144045083 |         0 |      0 |  1493009182 |       0 |      0 |         0 
 127475 Thread 40 - PartitionProcessorThre...030-ba0f-4da899dd27a4-0-6 |  1355000 |   473000 |   536320508 |  17837141443 |         0 |      0 |  1626701392 |       0 |      0 |         0 
 127476 Thread 41 - PartitionProcessorThre...030-ba0f-4da899dd27a4-0-7 |  1348000 |   428000 |   519888047 |  17329960591 |         0 |      0 |  1679712221 |       0 |      0 |         0 
 127477 Thread 42 - PartitionProcessorThre...030-ba0f-4da899dd27a4-0-8 |  1306000 |   447000 |   512019012 |  17103810322 |         0 |      0 |  1492131793 |       0 |      0 |         0 
 127478 Thread 43 - PartitionProcessorThre...030-ba0f-4da899dd27a4-0-9 |  1349000 |   443000 |   525863586 |  17486305958 |         0 |      0 |  1283348021 |       0 |      0 |         0 
 127479 Thread 44 - PartitionProcessorThre...30-ba0f-4da899dd27a4-0-10 |  1340000 |   428000 |   518180770 |  17252074005 |         0 |      0 |  1645478230 |       0 |      0 |         0 
 127480 Thread 45 - PartitionProcessorThre...30-ba0f-4da899dd27a4-0-11 |  1383000 |   473000 |   543174926 |  18110549650 |         0 |      0 |  1583614222 |       0 |      0 |         0 
 127481 Thread 46 - PartitionProcessorThre...30-ba0f-4da899dd27a4-0-12 |  1352000 |   459000 |   530115606 |  17671149286 |         0 |      0 |  1661873925 |       0 |      0 |         0 
 127482 Thread 47 - PartitionProcessorThre...30-ba0f-4da899dd27a4-0-13 |  1338000 |   454000 |   525833461 |  17485710794 |         0 |      0 |  1609191681 |       0 |      0 |         0 
 127483 Thread 48 - PartitionProcessorThre...30-ba0f-4da899dd27a4-0-14 |  1329000 |   433000 |   515706481 |  17193230161 |         0 |      0 |  1438746814 |       0 |      0 |         0 
 127484 Thread 49 - PartitionProcessorThre...30-ba0f-4da899dd27a4-0-15 |  1336000 |   465000 |   525718766 |  17573261529 |         0 |      0 |  1432174399 |       0 |      0 |         0 
 127485 Thread 50 - PartitionProcessorThre...30-ba0f-4da899dd27a4-0-16 |  1300000 |   471000 |   518539098 |  17281199591 |         0 |      0 |  1433254872 |       0 |      0 |         0 
 127486 Thread 51 - PartitionProcessorThre...30-ba0f-4da899dd27a4-0-17 |  1340000 |   464000 |   527567785 |  17603099478 |         0 |      0 |  1581480960 |       0 |      0 |         0 
 127487 Thread 52 - PartitionProcessorThre...30-ba0f-4da899dd27a4-0-18 |  1301000 |   460000 |   515449602 |  17183037517 |         0 |      0 |  1625657161 |       0 |      0 |         0 
 127488 Thread 53 - PartitionProcessorThre...30-ba0f-4da899dd27a4-0-19 |  1335000 |   446000 |   521611785 |  17378763111 |         0 |      0 |  1635202188 |       0 |      0 |         0 
 127489 Thread 54 - PartitionProcessorThre...030-ba0f-4da899dd27a4-1-0 |  1316000 |   491000 |   528645110 |  17631631486 |         0 |      0 |  1558092481 |       0 |      0 |         0 
 127490 Thread 55 - PartitionProcessorThre...030-ba0f-4da899dd27a4-1-1 |  1339000 |   502000 |   539634520 |  17964119454 |         0 |      0 |  1674704628 |       0 |      0 |         0 
 127491 Thread 56 - PartitionProcessorThre...030-ba0f-4da899dd27a4-1-2 |  1365000 |   466000 |   535354473 |  17866177900 |         0 |      0 |  1467770520 |       0 |      0 |         0 
 127492 Thread 57 - PartitionProcessorThre...030-ba0f-4da899dd27a4-1-3 |  1364000 |   490000 |   541515676 |  18089923431 |         0 |      0 |  1310054674 |   33726 |      0 |         0 
 127493 Thread 58 - PartitionProcessorThre...030-ba0f-4da899dd27a4-1-4 |  1318000 |   418000 |   509848762 |  16939510415 |         0 |      0 |  1589110008 |       0 |      0 |         0 
 127494 Thread 59 - PartitionProcessorThre...030-ba0f-4da899dd27a4-1-5 |  1296000 |   450000 |   510702422 |  17036192755 |         0 |      0 |  1625074208 |       0 |      0 |         0 
 127495 Thread 60 - PartitionProcessorThre...030-ba0f-4da899dd27a4-1-6 |  1266000 |   442000 |   500982379 |  16666553341 |         0 |      0 |  1495676815 |       0 |      0 |         0 
 127496 Thread 61 - PartitionProcessorThre...030-ba0f-4da899dd27a4-1-7 |  1320000 |   432000 |   513256555 |  17095956193 |         0 |      0 |  1399859184 |       0 |      0 |         0 
 127497 Thread 62 - PartitionProcessorThre...030-ba0f-4da899dd27a4-1-8 |  1358000 |   442000 |   527793801 |  17563878384 |         0 |      0 |  1433721564 |       0 |      0 |         0 
 127498 Thread 63 - PartitionProcessorThre...030-ba0f-4da899dd27a4-1-9 |  1320000 |   459000 |   520745067 |  17358547755 |         0 |      0 |  1661457578 |       0 |      0 |         0 
 127499 Thread 64 - PartitionProcessorThre...30-ba0f-4da899dd27a4-1-10 |  1267000 |   477000 |   511630137 |  17017893587 |         0 |      0 |  1493512077 |       0 |      0 |         0 
 127500 Thread 65 - PartitionProcessorThre...30-ba0f-4da899dd27a4-1-11 |  1298000 |   471000 |   518860446 |  17261089810 |         0 |      0 |  1425829869 |       0 |      0 |         0 
