                                 Task                                 |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    | d:bio  | d:swap | d:reclaim 
 49499 Thread 1 - main                                                |   564000 |    79000 |    40013338 |   4878993189 |  21047296 |   1024 |     9920214 |      0 |      0 |         0 
 49521 Thread 2 - Reference Handler                                   |     9000 |        0 |     1023046 |     71192917 |         0 |      0 |       98019 |      0 |      0 |         0 
 49522 Thread 3 - Finalizer                                           |     6000 |        0 |      577031 |     46467414 |     13312 |      0 |      765504 |      0 |      0 |         0 
 49523 Thread 4 - Surrogate Locker Thread (Concurrent GC)             |        0 |     1000 |       30000 |      7254121 |         0 |      0 |           0 |      0 |      0 |         0 
 49524 Thread 5 - Signal Dispatcher                                   |        0 |        0 |           0 |            0 |         0 |      0 |           0 |      0 |      0 |         0 
 49534 Thread 11 - DecatonSubscriptionThread-decaton-benchmark        | 29453000 | 33138000 | 19679566772 | 609450692531 | 637401088 | 125952 | 19176213798 |  47468 |      0 |         0 
 49535 Thread 13 - kafka-coordinator-hear...hread | decaton-benchmark |   183000 |    46000 |    70987944 |   2230360882 |   5767168 |   4096 |    26012753 | 322599 |      0 |         0 
 49538 Thread 14 - PartitionProcessorThre...a4e-9d10-cc365f75249a-0-0 |  1301000 |   442000 |   542242297 |  16986580664 |     37888 |      0 |  1623269155 |      0 |      0 |         0 
 49539 Thread 15 - PartitionProcessorThre...a4e-9d10-cc365f75249a-0-1 |  1343000 |   434000 |   555327734 |  17335313817 |         0 |      0 |  1637881819 |      0 |      0 |         0 
 49540 Thread 16 - PartitionProcessorThre...a4e-9d10-cc365f75249a-0-2 |  1271000 |   482000 |   547703906 |  17098626922 |         0 |      0 |  1663416544 |      0 |      0 |         0 
 49541 Thread 17 - PartitionProcessorThre...a4e-9d10-cc365f75249a-0-3 |  1303000 |   453000 |   545912488 |  17126771032 |    118784 |      0 |  1542869634 |      0 |      0 |         0 
 49542 Thread 18 - PartitionProcessorThre...a4e-9d10-cc365f75249a-0-4 |  1248000 |   413000 |   518201504 |  16202148102 |         0 |      0 |  1465835853 |      0 |      0 |         0 
 49543 Thread 19 - PartitionProcessorThre...a4e-9d10-cc365f75249a-0-5 |  1405000 |   463000 |   585136820 |  18223027059 |         0 |      0 |  1738388457 |      0 |      0 |         0 
 49544 Thread 20 - PartitionProcessorThre...a4e-9d10-cc365f75249a-0-6 |  1384000 |   406000 |   558731105 |  17462622871 |         0 |      0 |  1435374049 |      0 |      0 |         0 
 49545 Thread 21 - PartitionProcessorThre...a4e-9d10-cc365f75249a-0-7 |  1348000 |   465000 |   565359000 |  17685360114 |      3072 |      0 |  1497173403 |      0 |      0 |         0 
 49546 Thread 22 - PartitionProcessorThre...a4e-9d10-cc365f75249a-0-8 |  1314000 |   455000 |   553496141 |  17256516961 |         0 |      0 |  1181683205 |      0 |      0 |         0 
 49547 Thread 23 - PartitionProcessorThre...a4e-9d10-cc365f75249a-0-9 |  1337000 |   444000 |   556557684 |  17375894184 |         0 |      0 |  1396517065 |      0 |      0 |         0 
