                                 Task                                 |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    |  d:bio  | d:swap | d:reclaim 
 46906 Thread 1 - main                                                |   574000 |    81000 |    39871147 |   4954204592 |  21055488 |   1024 |     3954780 |       0 |      0 |         0 
 46928 Thread 2 - Reference Handler                                   |     6000 |        0 |      571882 |     46467414 |         0 |      0 |     2022415 |       0 |      0 |         0 
 46929 Thread 3 - Finalizer                                           |     6000 |        0 |      487089 |     45627957 |      5120 |      0 |     2672955 |       0 |      0 |         0 
 46930 Thread 4 - Surrogate Locker Thread (Concurrent GC)             |        0 |        0 |           0 |            0 |         0 |      0 |       10288 |       0 |      0 |         0 
 46931 Thread 5 - Signal Dispatcher                                   |        0 |        0 |           0 |            0 |         0 |      0 |        6799 |       0 |      0 |         0 
 46940 Thread 11 - DecatonSubscriptionThread-decaton-benchmark        | 28226000 | 29433000 | 16805570294 | 561213864614 | 584870912 | 133120 | 17212064949 |  142415 |      0 |         0 
 46942 Thread 13 - kafka-coordinator-hear...hread | decaton-benchmark |   193000 |    52000 |    71400097 |   2384073433 |   6992896 |   5120 |    34094887 |  389407 |      0 |         0 
 46945 Thread 14 - PartitionProcessorThre...e21-8594-de472f623b24-1-0 |  1263000 |   413000 |   488378589 |  16341643266 |         0 |      0 |  1274990027 |       0 |      0 |         0 
 46946 Thread 15 - PartitionProcessorThre...e21-8594-de472f623b24-1-1 |  1275000 |   423000 |   492023616 |  16539768993 |     41984 |      0 |  1564764232 |       0 |      0 |         0 
 46947 Thread 16 - PartitionProcessorThre...e21-8594-de472f623b24-1-2 |  1197000 |   424000 |   468620620 |  15795978419 |    122880 |      0 |  1497206668 |       0 |      0 |         0 
 46948 Thread 17 - PartitionProcessorThre...e21-8594-de472f623b24-1-3 |  1259000 |   407000 |   482078460 |  16248083290 |         0 |      0 |  1456211733 |       0 |      0 |         0 
