                                 Task                                 |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    | d:bio  | d:swap | d:reclaim 
 38955 Thread 1 - main                                                |   819000 |   134000 |    63302338 |   7317859400 |  34258944 |   1024 |     3008276 |      0 |      0 |         0 
 38977 Thread 2 - Reference Handler                                   |     6000 |     1000 |      792574 |     59127328 |         0 |      0 |      600669 |      0 |      0 |         0 
 38978 Thread 3 - Finalizer                                           |     7000 |     1000 |      795996 |     66115406 |      5120 |      0 |      721949 |      0 |      0 |         0 
 38979 Thread 4 - Surrogate Locker Thread (Concurrent GC)             |        0 |        0 |           0 |            0 |         0 |      0 |       27701 |      0 |      0 |         0 
 38980 Thread 5 - Signal Dispatcher                                   |        0 |     1000 |      292699 |      9757742 |         0 |      0 |        2662 |      0 |      0 |         0 
 38988 Thread 12 - RMI Scheduler(0)                                   |     2000 |        0 |      576316 |     19515039 |      4096 |      0 |        8421 |      0 |      0 |         0 
 38989 Thread 13 - RMI RenewClean-[10.231.182.152:44707]              |        0 |        0 |           0 |            0 |      1024 |      0 |           0 |      0 |      0 |         0 
 38990 Thread 14 - GC Daemon                                          |        0 |        0 |           0 |            0 |         0 |      0 |           0 |      0 |      0 |         0 
 38992 Thread 15 - DecatonSubscriptionThread-decaton-benchmark        | 28089000 | 33863000 | 17927726133 | 603816945786 | 623405056 | 141312 | 18787373627 | 149543 |      0 |         0 
 38994 Thread 16 - kafka-coordinator-hear...hread | decaton-benchmark |   268000 |    50000 |    90490456 |   3090665342 |   7630848 |   6144 |    31422814 | 441144 |      0 |         0 
 38999 Thread 17 - PartitionProcessorThre...8df-9ffd-fca41a43af1c-0-0 |  1350000 |   482000 |   525056879 |  17873686896 |     35840 |      0 |  1592146030 |      0 |      0 |         0 
 39000 Thread 18 - PartitionProcessorThre...8df-9ffd-fca41a43af1c-0-1 |  1381000 |   452000 |   525620559 |  17889734693 |         0 |      0 |  1685654966 |      0 |      0 |         0 
