                                 Task                                  |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    |  d:bio  | d:swap | d:reclaim 
 135868 Thread 1 - main                                                |   606000 |    67000 |    42378698 |   5101073866 |  21218304 |   1024 |     3500024 |       0 |      0 |         0 
 135890 Thread 2 - Reference Handler                                   |     7000 |        0 |      872414 |     56358257 |         0 |      0 |      147819 |       0 |      0 |         0 
 135891 Thread 3 - Finalizer                                           |     6000 |     1000 |      689503 |     54304015 |      5120 |      0 |      613930 |       0 |      0 |         0 
 135892 Thread 4 - Surrogate Locker Thread (Concurrent GC)             |        0 |        0 |           0 |            0 |         0 |      0 |           0 |       0 |      0 |         0 
 135893 Thread 5 - Signal Dispatcher                                   |        0 |     1000 |      312945 |      9755035 |         0 |      0 |        5095 |       0 |      0 |         0 
 135903 Thread 11 - DecatonSubscriptionThread-decaton-benchmark        | 26370000 | 29538000 | 17068996226 | 544224064100 | 586719232 | 126976 | 17068966581 |  116011 |      0 |         0 
 135904 Thread 13 - kafka-coordinator-hear...hread | decaton-benchmark |   174000 |    59000 |    71511108 |   2272102062 |   4979712 |   4096 |    27191705 |  307906 |      0 |         0 
 135907 Thread 14 - PartitionProcessorThre...f50-a734-908b449d3797-2-0 |  1232000 |   381000 |   489438114 |  15721082765 |     33792 |      0 |  1517124100 |       0 |      0 |         0 
 135908 Thread 15 - PartitionProcessorThre...f50-a734-908b449d3797-2-1 |  1243000 |   366000 |   490269556 |  15692462124 |         0 |      0 |  1503121755 |       0 |      0 |         0 
 135909 Thread 16 - PartitionProcessorThre...f50-a734-908b449d3797-2-2 |  1213000 |   429000 |   499930419 |  16013159601 |         0 |      0 |  1353714507 |       0 |      0 |         0 
 135910 Thread 17 - PartitionProcessorThre...f50-a734-908b449d3797-2-3 |  1235000 |   402000 |   500068216 |  15956011554 |      3072 |      0 |  1488384806 |       0 |      0 |         0 
 135911 Thread 18 - PartitionProcessorThre...f50-a734-908b449d3797-2-4 |  1214000 |   391000 |   485727313 |  15643950992 |    117760 |      0 |  1362639369 |       0 |      0 |         0 
 135912 Thread 19 - PartitionProcessorThre...f50-a734-908b449d3797-2-5 |  1233000 |   423000 |   503964114 |  16148959832 |      3072 |      0 |  1436026739 |       0 |      0 |         0 
 135913 Thread 20 - PartitionProcessorThre...f50-a734-908b449d3797-2-6 |  1196000 |   379000 |   480464298 |  15363051613 |         0 |      0 |  1214215351 |       0 |      0 |         0 
 135914 Thread 21 - PartitionProcessorThre...f50-a734-908b449d3797-2-7 |  1240000 |   388000 |   491818466 |  15874492308 |         0 |      0 |  1380654600 |       0 |      0 |         0 
 135915 Thread 22 - PartitionProcessorThre...f50-a734-908b449d3797-2-8 |  1276000 |   379000 |   504007157 |  16144034394 |         0 |      0 |  1327485491 |       0 |      0 |         0 
 135916 Thread 23 - PartitionProcessorThre...f50-a734-908b449d3797-2-9 |  1227000 |   392000 |   490791192 |  15790433984 |  10832896 |      0 |  1513884228 |       0 |      0 |         0 
 135917 Thread 24 - PartitionProcessorThre...50-a734-908b449d3797-2-10 |  1222000 |   431000 |   503260356 |  16124963910 |         0 |      0 |  1491587022 |       0 |      0 |         0 
 135918 Thread 25 - PartitionProcessorThre...50-a734-908b449d3797-2-11 |  1235000 |   413000 |   501032481 |  16075624683 |         0 |      0 |  1527402344 |       0 |      0 |         0 
 135919 Thread 26 - PartitionProcessorThre...50-a734-908b449d3797-2-12 |  1316000 |   365000 |   509874747 |  16396864472 |         0 |      0 |  1410082231 | 4040048 |      0 |         0 
 135920 Thread 27 - PartitionProcessorThre...50-a734-908b449d3797-2-13 |  1139000 |   419000 |   475444657 |  15195266999 |         0 |      0 |  1421901472 |       0 |      0 |         0 
