                                 Task                                 |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    | d:bio  | d:swap | d:reclaim 
 20425 Thread 1 - main                                                |   632000 |    85000 |    44098662 |   5437806677 |  21194752 |   1024 |     3337432 |      0 |      0 |         0 
 20447 Thread 2 - Reference Handler                                   |     4000 |        0 |      374183 |     30932304 |         0 |      0 |      614746 |      0 |      0 |         0 
 20448 Thread 3 - Finalizer                                           |     7000 |        0 |      807999 |     55477999 |     13312 |      0 |     2334748 |      0 |      0 |         0 
 20449 Thread 4 - Surrogate Locker Thread (Concurrent GC)             |        0 |        0 |           0 |            0 |         0 |      0 |       15787 |      0 |      0 |         0 
 20450 Thread 5 - Signal Dispatcher                                   |     1000 |        0 |      300804 |      9755039 |         0 |      0 |           0 |      0 |      0 |         0 
 20458 Thread 11 - DecatonSubscriptionThread-decaton-benchmark        | 26728000 | 29438000 | 16698417715 | 546691683319 | 585609216 | 132096 | 17580276621 | 148364 |      0 |         0 
 20460 Thread 13 - kafka-coordinator-hear...hread | decaton-benchmark |   189000 |    48000 |    70715148 |   2308631561 |   6173696 |   5120 |    26038156 | 387305 |      0 |         0 
 20463 Thread 14 - PartitionProcessorThre...1b9-bbdd-92204f61274d-1-0 |  1132000 |   360000 |   444397337 |  14553134699 |         0 |      0 |  1412319701 |      0 |      0 |         0 
 20464 Thread 15 - PartitionProcessorThre...1b9-bbdd-92204f61274d-1-1 |  1168000 |   398000 |   466754536 |  15259379449 |     40960 |      0 |  1339933324 |      0 |      0 |         0 
 20465 Thread 16 - PartitionProcessorThre...1b9-bbdd-92204f61274d-1-2 |  1220000 |   424000 |   490564454 |  16036738340 |         0 |      0 |  1458070404 |      0 |      0 |         0 
 20466 Thread 17 - PartitionProcessorThre...1b9-bbdd-92204f61274d-1-3 |  1204000 |   388000 |   475249321 |  15528004062 |         0 |      0 |  1467038659 |      0 |      0 |         0 
 20467 Thread 18 - PartitionProcessorThre...1b9-bbdd-92204f61274d-1-4 |  1222000 |   394000 |   482548067 |  15764548269 |         0 |      0 |  1508852050 |      0 |      0 |         0 
 20468 Thread 19 - PartitionProcessorThre...1b9-bbdd-92204f61274d-1-5 |  1168000 |   406000 |   469431098 |  15352554789 |      3072 |      0 |  1421230296 |      0 |      0 |         0 
 20469 Thread 20 - PartitionProcessorThre...1b9-bbdd-92204f61274d-1-6 |  1238000 |   370000 |   479099040 |  15681657449 |    117760 |      0 |  1423407222 |      0 |      0 |         0 
 20470 Thread 21 - PartitionProcessorThre...1b9-bbdd-92204f61274d-1-7 |  1254000 |   407000 |   496372282 |  16203491875 |         0 |      0 |  1408678116 |      0 |      0 |         0 
 20471 Thread 22 - PartitionProcessorThre...1b9-bbdd-92204f61274d-1-8 |  1209000 |   479000 |   502955903 |  16464623195 |         0 |      0 |  1457117274 |      0 |      0 |         0 
 20472 Thread 23 - PartitionProcessorThre...1b9-bbdd-92204f61274d-1-9 |  1182000 |   376000 |   464348368 |  15197868422 |         0 |      0 |  1473750919 |      0 |      0 |         0 
 20473 Thread 24 - PartitionProcessorThre...b9-bbdd-92204f61274d-1-10 |  1188000 |   386000 |   466984282 |  15352162094 |         0 |      0 |  1518545167 |      0 |      0 |         0 
 20474 Thread 25 - PartitionProcessorThre...b9-bbdd-92204f61274d-1-11 |  1126000 |   414000 |   458279950 |  15020957559 |         0 |      0 |  1452232002 |      0 |      0 |         0 
 20475 Thread 26 - PartitionProcessorThre...b9-bbdd-92204f61274d-1-12 |  1197000 |   377000 |   469474868 |  15353752648 |         0 |      0 |  1574318298 |      0 |      0 |         0 
 20476 Thread 27 - PartitionProcessorThre...b9-bbdd-92204f61274d-1-13 |  1093000 |   389000 |   442773364 |  14456339598 |         0 |      0 |  1547590946 |      0 |      0 |         0 
 20477 Thread 28 - PartitionProcessorThre...b9-bbdd-92204f61274d-1-14 |  1231000 |   387000 |   481852809 |  15780257844 |     34816 |      0 |  1412356214 |      0 |      0 |         0 
 20478 Thread 29 - PartitionProcessorThre...b9-bbdd-92204f61274d-1-15 |  1180000 |   383000 |   464529247 |  15244140613 |         0 |      0 |  1357863699 |      0 |      0 |         0 
 20479 Thread 30 - PartitionProcessorThre...b9-bbdd-92204f61274d-1-16 |  1203000 |   387000 |   472083845 |  15506818933 |      7168 |      0 |  1567581470 |      0 |      0 |         0 
