                                 Task                                  |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    | d:bio  | d:swap | d:reclaim 
 107216 Thread 1 - main                                                |   580000 |    80000 |    41451315 |   5012068186 |  21202944 |   1024 |     5065386 |      0 |      0 |         0 
 107238 Thread 2 - Reference Handler                                   |     4000 |     2000 |      548531 |     45902988 |         0 |      0 |     1499233 |      0 |      0 |         0 
 107239 Thread 3 - Finalizer                                           |     5000 |        0 |      432917 |     38131414 |      5120 |      0 |      669302 |      0 |      0 |         0 
 107240 Thread 4 - Surrogate Locker Thread (Concurrent GC)             |        0 |        0 |           0 |            0 |         0 |      0 |           0 |      0 |      0 |         0 
 107241 Thread 5 - Signal Dispatcher                                   |        0 |        0 |           0 |            0 |         0 |      0 |       18493 |      0 |      0 |         0 
 107250 Thread 11 - DecatonSubscriptionThread-decaton-benchmark        | 28754000 | 32785000 | 18264340027 | 599270480709 | 637066240 | 121856 | 18980476668 |  73557 |      0 |         0 
 107252 Thread 13 - kafka-coordinator-hear...hread | decaton-benchmark |   173000 |    46000 |    64951046 |   2136726562 |   5894144 |   4096 |    39554921 | 241164 |      0 |         0 
 107255 Thread 14 - PartitionProcessorThre...b75-a1f7-9b8edcafba9c-2-0 |  1339000 |   435000 |   523517279 |  17305139792 |     33792 |      0 |  1558498700 |      0 |      0 |         0 
 107256 Thread 15 - PartitionProcessorThre...b75-a1f7-9b8edcafba9c-2-1 |  1332000 |   405000 |   513737853 |  16949493562 |         0 |      0 |  1559128450 |      0 |      0 |         0 
 107257 Thread 16 - PartitionProcessorThre...b75-a1f7-9b8edcafba9c-2-2 |  1371000 |   418000 |   527748267 |  17455643218 |         0 |      0 |  1316652794 |      0 |      0 |         0 
 107258 Thread 17 - PartitionProcessorThre...b75-a1f7-9b8edcafba9c-2-3 |  1320000 |   455000 |   525152294 |  17320339343 |         0 |      0 |  1566862212 |      0 |      0 |         0 
 107259 Thread 18 - PartitionProcessorThre...b75-a1f7-9b8edcafba9c-2-4 |  1363000 |   413000 |   525571615 |  17329217402 |     43008 |      0 |  1331408962 |      0 |      0 |         0 
 107260 Thread 19 - PartitionProcessorThre...b75-a1f7-9b8edcafba9c-2-5 |  1389000 |   425000 |   536242157 |  17698469261 |         0 |      0 |  1449036758 |      0 |      0 |         0 
 107261 Thread 20 - PartitionProcessorThre...b75-a1f7-9b8edcafba9c-2-6 |  1365000 |   490000 |   548226290 |  18100749671 |         0 |      0 |  1351754567 |      0 |      0 |         0 
 107262 Thread 21 - PartitionProcessorThre...b75-a1f7-9b8edcafba9c-2-7 |  1230000 |   454000 |   497481736 |  16431691999 |         0 |      0 |  1297346462 |      0 |      0 |         0 
 107263 Thread 22 - PartitionProcessorThre...b75-a1f7-9b8edcafba9c-2-8 |  1313000 |   489000 |   533160736 |  17582313523 |         0 |      0 |  1338462398 |      0 |      0 |         0 
 107264 Thread 23 - PartitionProcessorThre...b75-a1f7-9b8edcafba9c-2-9 |  1341000 |   486000 |   540801818 |  17826408749 |         0 |      0 |  1549447254 |      0 |      0 |         0 
 107265 Thread 24 - PartitionProcessorThre...75-a1f7-9b8edcafba9c-2-10 |  1270000 |   441000 |   504190708 |  16695249835 |         0 |      0 |  1443782767 |      0 |      0 |         0 
 107266 Thread 25 - PartitionProcessorThre...75-a1f7-9b8edcafba9c-2-11 |  1366000 |   411000 |   525181443 |  17337721320 |         0 |      0 |  1614642143 |      0 |      0 |         0 
 107267 Thread 26 - PartitionProcessorThre...75-a1f7-9b8edcafba9c-2-12 |  1330000 |   419000 |   517828669 |  17065223320 |         0 |      0 |  1638269709 |      0 |      0 |         0 
 107268 Thread 27 - PartitionProcessorThre...75-a1f7-9b8edcafba9c-2-13 |  1305000 |   451000 |   519315146 |  17133599738 |         0 |      0 |  1643153644 |      0 |      0 |         0 
 107269 Thread 28 - PartitionProcessorThre...75-a1f7-9b8edcafba9c-2-14 |  1371000 |   477000 |   546384103 |  18030845749 |         0 |      0 |  1682316322 |      0 |      0 |         0 
 107270 Thread 29 - PartitionProcessorThre...75-a1f7-9b8edcafba9c-2-15 |  1326000 |   416000 |   516041634 |  16998089109 |         0 |      0 |  1429757243 |      0 |      0 |         0 
 107271 Thread 30 - PartitionProcessorThre...75-a1f7-9b8edcafba9c-2-16 |  1399000 |   459000 |   549318970 |  18128594105 |         0 |      0 |  1428526886 |      0 |      0 |         0 
 107272 Thread 31 - PartitionProcessorThre...75-a1f7-9b8edcafba9c-2-17 |  1269000 |   510000 |   527243384 |  17357567656 |    124928 |      0 |  1446982315 |      0 |      0 |         0 
 107273 Thread 32 - PartitionProcessorThre...75-a1f7-9b8edcafba9c-2-18 |  1345000 |   439000 |   527476185 |  17408432296 |         0 |      0 |  1472410544 |      0 |      0 |         0 
 107274 Thread 33 - PartitionProcessorThre...75-a1f7-9b8edcafba9c-2-19 |  1298000 |   442000 |   515630048 |  16977438539 |      3072 |      0 |  1470793540 |      0 |      0 |         0 
 107275 Thread 34 - PartitionProcessorThre...b75-a1f7-9b8edcafba9c-1-0 |  1262000 |   462000 |   514999287 |  16822664269 |         0 |      0 |  1536166000 |      0 |      0 |         0 
 107276 Thread 35 - PartitionProcessorThre...b75-a1f7-9b8edcafba9c-1-1 |  1271000 |   447000 |   513153904 |  16763825093 |         0 |      0 |  1618636319 |      0 |      0 |         0 
