                                 Task                                 |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    | d:bio  | d:swap | d:reclaim 
 49374 Thread 1 - main                                                |   668000 |   147000 |    49385931 |   6203688202 |  22117376 |   1024 |     9700155 |      0 |      0 |         0 
 49396 Thread 2 - Reference Handler                                   |     7000 |        0 |      871445 |     59127355 |         0 |      0 |      282207 |      0 |      0 |         0 
 49397 Thread 3 - Finalizer                                           |     6000 |        0 |      616070 |     49369832 |      5120 |      0 |     1203723 |      0 |      0 |         0 
 49398 Thread 4 - Surrogate Locker Thread (Concurrent GC)             |        0 |        0 |           0 |            0 |         0 |      0 |        5061 |      0 |      0 |         0 
 49399 Thread 5 - Signal Dispatcher                                   |        0 |        0 |           0 |            0 |         0 |      0 |       25923 |      0 |      0 |         0 
 49408 Thread 12 - RMI Scheduler(0)                                   |     1000 |        0 |      289160 |      9757523 |      4096 |      0 |      141579 |      0 |      0 |         0 
 49409 Thread 13 - RMI RenewClean-[10.231.182.152:42093]              |        0 |        0 |           0 |            0 |      1024 |      0 |        8183 |      0 |      0 |         0 
 49410 Thread 14 - GC Daemon                                          |        0 |        0 |           0 |            0 |         0 |      0 |           0 |      0 |      0 |         0 
 49412 Thread 15 - DecatonSubscriptionThread-decaton-benchmark        | 32921000 | 34900000 | 19589944574 | 660848976606 | 634775552 | 133120 | 21662122202 | 233946 |      0 |         0 
 49414 Thread 16 - kafka-coordinator-hear...hread | decaton-benchmark |   218000 |    52000 |    77633616 |   2633633421 |   8038400 |   5120 |    37416989 | 158861 |      0 |         0 
 49418 Thread 17 - PartitionProcessorThre...aa2-a889-09162ba5727b-1-0 |  1495000 |   508000 |   569374437 |  19525244149 |     34816 |      0 |  1763221785 |      0 |      0 |         0 
 49419 Thread 18 - PartitionProcessorThre...aa2-a889-09162ba5727b-1-1 |  1503000 |   541000 |   584725004 |  19940192625 |    121856 |      0 |  2070847739 |      0 |      0 |         0 
 49420 Thread 19 - PartitionProcessorThre...aa2-a889-09162ba5727b-1-2 |  1441000 |   455000 |   542710035 |  18500275532 |      3072 |      0 |  1782494084 |      0 |      0 |         0 
 49421 Thread 20 - PartitionProcessorThre...aa2-a889-09162ba5727b-1-3 |  1472000 |   459000 |   553414617 |  18845788844 |         0 |      0 |  1793017752 |      0 |      0 |         0 
 49422 Thread 21 - PartitionProcessorThre...aa2-a889-09162ba5727b-1-4 |  1431000 |   512000 |   556805547 |  18959688235 |         0 |      0 |  1861264017 |      0 |      0 |         0 
 49423 Thread 22 - PartitionProcessorThre...aa2-a889-09162ba5727b-1-5 |  1418000 |   473000 |   543153422 |  18454169626 |         0 |      0 |  1899137835 |      0 |      0 |         0 
 49424 Thread 23 - PartitionProcessorThre...aa2-a889-09162ba5727b-1-6 |  1410000 |   495000 |   547212531 |  18589610477 |         0 |      0 |  1661257653 |      0 |      0 |         0 
 49425 Thread 24 - PartitionProcessorThre...aa2-a889-09162ba5727b-1-7 |  1312000 |   482000 |   513405117 |  17508322942 |         0 |      0 |  1570731213 |      0 |      0 |         0 
 49426 Thread 25 - PartitionProcessorThre...aa2-a889-09162ba5727b-1-8 |  1424000 |   477000 |   543830672 |  18552879005 |      1024 |      0 |  1841273887 |      0 |      0 |         0 
