                                 Task                                 |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    |  d:bio  | d:swap | d:reclaim 
 18711 Thread 1 - main                                                |   567000 |    84000 |    41061639 |   4934256304 |  21055488 |   2048 |     4075145 |       0 |      0 |         0 
 18733 Thread 2 - Reference Handler                                   |     5000 |     1000 |      722609 |     47819222 |         0 |      0 |     1915566 |       0 |      0 |         0 
 18734 Thread 3 - Finalizer                                           |     3000 |     1000 |      575050 |     32986531 |      5120 |      0 |     3424253 |       0 |      0 |         0 
 18735 Thread 4 - Surrogate Locker Thread (Concurrent GC)             |        0 |        0 |           0 |            0 |         0 |      0 |           0 |       0 |      0 |         0 
 18736 Thread 5 - Signal Dispatcher                                   |     1000 |        0 |      305742 |      9755035 |         0 |      0 |           0 |       0 |      0 |         0 
 18746 Thread 11 - DecatonSubscriptionThread-decaton-benchmark        | 29835000 | 33220000 | 19119084273 | 614020264767 | 636215296 | 135168 | 19664031631 |   79209 |      0 |         0 
 18748 Thread 13 - kafka-coordinator-hear...hread | decaton-benchmark |   207000 |    58000 |    80037550 |   2583689820 |   6932480 |   5120 |    22002959 |  368481 |      0 |         0 
 18751 Thread 14 - PartitionProcessorThre...533-8c2f-d5687b0584d1-2-0 |  1334000 |   490000 |   552296164 |  17788313589 |     33792 |      0 |  1637379445 |       0 |      0 |         0 
 18752 Thread 15 - PartitionProcessorThre...533-8c2f-d5687b0584d1-2-1 |  1373000 |   422000 |   543847360 |  17510334839 |      6144 |      0 |  1561928012 |       0 |      0 |         0 
 18753 Thread 16 - PartitionProcessorThre...533-8c2f-d5687b0584d1-2-2 |  1276000 |   438000 |   520650208 |  16724310914 |      3072 |      0 |  1305407069 |       0 |      0 |         0 
 18754 Thread 17 - PartitionProcessorThre...533-8c2f-d5687b0584d1-2-3 |  1322000 |   481000 |   548021649 |  17593840050 |         0 |      0 |  1400278069 |       0 |      0 |         0 
 18755 Thread 18 - PartitionProcessorThre...533-8c2f-d5687b0584d1-2-4 |  1391000 |   457000 |   561704422 |  18032199851 |         0 |      0 |  1552176248 |       0 |      0 |         0 
 18756 Thread 19 - PartitionProcessorThre...533-8c2f-d5687b0584d1-2-5 |  1309000 |   441000 |   532038313 |  17076437343 |         0 |      0 |  1329632543 |       0 |      0 |         0 
 18757 Thread 20 - PartitionProcessorThre...533-8c2f-d5687b0584d1-2-6 |  1316000 |   422000 |   528407540 |  16958864613 |         0 |      0 |  1214365767 |       0 |      0 |         0 
 18758 Thread 21 - PartitionProcessorThre...533-8c2f-d5687b0584d1-2-7 |  1231000 |   446000 |   509035829 |  16362173179 |         0 |      0 |  1245023628 |       0 |      0 |         0 
 18759 Thread 22 - PartitionProcessorThre...533-8c2f-d5687b0584d1-2-8 |  1302000 |   448000 |   533071040 |  17076389441 |         0 |      0 |  1365917373 |       0 |      0 |         0 
 18760 Thread 23 - PartitionProcessorThre...533-8c2f-d5687b0584d1-2-9 |  1310000 |   455000 |   537335282 |  17222742816 |         0 |      0 |  1351939861 |       0 |      0 |         0 
 18761 Thread 24 - PartitionProcessorThre...33-8c2f-d5687b0584d1-2-10 |  1341000 |   502000 |   558991235 |  17982067472 |         0 |      0 |  1515026079 |       0 |      0 |         0 
 18762 Thread 25 - PartitionProcessorThre...33-8c2f-d5687b0584d1-2-11 |  1362000 |   436000 |   546711637 |  17542589738 |      1024 |      0 |  1446095843 |       0 |      0 |         0 
 18763 Thread 26 - PartitionProcessorThre...33-8c2f-d5687b0584d1-2-12 |  1302000 |   461000 |   533558555 |  17195433093 |    117760 |      0 |  1401447526 |       0 |      0 |         0 
 18764 Thread 27 - PartitionProcessorThre...33-8c2f-d5687b0584d1-2-13 |  1282000 |   483000 |   535016903 |  17220455484 |         0 |      0 |  1371422244 |       0 |      0 |         0 
 18765 Thread 28 - PartitionProcessorThre...33-8c2f-d5687b0584d1-2-14 |  1294000 |   439000 |   528624997 |  16911338355 |         0 |      0 |  1435663855 |       0 |      0 |         0 
 18766 Thread 29 - PartitionProcessorThre...33-8c2f-d5687b0584d1-2-15 |  1309000 |   438000 |   529066633 |  17044556328 |      9216 |      0 |  1388761029 |       0 |      0 |         0 
 18767 Thread 30 - PartitionProcessorThre...33-8c2f-d5687b0584d1-2-16 |  1403000 |   450000 |   562163219 |  18077504949 |     26624 |      0 |  1400985028 |       0 |      0 |         0 
 18768 Thread 31 - PartitionProcessorThre...33-8c2f-d5687b0584d1-2-17 |  1356000 |   504000 |   564554782 |  18147648285 |      3072 |      0 |  1567899337 |       0 |      0 |         0 
 18769 Thread 32 - PartitionProcessorThre...33-8c2f-d5687b0584d1-2-18 |  1286000 |   422000 |   517200829 |  16664326304 |     12288 |      0 |  1422859684 |       0 |      0 |         0 
 18770 Thread 33 - PartitionProcessorThre...33-8c2f-d5687b0584d1-2-19 |  1300000 |   439000 |   529405251 |  16968405523 |      1024 |      0 |  1428513525 |       0 |      0 |         0 
 18771 Thread 34 - PartitionProcessorThre...533-8c2f-d5687b0584d1-1-0 |  1310000 |   467000 |   542747419 |  17340422304 |         0 |      0 |  1403471312 |       0 |      0 |         0 
 18772 Thread 35 - PartitionProcessorThre...533-8c2f-d5687b0584d1-1-1 |  1294000 |   446000 |   530413153 |  16979158792 |         0 |      0 |  1298044571 |       0 |      0 |         0 
 18773 Thread 36 - PartitionProcessorThre...533-8c2f-d5687b0584d1-1-2 |  1381000 |   434000 |   553956180 |  17710852492 |         0 |      0 |  1342771687 |       0 |      0 |         0 
 18774 Thread 37 - PartitionProcessorThre...533-8c2f-d5687b0584d1-1-3 |  1323000 |   473000 |   547134762 |  17525312859 |         0 |      0 |  1425020989 |       0 |      0 |         0 
 18775 Thread 38 - PartitionProcessorThre...533-8c2f-d5687b0584d1-1-4 |  1275000 |   420000 |   516051044 |  16539392050 |         0 |      0 |  1421358519 |       0 |      0 |         0 
 18776 Thread 39 - PartitionProcessorThre...533-8c2f-d5687b0584d1-1-5 |  1296000 |   460000 |   534939778 |  17134039789 |         0 |      0 |  1436127657 |       0 |      0 |         0 
 18777 Thread 40 - PartitionProcessorThre...533-8c2f-d5687b0584d1-1-6 |  1302000 |   470000 |   540459938 |  17291547890 |         0 |      0 |  1497368061 |       0 |      0 |         0 
 18778 Thread 41 - PartitionProcessorThre...533-8c2f-d5687b0584d1-1-7 |  1309000 |   443000 |   534582004 |  17095495597 |         0 |      0 |  1567846537 | 1405673 |      0 |         0 
 18779 Thread 42 - PartitionProcessorThre...533-8c2f-d5687b0584d1-1-8 |  1301000 |   449000 |   534098836 |  17076937886 |         0 |      0 |  1275532340 |       0 |      0 |         0 
 18780 Thread 43 - PartitionProcessorThre...533-8c2f-d5687b0584d1-1-9 |  1380000 |   475000 |   565687551 |  18101027335 |         0 |      0 |  1418253845 |       0 |      0 |         0 
