                                 Task                                 |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    | d:bio  | d:swap | d:reclaim 
 16167 Thread 1 - main                                                |   630000 |    81000 |    43705053 |   5390737733 |  21046272 |   1024 |     7574977 |      0 |      0 |         0 
 16189 Thread 2 - Reference Handler                                   |     6000 |        0 |      782042 |     48659687 |         0 |      0 |      232269 |      0 |      0 |         0 
 16190 Thread 3 - Finalizer                                           |     4000 |     2000 |      721363 |     47779406 |     13312 |      0 |      539387 |      0 |      0 |         0 
 16191 Thread 4 - Surrogate Locker Thread (Concurrent GC)             |        0 |        0 |           0 |            0 |         0 |      0 |           0 |      0 |      0 |         0 
 16192 Thread 5 - Signal Dispatcher                                   |        0 |     1000 |       29996 |      7319125 |         0 |      0 |       14405 |      0 |      0 |         0 
 16201 Thread 11 - DecatonSubscriptionThread-decaton-benchmark        | 27071000 | 29111000 | 16821845340 | 546806803373 | 585973760 | 130048 | 16738557992 | 167348 |      0 |         0 
 16203 Thread 13 - kafka-coordinator-hear...hread | decaton-benchmark |   198000 |    40000 |    71262214 |   2318300261 |   5856256 |   4096 |    19183693 | 230910 |      0 |         0 
 16206 Thread 14 - PartitionProcessorThre...f2e-add7-6eb89dbed3be-0-0 |  1174000 |   389000 |   461106067 |  15218184851 |     33792 |      0 |  1475441795 |      0 |      0 |         0 
 16207 Thread 15 - PartitionProcessorThre...f2e-add7-6eb89dbed3be-0-1 |  1248000 |   454000 |   506847825 |  16595634062 |      3072 |      0 |  1529921157 |      0 |      0 |         0 
 16208 Thread 16 - PartitionProcessorThre...f2e-add7-6eb89dbed3be-0-2 |  1347000 |   375000 |   511326766 |  16788829171 |      7168 |      0 |  1538293181 |      0 |      0 |         0 
 16209 Thread 17 - PartitionProcessorThre...f2e-add7-6eb89dbed3be-0-3 |  1273000 |   386000 |   491260336 |  16173728488 |    117760 |      0 |  1645411065 |      0 |      0 |         0 
 16210 Thread 18 - PartitionProcessorThre...f2e-add7-6eb89dbed3be-0-4 |  1271000 |   379000 |   489959165 |  16089137062 |      1024 |      0 |  1619728261 |      0 |      0 |         0 
 16211 Thread 19 - PartitionProcessorThre...f2e-add7-6eb89dbed3be-0-5 |  1207000 |   370000 |   468937118 |  15381214433 |         0 |      0 |  1413978033 |      0 |      0 |         0 
 16212 Thread 20 - PartitionProcessorThre...f2e-add7-6eb89dbed3be-0-6 |  1233000 |   391000 |   482268961 |  15839977328 |         0 |      0 |  1608290380 |      0 |      0 |         0 
 16213 Thread 21 - PartitionProcessorThre...f2e-add7-6eb89dbed3be-0-7 |  1224000 |   401000 |   482823540 |  15848482980 |         0 |      0 |  1431153955 |      0 |      0 |         0 
 16214 Thread 22 - PartitionProcessorThre...f2e-add7-6eb89dbed3be-0-8 |  1195000 |   431000 |   484889555 |  15861723800 |         0 |      0 |  1556903074 |      0 |      0 |         0 
 16215 Thread 23 - PartitionProcessorThre...f2e-add7-6eb89dbed3be-0-9 |  1248000 |   428000 |   498689852 |  16347225828 |  10831872 |      0 |  1393972973 |      0 |      0 |         0 
 16216 Thread 24 - PartitionProcessorThre...2e-add7-6eb89dbed3be-0-10 |  1315000 |   374000 |   502043934 |  16475421679 |         0 |      0 |  1475770125 |      0 |      0 |         0 
 16217 Thread 25 - PartitionProcessorThre...2e-add7-6eb89dbed3be-0-11 |  1315000 |   389000 |   505262723 |  16618268769 |         0 |      0 |  1372779125 |      0 |      0 |         0 
 16218 Thread 26 - PartitionProcessorThre...2e-add7-6eb89dbed3be-0-12 |  1290000 |   403000 |   504286961 |  16513637628 |         0 |      0 |  1551344745 |      0 |      0 |         0 
 16219 Thread 27 - PartitionProcessorThre...2e-add7-6eb89dbed3be-0-13 |  1150000 |   409000 |   464542196 |  15207523246 |         0 |      0 |  1565598015 |      0 |      0 |         0 
 16220 Thread 28 - PartitionProcessorThre...2e-add7-6eb89dbed3be-0-14 |  1157000 |   388000 |   458254672 |  15068350374 |         0 |      0 |  1260982276 |      0 |      0 |         0 
 16221 Thread 29 - PartitionProcessorThre...2e-add7-6eb89dbed3be-0-15 |  1259000 |   408000 |   497623524 |  16260436554 |         0 |      0 |  1565404545 |      0 |      0 |         0 
 16222 Thread 30 - PartitionProcessorThre...2e-add7-6eb89dbed3be-0-16 |  1192000 |   400000 |   474492157 |  15529884554 |         0 |      0 |  1538317490 |      0 |      0 |         0 
 16223 Thread 31 - PartitionProcessorThre...2e-add7-6eb89dbed3be-0-17 |  1238000 |   404000 |   486859766 |  16014955499 |     37888 |      0 |  1493424956 |      0 |      0 |         0 
 16224 Thread 32 - PartitionProcessorThre...2e-add7-6eb89dbed3be-0-18 |  1172000 |   441000 |   476916930 |  15733258464 |         0 |      0 |  1515799530 |      0 |      0 |         0 
 16225 Thread 33 - PartitionProcessorThre...2e-add7-6eb89dbed3be-0-19 |  1152000 |   382000 |   457052208 |  14963441519 |         0 |      0 |  1513123567 |      0 |      0 |         0 
 16226 Thread 34 - PartitionProcessorThre...f2e-add7-6eb89dbed3be-2-0 |  1189000 |   404000 |   479336071 |  15539983152 |         0 |      0 |  1493870713 |      0 |      0 |         0 
