                                 Task                                  |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    |  d:bio  | d:swap | d:reclaim 
 112338 Thread 1 - main                                                |   565000 |    84000 |    39987221 |   4914299600 |  21193728 |   1024 |     7786630 |       0 |      0 |         0 
 112360 Thread 2 - Reference Handler                                   |     6000 |     1000 |      607453 |     53463550 |         0 |      0 |      869425 |       0 |      0 |         0 
 112361 Thread 3 - Finalizer                                           |     5000 |        0 |      463726 |     38630859 |     13312 |      0 |     3638542 |       0 |      0 |         0 
 112362 Thread 4 - Surrogate Locker Thread (Concurrent GC)             |        0 |        0 |           0 |            0 |         0 |      0 |           0 |       0 |      0 |         0 
 112363 Thread 5 - Signal Dispatcher                                   |        0 |        0 |           0 |            0 |         0 |      0 |           0 |       0 |      0 |         0 
 112374 Thread 11 - DecatonSubscriptionThread-decaton-benchmark        | 30239000 | 32901000 | 18731424359 | 614870634685 | 636208128 | 121856 | 19736085426 |   77767 |      0 |         0 
 112375 Thread 13 - kafka-coordinator-hear...hread | decaton-benchmark |   175000 |    45000 |    64657776 |   2143264003 |   6784000 |   4096 |    24661035 |  270160 |      0 |         0 
 112378 Thread 14 - PartitionProcessorThre...157-a6c5-805dc0b67238-1-0 |  1306000 |   429000 |   513451172 |  16918415363 |     40960 |      0 |  1208938140 |       0 |      0 |         0 
 112379 Thread 15 - PartitionProcessorThre...157-a6c5-805dc0b67238-1-1 |  1236000 |   458000 |   501137235 |  16529455019 |         0 |      0 |  1158208349 |       0 |      0 |         0 
 112380 Thread 16 - PartitionProcessorThre...157-a6c5-805dc0b67238-1-2 |  1311000 |   492000 |   531235309 |  17576355855 |    124928 |      0 |  1279443037 |       0 |      0 |         0 
 112381 Thread 17 - PartitionProcessorThre...157-a6c5-805dc0b67238-1-3 |  1281000 |   479000 |   522398555 |  17173039808 |         0 |      0 |  1255020558 |       0 |      0 |         0 
 112382 Thread 18 - PartitionProcessorThre...157-a6c5-805dc0b67238-1-4 |  1340000 |   500000 |   546380719 |  17952678382 |         0 |      0 |  1310569198 |       0 |      0 |         0 
 112383 Thread 19 - PartitionProcessorThre...157-a6c5-805dc0b67238-1-5 |  1311000 |   506000 |   539629512 |  17729069472 |         0 |      0 |  1296925987 |       0 |      0 |         0 
