                                 Task                                  |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    | d:bio  | d:swap | d:reclaim 
 109899 Thread 1 - main                                                |   608000 |    65000 |    41789154 |   5122006300 |  21193728 |   1024 |     3796732 |      0 |      0 |         0 
 109921 Thread 2 - Reference Handler                                   |     4000 |     1000 |      435910 |     38066410 |         0 |      0 |     2723504 |      0 |      0 |         0 
 109922 Thread 3 - Finalizer                                           |     4000 |        0 |      406117 |     31070296 |     13312 |      0 |     2070796 |      0 |      0 |         0 
 109923 Thread 4 - Surrogate Locker Thread (Concurrent GC)             |        0 |        0 |           0 |            0 |         0 |      0 |           0 |      0 |      0 |         0 
 109924 Thread 5 - Signal Dispatcher                                   |        0 |        0 |           0 |            0 |         0 |      0 |           0 |      0 |      0 |         0 
 109934 Thread 11 - DecatonSubscriptionThread-decaton-benchmark        | 26502000 | 29158000 | 16377270110 | 541762024275 | 584993792 | 119808 | 16123819255 | 964790 |      0 |         0 
 109935 Thread 13 - kafka-coordinator-hear...hread | decaton-benchmark |   169000 |    49000 |    64383085 |   2127192964 |   6708224 |   5120 |    18324716 | 767679 |      0 |         0 
 109938 Thread 14 - PartitionProcessorThre...64a-a9fa-09b34c399ccc-1-0 |  1245000 |   380000 |   475896102 |  15845560046 |     33792 |      0 |  1265185705 |      0 |      0 |         0 
 109939 Thread 15 - PartitionProcessorThre...64a-a9fa-09b34c399ccc-1-1 |  1211000 |   381000 |   466742172 |  15525353574 |    118784 |      0 |  1325833646 |      0 |      0 |         0 
 109940 Thread 16 - PartitionProcessorThre...64a-a9fa-09b34c399ccc-1-2 |  1196000 |   418000 |   472958223 |  15741832640 |         0 |      0 |  1491273593 |      0 |      0 |         0 
 109941 Thread 17 - PartitionProcessorThre...64a-a9fa-09b34c399ccc-1-3 |  1255000 |   407000 |   486335789 |  16212449207 |         0 |      0 |  1373232789 |      0 |      0 |         0 
 109942 Thread 18 - PartitionProcessorThre...64a-a9fa-09b34c399ccc-1-4 |  1199000 |   385000 |   463796602 |  15442460382 |      5120 |      0 |  1402696601 |      0 |      0 |         0 
 109943 Thread 19 - PartitionProcessorThre...64a-a9fa-09b34c399ccc-1-5 |  1204000 |   448000 |   485184250 |  16114701281 |  10831872 |      0 |  1449746783 |      0 |      0 |         0 
 109944 Thread 20 - PartitionProcessorThre...64a-a9fa-09b34c399ccc-1-6 |  1242000 |   394000 |   478429262 |  15955338261 |         0 |      0 |  1487933639 |   3834 |      0 |         0 
 109945 Thread 21 - PartitionProcessorThre...64a-a9fa-09b34c399ccc-1-7 |  1231000 |   418000 |   484867926 |  16084473124 |         0 |      0 |  1584266539 |      0 |      0 |         0 
 109946 Thread 22 - PartitionProcessorThre...64a-a9fa-09b34c399ccc-1-8 |  1203000 |   432000 |   479419446 |  15949843281 |         0 |      0 |  1297900161 |      0 |      0 |         0 
 109947 Thread 23 - PartitionProcessorThre...64a-a9fa-09b34c399ccc-1-9 |  1202000 |   380000 |   462807442 |  15430570800 |         0 |      0 |  1331321266 |      0 |      0 |         0 
 109948 Thread 24 - PartitionProcessorThre...4a-a9fa-09b34c399ccc-1-10 |  1247000 |   395000 |   482791399 |  16015770214 |         0 |      0 |  1666029479 |      0 |      0 |         0 
 109949 Thread 25 - PartitionProcessorThre...4a-a9fa-09b34c399ccc-1-11 |  1196000 |   390000 |   463977993 |  15470968929 |         0 |      0 |  1502236720 |      0 |      0 |         0 
 109950 Thread 26 - PartitionProcessorThre...4a-a9fa-09b34c399ccc-1-12 |  1174000 |   390000 |   458736778 |  15254498406 |         0 |      0 |  1492444747 |      0 |      0 |         0 
 109951 Thread 27 - PartitionProcessorThre...4a-a9fa-09b34c399ccc-1-13 |  1279000 |   387000 |   488504739 |  16245546792 |     46080 |      0 |  1617717985 |      0 |      0 |         0 
 109952 Thread 28 - PartitionProcessorThre...4a-a9fa-09b34c399ccc-1-14 |  1213000 |   369000 |   466573864 |  15432411300 |         0 |      0 |  1578390831 |      0 |      0 |         0 
 109953 Thread 29 - PartitionProcessorThre...4a-a9fa-09b34c399ccc-1-15 |  1255000 |   391000 |   483887676 |  16054190687 |      1024 |      0 |  1531847306 |      0 |      0 |         0 
 109954 Thread 30 - PartitionProcessorThre...4a-a9fa-09b34c399ccc-1-16 |  1146000 |   395000 |   452742317 |  15030453003 |         0 |      0 |  1359000748 |      0 |      0 |         0 
 109955 Thread 31 - PartitionProcessorThre...4a-a9fa-09b34c399ccc-1-17 |  1221000 |   445000 |   489067860 |  16250558425 |      1024 |      0 |  1491992454 |      0 |      0 |         0 
 109956 Thread 32 - PartitionProcessorThre...4a-a9fa-09b34c399ccc-1-18 |  1177000 |   429000 |   471750145 |  15665289675 |         0 |      0 |  1399838826 |      0 |      0 |         0 
 109957 Thread 33 - PartitionProcessorThre...4a-a9fa-09b34c399ccc-1-19 |  1135000 |   432000 |   460356223 |  15284812800 |         0 |      0 |  1360386334 |      0 |      0 |         0 
 109958 Thread 34 - PartitionProcessorThre...64a-a9fa-09b34c399ccc-0-0 |  1232000 |   372000 |   475152348 |  15647132429 |         0 |      0 |  1313504537 |      0 |      0 |         0 
 109959 Thread 35 - PartitionProcessorThre...64a-a9fa-09b34c399ccc-0-1 |  1186000 |   426000 |   476819899 |  15725568257 |         0 |      0 |  1319147887 |      0 |      0 |         0 
 109960 Thread 36 - PartitionProcessorThre...64a-a9fa-09b34c399ccc-0-2 |  1284000 |   424000 |   506605602 |  16662085781 |         0 |      0 |  1475334576 |      0 |      0 |         0 
 109961 Thread 37 - PartitionProcessorThre...64a-a9fa-09b34c399ccc-0-3 |  1137000 |   407000 |   457305247 |  15062203675 |         0 |      0 |  1401892399 |      0 |      0 |         0 
 109962 Thread 38 - PartitionProcessorThre...64a-a9fa-09b34c399ccc-0-4 |  1165000 |   436000 |   472606520 |  15618005703 |         0 |      0 |  1428473009 |      0 |      0 |         0 
 109963 Thread 39 - PartitionProcessorThre...64a-a9fa-09b34c399ccc-0-5 |  1069000 |   407000 |   437033016 |  14398791781 |         0 |      0 |  1223174523 |      0 |      0 |         0 
 109964 Thread 40 - PartitionProcessorThre...64a-a9fa-09b34c399ccc-0-6 |  1133000 |   442000 |   466851399 |  15364519296 |         0 |      0 |  1402831047 |      0 |      0 |         0 
 109965 Thread 41 - PartitionProcessorThre...64a-a9fa-09b34c399ccc-0-7 |  1277000 |   454000 |   513356352 |  16886620218 |         0 |      0 |  1434557875 |      0 |      0 |         0 
 109966 Thread 42 - PartitionProcessorThre...64a-a9fa-09b34c399ccc-0-8 |  1215000 |   423000 |   485603262 |  15979100562 |         0 |      0 |  1276205377 |      0 |      0 |         0 
 109967 Thread 43 - PartitionProcessorThre...64a-a9fa-09b34c399ccc-0-9 |  1207000 |   402000 |   476050266 |  15696150839 |         0 |      0 |  1345199642 |      0 |      0 |         0 
 109968 Thread 44 - PartitionProcessorThre...4a-a9fa-09b34c399ccc-0-10 |  1142000 |   443000 |   469197450 |  15462425746 |         0 |      0 |  1443852409 |      0 |      0 |         0 
 109969 Thread 45 - PartitionProcessorThre...4a-a9fa-09b34c399ccc-0-11 |  1250000 |   397000 |   488447176 |  16067167675 |         0 |      0 |  1337746456 |      0 |      0 |         0 
 109970 Thread 46 - PartitionProcessorThre...4a-a9fa-09b34c399ccc-0-12 |  1141000 |   402000 |   456910176 |  15052633015 |         0 |      0 |  1345913371 |      0 |      0 |         0 
 109971 Thread 47 - PartitionProcessorThre...4a-a9fa-09b34c399ccc-0-13 |  1155000 |   410000 |   463881333 |  15266940046 |         0 |      0 |  1305145320 |      0 |      0 |         0 
 109972 Thread 48 - PartitionProcessorThre...4a-a9fa-09b34c399ccc-0-14 |  1166000 |   415000 |   467899247 |  15423160042 |         0 |      0 |  1419484499 |      0 |      0 |         0 
 109973 Thread 49 - PartitionProcessorThre...4a-a9fa-09b34c399ccc-0-15 |  1152000 |   407000 |   461847977 |  15208618453 |         0 |      0 |  1384675590 |      0 |      0 |         0 
 109974 Thread 50 - PartitionProcessorThre...4a-a9fa-09b34c399ccc-0-16 |  1160000 |   393000 |   460373114 |  15150059281 |         0 |      0 |  1334909251 |      0 |      0 |         0 
 109975 Thread 51 - PartitionProcessorThre...4a-a9fa-09b34c399ccc-0-17 |  1159000 |   401000 |   461755587 |  15218342085 |         0 |      0 |  1375757791 |      0 |      0 |         0 
 109976 Thread 52 - PartitionProcessorThre...4a-a9fa-09b34c399ccc-0-18 |  1156000 |   430000 |   469371278 |  15472237898 |         0 |      0 |  1449474209 |      0 |      0 |         0 
 109977 Thread 53 - PartitionProcessorThre...4a-a9fa-09b34c399ccc-0-19 |  1211000 |   413000 |   480702407 |  15842740617 |         0 |      0 |  1281128581 |      0 |      0 |         0 
 109978 Thread 54 - PartitionProcessorThre...64a-a9fa-09b34c399ccc-2-0 |  1172000 |   365000 |   456335184 |  14993959179 |         0 |      0 |  1397557835 |      0 |      0 |         0 
 109979 Thread 55 - PartitionProcessorThre...64a-a9fa-09b34c399ccc-2-1 |  1052000 |   414000 |   435985872 |  14301923750 |         0 |      0 |  1461658280 |      0 |      0 |         0 
