                                 Task                                  |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    | d:bio  | d:swap | d:reclaim 
 144564 Thread 1 - main                                                |   842000 |   148000 |    65747935 |   7620844505 |  34260992 |   1024 |     6916756 |      0 |      0 |         0 
 144586 Thread 2 - Reference Handler                                   |     8000 |        0 |     1083476 |     68884847 |         0 |      0 |      842384 |      0 |      0 |         0 
 144587 Thread 3 - Finalizer                                           |     7000 |     1000 |      960148 |     66219656 |      5120 |      0 |     1463275 |      0 |      0 |         0 
 144588 Thread 4 - Surrogate Locker Thread (Concurrent GC)             |        0 |        0 |           0 |            0 |         0 |      0 |           0 |      0 |      0 |         0 
 144589 Thread 5 - Signal Dispatcher                                   |        0 |        0 |           0 |            0 |         0 |      0 |           0 |      0 |      0 |         0 
 144598 Thread 12 - RMI Scheduler(0)                                   |     3000 |        0 |      637410 |     27276273 |      4096 |      0 |      167889 |      0 |      0 |         0 
 144599 Thread 13 - RMI RenewClean-[10.231.182.152:41809]              |        0 |     1000 |       75355 |      7826238 |      1024 |      0 |           0 |      0 |      0 |         0 
 144600 Thread 14 - GC Daemon                                          |     1000 |        0 |       75613 |      7893242 |         0 |      0 |           0 |      0 |      0 |         0 
 144602 Thread 15 - DecatonSubscriptionThread-decaton-benchmark        | 28405000 | 34391000 | 17828312804 | 612001802139 | 623598592 | 130048 | 21672218218 | 522699 |      0 |         0 
 144604 Thread 16 - kafka-coordinator-hear...hread | decaton-benchmark |   219000 |    61000 |    77460983 |   2722617139 |   7384064 |   5120 |    31130133 | 631537 |      0 |         0 
 144608 Thread 17 - PartitionProcessorThre...dec-b69e-83d152bd4bf5-2-0 |  1297000 |   453000 |   494265379 |  17048213936 |     36864 |      0 |  1916834866 |      0 |      0 |         0 
 144609 Thread 18 - PartitionProcessorThre...dec-b69e-83d152bd4bf5-2-1 |  1369000 |   492000 |   527554895 |  18154178099 |         0 |      0 |  1996496551 |      0 |      0 |         0 
 144610 Thread 19 - PartitionProcessorThre...dec-b69e-83d152bd4bf5-2-2 |  1389000 |   415000 |   510856219 |  17597885064 |         0 |      0 |  1755186274 |      0 |      0 |         0 
 144611 Thread 20 - PartitionProcessorThre...dec-b69e-83d152bd4bf5-2-3 |  1394000 |   475000 |   529377535 |  18227161885 |      4096 |      0 |  1537907666 |      0 |      0 |         0 
 144612 Thread 21 - PartitionProcessorThre...dec-b69e-83d152bd4bf5-2-4 |  1393000 |   455000 |   525579082 |  18030547400 |         0 |      0 |  1587098850 |      0 |      0 |         0 
 144613 Thread 22 - PartitionProcessorThre...dec-b69e-83d152bd4bf5-2-5 |  1347000 |   451000 |   509582950 |  17535502193 |         0 |      0 |  1817380736 |      0 |      0 |         0 
 144614 Thread 23 - PartitionProcessorThre...dec-b69e-83d152bd4bf5-2-6 |  1363000 |   465000 |   517673344 |  17827932865 |         0 |      0 |  1768550650 |      0 |      0 |         0 
 144615 Thread 24 - PartitionProcessorThre...dec-b69e-83d152bd4bf5-2-7 |  1347000 |   484000 |   521061824 |  17863893178 |         0 |      0 |  1583877550 |      0 |      0 |         0 
 144616 Thread 25 - PartitionProcessorThre...dec-b69e-83d152bd4bf5-2-8 |  1332000 |   481000 |   514391961 |  17685345623 |         0 |      0 |  1685533237 |      0 |      0 |         0 
 144617 Thread 26 - PartitionProcessorThre...dec-b69e-83d152bd4bf5-2-9 |  1428000 |   491000 |   545541360 |  18724025263 |         0 |      0 |  1825617030 |      0 |      0 |         0 
 144618 Thread 27 - PartitionProcessorThre...ec-b69e-83d152bd4bf5-2-10 |  1381000 |   506000 |   535603043 |  18408714865 |         0 |      0 |  1899390820 |      0 |      0 |         0 
