                                 Task                                 |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    |  d:bio  | d:swap | d:reclaim 
 80627 Thread 1 - main                                                |   609000 |    80000 |    41069705 |   5220187541 |  21203968 |   1024 |     7193107 |       0 |      0 |         0 
 80649 Thread 2 - Reference Handler                                   |     4000 |     1000 |      716859 |     40854675 |         0 |      0 |      908331 |       0 |      0 |         0 
 80650 Thread 3 - Finalizer                                           |     6000 |        0 |      603316 |     46603499 |      5120 |      0 |      906361 |       0 |      0 |         0 
 80651 Thread 4 - Surrogate Locker Thread (Concurrent GC)             |        0 |        0 |           0 |            0 |         0 |      0 |        3845 |       0 |      0 |         0 
 80652 Thread 5 - Signal Dispatcher                                   |     1000 |        0 |       31214 |      7228289 |         0 |      0 |           0 |       0 |      0 |         0 
 80666 Thread 11 - DecatonSubscriptionThread-decaton-benchmark        | 29521000 | 32783000 | 18684030972 | 606697917359 | 636273664 | 126976 | 19632510746 |   99748 |      0 |         0 
 80668 Thread 13 - kafka-coordinator-hear...hread | decaton-benchmark |   182000 |    57000 |    71038714 |   2325971784 |   6676480 |   5120 |    32358716 |  228178 |      0 |         0 
 80671 Thread 14 - PartitionProcessorThre...db8-8d84-37d06e694ca9-1-0 |  1436000 |   432000 |   558145913 |  18215998982 |     32768 |      0 |  1615312148 |       0 |      0 |         0 
 80672 Thread 15 - PartitionProcessorThre...db8-8d84-37d06e694ca9-1-1 |  1313000 |   439000 |   522573527 |  17088878072 |         0 |      0 |  1410875220 |       0 |      0 |         0 
 80673 Thread 16 - PartitionProcessorThre...db8-8d84-37d06e694ca9-1-2 |  1328000 |   480000 |   540235804 |  17635391435 |      4096 |      0 |  1583915877 |       0 |      0 |         0 
 80674 Thread 17 - PartitionProcessorThre...db8-8d84-37d06e694ca9-1-3 |  1306000 |   496000 |   537794242 |  17579361142 |         0 |      0 |  1360537254 |       0 |      0 |         0 
 80675 Thread 18 - PartitionProcessorThre...db8-8d84-37d06e694ca9-1-4 |  1357000 |   462000 |   541553664 |  17742762978 |     57344 |      0 |  1660741440 |       0 |      0 |         0 
 80676 Thread 19 - PartitionProcessorThre...db8-8d84-37d06e694ca9-1-5 |  1244000 |   446000 |   503338918 |  16486384263 |         0 |      0 |  1660240165 |       0 |      0 |         0 
 80677 Thread 20 - PartitionProcessorThre...db8-8d84-37d06e694ca9-1-6 |  1288000 |   483000 |   529271082 |  17276839001 |      5120 |      0 |  1610952074 |       0 |      0 |         0 
 80678 Thread 21 - PartitionProcessorThre...db8-8d84-37d06e694ca9-1-7 |  1282000 |   457000 |   516856754 |  16965254036 |         0 |      0 |  1567331702 |       0 |      0 |         0 
 80679 Thread 22 - PartitionProcessorThre...db8-8d84-37d06e694ca9-1-8 |  1295000 |   436000 |   513835043 |  16887754079 |         0 |      0 |  1569220782 |       0 |      0 |         0 
 80680 Thread 23 - PartitionProcessorThre...db8-8d84-37d06e694ca9-1-9 |  1290000 |   458000 |   520403828 |  17053437345 |      1024 |      0 |  1396773905 |       0 |      0 |         0 
 80681 Thread 24 - PartitionProcessorThre...b8-8d84-37d06e694ca9-1-10 |  1225000 |   430000 |   491591754 |  16146942165 |         0 |      0 |  1391520886 |       0 |      0 |         0 
 80682 Thread 25 - PartitionProcessorThre...b8-8d84-37d06e694ca9-1-11 |  1232000 |   468000 |   506791519 |  16585532040 |         0 |      0 |  1552131526 |       0 |      0 |         0 
 80683 Thread 26 - PartitionProcessorThre...b8-8d84-37d06e694ca9-1-12 |  1285000 |   473000 |   524336414 |  17151173489 |         0 |      0 |  1438667321 |       0 |      0 |         0 
 80684 Thread 27 - PartitionProcessorThre...b8-8d84-37d06e694ca9-1-13 |  1317000 |   417000 |   516400402 |  16912762400 |     67584 |      0 |  1544244216 |       0 |      0 |         0 
 80685 Thread 28 - PartitionProcessorThre...b8-8d84-37d06e694ca9-1-14 |  1283000 |   459000 |   517309066 |  16995358693 |         0 |      0 |  1554395734 |       0 |      0 |         0 
 80686 Thread 29 - PartitionProcessorThre...b8-8d84-37d06e694ca9-1-15 |  1409000 |   463000 |   558533761 |  18264052083 |     36864 |      0 |  1643364390 |       0 |      0 |         0 
 80687 Thread 30 - PartitionProcessorThre...b8-8d84-37d06e694ca9-1-16 |  1273000 |   481000 |   523490304 |  17111974974 |         0 |      0 |  1742366684 |       0 |      0 |         0 
 80688 Thread 31 - PartitionProcessorThre...b8-8d84-37d06e694ca9-1-17 |  1290000 |   467000 |   524898332 |  17143446790 |         0 |      0 |  1799519715 |       0 |      0 |         0 
