                                 Task                                 |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    | d:bio  | d:swap | d:reclaim 
 78160 Thread 1 - main                                                |   615000 |    94000 |    42882643 |   5374571326 |  21203968 |   1024 |     9044312 |      0 |      0 |         0 
 78182 Thread 2 - Reference Handler                                   |     8000 |     1000 |     1247632 |     73703902 |         0 |      0 |     8684472 |      0 |      0 |         0 
 78183 Thread 3 - Finalizer                                           |     7000 |     1000 |      676582 |     61224855 |      5120 |      0 |      342643 |      0 |      0 |         0 
 78184 Thread 4 - Surrogate Locker Thread (Concurrent GC)             |        0 |        0 |           0 |            0 |         0 |      0 |       12815 |      0 |      0 |         0 
 78185 Thread 5 - Signal Dispatcher                                   |        0 |        0 |           0 |            0 |         0 |      0 |           0 |      0 |      0 |         0 
 78194 Thread 11 - DecatonSubscriptionThread-decaton-benchmark        | 26968000 | 29889000 | 16703427645 | 553462221226 | 586119168 | 128000 | 18081194719 | 157599 |      0 |         0 
 78195 Thread 13 - kafka-coordinator-hear...hread | decaton-benchmark |   171000 |    36000 |    59646261 |   2009030265 |   5602304 |   5120 |    24590610 | 352777 |      0 |         0 
 78198 Thread 14 - PartitionProcessorThre...ecf-a625-485559eeca47-0-0 |  1306000 |   444000 |   509831180 |  17044033361 |    156672 |      0 |  1553006794 |      0 |      0 |         0 
 78199 Thread 15 - PartitionProcessorThre...ecf-a625-485559eeca47-0-1 |  1211000 |   431000 |   480671497 |  16008272759 |         0 |      0 |  1589725389 |      0 |      0 |         0 
 78200 Thread 16 - PartitionProcessorThre...ecf-a625-485559eeca47-0-2 |  1257000 |   413000 |   490480239 |  16281006943 |      3072 |      0 |  1540154806 |      0 |      0 |         0 
 78201 Thread 17 - PartitionProcessorThre...ecf-a625-485559eeca47-0-3 |  1188000 |   406000 |   466484774 |  15543689701 |         0 |      0 |  1240794017 |      0 |      0 |         0 
 78202 Thread 18 - PartitionProcessorThre...ecf-a625-485559eeca47-0-4 |  1262000 |   402000 |   487470762 |  16225145869 |         0 |      0 |  1463496538 |      0 |      0 |         0 
 78203 Thread 19 - PartitionProcessorThre...ecf-a625-485559eeca47-0-5 |  1257000 |   412000 |   489577989 |  16270858107 |         0 |      0 |  1637901562 |      0 |      0 |         0 
 78204 Thread 20 - PartitionProcessorThre...ecf-a625-485559eeca47-0-6 |  1176000 |   417000 |   467666688 |  15536733470 |         0 |      0 |  1218630244 |      0 |      0 |         0 
 78205 Thread 21 - PartitionProcessorThre...ecf-a625-485559eeca47-0-7 |  1165000 |   402000 |   456931762 |  15284476169 |         0 |      0 |  1376791297 |      0 |      0 |         0 
 78206 Thread 22 - PartitionProcessorThre...ecf-a625-485559eeca47-0-8 |  1192000 |   425000 |   473233665 |  15770887197 |         0 |      0 |  1476328652 |      0 |      0 |         0 
 78207 Thread 23 - PartitionProcessorThre...ecf-a625-485559eeca47-0-9 |  1218000 |   462000 |   491548805 |  16387515872 |         0 |      0 |  1470143285 |      0 |      0 |         0 
 78208 Thread 24 - PartitionProcessorThre...cf-a625-485559eeca47-0-10 |  1254000 |   435000 |   496175997 |  16473155896 |         0 |      0 |  1599569585 |      0 |      0 |         0 
 78209 Thread 25 - PartitionProcessorThre...cf-a625-485559eeca47-0-11 |  1178000 |   385000 |   456369848 |  15245403841 |         0 |      0 |  1385540245 |      0 |      0 |         0 
 78210 Thread 26 - PartitionProcessorThre...cf-a625-485559eeca47-0-12 |  1195000 |   394000 |   464936524 |  15495537615 |     43008 |      0 |  1239516239 |      0 |      0 |         0 
 78211 Thread 27 - PartitionProcessorThre...cf-a625-485559eeca47-0-13 |  1254000 |   455000 |   502067020 |  16670266095 |         0 |      0 |  1423303074 |      0 |      0 |         0 
 78212 Thread 28 - PartitionProcessorThre...cf-a625-485559eeca47-0-14 |  1139000 |   414000 |   456139770 |  15148084517 |         0 |      0 |  1403908860 |      0 |      0 |         0 
 78213 Thread 29 - PartitionProcessorThre...cf-a625-485559eeca47-0-15 |  1265000 |   381000 |   483102852 |  16056012021 |         0 |      0 |  1294006217 |      0 |      0 |         0 
 78214 Thread 30 - PartitionProcessorThre...cf-a625-485559eeca47-0-16 |  1266000 |   414000 |   488378278 |  16385377904 |         0 |      0 |  1445929571 |      0 |      0 |         0 
