                                 Task                                  |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    | d:bio  | d:swap | d:reclaim 
 138684 Thread 1 - main                                                |   852000 |   144000 |    65934787 |   7637663962 |  34336768 |   1024 |     7443100 |      0 |      0 |         0 
 138706 Thread 2 - Reference Handler                                   |     5000 |        0 |      771007 |     42888292 |         0 |      0 |      501646 |      0 |      0 |         0 
 138707 Thread 3 - Finalizer                                           |     6000 |        0 |      449960 |     45779851 |      5120 |      0 |     2228669 |      0 |      0 |         0 
 138708 Thread 4 - Surrogate Locker Thread (Concurrent GC)             |        0 |        0 |           0 |            0 |         0 |      0 |           0 |      0 |      0 |         0 
 138709 Thread 5 - Signal Dispatcher                                   |        0 |        0 |           0 |            0 |         0 |      0 |           0 |      0 |      0 |         0 
 138719 Thread 12 - RMI Scheduler(0)                                   |     3000 |        0 |      702921 |     27278320 |      4096 |      0 |      130693 |      0 |      0 |         0 
 138720 Thread 13 - RMI RenewClean-[10.231.182.152:44588]              |     1000 |        0 |       82894 |      7893257 |      1024 |      0 |       12414 |      0 |      0 |         0 
 138721 Thread 14 - GC Daemon                                          |        0 |        0 |           0 |            0 |         0 |      0 |           0 |      0 |      0 |         0 
 138723 Thread 15 - DecatonSubscriptionThread-decaton-benchmark        | 28545000 | 33752000 | 19363580348 | 607169115756 | 624154624 | 132096 | 21000404884 | 177015 |      0 |         0 
 138724 Thread 16 - kafka-coordinator-hear...hread | decaton-benchmark |   210000 |    54000 |    79853925 |   2566038144 |   6882304 |   5120 |    22673490 | 300633 |      0 |         0 
 138728 Thread 17 - PartitionProcessorThre...22e-89ee-28d71fb1c6a5-1-0 |  1450000 |   485000 |   602036452 |  18870866119 |     34816 |      0 |  1849405232 |      0 |      0 |         0 
 138729 Thread 18 - PartitionProcessorThre...22e-89ee-28d71fb1c6a5-1-1 |  1494000 |   467000 |   610933980 |  19134461182 |      2048 |      0 |  1830574547 |      0 |      0 |         0 
 138730 Thread 19 - PartitionProcessorThre...22e-89ee-28d71fb1c6a5-1-2 |  1547000 |   429000 |   613633972 |  19278654658 |         0 |      0 |  2006760844 |      0 |      0 |         0 
 138731 Thread 20 - PartitionProcessorThre...22e-89ee-28d71fb1c6a5-1-3 |  1475000 |   424000 |   590152839 |  18527583440 |         0 |      0 |  1755892236 |      0 |      0 |         0 
 138732 Thread 21 - PartitionProcessorThre...22e-89ee-28d71fb1c6a5-1-4 |  1431000 |   506000 |   602625948 |  18898266170 |         0 |      0 |  1737937513 |      0 |      0 |         0 
 138733 Thread 22 - PartitionProcessorThre...22e-89ee-28d71fb1c6a5-1-5 |  1467000 |   419000 |   584128394 |  18395208588 |         0 |      0 |  2036499391 |      0 |      0 |         0 
 138734 Thread 23 - PartitionProcessorThre...22e-89ee-28d71fb1c6a5-1-6 |  1420000 |   471000 |   589220085 |  18449546080 |      4096 |      0 |  1884173973 |      0 |      0 |         0 
 138735 Thread 24 - PartitionProcessorThre...22e-89ee-28d71fb1c6a5-1-7 |  1503000 |   465000 |   611468921 |  19200366701 |         0 |      0 |  1910983013 |      0 |      0 |         0 
 138736 Thread 25 - PartitionProcessorThre...22e-89ee-28d71fb1c6a5-1-8 |  1486000 |   452000 |   602106542 |  18905390018 |         0 |      0 |  1817476194 |      0 |      0 |         0 
 138737 Thread 26 - PartitionProcessorThre...22e-89ee-28d71fb1c6a5-1-9 |  1511000 |   410000 |   597150562 |  18741451815 |         0 |      0 |  1886625502 |      0 |      0 |         0 
 138738 Thread 27 - PartitionProcessorThre...2e-89ee-28d71fb1c6a5-1-10 |  1388000 |   457000 |   574311546 |  18001138381 |         0 |      0 |  1828442699 |      0 |      0 |         0 
 138739 Thread 28 - PartitionProcessorThre...2e-89ee-28d71fb1c6a5-1-11 |  1439000 |   438000 |   583129140 |  18311069569 |         0 |      0 |  1715170622 |      0 |      0 |         0 
 138740 Thread 29 - PartitionProcessorThre...2e-89ee-28d71fb1c6a5-1-12 |  1475000 |   419000 |   587996054 |  18474815155 |      1024 |      0 |  1866811204 |      0 |      0 |         0 
 138741 Thread 30 - PartitionProcessorThre...2e-89ee-28d71fb1c6a5-1-13 |  1466000 |   463000 |   601457870 |  18822308451 |         0 |      0 |  1708619872 |      0 |      0 |         0 
 138742 Thread 31 - PartitionProcessorThre...2e-89ee-28d71fb1c6a5-1-14 |  1414000 |   428000 |   572765956 |  17970203487 |         0 |      0 |  1656866376 |      0 |      0 |         0 
 138743 Thread 32 - PartitionProcessorThre...2e-89ee-28d71fb1c6a5-1-15 |  1363000 |   464000 |   568210519 |  17824183174 |         0 |      0 |  1864339831 |      0 |      0 |         0 
 138744 Thread 33 - PartitionProcessorThre...2e-89ee-28d71fb1c6a5-1-16 |  1469000 |   437000 |   591383027 |  18594628799 |         0 |      0 |  1917025148 |      0 |      0 |         0 
 138745 Thread 34 - PartitionProcessorThre...2e-89ee-28d71fb1c6a5-1-17 |  1348000 |   439000 |   556711582 |  17434386651 |         0 |      0 |  1966943652 |      0 |      0 |         0 
 138746 Thread 35 - PartitionProcessorThre...2e-89ee-28d71fb1c6a5-1-18 |  1459000 |   458000 |   597016808 |  18705029104 |         0 |      0 |  2045345589 |      0 |      0 |         0 
 138747 Thread 36 - PartitionProcessorThre...2e-89ee-28d71fb1c6a5-1-19 |  1475000 |   465000 |   603217980 |  18929000205 |         0 |      0 |  1728981014 |      0 |      0 |         0 
 138749 Thread 37 - PartitionProcessorThre...22e-89ee-28d71fb1c6a5-2-0 |  1556000 |   440000 |   618634190 |  19480589518 |         0 |      0 |  1890266662 |      0 |      0 |         0 
 138750 Thread 38 - PartitionProcessorThre...22e-89ee-28d71fb1c6a5-2-1 |  1555000 |   475000 |   630877800 |  19813204178 |         0 |      0 |  2057477236 |      0 |      0 |         0 
 138751 Thread 39 - PartitionProcessorThre...22e-89ee-28d71fb1c6a5-2-2 |  1504000 |   504000 |   624004124 |  19599752182 |         0 |      0 |  2059209769 |      0 |      0 |         0 
 138752 Thread 40 - PartitionProcessorThre...22e-89ee-28d71fb1c6a5-2-3 |  1528000 |   443000 |   610346530 |  19238066166 |         0 |      0 |  1699413072 |      0 |      0 |         0 
 138753 Thread 41 - PartitionProcessorThre...22e-89ee-28d71fb1c6a5-2-4 |  1412000 |   451000 |   578510538 |  18182891123 |         0 |      0 |  1969638068 |      0 |      0 |         0 
 138754 Thread 42 - PartitionProcessorThre...22e-89ee-28d71fb1c6a5-2-5 |  1481000 |   480000 |   605582382 |  19139835951 |         0 |      0 |  1717237350 |      0 |      0 |         0 
 138755 Thread 43 - PartitionProcessorThre...22e-89ee-28d71fb1c6a5-2-6 |  1507000 |   410000 |   593575898 |  18710721588 |         0 |      0 |  1893252070 |      0 |      0 |         0 
 138756 Thread 44 - PartitionProcessorThre...22e-89ee-28d71fb1c6a5-2-7 |  1455000 |   446000 |   587987835 |  18553936108 |         0 |      0 |  1922479690 |      0 |      0 |         0 
 138757 Thread 45 - PartitionProcessorThre...22e-89ee-28d71fb1c6a5-2-8 |  1487000 |   458000 |   601893999 |  18983499682 |         0 |      0 |  1772967470 |      0 |      0 |         0 
 138758 Thread 46 - PartitionProcessorThre...22e-89ee-28d71fb1c6a5-2-9 |  1475000 |   433000 |   590389890 |  18622586811 |         0 |      0 |  1977705133 |      0 |      0 |         0 
 138759 Thread 47 - PartitionProcessorThre...2e-89ee-28d71fb1c6a5-2-10 |  1448000 |   450000 |   589114558 |  18525344565 |         0 |      0 |  1932564863 |      0 |      0 |         0 
 138760 Thread 48 - PartitionProcessorThre...2e-89ee-28d71fb1c6a5-2-11 |  1438000 |   473000 |   591398429 |  18651881655 |         0 |      0 |  1994397763 |      0 |      0 |         0 
 138761 Thread 49 - PartitionProcessorThre...2e-89ee-28d71fb1c6a5-2-12 |  1527000 |   494000 |   627714483 |  19725458850 |         0 |      0 |  2001840054 |      0 |      0 |         0 
 138762 Thread 50 - PartitionProcessorThre...2e-89ee-28d71fb1c6a5-2-13 |  1472000 |   465000 |   599125741 |  18905432506 |         0 |      0 |  1698673368 |      0 |      0 |         0 
 138763 Thread 51 - PartitionProcessorThre...2e-89ee-28d71fb1c6a5-2-14 |  1454000 |   499000 |   605946843 |  19061074561 |      1024 |      0 |  1831195703 |      0 |      0 |         0 
 138764 Thread 52 - PartitionProcessorThre...2e-89ee-28d71fb1c6a5-2-15 |  1467000 |   450000 |   591349148 |  18709582436 |         0 |      0 |  1734513133 |      0 |      0 |         0 
 138765 Thread 53 - PartitionProcessorThre...2e-89ee-28d71fb1c6a5-2-16 |  1469000 |   459000 |   597039620 |  18818193209 |         0 |      0 |  1877797800 |      0 |      0 |         0 
