                                 Task                                  |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    | d:bio  | d:swap | d:reclaim 
 150792 Thread 1 - main                                                |   839000 |   160000 |    67124947 |   7678437580 |  34331648 |   1024 |     6454114 |      0 |      0 |         0 
 150814 Thread 2 - Reference Handler                                   |     8000 |     1000 |     1107933 |     75543796 |         0 |      0 |     1016971 |      0 |      0 |         0 
 150815 Thread 3 - Finalizer                                           |     6000 |     1000 |      853128 |     57637999 |      5120 |      0 |      376598 |      0 |      0 |         0 
 150816 Thread 4 - Surrogate Locker Thread (Concurrent GC)             |        0 |        0 |           0 |            0 |         0 |      0 |       20508 |      0 |      0 |         0 
 150817 Thread 5 - Signal Dispatcher                                   |        0 |     1000 |      304968 |      9757753 |         0 |      0 |       12934 |      0 |      0 |         0 
 150826 Thread 12 - RMI Scheduler(0)                                   |     3000 |        0 |      890062 |     29272593 |      4096 |      0 |        9645 |      0 |      0 |         0 
 150827 Thread 13 - RMI RenewClean-[10.231.182.152:37973]              |        0 |        0 |           0 |            0 |      1024 |      0 |        5473 |      0 |      0 |         0 
 150828 Thread 14 - GC Daemon                                          |        0 |        0 |           0 |            0 |         0 |      0 |           0 |      0 |      0 |         0 
 150830 Thread 15 - DecatonSubscriptionThread-decaton-benchmark        | 29433000 | 34408000 | 18933321730 | 622117191231 | 623259648 | 128000 | 21035959732 | 167125 |      0 |         0 
 150833 Thread 16 - kafka-coordinator-hear...hread | decaton-benchmark |   220000 |    46000 |    76608140 |   2582219796 |   7737344 |   5120 |    46927703 | 321808 |      0 |         0 
 150837 Thread 17 - PartitionProcessorThre...dd7-881a-152eeabe965c-0-0 |  1428000 |   446000 |   548670730 |  18260790929 |     34816 |      0 |  1908221766 |      0 |      0 |         0 
 150838 Thread 18 - PartitionProcessorThre...dd7-881a-152eeabe965c-0-1 |  1394000 |   468000 |   546532484 |  18146413964 |      6144 |      0 |  1915634530 |      0 |      0 |         0 
 150839 Thread 19 - PartitionProcessorThre...dd7-881a-152eeabe965c-0-2 |  1407000 |   428000 |   537050941 |  17886819203 |         0 |      0 |  1630659246 |      0 |      0 |         0 
 150840 Thread 20 - PartitionProcessorThre...dd7-881a-152eeabe965c-0-3 |  1549000 |   481000 |   592761613 |  19783559581 |      1024 |      0 |  1693992889 |      0 |      0 |         0 
 150841 Thread 21 - PartitionProcessorThre...dd7-881a-152eeabe965c-0-4 |  1441000 |   461000 |   559032762 |  18543998480 |         0 |      0 |  1922045301 |      0 |      0 |         0 
 150842 Thread 22 - PartitionProcessorThre...dd7-881a-152eeabe965c-0-5 |  1434000 |   509000 |   573408777 |  18947994320 |         0 |      0 |  1927112645 |      0 |      0 |         0 
 150843 Thread 23 - PartitionProcessorThre...dd7-881a-152eeabe965c-0-6 |  1488000 |   474000 |   576009000 |  19128418741 |         0 |      0 |  1786884246 |      0 |      0 |         0 
 150844 Thread 24 - PartitionProcessorThre...dd7-881a-152eeabe965c-0-7 |  1538000 |   493000 |   598263504 |  19804573163 |         0 |      0 |  1919515075 |      0 |      0 |         0 
 150845 Thread 25 - PartitionProcessorThre...dd7-881a-152eeabe965c-0-8 |  1540000 |   508000 |   602998426 |  19973564612 |         0 |      0 |  1939757350 |      0 |      0 |         0 
 150846 Thread 26 - PartitionProcessorThre...dd7-881a-152eeabe965c-0-9 |  1483000 |   498000 |   584033715 |  19320114601 |         0 |      0 |  1719320098 |      0 |      0 |         0 
 150847 Thread 27 - PartitionProcessorThre...d7-881a-152eeabe965c-0-10 |  1467000 |   505000 |   579917699 |  19228593511 |         0 |      0 |  1591061521 |      0 |      0 |         0 
 150848 Thread 28 - PartitionProcessorThre...d7-881a-152eeabe965c-0-11 |  1502000 |   491000 |   585570066 |  19432465558 |         0 |      0 |  1718568669 |      0 |      0 |         0 
 150849 Thread 29 - PartitionProcessorThre...d7-881a-152eeabe965c-0-12 |  1547000 |   477000 |   593991523 |  19736143444 |         0 |      0 |  1536132133 |      0 |      0 |         0 
 150850 Thread 30 - PartitionProcessorThre...d7-881a-152eeabe965c-0-13 |  1449000 |   475000 |   562373726 |  18755137288 |         0 |      0 |  1714269812 |      0 |      0 |         0 
 150851 Thread 31 - PartitionProcessorThre...d7-881a-152eeabe965c-0-14 |  1474000 |   460000 |   566395765 |  18859417800 |         0 |      0 |  1728908887 |      0 |      0 |         0 
 150852 Thread 32 - PartitionProcessorThre...d7-881a-152eeabe965c-0-15 |  1475000 |   495000 |   579918023 |  19213566249 |         0 |      0 |  1883159755 |      0 |      0 |         0 
 150853 Thread 33 - PartitionProcessorThre...d7-881a-152eeabe965c-0-16 |  1439000 |   444000 |   553549410 |  18364403558 |         0 |      0 |  1784085505 |      0 |      0 |         0 
 150854 Thread 34 - PartitionProcessorThre...d7-881a-152eeabe965c-0-17 |  1572000 |   426000 |   587392328 |  19486490620 |      1024 |      0 |  1955534575 |      0 |      0 |         0 
 150855 Thread 35 - PartitionProcessorThre...d7-881a-152eeabe965c-0-18 |  1501000 |   525000 |   593818554 |  19752745011 |         0 |      0 |  1824386494 |      0 |      0 |         0 
 150856 Thread 36 - PartitionProcessorThre...d7-881a-152eeabe965c-0-19 |  1473000 |   459000 |   568288894 |  18841401757 |         0 |      0 |  1829051450 |      0 |      0 |         0 
 150857 Thread 37 - PartitionProcessorThre...dd7-881a-152eeabe965c-2-0 |  1480000 |   492000 |   586078711 |  19248458452 |         0 |      0 |  1632614640 |      0 |      0 |         0 
 150858 Thread 38 - PartitionProcessorThre...dd7-881a-152eeabe965c-2-1 |  1467000 |   505000 |   586151914 |  19248038886 |         0 |      0 |  1451780545 |      0 |      0 |         0 
 150859 Thread 39 - PartitionProcessorThre...dd7-881a-152eeabe965c-2-2 |  1443000 |   469000 |   568796840 |  18662956640 |         0 |      0 |  1840937883 |      0 |      0 |         0 
 150860 Thread 40 - PartitionProcessorThre...dd7-881a-152eeabe965c-2-3 |  1421000 |   471000 |   563272988 |  18467902437 |         0 |      0 |  1931160520 |      0 |      0 |         0 
