                                 Task                                  |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    | d:bio  | d:swap | d:reclaim 
 152454 Thread 1 - main                                                |   610000 |    94000 |    42046983 |   5299138029 |  21203968 |   1024 |     5700511 |      0 |      0 |         0 
 152476 Thread 2 - Reference Handler                                   |     7000 |     2000 |     1028574 |     71191984 |         0 |      0 |     1166812 |      0 |      0 |         0 
 152477 Thread 3 - Finalizer                                           |     7000 |     1000 |      884187 |     63281394 |      5120 |      0 |       32225 |      0 |      0 |         0 
 152478 Thread 4 - Surrogate Locker Thread (Concurrent GC)             |        0 |        0 |           0 |            0 |         0 |      0 |           0 |      0 |      0 |         0 
 152479 Thread 5 - Signal Dispatcher                                   |        0 |        0 |           0 |            0 |         0 |      0 |           0 |      0 |      0 |         0 
 152488 Thread 11 - DecatonSubscriptionThread-decaton-benchmark        | 27469000 | 29691000 | 17060799965 | 556412916160 | 586200064 | 137216 | 16049545558 | 104739 |      0 |         0 
 152490 Thread 13 - kafka-coordinator-hear...hread | decaton-benchmark |   186000 |    49000 |    70247073 |   2289119741 |   5486592 |   5120 |    28561330 | 370767 |      0 |         0 
 152493 Thread 14 - PartitionProcessorThre...aed-8323-0b62ba0ec3d3-2-0 |  1242000 |   403000 |   488773922 |  16033425211 |     34816 |      0 |  1612537403 |      0 |      0 |         0 
 152494 Thread 15 - PartitionProcessorThre...aed-8323-0b62ba0ec3d3-2-1 |  1165000 |   417000 |   469502098 |  15432550039 |         0 |      0 |  1316097002 |      0 |      0 |         0 
 152495 Thread 16 - PartitionProcessorThre...aed-8323-0b62ba0ec3d3-2-2 |  1193000 |   386000 |   468694165 |  15402931629 |  10831872 |      0 |  1517817224 |      0 |      0 |         0 
 152496 Thread 17 - PartitionProcessorThre...aed-8323-0b62ba0ec3d3-2-3 |  1198000 |   441000 |   486631258 |  15983962437 |         0 |      0 |  1376704205 |      0 |      0 |         0 
 152497 Thread 18 - PartitionProcessorThre...aed-8323-0b62ba0ec3d3-2-4 |  1193000 |   454000 |   489709618 |  16067230039 |         0 |      0 |  1628184015 |      0 |      0 |         0 
 152498 Thread 19 - PartitionProcessorThre...aed-8323-0b62ba0ec3d3-2-5 |  1129000 |   380000 |   447591731 |  14718612027 |         0 |      0 |  1367410807 |      0 |      0 |         0 
 152499 Thread 20 - PartitionProcessorThre...aed-8323-0b62ba0ec3d3-2-6 |  1192000 |   401000 |   472431415 |  15540125875 |         0 |      0 |  1402166164 |      0 |      0 |         0 
