                                 Task                                  |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    | d:bio  | d:swap | d:reclaim 
 108303 Thread 1 - main                                                |   667000 |   121000 |    48811377 |   6043260006 |  22117376 |      0 |     8880359 |      0 |      0 |         0 
 108325 Thread 2 - Reference Handler                                   |     8000 |        0 |     1002726 |     67051781 |         0 |      0 |      993552 |      0 |      0 |         0 
 108326 Thread 3 - Finalizer                                           |     6000 |     1000 |      727359 |     56357886 |      5120 |      0 |     6015544 |      0 |      0 |         0 
 108327 Thread 4 - Surrogate Locker Thread (Concurrent GC)             |        0 |     1000 |       26707 |      7227285 |         0 |      0 |           0 |      0 |      0 |         0 
 108328 Thread 5 - Signal Dispatcher                                   |        0 |        0 |           0 |            0 |         0 |      0 |           0 |      0 |      0 |         0 
 108337 Thread 12 - RMI Scheduler(0)                                   |     2000 |     1000 |      643613 |     27276273 |      4096 |      0 |       54186 |      0 |      0 |         0 
 108338 Thread 13 - RMI RenewClean-[10.231.182.152:45893]              |     1000 |        0 |       81894 |      7893242 |      1024 |      0 |       19175 |      0 |      0 |         0 
 108339 Thread 14 - GC Daemon                                          |        0 |        0 |           0 |            0 |         0 |      0 |           0 |      0 |      0 |         0 
 108342 Thread 15 - DecatonSubscriptionThread-decaton-benchmark        | 31874000 | 34793000 | 18956136202 | 649567529882 | 635200512 | 119808 | 21705698392 |  79366 |      0 |         0 
 108347 Thread 16 - kafka-coordinator-hear...hread | decaton-benchmark |   187000 |    59000 |    68913780 |   2397345241 |   7539712 |   4096 |    23862532 | 172877 |      0 |         0 
 108351 Thread 17 - PartitionProcessorThre...b68-a93d-7ff75b3b5055-1-0 |  1483000 |   493000 |   557986593 |  19274310404 |     36864 |      0 |  1823254660 |      0 |      0 |         0 
 108352 Thread 18 - PartitionProcessorThre...b68-a93d-7ff75b3b5055-1-1 |  1497000 |   498000 |   564403105 |  19467392638 |    121856 |      0 |  1710865617 |      0 |      0 |         0 
 108353 Thread 19 - PartitionProcessorThre...b68-a93d-7ff75b3b5055-1-2 |  1381000 |   478000 |   528486234 |  18142075134 |         0 |      0 |  1684915920 |      0 |      0 |         0 
 108354 Thread 20 - PartitionProcessorThre...b68-a93d-7ff75b3b5055-1-3 |  1518000 |   452000 |   560437668 |  19224528009 |         0 |      0 |  1771023977 |      0 |      0 |         0 
 108355 Thread 21 - PartitionProcessorThre...b68-a93d-7ff75b3b5055-1-4 |  1496000 |   466000 |   558179875 |  19146226525 |         0 |      0 |  1841908374 |      0 |      0 |         0 
 108356 Thread 22 - PartitionProcessorThre...b68-a93d-7ff75b3b5055-1-5 |  1544000 |   516000 |   585392800 |  20103586087 |         0 |      0 |  1638078076 |      0 |      0 |         0 
 108357 Thread 23 - PartitionProcessorThre...b68-a93d-7ff75b3b5055-1-6 |  1426000 |   460000 |   535557738 |  18405196166 |         0 |      0 |  1836778156 |      0 |      0 |         0 
 108358 Thread 24 - PartitionProcessorThre...b68-a93d-7ff75b3b5055-1-7 |  1414000 |   480000 |   538059476 |  18485856017 |      3072 |      0 |  1596585435 |      0 |      0 |         0 
 108359 Thread 25 - PartitionProcessorThre...b68-a93d-7ff75b3b5055-1-8 |  1493000 |   456000 |   550880414 |  19020206298 |         0 |      0 |  1708104716 |      0 |      0 |         0 
 108360 Thread 26 - PartitionProcessorThre...b68-a93d-7ff75b3b5055-1-9 |  1463000 |   452000 |   543926468 |  18690259314 |         0 |      0 |  1642820826 |      0 |      0 |         0 
 108361 Thread 27 - PartitionProcessorThre...68-a93d-7ff75b3b5055-1-10 |  1462000 |   454000 |   545250914 |  18699457603 |         0 |      0 |  1735388366 |      0 |      0 |         0 
 108362 Thread 28 - PartitionProcessorThre...68-a93d-7ff75b3b5055-1-11 |  1445000 |   499000 |   552682828 |  18972721759 |         0 |      0 |  1727233959 |      0 |      0 |         0 
