                                 Task                                 |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    | d:bio  | d:swap | d:reclaim 
 48091 Thread 1 - main                                                |  1025000 |   129000 |    79840064 |   8136124165 |  14834688 |   1024 |     7067643 |      0 |      0 |         0 
 48098 Thread 2 - Reference Handler                                   |     3000 |        0 |      621359 |     27260128 |         0 |      0 |      788978 |      0 |      0 |         0 
 48099 Thread 3 - Finalizer                                           |        0 |        0 |           0 |            0 |      5120 |      0 |      107713 |      0 |      0 |         0 
 48100 Thread 4 - Signal Dispatcher                                   |     1000 |     1000 |      402464 |     16265812 |         0 |      0 |        8572 |      0 |      0 |         0 
 48106 Thread 11 - Common-Cleaner                                     |     2000 |     1000 |      255566 |     24142187 |         0 |      0 |      252660 |      0 |      0 |         0 
 48111 Thread 13 - RMI Scheduler(0)                                   |     2000 |        0 |      458425 |     16867281 |      1024 |      0 |       15071 |      0 |      0 |         0 
 48117 Thread 14 - RMI RenewClean-[10.231.182.152:46447]              |     2000 |        0 |      171617 |     14875023 |         0 |      0 |           0 |      0 |      0 |         0 
 48118 Thread 15 - RMI GC Daemon                                      |        0 |        0 |           0 |            0 |         0 |      0 |       14639 |      0 |      0 |         0 
 48121 Thread 16 - DecatonSubscriptionThread-decaton-benchmark        | 24655000 | 36960000 | 23265584505 | 608147591842 | 625050624 |  96256 | 13298730853 | 104236 |      0 |         0 
 48126 Thread 17 - kafka-coordinator-hear...hread | decaton-benchmark |   218000 |    36000 |    94130741 |   2504013632 |   5316608 |   4096 |     6886891 | 192895 |      0 |         0 
 48130 Thread 18 - PartitionProcessorThre...119-970a-58023d9ebb99-1-0 |  1077000 |   405000 |   557586056 |  14640971316 |     35840 |      0 |   991735735 |      0 |      0 |         0 
 48131 Thread 19 - PartitionProcessorThre...119-970a-58023d9ebb99-1-1 |  1094000 |   435000 |   576695548 |  15110968948 |      3072 |      0 |   951741509 |      0 |      0 |         0 
 48132 Thread 20 - PartitionProcessorThre...119-970a-58023d9ebb99-1-2 |  1058000 |   381000 |   541700153 |  14220721523 |         0 |      0 |   879971849 |      0 |      0 |         0 
 48133 Thread 21 - PartitionProcessorThre...119-970a-58023d9ebb99-1-3 |  1126000 |   389000 |   571154466 |  14976047952 |         0 |      0 |   934851580 |      0 |      0 |         0 
 48134 Thread 22 - PartitionProcessorThre...119-970a-58023d9ebb99-1-4 |  1110000 |   430000 |   583917005 |  15220926343 |         0 |      0 |   851308153 |      0 |      0 |         0 
 48135 Thread 23 - PartitionProcessorThre...119-970a-58023d9ebb99-1-5 |  1021000 |   398000 |   538331696 |  14026983570 |         0 |      0 |   767851373 |      0 |      0 |         0 
 48136 Thread 24 - PartitionProcessorThre...119-970a-58023d9ebb99-1-6 |  1007000 |   452000 |   552146056 |  14423596937 |         0 |      0 |   938965349 |      0 |      0 |         0 
 48137 Thread 25 - PartitionProcessorThre...119-970a-58023d9ebb99-1-7 |  1055000 |   402000 |   551587567 |  14400782777 |      8192 |      0 |   955493016 |      0 |      0 |         0 
 48138 Thread 26 - PartitionProcessorThre...119-970a-58023d9ebb99-1-8 |  1064000 |   444000 |   569420329 |  14904211355 |         0 |      0 |   989431455 |      0 |      0 |         0 
 48139 Thread 27 - PartitionProcessorThre...119-970a-58023d9ebb99-1-9 |  1119000 |   422000 |   582094360 |  15232403120 |         0 |      0 |   740341879 |      0 |      0 |         0 
 48140 Thread 28 - PartitionProcessorThre...19-970a-58023d9ebb99-1-10 |  1075000 |   419000 |   562464958 |  14766172253 |         0 |      0 |   966239159 |      0 |      0 |         0 
 48141 Thread 29 - PartitionProcessorThre...19-970a-58023d9ebb99-1-11 |  1127000 |   403000 |   578493177 |  15127895316 |         0 |      0 |   906201296 |      0 |      0 |         0 
 48142 Thread 30 - PartitionProcessorThre...19-970a-58023d9ebb99-1-12 |  1029000 |   436000 |   551153067 |  14481402757 |         0 |      0 |   843468221 |      0 |      0 |         0 
 48143 Thread 31 - PartitionProcessorThre...19-970a-58023d9ebb99-1-13 |  1055000 |   419000 |   555684716 |  14574759699 |         0 |      0 |   813553103 |      0 |      0 |         0 
 48144 Thread 32 - PartitionProcessorThre...19-970a-58023d9ebb99-1-14 |  1044000 |   373000 |   533947712 |  14003708062 |      1024 |      0 |   861541120 |      0 |      0 |         0 
 48145 Thread 33 - PartitionProcessorThre...19-970a-58023d9ebb99-1-15 |  1064000 |   411000 |   554844899 |  14577243980 |      1024 |      0 |   915472007 |      0 |      0 |         0 
 48146 Thread 34 - PartitionProcessorThre...19-970a-58023d9ebb99-1-16 |  1065000 |   443000 |   568776317 |  14902526671 |         0 |      0 |  1008634317 |      0 |      0 |         0 
 48147 Thread 35 - PartitionProcessorThre...19-970a-58023d9ebb99-1-17 |  1069000 |   436000 |   569884286 |  14875547535 |         0 |      0 |  1025375789 |      0 |      0 |         0 
 48148 Thread 36 - PartitionProcessorThre...19-970a-58023d9ebb99-1-18 |  1054000 |   367000 |   537117196 |  14047484336 |         0 |      0 |   845471388 |      0 |      0 |         0 
 48149 Thread 37 - PartitionProcessorThre...19-970a-58023d9ebb99-1-19 |  1035000 |   393000 |   539349423 |  14119191074 |         0 |      0 |   939245535 |      0 |      0 |         0 
 48152 Thread 38 - PartitionProcessorThre...119-970a-58023d9ebb99-0-0 |  1050000 |   382000 |   533425454 |  14161350257 |         0 |      0 |   901445407 |      0 |      0 |         0 
 48153 Thread 39 - PartitionProcessorThre...119-970a-58023d9ebb99-0-1 |  1067000 |   417000 |   553442134 |  14675335328 |         0 |      0 |   954039331 |      0 |      0 |         0 
 48154 Thread 40 - PartitionProcessorThre...119-970a-58023d9ebb99-0-2 |  1101000 |   366000 |   545867063 |  14507445499 |         0 |      0 |   874459314 |      0 |      0 |         0 
 48155 Thread 41 - PartitionProcessorThre...119-970a-58023d9ebb99-0-3 |  1074000 |   417000 |   556306223 |  14744859597 |         0 |      0 |   825764990 |      0 |      0 |         0 
 48156 Thread 42 - PartitionProcessorThre...119-970a-58023d9ebb99-0-4 |  1087000 |   414000 |   558139102 |  14843666636 |         0 |      0 |   883172094 |      0 |      0 |         0 
 48157 Thread 43 - PartitionProcessorThre...119-970a-58023d9ebb99-0-5 |  1046000 |   420000 |   547932141 |  14497839515 |         0 |      0 |   951742495 |      0 |      0 |         0 
 48158 Thread 44 - PartitionProcessorThre...119-970a-58023d9ebb99-0-6 |  1103000 |   392000 |   558266009 |  14784048234 |         0 |      0 |  1017026302 |      0 |      0 |         0 
 48159 Thread 45 - PartitionProcessorThre...119-970a-58023d9ebb99-0-7 |  1112000 |   430000 |   572104173 |  15248716917 |         0 |      0 |   961296239 |      0 |      0 |         0 
 48160 Thread 46 - PartitionProcessorThre...119-970a-58023d9ebb99-0-8 |  1145000 |   467000 |   598962876 |  15941099034 |         0 |      0 |  1035484235 |      0 |      0 |         0 
 48161 Thread 47 - PartitionProcessorThre...119-970a-58023d9ebb99-0-9 |  1102000 |   372000 |   551201849 |  14577014429 |         0 |      0 |   903494472 |      0 |      0 |         0 
 48162 Thread 48 - PartitionProcessorThre...19-970a-58023d9ebb99-0-10 |  1122000 |   421000 |   574747165 |  15258841753 |         0 |      0 |  1139485334 |      0 |      0 |         0 
 48163 Thread 49 - PartitionProcessorThre...19-970a-58023d9ebb99-0-11 |  1109000 |   434000 |   577406981 |  15259776339 |         0 |      0 |   964767656 |      0 |      0 |         0 
