                                 Task                                 |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    | d:bio  | d:swap | d:reclaim 
 30116 Thread 1 - main                                                |  1067000 |   112000 |    77869372 |   8301533457 |  14848000 |   1024 |     4246016 |      0 |      0 |         0 
 30124 Thread 2 - Reference Handler                                   |     2000 |        0 |       97277 |     13453179 |         0 |      0 |      526227 |      0 |      0 |         0 
 30125 Thread 3 - Finalizer                                           |        0 |        0 |           0 |            0 |      5120 |      0 |        8013 |      0 |      0 |         0 
 30126 Thread 4 - Signal Dispatcher                                   |        0 |        0 |           0 |            0 |         0 |      0 |       14076 |      0 |      0 |         0 
 30132 Thread 11 - Common-Cleaner                                     |     1000 |     1000 |      333003 |     16686765 |         0 |      0 |      717487 |      0 |      0 |         0 
 30139 Thread 13 - RMI Scheduler(0)                                   |     1000 |        0 |       77242 |      6980457 |      1024 |      0 |      299209 |      0 |      0 |         0 
 30145 Thread 14 - RMI RenewClean-[10.231.182.152:41256]              |     2000 |        0 |      173894 |     14875531 |         0 |      0 |       24398 |      0 |      0 |         0 
 30146 Thread 15 - RMI GC Daemon                                      |        0 |        0 |           0 |            0 |         0 |      0 |     1031413 |      0 |      0 |         0 
 30149 Thread 16 - DecatonSubscriptionThread-decaton-benchmark        | 24839000 | 34763000 | 17171033808 | 588125006014 | 623670272 | 106496 | 13951146932 | 280743 |      0 |         0 
 30151 Thread 17 - kafka-coordinator-hear...hread | decaton-benchmark |   240000 |    40000 |    78757476 |   2741734350 |   6734848 |   5120 |    28550171 | 402321 |      0 |         0 
 30156 Thread 18 - PartitionProcessorThre...a69-b36a-347e66d5d4f7-0-0 |  1088000 |   431000 |   433136356 |  14977584191 |     33792 |      0 |   864191768 |      0 |      0 |         0 
 30157 Thread 19 - PartitionProcessorThre...a69-b36a-347e66d5d4f7-0-1 |  1179000 |   381000 |   445253755 |  15387971593 |      4096 |      0 |   901129975 |      0 |      0 |         0 
 30158 Thread 20 - PartitionProcessorThre...a69-b36a-347e66d5d4f7-0-2 |  1172000 |   397000 |   448054684 |  15474122992 |         0 |      0 |  1010055148 |      0 |      0 |         0 
 30159 Thread 21 - PartitionProcessorThre...a69-b36a-347e66d5d4f7-0-3 |  1141000 |   409000 |   443318294 |  15295123390 |         0 |      0 |   903112899 |      0 |      0 |         0 
 30160 Thread 22 - PartitionProcessorThre...a69-b36a-347e66d5d4f7-0-4 |  1097000 |   409000 |   431075532 |  14860833414 |         0 |      0 |  1026610013 |      0 |      0 |         0 
 30161 Thread 23 - PartitionProcessorThre...a69-b36a-347e66d5d4f7-0-5 |  1142000 |   435000 |   450946606 |  15560819101 |      1024 |      0 |   921342060 |      0 |      0 |         0 
 30162 Thread 24 - PartitionProcessorThre...a69-b36a-347e66d5d4f7-0-6 |  1130000 |   405000 |   438856512 |  15150240218 |         0 |      0 |   978695984 |      0 |      0 |         0 
 30163 Thread 25 - PartitionProcessorThre...a69-b36a-347e66d5d4f7-0-7 |  1150000 |   383000 |   437199055 |  15123003500 |      9216 |      0 |  1021782735 |      0 |      0 |         0 
 30164 Thread 26 - PartitionProcessorThre...a69-b36a-347e66d5d4f7-0-8 |  1095000 |   401000 |   428071641 |  14759763265 |         0 |      0 |   940886285 |      0 |      0 |         0 
 30165 Thread 27 - PartitionProcessorThre...a69-b36a-347e66d5d4f7-0-9 |  1134000 |   373000 |   429294032 |  14863593324 |         0 |      0 |   901233293 |      0 |      0 |         0 
 30166 Thread 28 - PartitionProcessorThre...69-b36a-347e66d5d4f7-0-10 |  1134000 |   402000 |   439938712 |  15159651789 |         0 |      0 |  1141335456 |      0 |      0 |         0 
 30167 Thread 29 - PartitionProcessorThre...69-b36a-347e66d5d4f7-0-11 |  1051000 |   392000 |   411787817 |  14232854695 |         0 |      0 |   933279818 |      0 |      0 |         0 
 30168 Thread 30 - PartitionProcessorThre...69-b36a-347e66d5d4f7-0-12 |  1142000 |   392000 |   436767911 |  15128686722 |         0 |      0 |  1007405118 |      0 |      0 |         0 
 30169 Thread 31 - PartitionProcessorThre...69-b36a-347e66d5d4f7-0-13 |  1164000 |   421000 |   453501368 |  15639774171 |         0 |      0 |   864310526 |      0 |      0 |         0 
