                                 Task                                 |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    | d:bio  | d:swap | d:reclaim 
 49481 Thread 1 - main                                                |   579000 |    67000 |    40240635 |   4891298818 |  21203968 |   1024 |     2248466 |      0 |      0 |         0 
 49503 Thread 2 - Reference Handler                                   |    10000 |        0 |     1136472 |     79027562 |         0 |      0 |      347182 |      0 |      0 |         0 
 49504 Thread 3 - Finalizer                                           |     8000 |        0 |      991226 |     64194867 |      5120 |      0 |     1805334 |      0 |      0 |         0 
 49505 Thread 4 - Surrogate Locker Thread (Concurrent GC)             |        0 |        0 |           0 |            0 |         0 |      0 |           0 |      0 |      0 |         0 
 49506 Thread 5 - Signal Dispatcher                                   |     1000 |        0 |      312375 |      9755039 |         0 |      0 |        7350 |      0 |      0 |         0 
 49519 Thread 11 - DecatonSubscriptionThread-decaton-benchmark        | 28850000 | 32815000 | 19028165849 | 600526301232 | 636383232 | 119808 | 19779656674 |  97616 |      0 |         0 
 49520 Thread 13 - kafka-coordinator-hear...hread | decaton-benchmark |   167000 |    39000 |    62945960 |   2008003542 |   6612992 |   4096 |    16243381 | 144156 |      0 |         0 
 49524 Thread 14 - PartitionProcessorThre...3ca-8622-4996f99c6d56-0-0 |  1345000 |   452000 |   552905235 |  17522637656 |     87040 |      0 |  1290718892 |      0 |      0 |         0 
 49525 Thread 15 - PartitionProcessorThre...3ca-8622-4996f99c6d56-0-1 |  1294000 |   462000 |   540973626 |  17121237117 |         0 |      0 |  1389078297 |      0 |      0 |         0 
 49526 Thread 16 - PartitionProcessorThre...3ca-8622-4996f99c6d56-0-2 |  1350000 |   482000 |   564909407 |  17870750542 |         0 |      0 |  1587601167 |      0 |      0 |         0 
 49527 Thread 17 - PartitionProcessorThre...3ca-8622-4996f99c6d56-0-3 |  1341000 |   473000 |   557872958 |  17692887542 |      4096 |      0 |  1544161921 |      0 |      0 |         0 
 49528 Thread 18 - PartitionProcessorThre...3ca-8622-4996f99c6d56-0-4 |  1296000 |   472000 |   546157048 |  17249724363 |         0 |      0 |  1334396005 |      0 |      0 |         0 
 49529 Thread 19 - PartitionProcessorThre...3ca-8622-4996f99c6d56-0-5 |  1337000 |   477000 |   558946154 |  17689288452 |     67584 |      0 |  1374363497 |      0 |      0 |         0 
 49530 Thread 20 - PartitionProcessorThre...3ca-8622-4996f99c6d56-0-6 |  1332000 |   471000 |   555630005 |  17591925976 |         0 |      0 |  1357079231 |      0 |      0 |         0 
 49531 Thread 21 - PartitionProcessorThre...3ca-8622-4996f99c6d56-0-7 |  1337000 |   497000 |   566667403 |  17894526386 |         0 |      0 |  1659296447 |      0 |      0 |         0 
 49532 Thread 22 - PartitionProcessorThre...3ca-8622-4996f99c6d56-0-8 |  1369000 |   473000 |   564621599 |  17969051136 |     19456 |      0 |  1393747625 |      0 |      0 |         0 
 49533 Thread 23 - PartitionProcessorThre...3ca-8622-4996f99c6d56-0-9 |  1243000 |   473000 |   528339341 |  16741291523 |     24576 |      0 |  1493864967 |      0 |      0 |         0 
 49534 Thread 24 - PartitionProcessorThre...ca-8622-4996f99c6d56-0-10 |  1346000 |   456000 |   555491231 |  17581118277 |      4096 |      0 |  1619466294 |      0 |      0 |         0 
 49535 Thread 25 - PartitionProcessorThre...ca-8622-4996f99c6d56-0-11 |  1360000 |   474000 |   565836564 |  17894476499 |         0 |      0 |  1267431908 |      0 |      0 |         0 
 49536 Thread 26 - PartitionProcessorThre...ca-8622-4996f99c6d56-0-12 |  1304000 |   456000 |   543710849 |  17174187953 |         0 |      0 |  1363564516 |      0 |      0 |         0 
 49537 Thread 27 - PartitionProcessorThre...ca-8622-4996f99c6d56-0-13 |  1231000 |   406000 |   506094505 |  15972301238 |         0 |      0 |  1254243933 |      0 |      0 |         0 
 49538 Thread 28 - PartitionProcessorThre...ca-8622-4996f99c6d56-0-14 |  1291000 |   481000 |   547800650 |  17290489910 |         0 |      0 |  1484187826 |      0 |      0 |         0 
 49539 Thread 29 - PartitionProcessorThre...ca-8622-4996f99c6d56-0-15 |  1380000 |   463000 |   568679337 |  17983380277 |         0 |      0 |  1260720691 |      0 |      0 |         0 
 49540 Thread 30 - PartitionProcessorThre...ca-8622-4996f99c6d56-0-16 |  1360000 |   399000 |   542119325 |  17163603859 |         0 |      0 |  1249180914 |      0 |      0 |         0 
 49541 Thread 31 - PartitionProcessorThre...ca-8622-4996f99c6d56-0-17 |  1332000 |   482000 |   560501505 |  17701113851 |         0 |      0 |  1522982975 |      0 |      0 |         0 
 49542 Thread 32 - PartitionProcessorThre...ca-8622-4996f99c6d56-0-18 |  1409000 |   476000 |   581833462 |  18393070472 |         0 |      0 |  1433191241 |      0 |      0 |         0 
 49543 Thread 33 - PartitionProcessorThre...ca-8622-4996f99c6d56-0-19 |  1448000 |   475000 |   592413145 |  18763188913 |         0 |      0 |  1425385118 |      0 |      0 |         0 
 49544 Thread 34 - PartitionProcessorThre...3ca-8622-4996f99c6d56-2-0 |  1302000 |   433000 |   538796677 |  16929956726 |         0 |      0 |  1456159201 |      0 |      0 |         0 
 49545 Thread 35 - PartitionProcessorThre...3ca-8622-4996f99c6d56-2-1 |  1298000 |   447000 |   541331997 |  17027096199 |         0 |      0 |  1329476677 |      0 |      0 |         0 
 49546 Thread 36 - PartitionProcessorThre...3ca-8622-4996f99c6d56-2-2 |  1316000 |   467000 |   555256446 |  17399016136 |         0 |      0 |  1183280652 |      0 |      0 |         0 
 49547 Thread 37 - PartitionProcessorThre...3ca-8622-4996f99c6d56-2-3 |  1372000 |   472000 |   571974021 |  17994010140 |         0 |      0 |  1360692960 |      0 |      0 |         0 
 49548 Thread 38 - PartitionProcessorThre...3ca-8622-4996f99c6d56-2-4 |  1340000 |   488000 |   567006673 |  17837540991 |         0 |      0 |  1145806520 |      0 |      0 |         0 
 49549 Thread 39 - PartitionProcessorThre...3ca-8622-4996f99c6d56-2-5 |  1367000 |   480000 |   574115513 |  18023085628 |         0 |      0 |  1409803896 |      0 |      0 |         0 
 49550 Thread 40 - PartitionProcessorThre...3ca-8622-4996f99c6d56-2-6 |  1288000 |   468000 |   546045005 |  17135292331 |         0 |      0 |  1445445140 |      0 |      0 |         0 
 49551 Thread 41 - PartitionProcessorThre...3ca-8622-4996f99c6d56-2-7 |  1327000 |   481000 |   560392798 |  17641674327 |         0 |      0 |  1532032173 |      0 |      0 |         0 
 49552 Thread 42 - PartitionProcessorThre...3ca-8622-4996f99c6d56-2-8 |  1277000 |   440000 |   533531880 |  16754265156 |         0 |      0 |  1380982408 |      0 |      0 |         0 
 49553 Thread 43 - PartitionProcessorThre...3ca-8622-4996f99c6d56-2-9 |  1318000 |   476000 |   557354025 |  17506078085 |         0 |      0 |  1532664754 |      0 |      0 |         0 
 49554 Thread 44 - PartitionProcessorThre...ca-8622-4996f99c6d56-2-10 |  1393000 |   432000 |   567260169 |  17808980972 |         0 |      0 |  1519076737 |      0 |      0 |         0 
 49555 Thread 45 - PartitionProcessorThre...ca-8622-4996f99c6d56-2-11 |  1318000 |   541000 |   577194107 |  18141135070 |         0 |      0 |  1484065451 |      0 |      0 |         0 
 49556 Thread 46 - PartitionProcessorThre...ca-8622-4996f99c6d56-2-12 |  1346000 |   462000 |   561532888 |  17643163335 |         0 |      0 |  1411502497 |      0 |      0 |         0 
 49557 Thread 47 - PartitionProcessorThre...ca-8622-4996f99c6d56-2-13 |  1334000 |   497000 |   567992564 |  17866768534 |         0 |      0 |  1400070061 |      0 |      0 |         0 
 49558 Thread 48 - PartitionProcessorThre...ca-8622-4996f99c6d56-2-14 |  1304000 |   463000 |   547308322 |  17241563117 |         0 |      0 |  1576820020 |      0 |      0 |         0 
