                                 Task                                 |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    | d:bio  | d:swap | d:reclaim 
 27379 Thread 1 - main                                                |  1026000 |   122000 |    78309052 |   8080023071 |  14848000 |   1024 |     4130308 |      0 |      0 |         0 
 27386 Thread 2 - Reference Handler                                   |     1000 |        0 |      382957 |      9917882 |         0 |      0 |      605758 |      0 |      0 |         0 
 27387 Thread 3 - Finalizer                                           |     1000 |        0 |       16894 |      6212687 |      5120 |      0 |      280991 |      0 |      0 |         0 
 27388 Thread 4 - Signal Dispatcher                                   |        0 |        0 |           0 |            0 |         0 |      0 |        9120 |      0 |      0 |         0 
 27394 Thread 11 - Common-Cleaner                                     |     3000 |        0 |      309304 |     24477765 |         0 |      0 |      456384 |      0 |      0 |         0 
 27399 Thread 13 - RMI Scheduler(0)                                   |     4000 |        0 |     1152644 |     36575925 |      1024 |      0 |       89756 |      0 |      0 |         0 
 27405 Thread 14 - RMI RenewClean-[10.231.182.152:42880]              |     2000 |        0 |      165125 |     14678003 |         0 |      0 |           0 |      0 |      0 |         0 
 27406 Thread 15 - RMI GC Daemon                                      |        0 |        0 |           0 |            0 |         0 |      0 |       12802 |      0 |      0 |         0 
 27410 Thread 16 - DecatonSubscriptionThread-decaton-benchmark        | 24302000 | 33035000 | 20249457304 | 565671232461 | 574402560 | 104448 | 13506702642 | 211870 |      0 |         0 
 27413 Thread 17 - kafka-coordinator-hear...hread | decaton-benchmark |   234000 |    33000 |    93487890 |   2629155995 |   4754432 |   4096 |    19213021 | 613517 |      0 |         0 
 27419 Thread 18 - PartitionProcessorThre...f1e-bd82-548541d82edf-0-0 |  1213000 |   339000 |   547940301 |  15322437499 |     36864 |      0 |  1221671287 |      0 |      0 |         0 
 27420 Thread 19 - PartitionProcessorThre...f1e-bd82-548541d82edf-0-1 |  1122000 |   371000 |   531380930 |  14758206953 |         0 |      0 |  1145227981 |      0 |      0 |         0 
 27421 Thread 20 - PartitionProcessorThre...f1e-bd82-548541d82edf-0-2 |  1109000 |   391000 |   529006344 |  14817932117 |      3072 |      0 |  1205660764 |      0 |      0 |         0 
