                                 Task                                 |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    |  d:bio  | d:swap | d:reclaim 
 96671 Thread 1 - main                                                |   587000 |    72000 |    41508076 |   5004837662 |  21203968 |   1024 |     5791741 |       0 |      0 |         0 
 96694 Thread 2 - Reference Handler                                   |     5000 |        0 |      492156 |     38768886 |         0 |      0 |     3601938 |       0 |      0 |         0 
 96695 Thread 3 - Finalizer                                           |     6000 |     1000 |      788984 |     55582820 |      5120 |      0 |      678168 |       0 |      0 |         0 
 96696 Thread 4 - Surrogate Locker Thread (Concurrent GC)             |        0 |        0 |           0 |            0 |         0 |      0 |       12195 |       0 |      0 |         0 
 96697 Thread 5 - Signal Dispatcher                                   |        0 |        0 |           0 |            0 |         0 |      0 |           0 |       0 |      0 |         0 
 96707 Thread 11 - DecatonSubscriptionThread-decaton-benchmark        | 30811000 | 32163000 | 19417925235 | 613332026558 | 636216320 | 128000 | 18582456254 |  138673 |      0 |         0 
 96708 Thread 13 - kafka-coordinator-hear...hread | decaton-benchmark |   168000 |    49000 |    66309753 |   2113845218 |   6754304 |   5120 |    30930127 |  297479 |      0 |         0 
 96711 Thread 14 - PartitionProcessorThre...480-9068-893c3d48e9dd-1-0 |  1335000 |   446000 |   546020256 |  17373651515 |         0 |      0 |  1480741134 |       0 |      0 |         0 
 96712 Thread 15 - PartitionProcessorThre...480-9068-893c3d48e9dd-1-1 |  1291000 |   442000 |   530205085 |  16894444644 |     36864 |      0 |  1514530646 |       0 |      0 |         0 
 96713 Thread 16 - PartitionProcessorThre...480-9068-893c3d48e9dd-1-2 |  1334000 |   476000 |   556687635 |  17657785007 |      9216 |      0 |  1443459551 |       0 |      0 |         0 
 96714 Thread 17 - PartitionProcessorThre...480-9068-893c3d48e9dd-1-3 |  1251000 |   466000 |   528085784 |  16749995933 |     35840 |      0 |  1452751656 |       0 |      0 |         0 
 96715 Thread 18 - PartitionProcessorThre...480-9068-893c3d48e9dd-1-4 |  1292000 |   464000 |   538878932 |  17125436933 |    121856 |      0 |  1532480466 |       0 |      0 |         0 
 96716 Thread 19 - PartitionProcessorThre...480-9068-893c3d48e9dd-1-5 |  1258000 |   443000 |   523803632 |  16596539269 |         0 |      0 |  1559249642 |       0 |      0 |         0 
 96718 Thread 20 - PartitionProcessorThre...480-9068-893c3d48e9dd-1-6 |  1336000 |   463000 |   555072311 |  17552266113 |         0 |      0 |  1442528954 |       0 |      0 |         0 
 96719 Thread 21 - PartitionProcessorThre...480-9068-893c3d48e9dd-1-7 |  1300000 |   435000 |   533235928 |  16926827406 |         0 |      0 |  1514950084 |       0 |      0 |         0 
 96720 Thread 22 - PartitionProcessorThre...480-9068-893c3d48e9dd-1-8 |  1344000 |   471000 |   559327416 |  17709333062 |      1024 |      0 |  1610907546 |       0 |      0 |         0 
 96721 Thread 23 - PartitionProcessorThre...480-9068-893c3d48e9dd-1-9 |  1305000 |   478000 |   548953588 |  17395561324 |         0 |      0 |  1335430397 |       0 |      0 |         0 
 96722 Thread 24 - PartitionProcessorThre...80-9068-893c3d48e9dd-1-10 |  1328000 |   466000 |   552945190 |  17503970699 |         0 |      0 |  1655991812 |       0 |      0 |         0 
 96723 Thread 25 - PartitionProcessorThre...80-9068-893c3d48e9dd-1-11 |  1310000 |   429000 |   534546792 |  16966148863 |         0 |      0 |  1675849894 |       0 |      0 |         0 
 96724 Thread 26 - PartitionProcessorThre...80-9068-893c3d48e9dd-1-12 |  1248000 |   428000 |   516418647 |  16351967925 |         0 |      0 |  1417110077 |       0 |      0 |         0 
 96725 Thread 27 - PartitionProcessorThre...80-9068-893c3d48e9dd-1-13 |  1278000 |   438000 |   528614092 |  16740837984 |         0 |      0 |  1514049204 | 2288678 |      0 |         0 
 96726 Thread 28 - PartitionProcessorThre...80-9068-893c3d48e9dd-1-14 |  1315000 |   457000 |   545864417 |  17289200179 |         0 |      0 |  1647766924 |       0 |      0 |         0 
 96727 Thread 29 - PartitionProcessorThre...80-9068-893c3d48e9dd-1-15 |  1366000 |   452000 |   555672928 |  17735723046 |         0 |      0 |  1726155458 |       0 |      0 |         0 
 96728 Thread 30 - PartitionProcessorThre...80-9068-893c3d48e9dd-1-16 |  1375000 |   425000 |   555615534 |  17564306773 |         0 |      0 |  1555095969 |       0 |      0 |         0 
 96729 Thread 31 - PartitionProcessorThre...80-9068-893c3d48e9dd-1-17 |  1311000 |   450000 |   543221464 |  17182695781 |         0 |      0 |  1401934665 |       0 |      0 |         0 
 96730 Thread 32 - PartitionProcessorThre...80-9068-893c3d48e9dd-1-18 |  1345000 |   494000 |   565653440 |  17944280441 |         0 |      0 |  1472194140 |       0 |      0 |         0 
 96731 Thread 33 - PartitionProcessorThre...80-9068-893c3d48e9dd-1-19 |  1293000 |   497000 |   550986092 |  17465762769 |         0 |      0 |  1516638720 |       0 |      0 |         0 
 96732 Thread 34 - PartitionProcessorThre...480-9068-893c3d48e9dd-0-0 |  1352000 |   432000 |   551922206 |  17407648624 |         0 |      0 |  1566777110 |       0 |      0 |         0 
 96733 Thread 35 - PartitionProcessorThre...480-9068-893c3d48e9dd-0-1 |  1287000 |   486000 |   550222440 |  17300556460 |         0 |      0 |  1378179342 |       0 |      0 |         0 
 96734 Thread 36 - PartitionProcessorThre...480-9068-893c3d48e9dd-0-2 |  1217000 |   480000 |   526245694 |  16559229312 |         0 |      0 |  1535406122 |       0 |      0 |         0 
 96735 Thread 37 - PartitionProcessorThre...480-9068-893c3d48e9dd-0-3 |  1266000 |   460000 |   534935381 |  16842159453 |         0 |      0 |  1264609171 |       0 |      0 |         0 
 96736 Thread 38 - PartitionProcessorThre...480-9068-893c3d48e9dd-0-4 |  1360000 |   464000 |   563987202 |  17798049312 |         0 |      0 |  1519159066 |       0 |      0 |         0 
 96737 Thread 39 - PartitionProcessorThre...480-9068-893c3d48e9dd-0-5 |  1315000 |   405000 |   532952495 |  16783593468 |         0 |      0 |  1470191085 |       0 |      0 |         0 
 96738 Thread 40 - PartitionProcessorThre...480-9068-893c3d48e9dd-0-6 |  1275000 |   456000 |   536709014 |  16891680421 |         0 |      0 |  1634406329 |       0 |      0 |         0 
 96739 Thread 41 - PartitionProcessorThre...480-9068-893c3d48e9dd-0-7 |  1309000 |   393000 |   528892694 |  16608850070 |         0 |      0 |  1560015896 |       0 |      0 |         0 
 96740 Thread 42 - PartitionProcessorThre...480-9068-893c3d48e9dd-0-8 |  1243000 |   478000 |   533817108 |  16793951433 |         0 |      0 |  1471915107 |       0 |      0 |         0 
 96741 Thread 43 - PartitionProcessorThre...480-9068-893c3d48e9dd-0-9 |  1319000 |   459000 |   550365905 |  17349593281 |         0 |      0 |  1469752130 |       0 |      0 |         0 
 96742 Thread 44 - PartitionProcessorThre...80-9068-893c3d48e9dd-0-10 |  1201000 |   430000 |   504663233 |  15914958968 |         0 |      0 |  1561548337 |       0 |      0 |         0 
 96743 Thread 45 - PartitionProcessorThre...80-9068-893c3d48e9dd-0-11 |  1326000 |   438000 |   546895237 |  17213738671 |         0 |      0 |  1546274538 |       0 |      0 |         0 
 96744 Thread 46 - PartitionProcessorThre...80-9068-893c3d48e9dd-0-12 |  1311000 |   471000 |   552555131 |  17388504542 |         0 |      0 |  1480558122 |       0 |      0 |         0 
 96745 Thread 47 - PartitionProcessorThre...80-9068-893c3d48e9dd-0-13 |  1251000 |   491000 |   540430413 |  16998315476 |         0 |      0 |  1461184689 |       0 |      0 |         0 
 96746 Thread 48 - PartitionProcessorThre...80-9068-893c3d48e9dd-0-14 |  1223000 |   456000 |   521708784 |  16384281640 |         0 |      0 |  1583204639 |       0 |      0 |         0 
 96747 Thread 49 - PartitionProcessorThre...80-9068-893c3d48e9dd-0-15 |  1259000 |   417000 |   518834061 |  16354079066 |         0 |      0 |  1535614542 |       0 |      0 |         0 
 96748 Thread 50 - PartitionProcessorThre...80-9068-893c3d48e9dd-0-16 |  1266000 |   458000 |   534528405 |  16822840449 |         0 |      0 |  1471319464 |       0 |      0 |         0 
 96749 Thread 51 - PartitionProcessorThre...80-9068-893c3d48e9dd-0-17 |  1347000 |   446000 |   555475573 |  17496035019 |         0 |      0 |  1532322733 |       0 |      0 |         0 
 96750 Thread 52 - PartitionProcessorThre...80-9068-893c3d48e9dd-0-18 |  1226000 |   479000 |   527584288 |  16637248046 |         0 |      0 |  1416357782 |       0 |      0 |         0 
 96751 Thread 53 - PartitionProcessorThre...80-9068-893c3d48e9dd-0-19 |  1338000 |   471000 |   559658877 |  17652314394 |         0 |      0 |  1462487854 |       0 |      0 |         0 
 96752 Thread 54 - PartitionProcessorThre...480-9068-893c3d48e9dd-2-0 |  1235000 |   426000 |   514661265 |  16207667953 |         0 |      0 |  1303245490 |       0 |      0 |         0 
 96753 Thread 55 - PartitionProcessorThre...480-9068-893c3d48e9dd-2-1 |  1307000 |   378000 |   524270565 |  16442115496 |         0 |      0 |  1493531644 |       0 |      0 |         0 
 96754 Thread 56 - PartitionProcessorThre...480-9068-893c3d48e9dd-2-2 |  1352000 |   434000 |   555102315 |  17427729960 |         0 |      0 |  1549895693 |       0 |      0 |         0 
 96755 Thread 57 - PartitionProcessorThre...480-9068-893c3d48e9dd-2-3 |  1236000 |   504000 |   541353280 |  16978882066 |         0 |      0 |  1275661449 |       0 |      0 |         0 
 96756 Thread 58 - PartitionProcessorThre...480-9068-893c3d48e9dd-2-4 |  1284000 |   502000 |   554900995 |  17427617023 |         0 |      0 |  1379179340 |       0 |      0 |         0 
 96757 Thread 59 - PartitionProcessorThre...480-9068-893c3d48e9dd-2-5 |  1301000 |   458000 |   548418667 |  17165133515 |         0 |      0 |  1581000431 |       0 |      0 |         0 
 96758 Thread 60 - PartitionProcessorThre...480-9068-893c3d48e9dd-2-6 |  1227000 |   453000 |   522251311 |  16393779988 |      1024 |      0 |  1571361367 |       0 |      0 |         0 
 96759 Thread 61 - PartitionProcessorThre...480-9068-893c3d48e9dd-2-7 |  1285000 |   413000 |   527315229 |  16569295933 |         0 |      0 |  1628645130 |       0 |      0 |         0 
 96760 Thread 62 - PartitionProcessorThre...480-9068-893c3d48e9dd-2-8 |  1281000 |   441000 |   535570487 |  16803649511 |         0 |      0 |  1252006082 |       0 |      0 |         0 
 96761 Thread 63 - PartitionProcessorThre...480-9068-893c3d48e9dd-2-9 |  1277000 |   428000 |   530236112 |  16637659941 |         0 |      0 |  1436694280 |       0 |      0 |         0 
 96762 Thread 64 - PartitionProcessorThre...80-9068-893c3d48e9dd-2-10 |  1259000 |   457000 |   533207932 |  16744682519 |         0 |      0 |  1582967796 |       0 |      0 |         0 
 96763 Thread 65 - PartitionProcessorThre...80-9068-893c3d48e9dd-2-11 |  1244000 |   438000 |   523569264 |  16413162015 |         0 |      0 |  1507506557 |       0 |      0 |         0 
 96764 Thread 66 - PartitionProcessorThre...80-9068-893c3d48e9dd-2-12 |  1333000 |   429000 |   547192213 |  17193050730 |         0 |      0 |  1405883954 |       0 |      0 |         0 
 96765 Thread 67 - PartitionProcessorThre...80-9068-893c3d48e9dd-2-13 |  1300000 |   470000 |   551381280 |  17272624816 |         0 |      0 |  1552286600 |       0 |      0 |         0 
 96766 Thread 68 - PartitionProcessorThre...80-9068-893c3d48e9dd-2-14 |  1239000 |   436000 |   520312796 |  16344473363 |         0 |      0 |  1520117433 |       0 |      0 |         0 
 96767 Thread 69 - PartitionProcessorThre...80-9068-893c3d48e9dd-2-15 |  1240000 |   432000 |   520147690 |  16315809054 |         0 |      0 |  1404723333 |       0 |      0 |         0 
