                                 Task                                 |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    | d:bio  | d:swap | d:reclaim 
 94299 Thread 1 - main                                                |   598000 |    76000 |    42120354 |   5110108177 |  21194752 |   1024 |     3282080 |      0 |      0 |         0 
 94321 Thread 2 - Reference Handler                                   |     6000 |        0 |      789281 |     48659710 |         0 |      0 |      349811 |      0 |      0 |         0 
 94322 Thread 3 - Finalizer                                           |     9000 |        0 |     1223089 |     73205406 |     13312 |      0 |      485648 |      0 |      0 |         0 
 94323 Thread 4 - Surrogate Locker Thread (Concurrent GC)             |        0 |        0 |           0 |            0 |         0 |      0 |           0 |      0 |      0 |         0 
 94324 Thread 5 - Signal Dispatcher                                   |        0 |        0 |           0 |            0 |         0 |      0 |           0 |      0 |      0 |         0 
 94334 Thread 11 - DecatonSubscriptionThread-decaton-benchmark        | 27737000 | 29531000 | 16794195141 | 557439774270 | 585603072 | 129024 | 17327348260 | 136816 |      0 |         0 
 94335 Thread 13 - kafka-coordinator-hear...hread | decaton-benchmark |   187000 |    58000 |    71881905 |   2382969987 |   6063104 |   4096 |    29497684 | 207327 |      0 |         0 
 94338 Thread 14 - PartitionProcessorThre...81b-bb8e-b83d5e2e4b88-2-0 |  1188000 |   381000 |   459221676 |  15291883254 |     34816 |      0 |  1490462413 |      0 |      0 |         0 
 94339 Thread 15 - PartitionProcessorThre...81b-bb8e-b83d5e2e4b88-2-1 |  1233000 |   392000 |   478545399 |  15848399390 |      3072 |      0 |  1233512798 |      0 |      0 |         0 
 94340 Thread 16 - PartitionProcessorThre...81b-bb8e-b83d5e2e4b88-2-2 |  1185000 |   354000 |   451571876 |  15008139980 |      3072 |      0 |  1372776827 |      0 |      0 |         0 
 94341 Thread 17 - PartitionProcessorThre...81b-bb8e-b83d5e2e4b88-2-3 |  1238000 |   438000 |   491386489 |  16339326339 |     16384 |      0 |  1779501512 |      0 |      0 |         0 
 94342 Thread 18 - PartitionProcessorThre...81b-bb8e-b83d5e2e4b88-2-4 |  1260000 |   387000 |   483239692 |  16063460086 |     25600 |      0 |  1589472152 |      0 |      0 |         0 
 94343 Thread 19 - PartitionProcessorThre...81b-bb8e-b83d5e2e4b88-2-5 |  1270000 |   399000 |   491086106 |  16278767316 |         0 |      0 |  1576294570 |      0 |      0 |         0 
 94344 Thread 20 - PartitionProcessorThre...81b-bb8e-b83d5e2e4b88-2-6 |  1185000 |   424000 |   471266258 |  15681804941 |    121856 |      0 |  1541928916 |      0 |      0 |         0 
 94345 Thread 21 - PartitionProcessorThre...81b-bb8e-b83d5e2e4b88-2-7 |  1259000 |   442000 |   499273649 |  16591299656 |         0 |      0 |  1455527906 |      0 |      0 |         0 
 94347 Thread 22 - PartitionProcessorThre...81b-bb8e-b83d5e2e4b88-2-8 |  1284000 |   399000 |   493953887 |  16415791066 |         0 |      0 |  1419956951 |      0 |      0 |         0 
 94348 Thread 23 - PartitionProcessorThre...81b-bb8e-b83d5e2e4b88-2-9 |  1244000 |   395000 |   482465395 |  15987839461 |         0 |      0 |  1308120715 |      0 |      0 |         0 
 94349 Thread 24 - PartitionProcessorThre...1b-bb8e-b83d5e2e4b88-2-10 |  1231000 |   420000 |   486608481 |  16105899133 |         0 |      0 |  1627663169 |      0 |      0 |         0 
 94350 Thread 25 - PartitionProcessorThre...1b-bb8e-b83d5e2e4b88-2-11 |  1141000 |   407000 |   455875723 |  15100069547 |         0 |      0 |  1479527842 |      0 |      0 |         0 
 94351 Thread 26 - PartitionProcessorThre...1b-bb8e-b83d5e2e4b88-2-12 |  1274000 |   412000 |   494674098 |  16444892285 |         0 |      0 |  1450016405 |      0 |      0 |         0 
 94352 Thread 27 - PartitionProcessorThre...1b-bb8e-b83d5e2e4b88-2-13 |  1241000 |   414000 |   484384551 |  16144532152 |         0 |      0 |  1355678880 |      0 |      0 |         0 
 94353 Thread 28 - PartitionProcessorThre...1b-bb8e-b83d5e2e4b88-2-14 |  1207000 |   397000 |   471255981 |  15647223000 |         0 |      0 |  1187734875 |      0 |      0 |         0 
 94354 Thread 29 - PartitionProcessorThre...1b-bb8e-b83d5e2e4b88-2-15 |  1287000 |   380000 |   490590914 |  16261054086 |      1024 |      0 |  1476836502 |      0 |      0 |         0 
 94355 Thread 30 - PartitionProcessorThre...1b-bb8e-b83d5e2e4b88-2-16 |  1281000 |   397000 |   491500285 |  16369449113 |         0 |      0 |  1519974557 |      0 |      0 |         0 
