                                 Task                                 |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    | d:bio  | d:swap | d:reclaim 
 90052 Thread 1 - main                                                |   580000 |    92000 |    41295150 |   5075229529 |  21054464 |   1024 |     4764602 |      0 |      0 |         0 
 90074 Thread 2 - Reference Handler                                   |     8000 |        0 |      952171 |     63918789 |         0 |      0 |     1415095 |      0 |      0 |         0 
 90075 Thread 3 - Finalizer                                           |    10000 |     1000 |     1590765 |     90520710 |      5120 |      0 |      159037 |      0 |      0 |         0 
 90076 Thread 4 - Surrogate Locker Thread (Concurrent GC)             |        0 |        0 |           0 |            0 |         0 |      0 |       12888 |      0 |      0 |         0 
 90077 Thread 5 - Signal Dispatcher                                   |        0 |        0 |           0 |            0 |         0 |      0 |           0 |      0 |      0 |         0 
 90087 Thread 11 - DecatonSubscriptionThread-decaton-benchmark        | 26807000 | 29761000 | 17178019356 | 550587494631 | 586544128 | 123904 | 16852995758 | 108447 |      0 |         0 
 90088 Thread 13 - kafka-coordinator-hear...hread | decaton-benchmark |   184000 |    51000 |    71546487 |   2289235687 |   5321728 |   4096 |    24710881 | 210935 |      0 |         0 
 90091 Thread 14 - PartitionProcessorThre...fd5-8424-8c491b19fb53-0-0 |  1135000 |   388000 |   462603110 |  14851570930 |     34816 |      0 |  1207596863 |      0 |      0 |         0 
 90092 Thread 15 - PartitionProcessorThre...fd5-8424-8c491b19fb53-0-1 |  1130000 |   425000 |   473258325 |  15170184954 |         0 |      0 |  1518899908 |      0 |      0 |         0 
 90093 Thread 16 - PartitionProcessorThre...fd5-8424-8c491b19fb53-0-2 |  1099000 |   367000 |   445711024 |  14297305067 |    119808 |      0 |  1401210868 |      0 |      0 |         0 
 90094 Thread 17 - PartitionProcessorThre...fd5-8424-8c491b19fb53-0-3 |  1169000 |   399000 |   477588411 |  15294553048 |         0 |      0 |  1537195149 |      0 |      0 |         0 
 90095 Thread 18 - PartitionProcessorThre...fd5-8424-8c491b19fb53-0-4 |  1150000 |   386000 |   467950309 |  14984126618 |         0 |      0 |  1417315667 |      0 |      0 |         0 
 90096 Thread 19 - PartitionProcessorThre...fd5-8424-8c491b19fb53-0-5 |  1115000 |   399000 |   460922923 |  14769134645 |         0 |      0 |  1377104522 |      0 |      0 |         0 
 90097 Thread 20 - PartitionProcessorThre...fd5-8424-8c491b19fb53-0-6 |  1113000 |   400000 |   459727962 |  14756873376 |         0 |      0 |  1436099970 |      0 |      0 |         0 
 90098 Thread 21 - PartitionProcessorThre...fd5-8424-8c491b19fb53-0-7 |  1153000 |   399000 |   471983254 |  15140385684 |         0 |      0 |  1582661560 |      0 |      0 |         0 
 90099 Thread 22 - PartitionProcessorThre...fd5-8424-8c491b19fb53-0-8 |  1197000 |   411000 |   490285758 |  15686604340 |         0 |      0 |  1424181406 |      0 |      0 |         0 
 90100 Thread 23 - PartitionProcessorThre...fd5-8424-8c491b19fb53-0-9 |  1161000 |   370000 |   464421165 |  14934644204 |         0 |      0 |  1213768906 |      0 |      0 |         0 
 90101 Thread 24 - PartitionProcessorThre...d5-8424-8c491b19fb53-0-10 |  1179000 |   428000 |   488700090 |  15675830653 |         0 |      0 |  1442374298 |      0 |      0 |         0 
 90102 Thread 25 - PartitionProcessorThre...d5-8424-8c491b19fb53-0-11 |  1207000 |   438000 |   499272536 |  16044055633 |      6144 |      0 |  1443054966 |      0 |      0 |         0 
 90103 Thread 26 - PartitionProcessorThre...d5-8424-8c491b19fb53-0-12 |  1171000 |   400000 |   476625329 |  15323632415 |      1024 |      0 |  1479851784 |      0 |      0 |         0 
