                                 Task                                 |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    | d:bio  | d:swap | d:reclaim 
 64003 Thread 1 - main                                                |   806000 |   136000 |    63414256 |   7234731588 |  34535424 |   2048 |     6364730 |      0 |      0 |         0 
 64025 Thread 2 - Reference Handler                                   |     7000 |     1000 |      886296 |     66206789 |         0 |      0 |     1662809 |      0 |      0 |         0 
 64026 Thread 3 - Finalizer                                           |     7000 |        0 |      685011 |     56168730 |      5120 |      0 |     1185908 |      0 |      0 |         0 
 64027 Thread 4 - Surrogate Locker Thread (Concurrent GC)             |        0 |        0 |           0 |            0 |         0 |      0 |           0 |      0 |      0 |         0 
 64028 Thread 5 - Signal Dispatcher                                   |        0 |     1000 |       26710 |      7292277 |         0 |      0 |        3871 |      0 |      0 |         0 
 64037 Thread 12 - RMI Scheduler(0)                                   |        0 |        0 |           0 |            0 |      2048 |      0 |       31601 |      0 |      0 |         0 
 64038 Thread 13 - RMI RenewClean-[10.231.182.152:39088]              |        0 |        0 |           0 |            0 |      1024 |      0 |        5346 |      0 |      0 |         0 
 64039 Thread 14 - GC Daemon                                          |        0 |        0 |           0 |            0 |         0 |      0 |           0 |      0 |      0 |         0 
 64041 Thread 15 - DecatonSubscriptionThread-decaton-benchmark        | 27186000 | 38472000 | 19638607691 | 640096338048 | 624979968 | 116736 | 17085408037 |  95428 |      0 |         0 
 64043 Thread 16 - kafka-coordinator-hear...hread | decaton-benchmark |   211000 |    44000 |    74920944 |   2483531855 |   6337536 |   6144 |    27719551 | 117083 |      0 |         0 
 64047 Thread 17 - PartitionProcessorThre...5af-b9a3-0ea8f876f393-2-0 |  1222000 |   461000 |   500281997 |  16420076567 |     34816 |      0 |   970134649 |      0 |      0 |         0 
 64048 Thread 18 - PartitionProcessorThre...5af-b9a3-0ea8f876f393-2-1 |  1192000 |   491000 |   501536821 |  16429002278 |         0 |      0 |  1088196579 |      0 |      0 |         0 
 64049 Thread 19 - PartitionProcessorThre...5af-b9a3-0ea8f876f393-2-2 |  1264000 |   456000 |   512738200 |  16788216106 |         0 |      0 |  1115867497 |      0 |      0 |         0 
 64050 Thread 20 - PartitionProcessorThre...5af-b9a3-0ea8f876f393-2-3 |  1256000 |   452000 |   507107707 |  16660354047 |      8192 |      0 |   871049869 |      0 |      0 |         0 
 64051 Thread 21 - PartitionProcessorThre...5af-b9a3-0ea8f876f393-2-4 |  1177000 |   454000 |   485225774 |  15922008610 |         0 |      0 |   898732628 |      0 |      0 |         0 
 64052 Thread 22 - PartitionProcessorThre...5af-b9a3-0ea8f876f393-2-5 |  1153000 |   468000 |   482066817 |  15824156278 |      1024 |      0 |   768384184 |      0 |      0 |         0 
 64053 Thread 23 - PartitionProcessorThre...5af-b9a3-0ea8f876f393-2-6 |  1213000 |   454000 |   495357840 |  16274653278 |         0 |      0 |   921682402 |      0 |      0 |         0 
 64054 Thread 24 - PartitionProcessorThre...5af-b9a3-0ea8f876f393-2-7 |  1270000 |   449000 |   513071434 |  16781147899 |         0 |      0 |   968610602 |      0 |      0 |         0 
 64055 Thread 25 - PartitionProcessorThre...5af-b9a3-0ea8f876f393-2-8 |  1199000 |   443000 |   491330461 |  16031535699 |         0 |      0 |  1011928869 |      0 |      0 |         0 
