                                 Task                                 |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    | d:bio  | d:swap | d:reclaim 
 11535 Thread 1 - main                                                |   827000 |   174000 |    66940290 |   7685936193 |  34317312 |   1024 |     7827097 |      0 |      0 |         0 
 11557 Thread 2 - Reference Handler                                   |     5000 |     2000 |      737714 |     56713699 |         0 |      0 |       64756 |      0 |      0 |         0 
 11558 Thread 3 - Finalizer                                           |     6000 |        0 |      473042 |     46058019 |     19456 |      0 |      858782 |      0 |      0 |         0 
 11559 Thread 4 - Surrogate Locker Thread (Concurrent GC)             |        0 |        0 |           0 |            0 |         0 |      0 |         824 |      0 |      0 |         0 
 11560 Thread 5 - Signal Dispatcher                                   |        0 |        0 |           0 |            0 |         0 |      0 |        2274 |      0 |      0 |         0 
 11567 Thread 12 - RMI Scheduler(0)                                   |     1000 |     2000 |      705746 |     27278308 |      4096 |      0 |       38264 |      0 |      0 |         0 
 11568 Thread 13 - RMI RenewClean-[10.231.182.152:44563]              |        0 |     1000 |       82195 |      7828250 |      1024 |      0 |           0 |      0 |      0 |         0 
 11569 Thread 14 - GC Daemon                                          |        0 |        0 |           0 |            0 |         0 |      0 |         771 |      0 |      0 |         0 
 11572 Thread 15 - DecatonSubscriptionThread-decaton-benchmark        | 28279000 | 33614000 | 19049732995 | 603214236811 | 624246784 | 124928 | 19990551840 | 145081 |      0 |         0 
 11575 Thread 16 - kafka-coordinator-hear...hread | decaton-benchmark |   202000 |    40000 |    72992308 |   2351307886 |   6721536 |   4096 |    33649671 | 671567 |      0 |         0 
 11579 Thread 17 - PartitionProcessorThre...1e2-829e-67fa96e1568a-2-0 |  1454000 |   476000 |   592387015 |  18811283601 |     43008 |      0 |  1721956374 |      0 |      0 |         0 
 11580 Thread 18 - PartitionProcessorThre...1e2-829e-67fa96e1568a-2-1 |  1481000 |   464000 |   599777570 |  18979364316 |         0 |      0 |  1600693881 |      0 |      0 |         0 
 11581 Thread 19 - PartitionProcessorThre...1e2-829e-67fa96e1568a-2-2 |  1530000 |   456000 |   613470562 |  19379699738 |         0 |      0 |  1443118751 |      0 |      0 |         0 
 11582 Thread 20 - PartitionProcessorThre...1e2-829e-67fa96e1568a-2-3 |  1470000 |   485000 |   602353386 |  19074156988 |         0 |      0 |  1774690024 |      0 |      0 |         0 
