                                 Task                                 |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    | d:bio  | d:swap | d:reclaim 
 30281 Thread 1 - main                                                |   579000 |    95000 |    40459280 |   5094744115 |  21047296 |   1024 |     4423990 |      0 |      0 |         0 
 30303 Thread 2 - Reference Handler                                   |     7000 |     1000 |      714664 |     61300101 |         0 |      0 |      480118 |      0 |      0 |         0 
 30304 Thread 3 - Finalizer                                           |     7000 |     1000 |      714917 |     61365105 |     13312 |      0 |       94076 |      0 |      0 |         0 
 30305 Thread 4 - Surrogate Locker Thread (Concurrent GC)             |        0 |        0 |           0 |            0 |         0 |      0 |           0 |      0 |      0 |         0 
 30306 Thread 5 - Signal Dispatcher                                   |        0 |        0 |           0 |            0 |         0 |      0 |        2372 |      0 |      0 |         0 
 30317 Thread 11 - DecatonSubscriptionThread-decaton-benchmark        | 25690000 | 29450000 | 16604633572 | 536583456771 | 586115072 | 132096 | 17587873621 | 825226 |      0 |         0 
 30318 Thread 13 - kafka-coordinator-hear...hread | decaton-benchmark |   182000 |    42000 |    67484218 |   2183176319 |   5770240 |   4096 |    57836139 | 340782 |      0 |         0 
 30321 Thread 14 - PartitionProcessorThre...3b4-bcee-af455d7d84c0-1-0 |  1148000 |   435000 |   476154368 |  15438962637 |         0 |      0 |  1376688489 |      0 |      0 |         0 
 30322 Thread 15 - PartitionProcessorThre...3b4-bcee-af455d7d84c0-1-1 |  1209000 |   429000 |   490668360 |  15967663700 |     33792 |      0 |  1478028227 |      0 |      0 |         0 
 30323 Thread 16 - PartitionProcessorThre...3b4-bcee-af455d7d84c0-1-2 |  1179000 |   433000 |   482660582 |  15717542290 |         0 |      0 |  1345091753 |      0 |      0 |         0 
 30324 Thread 17 - PartitionProcessorThre...3b4-bcee-af455d7d84c0-1-3 |  1241000 |   431000 |   501702902 |  16307255321 |         0 |      0 |  1384599974 |      0 |      0 |         0 
 30325 Thread 18 - PartitionProcessorThre...3b4-bcee-af455d7d84c0-1-4 |  1204000 |   421000 |   489067801 |  15848302532 |     54272 |      0 |  1472716340 |      0 |      0 |         0 
 30326 Thread 19 - PartitionProcessorThre...3b4-bcee-af455d7d84c0-1-5 |  1180000 |   379000 |   466717024 |  15205853841 |         0 |      0 |  1314426329 |      0 |      0 |         0 
 30327 Thread 20 - PartitionProcessorThre...3b4-bcee-af455d7d84c0-1-6 |  1228000 |   420000 |   495896305 |  16071674110 |         0 |      0 |  1306884138 |      0 |      0 |         0 
 30328 Thread 21 - PartitionProcessorThre...3b4-bcee-af455d7d84c0-1-7 |  1200000 |   412000 |   481963090 |  15718827672 |         0 |      0 |  1423164309 |      0 |      0 |         0 
 30329 Thread 22 - PartitionProcessorThre...3b4-bcee-af455d7d84c0-1-8 |  1209000 |   401000 |   481853356 |  15697716122 |     64512 |      0 |  1354343995 |      0 |      0 |         0 
 30330 Thread 23 - PartitionProcessorThre...3b4-bcee-af455d7d84c0-1-9 |  1164000 |   420000 |   475869844 |  15448895274 |         0 |      0 |  1292727079 |      0 |      0 |         0 
 30331 Thread 24 - PartitionProcessorThre...b4-bcee-af455d7d84c0-1-10 |  1220000 |   406000 |   488203989 |  15854075493 |      5120 |      0 |  1502221009 |      0 |      0 |         0 
 30332 Thread 25 - PartitionProcessorThre...b4-bcee-af455d7d84c0-1-11 |  1241000 |   415000 |   498175715 |  16151008036 |         0 |      0 |  1577761119 |      0 |      0 |         0 
 30333 Thread 26 - PartitionProcessorThre...b4-bcee-af455d7d84c0-1-12 |  1264000 |   426000 |   507557625 |  16484354860 |      1024 |      0 |  1530062732 |      0 |      0 |         0 
 30334 Thread 27 - PartitionProcessorThre...b4-bcee-af455d7d84c0-1-13 |  1234000 |   385000 |   485753082 |  15790201981 |         0 |      0 |  1438245433 |      0 |      0 |         0 
 30335 Thread 28 - PartitionProcessorThre...b4-bcee-af455d7d84c0-1-14 |  1206000 |   379000 |   476456321 |  15461735684 |         0 |      0 |  1405897561 |      0 |      0 |         0 
 30336 Thread 29 - PartitionProcessorThre...b4-bcee-af455d7d84c0-1-15 |  1278000 |   403000 |   502672289 |  16397550438 |         0 |      0 |  1432030614 |      0 |      0 |         0 
 30337 Thread 30 - PartitionProcessorThre...b4-bcee-af455d7d84c0-1-16 |  1178000 |   462000 |   493331879 |  15996361419 |         0 |      0 |  1394759508 |      0 |      0 |         0 
 30338 Thread 31 - PartitionProcessorThre...b4-bcee-af455d7d84c0-1-17 |  1211000 |   428000 |   491615219 |  15987141024 |  10869760 |      0 |  1495696200 |      0 |      0 |         0 
 30339 Thread 32 - PartitionProcessorThre...b4-bcee-af455d7d84c0-1-18 |  1170000 |   440000 |   484608098 |  15704687696 |      4096 |      0 |  1522760240 |      0 |      0 |         0 
 30340 Thread 33 - PartitionProcessorThre...b4-bcee-af455d7d84c0-1-19 |  1250000 |   412000 |   498182797 |  16212341715 |         0 |      0 |  1510541075 |      0 |      0 |         0 
 30341 Thread 34 - PartitionProcessorThre...3b4-bcee-af455d7d84c0-2-0 |  1169000 |   400000 |   475927739 |  15305578262 |         0 |      0 |  1587489782 |      0 |      0 |         0 
 30342 Thread 35 - PartitionProcessorThre...3b4-bcee-af455d7d84c0-2-1 |  1189000 |   338000 |   463585325 |  14896605239 |         0 |      0 |  1476421153 |      0 |      0 |         0 
 30343 Thread 36 - PartitionProcessorThre...3b4-bcee-af455d7d84c0-2-2 |  1159000 |   412000 |   476654762 |  15325266411 |         0 |      0 |  1526115561 |      0 |      0 |         0 
 30344 Thread 37 - PartitionProcessorThre...3b4-bcee-af455d7d84c0-2-3 |  1116000 |   368000 |   448803001 |  14477118388 |         0 |      0 |  1333990372 |      0 |      0 |         0 
 30345 Thread 38 - PartitionProcessorThre...3b4-bcee-af455d7d84c0-2-4 |  1123000 |   400000 |   461222149 |  14857461282 |      3072 |      0 |  1515742867 |      0 |      0 |         0 
 30346 Thread 39 - PartitionProcessorThre...3b4-bcee-af455d7d84c0-2-5 |  1194000 |   406000 |   485110387 |  15608581524 |         0 |      0 |  1612547529 |      0 |      0 |         0 
 30347 Thread 40 - PartitionProcessorThre...3b4-bcee-af455d7d84c0-2-6 |  1199000 |   413000 |   489290184 |  15725366606 |         0 |      0 |  1551181569 |      0 |      0 |         0 
 30348 Thread 41 - PartitionProcessorThre...3b4-bcee-af455d7d84c0-2-7 |  1231000 |   406000 |   496273602 |  15969787086 |         0 |      0 |  1524873570 |      0 |      0 |         0 
 30349 Thread 42 - PartitionProcessorThre...3b4-bcee-af455d7d84c0-2-8 |  1133000 |   373000 |   457193598 |  14691631364 |         0 |      0 |  1485801922 |      0 |      0 |         0 
 30350 Thread 43 - PartitionProcessorThre...3b4-bcee-af455d7d84c0-2-9 |  1166000 |   380000 |   469632055 |  15082066239 |         0 |      0 |  1541664319 |      0 |      0 |         0 
 30351 Thread 44 - PartitionProcessorThre...b4-bcee-af455d7d84c0-2-10 |  1143000 |   409000 |   471061598 |  15140817516 |         0 |      0 |  1478531720 |      0 |      0 |         0 
 30352 Thread 45 - PartitionProcessorThre...b4-bcee-af455d7d84c0-2-11 |  1169000 |   371000 |   465315457 |  15023493469 |         0 |      0 |  1517993563 |      0 |      0 |         0 
 30353 Thread 46 - PartitionProcessorThre...b4-bcee-af455d7d84c0-2-12 |  1180000 |   413000 |   483921637 |  15540888469 |         0 |      0 |  1294240048 |      0 |      0 |         0 
 30354 Thread 47 - PartitionProcessorThre...b4-bcee-af455d7d84c0-2-13 |  1198000 |   413000 |   487738551 |  15715674313 |         0 |      0 |  1415113357 |      0 |      0 |         0 
 30355 Thread 48 - PartitionProcessorThre...b4-bcee-af455d7d84c0-2-14 |  1206000 |   392000 |   484043317 |  15589396067 |         0 |      0 |  1384789839 |      0 |      0 |         0 
