                                 Task                                 |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    | d:bio  | d:swap | d:reclaim 
 34442 Thread 1 - main                                                |   820000 |   137000 |    67037916 |   7381847467 |  34323456 |   2048 |    14761303 |      0 |      0 |         0 
 34464 Thread 2 - Reference Handler                                   |     7000 |        0 |      725972 |     56720726 |         0 |      0 |     1921792 |      0 |      0 |         0 
 34465 Thread 3 - Finalizer                                           |     9000 |        0 |      830624 |     71469949 |     13312 |      0 |     1299305 |      0 |      0 |         0 
 34466 Thread 4 - Surrogate Locker Thread (Concurrent GC)             |     1000 |        0 |      104480 |      7966292 |         0 |      0 |           0 |      0 |      0 |         0 
 34467 Thread 5 - Signal Dispatcher                                   |        0 |        0 |           0 |            0 |         0 |      0 |           0 |      0 |      0 |         0 
 34477 Thread 12 - RMI Scheduler(0)                                   |     2000 |     2000 |     1191351 |     39061335 |      4096 |      0 |      116184 |      0 |      0 |         0 
 34478 Thread 13 - RMI RenewClean-[10.231.182.152:40906]              |     1000 |        0 |       83058 |      7893253 |      1024 |      0 |           0 |      0 |      0 |         0 
 34479 Thread 14 - GC Daemon                                          |        0 |        0 |           0 |            0 |         0 |      0 |       10086 |      0 |      0 |         0 
 34481 Thread 15 - DecatonSubscriptionThread-decaton-benchmark        | 27668000 | 30244000 | 16741718741 | 564171562712 | 572995584 | 153600 | 17831815784 | 223797 |      0 |         0 
 34484 Thread 16 - kafka-coordinator-hear...hread | decaton-benchmark |   268000 |    66000 |    96084081 |   3249641296 |   6757376 |   7168 |    54349159 | 910426 |      0 |         0 
 34487 Thread 17 - PartitionProcessorThre...fb3-9b26-e058e9e03d76-2-0 |  1332000 |   407000 |   502567535 |  16951799387 |     34816 |      0 |  1679640269 |      0 |      0 |         0 
 34488 Thread 18 - PartitionProcessorThre...fb3-9b26-e058e9e03d76-2-1 |  1434000 |   399000 |   531166902 |  17875681172 |         0 |      0 |  1689353612 |      0 |      0 |         0 
 34489 Thread 19 - PartitionProcessorThre...fb3-9b26-e058e9e03d76-2-2 |  1353000 |   371000 |   498477840 |  16808149172 |      2048 |      0 |  1610605916 |      0 |      0 |         0 
 34490 Thread 20 - PartitionProcessorThre...fb3-9b26-e058e9e03d76-2-3 |  1379000 |   404000 |   516316429 |  17387735769 |      1024 |      0 |  1750993103 |      0 |      0 |         0 
 34491 Thread 21 - PartitionProcessorThre...fb3-9b26-e058e9e03d76-2-4 |  1317000 |   433000 |   507090437 |  17067357187 |      1024 |      0 |  1706478620 |      0 |      0 |         0 
 34492 Thread 22 - PartitionProcessorThre...fb3-9b26-e058e9e03d76-2-5 |  1357000 |   411000 |   511763957 |  17247457012 |         0 |      0 |  1838886444 |      0 |      0 |         0 
 34493 Thread 23 - PartitionProcessorThre...fb3-9b26-e058e9e03d76-2-6 |  1282000 |   388000 |   481486066 |  16284666484 |      3072 |      0 |  1602613633 |      0 |      0 |         0 
