                                 Task                                 |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    | d:bio  | d:swap | d:reclaim 
 83628 Thread 1 - main                                                |   603000 |    70000 |    41439404 |   5092338252 |  21055488 |   1024 |     3487659 |      0 |      0 |         0 
 83650 Thread 2 - Reference Handler                                   |     9000 |        0 |      814222 |     68998667 |         0 |      0 |       63206 |      0 |      0 |         0 
 83651 Thread 3 - Finalizer                                           |     5000 |        0 |      495511 |     38768847 |      5120 |      0 |      844431 |      0 |      0 |         0 
 83652 Thread 4 - Surrogate Locker Thread (Concurrent GC)             |        0 |        0 |           0 |            0 |         0 |      0 |        1309 |      0 |      0 |         0 
 83653 Thread 5 - Signal Dispatcher                                   |        0 |        0 |           0 |            0 |         0 |      0 |           0 |      0 |      0 |         0 
 83663 Thread 11 - DecatonSubscriptionThread-decaton-benchmark        | 28593000 | 29711000 | 17061171754 | 567480048230 | 586339328 | 131072 | 17131374557 | 193313 |      0 |         0 
 83664 Thread 13 - kafka-coordinator-hear...hread | decaton-benchmark |   177000 |    41000 |    63605980 |   2123200589 |   5518336 |   5120 |    21988610 | 333407 |      0 |         0 
 83667 Thread 14 - PartitionProcessorThre...983-b24a-b62d31700b34-2-0 |  1148000 |   415000 |   453968313 |  15234879966 |     33792 |      0 |  1289126621 |      0 |      0 |         0 
 83668 Thread 15 - PartitionProcessorThre...983-b24a-b62d31700b34-2-1 |  1167000 |   413000 |   459583919 |  15411606571 |    118784 |      0 |  1278103243 |      0 |      0 |         0 
 83669 Thread 16 - PartitionProcessorThre...983-b24a-b62d31700b34-2-2 |  1150000 |   379000 |   447211954 |  14916084774 |         0 |      0 |  1346901338 |      0 |      0 |         0 
 83670 Thread 17 - PartitionProcessorThre...983-b24a-b62d31700b34-2-3 |  1133000 |   373000 |   438585716 |  14691054509 |         0 |      0 |  1428658787 |      0 |      0 |         0 
 83671 Thread 18 - PartitionProcessorThre...983-b24a-b62d31700b34-2-4 |  1152000 |   409000 |   457836133 |  15227650868 |         0 |      0 |  1277111305 |      0 |      0 |         0 
 83672 Thread 19 - PartitionProcessorThre...983-b24a-b62d31700b34-2-5 |  1170000 |   391000 |   456680547 |  15226451641 |         0 |      0 |  1410876876 |      0 |      0 |         0 
 83673 Thread 20 - PartitionProcessorThre...983-b24a-b62d31700b34-2-6 |  1148000 |   376000 |   445439047 |  14867405075 |         0 |      0 |  1364091146 |      0 |      0 |         0 
 83674 Thread 21 - PartitionProcessorThre...983-b24a-b62d31700b34-2-7 |  1155000 |   396000 |   452734571 |  15130287106 |         0 |      0 |  1434646152 |      0 |      0 |         0 
 83675 Thread 22 - PartitionProcessorThre...983-b24a-b62d31700b34-2-8 |  1132000 |   389000 |   444036598 |  14837434739 |         0 |      0 |  1476429501 |      0 |      0 |         0 
 83676 Thread 23 - PartitionProcessorThre...983-b24a-b62d31700b34-2-9 |  1206000 |   398000 |   469068653 |  15647921809 |         0 |      0 |  1219225547 |      0 |      0 |         0 
 83677 Thread 24 - PartitionProcessorThre...83-b24a-b62d31700b34-2-10 |  1105000 |   424000 |   448035508 |  14915782419 |         0 |      0 |  1346198007 |      0 |      0 |         0 
 83678 Thread 25 - PartitionProcessorThre...83-b24a-b62d31700b34-2-11 |  1155000 |   407000 |   456532766 |  15236953801 |         0 |      0 |  1151775279 |      0 |      0 |         0 
 83679 Thread 26 - PartitionProcessorThre...83-b24a-b62d31700b34-2-12 |  1094000 |   406000 |   438523641 |  14632669735 |         0 |      0 |  1088752558 |      0 |      0 |         0 
 83680 Thread 27 - PartitionProcessorThre...83-b24a-b62d31700b34-2-13 |  1134000 |   404000 |   449826770 |  15001956102 |      3072 |      0 |  1333597647 |      0 |      0 |         0 
 83681 Thread 28 - PartitionProcessorThre...83-b24a-b62d31700b34-2-14 |  1115000 |   381000 |   436945419 |  14594576134 |         0 |      0 |  1347611823 |      0 |      0 |         0 
 83682 Thread 29 - PartitionProcessorThre...83-b24a-b62d31700b34-2-15 |  1192000 |   360000 |   453068622 |  15140440341 |         0 |      0 |  1416584004 |      0 |      0 |         0 
 83683 Thread 30 - PartitionProcessorThre...83-b24a-b62d31700b34-2-16 |  1197000 |   373000 |   459064309 |  15314291333 |         0 |      0 |  1368819285 |      0 |      0 |         0 
 83684 Thread 31 - PartitionProcessorThre...83-b24a-b62d31700b34-2-17 |  1234000 |   432000 |   486615868 |  16249992454 |      3072 |      0 |  1511520453 |      0 |      0 |         0 
 83685 Thread 32 - PartitionProcessorThre...83-b24a-b62d31700b34-2-18 |  1139000 |   421000 |   457626602 |  15217381817 |         0 |      0 |  1477960658 |      0 |      0 |         0 
 83686 Thread 33 - PartitionProcessorThre...83-b24a-b62d31700b34-2-19 |  1140000 |   412000 |   453284817 |  15139501520 |         0 |      0 |  1495984903 |      0 |      0 |         0 
 83687 Thread 34 - PartitionProcessorThre...983-b24a-b62d31700b34-1-0 |  1079000 |   386000 |   431436075 |  14289833559 |     40960 |      0 |  1305409871 |      0 |      0 |         0 
 83688 Thread 35 - PartitionProcessorThre...983-b24a-b62d31700b34-1-1 |  1038000 |   354000 |   409873278 |  13579552841 |      2048 |      0 |  1197192551 |      0 |      0 |         0 
 83689 Thread 36 - PartitionProcessorThre...983-b24a-b62d31700b34-1-2 |  1098000 |   401000 |   440319079 |  14623285184 |  10831872 |      0 |  1307645801 |      0 |      0 |         0 
 83690 Thread 37 - PartitionProcessorThre...983-b24a-b62d31700b34-1-3 |  1127000 |   430000 |   458803497 |  15188635633 |         0 |      0 |  1337237054 |      0 |      0 |         0 
 83691 Thread 38 - PartitionProcessorThre...983-b24a-b62d31700b34-1-4 |  1186000 |   427000 |   475249879 |  15735398915 |         0 |      0 |  1374607035 |      0 |      0 |         0 
 83692 Thread 39 - PartitionProcessorThre...983-b24a-b62d31700b34-1-5 |  1144000 |   407000 |   456890836 |  15130446731 |         0 |      0 |  1173023493 |      0 |      0 |         0 
 83693 Thread 40 - PartitionProcessorThre...983-b24a-b62d31700b34-1-6 |  1085000 |   384000 |   432042434 |  14330658321 |         0 |      0 |  1396634352 |      0 |      0 |         0 
 83694 Thread 41 - PartitionProcessorThre...983-b24a-b62d31700b34-1-7 |  1034000 |   388000 |   418290048 |  13872065509 |         0 |      0 |  1269764666 |      0 |      0 |         0 
 83695 Thread 42 - PartitionProcessorThre...983-b24a-b62d31700b34-1-8 |  1163000 |   419000 |   466468055 |  15433261438 |         0 |      0 |  1339013921 |      0 |      0 |         0 
 83696 Thread 43 - PartitionProcessorThre...983-b24a-b62d31700b34-1-9 |  1082000 |   401000 |   436666368 |  14467248692 |         0 |      0 |  1346814358 |      0 |      0 |         0 
 83697 Thread 44 - PartitionProcessorThre...83-b24a-b62d31700b34-1-10 |  1133000 |   366000 |   441432587 |  14623194798 |         0 |      0 |  1339723650 |      0 |      0 |         0 
 83698 Thread 45 - PartitionProcessorThre...83-b24a-b62d31700b34-1-11 |  1154000 |   402000 |   458528368 |  15179507575 |         0 |      0 |  1422300547 |      0 |      0 |         0 
 83699 Thread 46 - PartitionProcessorThre...83-b24a-b62d31700b34-1-12 |  1047000 |   368000 |   418120606 |  13804117724 |         0 |      0 |  1282097787 |      0 |      0 |         0 
 83700 Thread 47 - PartitionProcessorThre...83-b24a-b62d31700b34-1-13 |  1088000 |   384000 |   433767883 |  14360045368 |      3072 |      0 |  1218878948 |      0 |      0 |         0 
 83701 Thread 48 - PartitionProcessorThre...83-b24a-b62d31700b34-1-14 |  1083000 |   383000 |   431434716 |  14301463251 |         0 |      0 |  1169144405 |      0 |      0 |         0 
 83702 Thread 49 - PartitionProcessorThre...83-b24a-b62d31700b34-1-15 |  1045000 |   371000 |   417328177 |  13813927935 |      1024 |      0 |  1346907579 |      0 |      0 |         0 
 83703 Thread 50 - PartitionProcessorThre...83-b24a-b62d31700b34-1-16 |  1112000 |   421000 |   451542731 |  14955260716 |         0 |      0 |  1241545447 |      0 |      0 |         0 
 83704 Thread 51 - PartitionProcessorThre...83-b24a-b62d31700b34-1-17 |  1101000 |   405000 |   444463891 |  14691560938 |         0 |      0 |  1379726900 |      0 |      0 |         0 
 83705 Thread 52 - PartitionProcessorThre...83-b24a-b62d31700b34-1-18 |  1092000 |   419000 |   446175856 |  14740664829 |         0 |      0 |  1242345248 |      0 |      0 |         0 
 83706 Thread 53 - PartitionProcessorThre...83-b24a-b62d31700b34-1-19 |  1202000 |   393000 |   470040934 |  15560320469 |         0 |      0 |  1073940791 |      0 |      0 |         0 
 83707 Thread 54 - PartitionProcessorThre...983-b24a-b62d31700b34-0-0 |  1101000 |   422000 |   449654384 |  14857706501 |         0 |      0 |  1350616717 |      0 |      0 |         0 
 83708 Thread 55 - PartitionProcessorThre...983-b24a-b62d31700b34-0-1 |  1135000 |   436000 |   463693641 |  15326002731 |         0 |      0 |  1300842631 |      0 |      0 |         0 
 83709 Thread 56 - PartitionProcessorThre...983-b24a-b62d31700b34-0-2 |  1062000 |   400000 |   430679630 |  14262363438 |         0 |      0 |  1294028847 |      0 |      0 |         0 
 83710 Thread 57 - PartitionProcessorThre...983-b24a-b62d31700b34-0-3 |  1120000 |   406000 |   449749630 |  14886770356 |         0 |      0 |  1380647591 |      0 |      0 |         0 
 83711 Thread 58 - PartitionProcessorThre...983-b24a-b62d31700b34-0-4 |  1158000 |   343000 |   443246817 |  14642980884 |         0 |      0 |  1298350575 |      0 |      0 |         0 
 83712 Thread 59 - PartitionProcessorThre...983-b24a-b62d31700b34-0-5 |  1116000 |   385000 |   442488294 |  14642916141 |         0 |      0 |  1211376899 |      0 |      0 |         0 
 83713 Thread 60 - PartitionProcessorThre...983-b24a-b62d31700b34-0-6 |  1115000 |   467000 |   466828114 |  15433095337 |         0 |      0 |  1385871591 |      0 |      0 |         0 
 83714 Thread 61 - PartitionProcessorThre...983-b24a-b62d31700b34-0-7 |  1130000 |   433000 |   461692118 |  15248050934 |         0 |      0 |  1279903622 |      0 |      0 |         0 
 83715 Thread 62 - PartitionProcessorThre...983-b24a-b62d31700b34-0-8 |  1108000 |   412000 |   448738962 |  14828501372 |         0 |      0 |  1187181978 |      0 |      0 |         0 
 83716 Thread 63 - PartitionProcessorThre...983-b24a-b62d31700b34-0-9 |  1187000 |   377000 |   460893977 |  15257608649 |         0 |      0 |  1286589149 |      0 |      0 |         0 
 83717 Thread 64 - PartitionProcessorThre...83-b24a-b62d31700b34-0-10 |  1098000 |   396000 |   441427579 |  14574971544 |         0 |      0 |  1445716107 |      0 |      0 |         0 
 83718 Thread 65 - PartitionProcessorThre...83-b24a-b62d31700b34-0-11 |  1122000 |   441000 |   461168446 |  15247860208 |         0 |      0 |  1440644609 |      0 |      0 |         0 
 83719 Thread 66 - PartitionProcessorThre...83-b24a-b62d31700b34-0-12 |  1128000 |   410000 |   453569665 |  15004137934 |         0 |      0 |  1468155086 |      0 |      0 |         0 
 83720 Thread 67 - PartitionProcessorThre...83-b24a-b62d31700b34-0-13 |  1160000 |   410000 |   463229282 |  15316256837 |         0 |      0 |  1151656803 |      0 |      0 |         0 
 83721 Thread 68 - PartitionProcessorThre...83-b24a-b62d31700b34-0-14 |  1111000 |   410000 |   449714227 |  14838046462 |         0 |      0 |  1300451398 |      0 |      0 |         0 
 83722 Thread 69 - PartitionProcessorThre...83-b24a-b62d31700b34-0-15 |  1150000 |   395000 |   454845653 |  15072132255 |         0 |      0 |  1607987879 |      0 |      0 |         0 
 83723 Thread 70 - PartitionProcessorThre...83-b24a-b62d31700b34-0-16 |  1150000 |   368000 |   446931524 |  14809038122 |      9216 |      0 |  1366034321 |      0 |      0 |         0 
 83724 Thread 71 - PartitionProcessorThre...83-b24a-b62d31700b34-0-17 |  1042000 |   390000 |   422384477 |  13970066216 |         0 |      0 |  1160023985 |      0 |      0 |         0 
