                                 Task                                  |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    | d:bio  | d:swap | d:reclaim 
 117478 Thread 1 - main                                                |   658000 |   129000 |    46441564 |   5960336553 |  21204992 |   2048 |     7454353 |      0 |      0 |         0 
 117500 Thread 2 - Reference Handler                                   |     3000 |     1000 |      268226 |     30091855 |         0 |      0 |      576438 |      0 |      0 |         0 
 117501 Thread 3 - Finalizer                                           |     5000 |        0 |      656199 |     40716667 |      5120 |      0 |     2121019 |      0 |      0 |         0 
 117502 Thread 4 - Surrogate Locker Thread (Concurrent GC)             |        0 |        0 |           0 |            0 |         0 |      0 |           0 |      0 |      0 |         0 
 117503 Thread 5 - Signal Dispatcher                                   |        0 |        0 |           0 |            0 |         0 |      0 |        1597 |      0 |      0 |         0 
 117513 Thread 11 - DecatonSubscriptionThread-decaton-benchmark        | 31191000 | 34047000 | 18804653242 | 635289331227 | 636487680 | 144384 | 21718997694 | 251300 |      0 |         0 
 117515 Thread 13 - kafka-coordinator-hear...hread | decaton-benchmark |   260000 |    72000 |    95984007 |   3239005679 |   6513664 |   6144 |    50062780 | 554283 |      0 |         0 
 117518 Thread 14 - PartitionProcessorThre...e81-9d81-3e41ce3bf846-0-0 |  1422000 |   448000 |   538065263 |  18235327321 |     38912 |      0 |  1755520363 |      0 |      0 |         0 
 117519 Thread 15 - PartitionProcessorThre...e81-9d81-3e41ce3bf846-0-1 |  1406000 |   433000 |   529414751 |  17937239669 |     59392 |      0 |  1746710808 |      0 |      0 |         0 
 117520 Thread 16 - PartitionProcessorThre...e81-9d81-3e41ce3bf846-0-2 |  1345000 |   474000 |   523941689 |  17737626040 |      1024 |      0 |  1642017461 |      0 |      0 |         0 
 117521 Thread 17 - PartitionProcessorThre...e81-9d81-3e41ce3bf846-0-3 |  1379000 |   439000 |   524520372 |  17732155485 |         0 |      0 |  1591350181 |      0 |      0 |         0 
 117522 Thread 18 - PartitionProcessorThre...e81-9d81-3e41ce3bf846-0-4 |  1485000 |   464000 |   561257759 |  19014684688 |         0 |      0 |  1735920324 |      0 |      0 |         0 
