                                 Task                                  |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    | d:bio  | d:swap | d:reclaim 
 146539 Thread 1 - main                                                |   625000 |    79000 |    43738029 |   5341354936 |  21203968 |   1024 |     5089216 |      0 |      0 |         0 
 146561 Thread 2 - Reference Handler                                   |     6000 |        0 |      550488 |     45902988 |         0 |      0 |     1061128 |      0 |      0 |         0 
 146562 Thread 3 - Finalizer                                           |     7000 |        0 |      636902 |     53666562 |     19456 |      0 |      511738 |      0 |      0 |         0 
 146563 Thread 4 - Surrogate Locker Thread (Concurrent GC)             |        0 |        0 |           0 |            0 |         0 |      0 |           0 |      0 |      0 |         0 
 146564 Thread 5 - Signal Dispatcher                                   |     1000 |        0 |      300042 |      9755035 |         0 |      0 |        7765 |      0 |      0 |         0 
 146573 Thread 11 - DecatonSubscriptionThread-decaton-benchmark        | 26468000 | 29222000 | 16377988065 | 542110166459 | 586737664 | 125952 | 16533057741 | 117389 |      0 |         0 
 146575 Thread 13 - kafka-coordinator-hear...hread | decaton-benchmark |   179000 |    44000 |    65406292 |   2166569781 |   4970496 |   4096 |    28425049 | 409707 |      0 |         0 
 146578 Thread 14 - PartitionProcessorThre...353-9d1b-8c60a7869ac1-2-0 |  1203000 |   380000 |   461115840 |  15428516374 |     40960 |      0 |  1526582114 |      0 |      0 |         0 
 146579 Thread 15 - PartitionProcessorThre...353-9d1b-8c60a7869ac1-2-1 |  1149000 |   379000 |   446967602 |  14902642968 |         0 |      0 |  1326498105 |      0 |      0 |         0 
 146580 Thread 16 - PartitionProcessorThre...353-9d1b-8c60a7869ac1-2-2 |  1244000 |   406000 |   485453086 |  16093142953 |         0 |      0 |  1428274091 |      0 |      0 |         0 
 146581 Thread 17 - PartitionProcessorThre...353-9d1b-8c60a7869ac1-2-3 |  1158000 |   423000 |   462861571 |  15416804589 |         0 |      0 |  1057294698 |      0 |      0 |         0 
 146582 Thread 18 - PartitionProcessorThre...353-9d1b-8c60a7869ac1-2-4 |  1186000 |   382000 |   458272043 |  15289092742 |         0 |      0 |  1302449610 |      0 |      0 |         0 
 146583 Thread 19 - PartitionProcessorThre...353-9d1b-8c60a7869ac1-2-5 |  1233000 |   428000 |   487165770 |  16199037554 |    117760 |      0 |  1205198334 |      0 |      0 |         0 
 146584 Thread 20 - PartitionProcessorThre...353-9d1b-8c60a7869ac1-2-6 |  1240000 |   408000 |   484904981 |  16071361601 |  10831872 |      0 |  1351928252 |      0 |      0 |         0 
 146585 Thread 21 - PartitionProcessorThre...353-9d1b-8c60a7869ac1-2-7 |  1182000 |   406000 |   466943153 |  15489340132 |         0 |      0 |  1543626601 |      0 |      0 |         0 
 146586 Thread 22 - PartitionProcessorThre...353-9d1b-8c60a7869ac1-2-8 |  1234000 |   385000 |   472695840 |  15792133664 |         0 |      0 |  1462067886 |      0 |      0 |         0 
 146587 Thread 23 - PartitionProcessorThre...353-9d1b-8c60a7869ac1-2-9 |  1151000 |   387000 |   449740879 |  15003257675 |         0 |      0 |  1293220565 |      0 |      0 |         0 
 146588 Thread 24 - PartitionProcessorThre...53-9d1b-8c60a7869ac1-2-10 |  1199000 |   427000 |   475009352 |  15858044289 |      4096 |      0 |  1525321815 |      0 |      0 |         0 
 146589 Thread 25 - PartitionProcessorThre...53-9d1b-8c60a7869ac1-2-11 |  1117000 |   406000 |   444272067 |  14855491679 |         0 |      0 |  1389028035 |      0 |      0 |         0 
 146590 Thread 26 - PartitionProcessorThre...53-9d1b-8c60a7869ac1-2-12 |  1182000 |   383000 |   458758129 |  15264335789 |         0 |      0 |  1547290831 |      0 |      0 |         0 
 146591 Thread 27 - PartitionProcessorThre...53-9d1b-8c60a7869ac1-2-13 |  1173000 |   436000 |   471227461 |  15695299749 |         0 |      0 |  1460055997 |      0 |      0 |         0 
 146592 Thread 28 - PartitionProcessorThre...53-9d1b-8c60a7869ac1-2-14 |  1154000 |   419000 |   461270770 |  15343547613 |      1024 |      0 |  1400800412 |      0 |      0 |         0 
 146593 Thread 29 - PartitionProcessorThre...53-9d1b-8c60a7869ac1-2-15 |  1128000 |   405000 |   449599516 |  14954010874 |         0 |      0 |  1489413899 |      0 |      0 |         0 
 146594 Thread 30 - PartitionProcessorThre...53-9d1b-8c60a7869ac1-2-16 |  1131000 |   400000 |   450213200 |  14934478062 |         0 |      0 |  1263342719 |      0 |      0 |         0 
 146595 Thread 31 - PartitionProcessorThre...53-9d1b-8c60a7869ac1-2-17 |  1197000 |   396000 |   465283660 |  15535634546 |     37888 |      0 |  1405127985 |      0 |      0 |         0 
 146596 Thread 32 - PartitionProcessorThre...53-9d1b-8c60a7869ac1-2-18 |  1164000 |   412000 |   462552559 |  15372391343 |         0 |      0 |  1450870292 |      0 |      0 |         0 
 146597 Thread 33 - PartitionProcessorThre...53-9d1b-8c60a7869ac1-2-19 |  1188000 |   425000 |   473155512 |  15733987949 |         0 |      0 |  1404984952 |      0 |      0 |         0 
 146598 Thread 34 - PartitionProcessorThre...353-9d1b-8c60a7869ac1-0-0 |  1215000 |   401000 |   479437649 |  15765120359 |      3072 |      0 |  1564603183 |      0 |      0 |         0 
 146599 Thread 35 - PartitionProcessorThre...353-9d1b-8c60a7869ac1-0-1 |  1180000 |   386000 |   463718688 |  15276982839 |         0 |      0 |  1338924977 |      0 |      0 |         0 
 146600 Thread 36 - PartitionProcessorThre...353-9d1b-8c60a7869ac1-0-2 |  1235000 |   455000 |   501142149 |  16486680531 |         0 |      0 |  1529383261 |      0 |      0 |         0 
 146601 Thread 37 - PartitionProcessorThre...353-9d1b-8c60a7869ac1-0-3 |  1112000 |   412000 |   452132446 |  14867559671 |         0 |      0 |  1381338855 |      0 |      0 |         0 
 146602 Thread 38 - PartitionProcessorThre...353-9d1b-8c60a7869ac1-0-4 |  1126000 |   439000 |   463453719 |  15267498660 |         0 |      0 |  1732194214 |      0 |      0 |         0 
 146603 Thread 39 - PartitionProcessorThre...353-9d1b-8c60a7869ac1-0-5 |  1158000 |   404000 |   463608450 |  15238005910 |         0 |      0 |  1562858733 |      0 |      0 |         0 
 146604 Thread 40 - PartitionProcessorThre...353-9d1b-8c60a7869ac1-0-6 |  1179000 |   408000 |   469012621 |  15481604628 |         0 |      0 |  1357905715 |      0 |      0 |         0 
 146605 Thread 41 - PartitionProcessorThre...353-9d1b-8c60a7869ac1-0-7 |  1192000 |   369000 |   462011395 |  15228093824 |         0 |      0 |  1275180104 |      0 |      0 |         0 
 146606 Thread 42 - PartitionProcessorThre...353-9d1b-8c60a7869ac1-0-8 |  1166000 |   462000 |   482194399 |  15881788593 |         0 |      0 |  1556771790 |      0 |      0 |         0 
 146607 Thread 43 - PartitionProcessorThre...353-9d1b-8c60a7869ac1-0-9 |  1152000 |   419000 |   464787067 |  15325566195 |         0 |      0 |  1318496004 |      0 |      0 |         0 
 146608 Thread 44 - PartitionProcessorThre...53-9d1b-8c60a7869ac1-0-10 |  1102000 |   410000 |   448562286 |  14750128749 |         0 |      0 |  1332246873 |      0 |      0 |         0 
 146609 Thread 45 - PartitionProcessorThre...53-9d1b-8c60a7869ac1-0-11 |  1129000 |   388000 |   450086856 |  14799090941 |         0 |      0 |  1088768394 |      0 |      0 |         0 
 146610 Thread 46 - PartitionProcessorThre...53-9d1b-8c60a7869ac1-0-12 |  1221000 |   442000 |   493016727 |  16223447421 |         0 |      0 |  1504156569 |      0 |      0 |         0 
 146611 Thread 47 - PartitionProcessorThre...53-9d1b-8c60a7869ac1-0-13 |  1149000 |   396000 |   456951352 |  15072174589 |         0 |      0 |  1177555044 |      0 |      0 |         0 
 146612 Thread 48 - PartitionProcessorThre...53-9d1b-8c60a7869ac1-0-14 |  1226000 |   402000 |   481716309 |  15881934499 |         0 |      0 |  1626823668 |      0 |      0 |         0 
 146613 Thread 49 - PartitionProcessorThre...53-9d1b-8c60a7869ac1-0-15 |  1131000 |   391000 |   450736485 |  14848285574 |         0 |      0 |  1335594324 |      0 |      0 |         0 
 146614 Thread 50 - PartitionProcessorThre...53-9d1b-8c60a7869ac1-0-16 |  1128000 |   387000 |   449162813 |  14779808664 |         0 |      0 |  1259070223 |      0 |      0 |         0 
 146615 Thread 51 - PartitionProcessorThre...53-9d1b-8c60a7869ac1-0-17 |  1158000 |   367000 |   452083774 |  14876838054 |         0 |      0 |  1445296274 |      0 |      0 |         0 
 146616 Thread 52 - PartitionProcessorThre...53-9d1b-8c60a7869ac1-0-18 |  1117000 |   421000 |   456248965 |  15004356199 |         0 |      0 |  1575769331 |      0 |      0 |         0 
 146617 Thread 53 - PartitionProcessorThre...53-9d1b-8c60a7869ac1-0-19 |  1110000 |   363000 |   437047715 |  14369992750 |         0 |      0 |  1197695619 |      0 |      0 |         0 
 146618 Thread 54 - PartitionProcessorThre...353-9d1b-8c60a7869ac1-1-0 |  1168000 |   404000 |   466544211 |  15335515445 |         0 |      0 |  1304304047 |      0 |      0 |         0 
 146619 Thread 55 - PartitionProcessorThre...353-9d1b-8c60a7869ac1-1-1 |  1163000 |   418000 |   469911500 |  15423736941 |         0 |      0 |  1244116582 |      0 |      0 |         0 
 146620 Thread 56 - PartitionProcessorThre...353-9d1b-8c60a7869ac1-1-2 |  1140000 |   365000 |   446629442 |  14682061316 |         0 |      0 |  1224221536 |      0 |      0 |         0 
 146621 Thread 57 - PartitionProcessorThre...353-9d1b-8c60a7869ac1-1-3 |  1159000 |   367000 |   453963696 |  14886980753 |         0 |      0 |  1453846838 |      0 |      0 |         0 
 146622 Thread 58 - PartitionProcessorThre...353-9d1b-8c60a7869ac1-1-4 |  1157000 |   423000 |   469536891 |  15413757687 |         0 |      0 |  1477048619 |      0 |      0 |         0 
 146623 Thread 59 - PartitionProcessorThre...353-9d1b-8c60a7869ac1-1-5 |  1109000 |   431000 |   457981418 |  15023656750 |         0 |      0 |  1392066846 |      0 |      0 |         0 
 146624 Thread 60 - PartitionProcessorThre...353-9d1b-8c60a7869ac1-1-6 |  1147000 |   367000 |   449330958 |  14769988398 |         0 |      0 |  1421196802 |      0 |      0 |         0 
 146625 Thread 61 - PartitionProcessorThre...353-9d1b-8c60a7869ac1-1-7 |  1087000 |   422000 |   448339286 |  14721183566 |         0 |      0 |  1352612934 |      0 |      0 |         0 
 146626 Thread 62 - PartitionProcessorThre...353-9d1b-8c60a7869ac1-1-8 |  1130000 |   369000 |   445639411 |  14623820148 |         0 |      0 |  1387647503 |      0 |      0 |         0 
 146627 Thread 63 - PartitionProcessorThre...353-9d1b-8c60a7869ac1-1-9 |  1182000 |   399000 |   469925977 |  15423637667 |         0 |      0 |  1373524796 |      0 |      0 |         0 
 146628 Thread 64 - PartitionProcessorThre...53-9d1b-8c60a7869ac1-1-10 |  1204000 |   403000 |   477819676 |  15677198000 |         0 |      0 |  1527793298 |      0 |      0 |         0 
 146629 Thread 65 - PartitionProcessorThre...53-9d1b-8c60a7869ac1-1-11 |  1148000 |   402000 |   460220153 |  15120912164 |         0 |      0 |  1488750939 |      0 |      0 |         0 
 146630 Thread 66 - PartitionProcessorThre...53-9d1b-8c60a7869ac1-1-12 |  1161000 |   405000 |   465498993 |  15277151109 |         0 |      0 |  1328658157 |      0 |      0 |         0 
 146631 Thread 67 - PartitionProcessorThre...53-9d1b-8c60a7869ac1-1-13 |  1150000 |   365000 |   449940024 |  14779688875 |         0 |      0 |  1371467943 |      0 |      0 |         0 
 146632 Thread 68 - PartitionProcessorThre...53-9d1b-8c60a7869ac1-1-14 |  1181000 |   377000 |   462385633 |  15199270562 |         0 |      0 |  1319237662 |      0 |      0 |         0 
