                                 Task                                 |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    | d:bio  | d:swap | d:reclaim 
 77816 Thread 1 - main                                                |   708000 |   148000 |    53855248 |   6535146303 |  22109184 |   1024 |    17004149 |      0 |      0 |         0 
 77838 Thread 2 - Reference Handler                                   |     6000 |        0 |      751820 |     49442871 |         0 |      0 |           0 |      0 |      0 |         0 
 77839 Thread 3 - Finalizer                                           |     4000 |     2000 |      554238 |     48464664 |     13312 |      0 |     1040665 |      0 |      0 |         0 
 77840 Thread 4 - Surrogate Locker Thread (Concurrent GC)             |        0 |        0 |           0 |            0 |         0 |      0 |           0 |      0 |      0 |         0 
 77841 Thread 5 - Signal Dispatcher                                   |        0 |        0 |           0 |            0 |         0 |      0 |           0 |      0 |      0 |         0 
 77851 Thread 12 - RMI Scheduler(0)                                   |     3000 |        0 |      657308 |     27276285 |      4096 |      0 |           0 |      0 |      0 |         0 
 77852 Thread 13 - RMI RenewClean-[10.231.182.152:33429]              |        0 |     1000 |       75730 |      7826242 |      1024 |      0 |      288859 |      0 |      0 |         0 
 77853 Thread 14 - GC Daemon                                          |     1000 |        0 |       75984 |      7893246 |         0 |      0 |        4732 |      0 |      0 |         0 
 77855 Thread 15 - DecatonSubscriptionThread-decaton-benchmark        | 31603000 | 34075000 | 19073089149 | 639902993490 | 636637184 | 134144 | 22172165268 | 335145 |      0 |         0 
 77858 Thread 16 - kafka-coordinator-hear...hread | decaton-benchmark |   194000 |    74000 |    77463964 |   2615562855 |   6163456 |   5120 |    42648341 | 224007 |      0 |         0 
 77861 Thread 17 - PartitionProcessorThre...f31-8219-bc79dc8bb0e9-1-0 |  1412000 |   453000 |   540080093 |  18195799489 |     33792 |      0 |  1805085512 |      0 |      0 |         0 
 77862 Thread 18 - PartitionProcessorThre...f31-8219-bc79dc8bb0e9-1-1 |  1455000 |   464000 |   559376339 |  18728091602 |         0 |      0 |  1765617789 |      0 |      0 |         0 
 77863 Thread 19 - PartitionProcessorThre...f31-8219-bc79dc8bb0e9-1-2 |  1479000 |   514000 |   575393066 |  19447791969 |         0 |      0 |  1977043749 |      0 |      0 |         0 
 77864 Thread 20 - PartitionProcessorThre...f31-8219-bc79dc8bb0e9-1-3 |  1470000 |   454000 |   556681175 |  18777801395 |         0 |      0 |  2081052947 |      0 |      0 |         0 
 77865 Thread 21 - PartitionProcessorThre...f31-8219-bc79dc8bb0e9-1-4 |  1435000 |   449000 |   546059101 |  18387987817 |         0 |      0 |  1673954560 |      0 |      0 |         0 
 77866 Thread 22 - PartitionProcessorThre...f31-8219-bc79dc8bb0e9-1-5 |  1424000 |   471000 |   550206953 |  18495070887 |         0 |      0 |  1691063693 |      0 |      0 |         0 
 77867 Thread 23 - PartitionProcessorThre...f31-8219-bc79dc8bb0e9-1-6 |  1581000 |   467000 |   595490390 |  19988003184 |         0 |      0 |  1923545664 |      0 |      0 |         0 
 77868 Thread 24 - PartitionProcessorThre...f31-8219-bc79dc8bb0e9-1-7 |  1447000 |   449000 |   548946949 |  18501541485 |         0 |      0 |  2065019944 |      0 |      0 |         0 
 77869 Thread 25 - PartitionProcessorThre...f31-8219-bc79dc8bb0e9-1-8 |  1443000 |   466000 |   554260918 |  18630554184 |      5120 |      0 |  1815371696 |      0 |      0 |         0 
 77870 Thread 26 - PartitionProcessorThre...f31-8219-bc79dc8bb0e9-1-9 |  1460000 |   452000 |   554643519 |  18659845168 |    117760 |      0 |  1936145791 |      0 |      0 |         0 
 77871 Thread 27 - PartitionProcessorThre...31-8219-bc79dc8bb0e9-1-10 |  1431000 |   489000 |   556774894 |  18737299551 |      1024 |      0 |  2027970908 |      0 |      0 |         0 
 77872 Thread 28 - PartitionProcessorThre...31-8219-bc79dc8bb0e9-1-11 |  1505000 |   479000 |   576354433 |  19363740160 |      4096 |      0 |  2132539211 |      0 |      0 |         0 
 77873 Thread 29 - PartitionProcessorThre...31-8219-bc79dc8bb0e9-1-12 |  1451000 |   485000 |   563690570 |  18895054129 |         0 |      0 |  1945304792 |      0 |      0 |         0 
 77874 Thread 30 - PartitionProcessorThre...31-8219-bc79dc8bb0e9-1-13 |  1427000 |   498000 |   558462945 |  18787996653 |         0 |      0 |  2205824704 |      0 |      0 |         0 
 77875 Thread 31 - PartitionProcessorThre...31-8219-bc79dc8bb0e9-1-14 |  1467000 |   448000 |   555675636 |  18688356770 |         0 |      0 |  1866093746 |      0 |      0 |         0 
 77876 Thread 32 - PartitionProcessorThre...31-8219-bc79dc8bb0e9-1-15 |  1483000 |   449000 |   559074695 |  18854015301 |         0 |      0 |  1831418013 |      0 |      0 |         0 
