                                 Task                                  |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    | d:bio  | d:swap | d:reclaim 
 160790 Thread 1 - main                                                |   565000 |    85000 |    40831467 |   4929597990 |  21055488 |   2048 |     3755883 |      0 |      0 |         0 
 160812 Thread 2 - Reference Handler                                   |     6000 |        0 |      602769 |     46605421 |         0 |      0 |      501180 |      0 |      0 |         0 
 160813 Thread 3 - Finalizer                                           |     7000 |     1000 |     1007550 |     64089984 |      5120 |      0 |      472577 |      0 |      0 |         0 
 160814 Thread 4 - Surrogate Locker Thread (Concurrent GC)             |        0 |        0 |           0 |            0 |         0 |      0 |           0 |      0 |      0 |         0 
 160815 Thread 5 - Signal Dispatcher                                   |        0 |        0 |           0 |            0 |         0 |      0 |           0 |      0 |      0 |         0 
 160824 Thread 11 - DecatonSubscriptionThread-decaton-benchmark        | 30040000 | 32835000 | 19058029828 | 612308657269 | 636438528 | 135168 | 19843060069 | 676435 |      0 |         0 
 160826 Thread 13 - kafka-coordinator-hear...hread | decaton-benchmark |   179000 |    46000 |    68065058 |   2193347956 |   6721536 |   5120 |    29547262 | 357959 |      0 |         0 
 160829 Thread 14 - PartitionProcessorThre...0e4-9d15-9981200c63f4-1-0 |  1284000 |   461000 |   520523774 |  16985200758 |    158720 |      0 |  1471644809 |      0 |      0 |         0 
 160830 Thread 15 - PartitionProcessorThre...0e4-9d15-9981200c63f4-1-1 |  1358000 |   458000 |   548844426 |  17713438684 |      4096 |      0 |  1475649208 |      0 |      0 |         0 
 160831 Thread 16 - PartitionProcessorThre...0e4-9d15-9981200c63f4-1-2 |  1318000 |   489000 |   544932160 |  17626287719 |         0 |      0 |  1421641593 |      0 |      0 |         0 
 160832 Thread 17 - PartitionProcessorThre...0e4-9d15-9981200c63f4-1-3 |  1350000 |   452000 |   543932363 |  17580594141 |         0 |      0 |  1589187689 |      0 |      0 |         0 
 160833 Thread 18 - PartitionProcessorThre...0e4-9d15-9981200c63f4-1-4 |  1385000 |   426000 |   544053738 |  17667727055 |         0 |      0 |  1305568887 |      0 |      0 |         0 
 160834 Thread 19 - PartitionProcessorThre...0e4-9d15-9981200c63f4-1-5 |  1284000 |   439000 |   518240731 |  16809245079 |         0 |      0 |  1366468118 |      0 |      0 |         0 
 160835 Thread 20 - PartitionProcessorThre...0e4-9d15-9981200c63f4-1-6 |  1284000 |   448000 |   523020196 |  16897731567 |         0 |      0 |  1402060715 |      0 |      0 |         0 
 160836 Thread 21 - PartitionProcessorThre...0e4-9d15-9981200c63f4-1-7 |  1374000 |   471000 |   555196739 |  18000076320 |         0 |      0 |  1534828764 |      0 |      0 |         0 
 160837 Thread 22 - PartitionProcessorThre...0e4-9d15-9981200c63f4-1-8 |  1360000 |   457000 |   543465903 |  17727389793 |         0 |      0 |  1393414886 |      0 |      0 |         0 
 160838 Thread 23 - PartitionProcessorThre...0e4-9d15-9981200c63f4-1-9 |  1383000 |   424000 |   542543633 |  17628733137 |         0 |      0 |  1605674788 |      0 |      0 |         0 
 160839 Thread 24 - PartitionProcessorThre...e4-9d15-9981200c63f4-1-10 |  1330000 |   443000 |   533676258 |  17299965836 |         0 |      0 |  1468781365 |      0 |      0 |         0 
 160840 Thread 25 - PartitionProcessorThre...e4-9d15-9981200c63f4-1-11 |  1390000 |   454000 |   553748000 |  17990831207 |         0 |      0 |  1505255921 |      0 |      0 |         0 
 160841 Thread 26 - PartitionProcessorThre...e4-9d15-9981200c63f4-1-12 |  1411000 |   477000 |   565848387 |  18421766098 |         0 |      0 |  1595950638 |      0 |      0 |         0 
 160842 Thread 27 - PartitionProcessorThre...e4-9d15-9981200c63f4-1-13 |  1348000 |   433000 |   537350879 |  17375918969 |         0 |      0 |  1554802298 |      0 |      0 |         0 
 160843 Thread 28 - PartitionProcessorThre...e4-9d15-9981200c63f4-1-14 |  1301000 |   417000 |   516069157 |  16761390778 |         0 |      0 |  1393055118 |      0 |      0 |         0 
 160844 Thread 29 - PartitionProcessorThre...e4-9d15-9981200c63f4-1-15 |  1346000 |   442000 |   533225473 |  17442261309 |     16384 |      0 |  1267375274 |      0 |      0 |         0 
 160845 Thread 30 - PartitionProcessorThre...e4-9d15-9981200c63f4-1-16 |  1288000 |   484000 |   532474496 |  17287176012 |     24576 |      0 |  1401037695 |      0 |      0 |         0 
 160846 Thread 31 - PartitionProcessorThre...e4-9d15-9981200c63f4-1-17 |  1297000 |   445000 |   522687508 |  16995393036 |         0 |      0 |  1420722645 |      0 |      0 |         0 
 160847 Thread 32 - PartitionProcessorThre...e4-9d15-9981200c63f4-1-18 |  1315000 |   486000 |   544428895 |  17571426781 |      1024 |      0 |  1580011120 |      0 |      0 |         0 
 160848 Thread 33 - PartitionProcessorThre...e4-9d15-9981200c63f4-1-19 |  1277000 |   437000 |   517140250 |  16722944989 |      1024 |      0 |  1285151531 |      0 |      0 |         0 
 160849 Thread 34 - PartitionProcessorThre...0e4-9d15-9981200c63f4-0-0 |  1254000 |   471000 |   526017344 |  16831885778 |         0 |      0 |  1359326858 |      0 |      0 |         0 
 160850 Thread 35 - PartitionProcessorThre...0e4-9d15-9981200c63f4-0-1 |  1291000 |   487000 |   542106965 |  17349664309 |         0 |      0 |  1368113562 |      0 |      0 |         0 
 160851 Thread 36 - PartitionProcessorThre...0e4-9d15-9981200c63f4-0-2 |  1232000 |   468000 |   518249129 |  16588279008 |         0 |      0 |  1281915234 |      0 |      0 |         0 
 160852 Thread 37 - PartitionProcessorThre...0e4-9d15-9981200c63f4-0-3 |  1218000 |   467000 |   514426188 |  16442693422 |         0 |      0 |  1167532601 |      0 |      0 |         0 
