                                 Task                                  |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    |  d:bio   | d:swap | d:reclaim 
 158228 Thread 1 - main                                                |   578000 |    77000 |    40273901 |   4964294752 |  21055488 |   1024 |     7819992 |        0 |      0 |         0 
 158250 Thread 2 - Reference Handler                                   |     6000 |        0 |      582835 |     46467414 |         0 |      0 |     1201865 |        0 |      0 |         0 
 158251 Thread 3 - Finalizer                                           |     5000 |        0 |      495921 |     38768847 |      5120 |      0 |      251015 |        0 |      0 |         0 
 158252 Thread 4 - Surrogate Locker Thread (Concurrent GC)             |     1000 |        0 |      117589 |      7836574 |         0 |      0 |       28433 |        0 |      0 |         0 
 158253 Thread 5 - Signal Dispatcher                                   |     1000 |        0 |      310871 |      9756035 |         0 |      0 |           0 |        0 |      0 |         0 
 158263 Thread 11 - DecatonSubscriptionThread-decaton-benchmark        | 28571000 | 29360000 | 17636357209 | 563890490219 | 586834944 | 129024 | 17504858230 |   248795 |      0 |         0 
 158265 Thread 13 - kafka-coordinator-hear...hread | decaton-benchmark |   151000 |    54000 |    62065362 |   1996343374 |   4983808 |   4096 |    46107099 |   250563 |      0 |         0 
 158268 Thread 14 - PartitionProcessorThre...ce2-8959-2486b96fb262-0-0 |  1194000 |   423000 |   491922792 |  15773971626 |      4096 |      0 |  1466619712 |        0 |      0 |         0 
 158269 Thread 15 - PartitionProcessorThre...ce2-8959-2486b96fb262-0-1 |  1255000 |   363000 |   491913769 |  15783154512 |         0 |      0 |  1327847850 |        0 |      0 |         0 
 158270 Thread 16 - PartitionProcessorThre...ce2-8959-2486b96fb262-0-2 |  1208000 |   414000 |   492467066 |  15821962297 |         0 |      0 |  1247653185 |        0 |      0 |         0 
 158271 Thread 17 - PartitionProcessorThre...ce2-8959-2486b96fb262-0-3 |  1160000 |   451000 |   488179113 |  15711104665 |     29696 |      0 |  1214126718 |        0 |      0 |         0 
 158272 Thread 18 - PartitionProcessorThre...ce2-8959-2486b96fb262-0-4 |  1147000 |   408000 |   473008554 |  15169459509 |         0 |      0 |  1364050680 |        0 |      0 |         0 
 158273 Thread 19 - PartitionProcessorThre...ce2-8959-2486b96fb262-0-5 |  1188000 |   404000 |   484852488 |  15529675301 |      2048 |      0 |  1300493462 |        0 |      0 |         0 
 158274 Thread 20 - PartitionProcessorThre...ce2-8959-2486b96fb262-0-6 |  1232000 |   428000 |   502412773 |  16188764415 |      1024 |      0 |  1454198801 |        0 |      0 |         0 
 158275 Thread 21 - PartitionProcessorThre...ce2-8959-2486b96fb262-0-7 |  1218000 |   407000 |   492006945 |  15852490165 |         0 |      0 |  1334907447 |        0 |      0 |         0 
 158276 Thread 22 - PartitionProcessorThre...ce2-8959-2486b96fb262-0-8 |  1176000 |   389000 |   474974597 |  15265770321 |      1024 |      0 |  1437722914 |        0 |      0 |         0 
 158277 Thread 23 - PartitionProcessorThre...ce2-8959-2486b96fb262-0-9 |  1230000 |   431000 |   504465968 |  16201923454 |         0 |      0 |  1524766163 |        0 |      0 |         0 
 158278 Thread 24 - PartitionProcessorThre...e2-8959-2486b96fb262-0-10 |  1203000 |   387000 |   483395832 |  15509328372 |     54272 |      0 |  1423796499 |        0 |      0 |         0 
 158279 Thread 25 - PartitionProcessorThre...e2-8959-2486b96fb262-0-11 |  1165000 |   409000 |   479875390 |  15353358489 |         0 |      0 |  1563659340 |        0 |      0 |         0 
 158280 Thread 26 - PartitionProcessorThre...e2-8959-2486b96fb262-0-12 |  1188000 |   407000 |   481610511 |  15559426364 |         0 |      0 |  1346707645 |        0 |      0 |         0 
 158281 Thread 27 - PartitionProcessorThre...e2-8959-2486b96fb262-0-13 |  1232000 |   378000 |   488563875 |  15704205887 |         0 |      0 |  1312924089 |        0 |      0 |         0 
 158282 Thread 28 - PartitionProcessorThre...e2-8959-2486b96fb262-0-14 |  1166000 |   389000 |   473352250 |  15168408071 |     43008 |      0 |  1145337696 |        0 |      0 |         0 
 158283 Thread 29 - PartitionProcessorThre...e2-8959-2486b96fb262-0-15 |  1236000 |   440000 |   506005624 |  16347966418 |         0 |      0 |  1476133688 |        0 |      0 |         0 
 158284 Thread 30 - PartitionProcessorThre...e2-8959-2486b96fb262-0-16 |  1147000 |   383000 |   465281312 |  14924888036 |  10831872 |      0 |  1494700034 |        0 |      0 |         0 
 158285 Thread 31 - PartitionProcessorThre...e2-8959-2486b96fb262-0-17 |  1195000 |   397000 |   484355480 |  15530955645 |         0 |      0 |  1474900588 |        0 |      0 |         0 
 158286 Thread 32 - PartitionProcessorThre...e2-8959-2486b96fb262-0-18 |  1163000 |   411000 |   477797023 |  15354949075 |     64512 |      0 |  1331993604 |        0 |      0 |         0 
 158287 Thread 33 - PartitionProcessorThre...e2-8959-2486b96fb262-0-19 |  1191000 |   410000 |   487008261 |  15617909547 |         0 |      0 |  1585393703 |        0 |      0 |         0 
 158288 Thread 34 - PartitionProcessorThre...ce2-8959-2486b96fb262-2-0 |  1153000 |   418000 |   480425722 |  15325510024 |         0 |      0 |  1412922393 |        0 |      0 |         0 
 158289 Thread 35 - PartitionProcessorThre...ce2-8959-2486b96fb262-2-1 |  1193000 |   401000 |   487071062 |  15549970005 |         0 |      0 |  1307050021 |        0 |      0 |         0 
 158290 Thread 36 - PartitionProcessorThre...ce2-8959-2486b96fb262-2-2 |  1199000 |   410000 |   492546628 |  15696481985 |      1024 |      0 |  1348830562 |        0 |      0 |         0 
 158291 Thread 37 - PartitionProcessorThre...ce2-8959-2486b96fb262-2-3 |  1167000 |   381000 |   473517277 |  15101637341 |         0 |      0 |  1422791520 |        0 |      0 |         0 
 158292 Thread 38 - PartitionProcessorThre...ce2-8959-2486b96fb262-2-4 |  1224000 |   385000 |   493247652 |  15696786891 |         0 |      0 |  1481215107 |        0 |      0 |         0 
 158293 Thread 39 - PartitionProcessorThre...ce2-8959-2486b96fb262-2-5 |  1187000 |   434000 |   495222468 |  15813764446 |         0 |      0 |  1345963063 |        0 |      0 |         0 
 158294 Thread 40 - PartitionProcessorThre...ce2-8959-2486b96fb262-2-6 |  1244000 |   433000 |   513797906 |  16359911985 |         0 |      0 |  1337699280 |        0 |      0 |         0 
 158295 Thread 41 - PartitionProcessorThre...ce2-8959-2486b96fb262-2-7 |  1249000 |   424000 |   512165452 |  16321068918 |         0 |      0 |  1528197915 |        0 |      0 |         0 
 158296 Thread 42 - PartitionProcessorThre...ce2-8959-2486b96fb262-2-8 |  1215000 |   400000 |   494516550 |  15755284497 |         0 |      0 |  1368111110 |        0 |      0 |         0 
 158297 Thread 43 - PartitionProcessorThre...ce2-8959-2486b96fb262-2-9 |  1191000 |   399000 |   486025128 |  15511395926 |         0 |      0 |  1429419519 |        0 |      0 |         0 
