                                 Task                                  |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    |  d:bio  | d:swap | d:reclaim 
 122790 Thread 1 - main                                                |   603000 |    81000 |    42957674 |   5189241100 |  21218304 |   1024 |     8573717 |       0 |      0 |         0 
 122812 Thread 2 - Reference Handler                                   |     8000 |        0 |      996003 |     64196835 |         0 |      0 |     1788054 |       0 |      0 |         0 
 122813 Thread 3 - Finalizer                                           |     4000 |     1000 |      401531 |     37993406 |      5120 |      0 |     5551156 |       0 |      0 |         0 
 122814 Thread 4 - Surrogate Locker Thread (Concurrent GC)             |        0 |        0 |           0 |            0 |         0 |      0 |           0 |       0 |      0 |         0 
 122815 Thread 5 - Signal Dispatcher                                   |        0 |     1000 |       30007 |      7292289 |         0 |      0 |        5437 |       0 |      0 |         0 
 122825 Thread 11 - DecatonSubscriptionThread-decaton-benchmark        | 28795000 | 32258000 | 18707084346 | 594566655217 | 636674048 | 126976 | 18410681960 |   44749 |      0 |         0 
 122827 Thread 13 - kafka-coordinator-hear...hread | decaton-benchmark |   188000 |    53000 |    73125093 |   2349425312 |   6276096 |   5120 |    23094694 | 1444250 |      0 |         0 
 122830 Thread 14 - PartitionProcessorThre...7f8-83a9-1936fbd9555d-1-0 |  1350000 |   472000 |   558537742 |  17766479808 |     33792 |      0 |  1446899143 |       0 |      0 |         0 
 122831 Thread 15 - PartitionProcessorThre...7f8-83a9-1936fbd9555d-1-1 |  1296000 |   460000 |   537189883 |  17129450464 |      5120 |      0 |  1237106401 |       0 |      0 |         0 
 122832 Thread 16 - PartitionProcessorThre...7f8-83a9-1936fbd9555d-1-2 |  1269000 |   453000 |   529699262 |  16800724472 |         0 |      0 |  1534871732 |       0 |      0 |         0 
 122833 Thread 17 - PartitionProcessorThre...7f8-83a9-1936fbd9555d-1-3 |  1265000 |   466000 |   531119793 |  16888736292 |         0 |      0 |  1445761532 |       0 |      0 |         0 
 122834 Thread 18 - PartitionProcessorThre...7f8-83a9-1936fbd9555d-1-4 |  1315000 |   447000 |   539260981 |  17187483601 |    124928 |      0 |  1440700142 |       0 |      0 |         0 
 122835 Thread 19 - PartitionProcessorThre...7f8-83a9-1936fbd9555d-1-5 |  1270000 |   439000 |   523311239 |  16675127164 |      2048 |      0 |  1304535890 |       0 |      0 |         0 
 122836 Thread 20 - PartitionProcessorThre...7f8-83a9-1936fbd9555d-1-6 |  1299000 |   438000 |   532251418 |  16948259066 |         0 |      0 |  1496678900 |       0 |      0 |         0 
 122837 Thread 21 - PartitionProcessorThre...7f8-83a9-1936fbd9555d-1-7 |  1304000 |   444000 |   535580883 |  17056342699 |         0 |      0 |  1260137619 |       0 |      0 |         0 
 122838 Thread 22 - PartitionProcessorThre...7f8-83a9-1936fbd9555d-1-8 |  1251000 |   462000 |   524056028 |  16712597269 |         0 |      0 |  1518355910 |       0 |      0 |         0 
 122839 Thread 23 - PartitionProcessorThre...7f8-83a9-1936fbd9555d-1-9 |  1288000 |   472000 |   539845414 |  17173435624 |         0 |      0 |  1596725184 |       0 |      0 |         0 
 122840 Thread 24 - PartitionProcessorThre...f8-83a9-1936fbd9555d-1-10 |  1266000 |   456000 |   526194442 |  16802699968 |         0 |      0 |  1546038536 |       0 |      0 |         0 
 122841 Thread 25 - PartitionProcessorThre...f8-83a9-1936fbd9555d-1-11 |  1257000 |   443000 |   520674446 |  16586893789 |         0 |      0 |  1363937063 |       0 |      0 |         0 
 122842 Thread 26 - PartitionProcessorThre...f8-83a9-1936fbd9555d-1-12 |  1247000 |   387000 |   500760696 |  15944081464 |         0 |      0 |  1148065490 |       0 |      0 |         0 
 122843 Thread 27 - PartitionProcessorThre...f8-83a9-1936fbd9555d-1-13 |  1235000 |   463000 |   519488997 |  16568630285 |         0 |      0 |  1524478860 |       0 |      0 |         0 
 122844 Thread 28 - PartitionProcessorThre...f8-83a9-1936fbd9555d-1-14 |  1238000 |   398000 |   501183833 |  15961701835 |     11264 |      0 |  1468640046 |       0 |      0 |         0 
 122845 Thread 29 - PartitionProcessorThre...f8-83a9-1936fbd9555d-1-15 |  1285000 |   452000 |   533210032 |  16948008109 |         0 |      0 |  1426565558 |       0 |      0 |         0 
 122846 Thread 30 - PartitionProcessorThre...f8-83a9-1936fbd9555d-1-16 |  1344000 |   450000 |   550808137 |  17502987585 |     24576 |      0 |  1286128485 |       0 |      0 |         0 
 122847 Thread 31 - PartitionProcessorThre...f8-83a9-1936fbd9555d-1-17 |  1233000 |   437000 |   511474626 |  16295665917 |         0 |      0 |  1206511266 |       0 |      0 |         0 
