                                 Task                                  |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    | d:bio  | d:swap | d:reclaim 
 120212 Thread 1 - main                                                |   610000 |    77000 |    43953858 |   5226540706 |  21218304 |   2048 |     5797627 |      0 |      0 |         0 
 120234 Thread 2 - Reference Handler                                   |     6000 |     1000 |      642839 |     53601558 |         0 |      0 |      161880 |      0 |      0 |         0 
 120235 Thread 3 - Finalizer                                           |     6000 |     1000 |      699800 |     54304015 |      5120 |      0 |     8639966 |      0 |      0 |         0 
 120236 Thread 4 - Surrogate Locker Thread (Concurrent GC)             |        0 |        0 |           0 |            0 |         0 |      0 |     2221825 |      0 |      0 |         0 
 120237 Thread 5 - Signal Dispatcher                                   |        0 |        0 |           0 |            0 |         0 |      0 |        6380 |      0 |      0 |         0 
 120247 Thread 11 - DecatonSubscriptionThread-decaton-benchmark        | 26994000 | 30052000 | 17297181007 | 555327241521 | 585787392 | 143360 | 17166331288 | 169065 |      0 |         0 
 120248 Thread 13 - kafka-coordinator-hear...hread | decaton-benchmark |   201000 |    71000 |    82689272 |   2646467527 |   5882880 |   5120 |    20286594 | 646281 |      0 |         0 
 120252 Thread 14 - PartitionProcessorThre...86b-8ea0-d8e2f2e22d9e-0-0 |  1172000 |   432000 |   483757992 |  15629569878 |     33792 |      0 |  1521068956 |      0 |      0 |         0 
 120253 Thread 15 - PartitionProcessorThre...86b-8ea0-d8e2f2e22d9e-0-1 |  1234000 |   421000 |   499430367 |  16124902808 |    124928 |      0 |  1565695469 |      0 |      0 |         0 
 120254 Thread 16 - PartitionProcessorThre...86b-8ea0-d8e2f2e22d9e-0-2 |  1264000 |   420000 |   512021211 |  16424865515 |         0 |      0 |  1326361730 |      0 |      0 |         0 
 120255 Thread 17 - PartitionProcessorThre...86b-8ea0-d8e2f2e22d9e-0-3 |  1244000 |   420000 |   506396801 |  16230935554 |         0 |      0 |  1501409598 |      0 |      0 |         0 
 120256 Thread 18 - PartitionProcessorThre...86b-8ea0-d8e2f2e22d9e-0-4 |  1169000 |   425000 |   482345016 |  15540992624 |         0 |      0 |  1479250338 |      0 |      0 |         0 
 120257 Thread 19 - PartitionProcessorThre...86b-8ea0-d8e2f2e22d9e-0-5 |  1238000 |   434000 |   508281418 |  16310887718 |         0 |      0 |  1533204100 |      0 |      0 |         0 
 120258 Thread 20 - PartitionProcessorThre...86b-8ea0-d8e2f2e22d9e-0-6 |  1252000 |   443000 |   515206976 |  16532873851 |         0 |      0 |  1387886934 |      0 |      0 |         0 
 120259 Thread 21 - PartitionProcessorThre...86b-8ea0-d8e2f2e22d9e-0-7 |  1194000 |   427000 |   491326008 |  15806279070 |         0 |      0 |  1446052424 |      0 |      0 |         0 
 120260 Thread 22 - PartitionProcessorThre...86b-8ea0-d8e2f2e22d9e-0-8 |  1193000 |   372000 |   474266778 |  15258617171 |         0 |      0 |  1621773474 |      0 |      0 |         0 
 120261 Thread 23 - PartitionProcessorThre...86b-8ea0-d8e2f2e22d9e-0-9 |  1176000 |   397000 |   476665406 |  15340619273 |         0 |      0 |  1283484490 |      0 |      0 |         0 
 120262 Thread 24 - PartitionProcessorThre...6b-8ea0-d8e2f2e22d9e-0-10 |  1223000 |   416000 |   496405379 |  15982954996 |         0 |      0 |  1406654201 |      0 |      0 |         0 
 120263 Thread 25 - PartitionProcessorThre...6b-8ea0-d8e2f2e22d9e-0-11 |  1260000 |   418000 |   508866301 |  16368513749 |         0 |      0 |  1307607385 |      0 |      0 |         0 
 120264 Thread 26 - PartitionProcessorThre...6b-8ea0-d8e2f2e22d9e-0-12 |  1301000 |   447000 |   532228429 |  17052053156 |         0 |      0 |  1304854211 |      0 |      0 |         0 
 120265 Thread 27 - PartitionProcessorThre...6b-8ea0-d8e2f2e22d9e-0-13 |  1199000 |   431000 |   493901137 |  15900166238 |         0 |      0 |  1462912433 |      0 |      0 |         0 
 120266 Thread 28 - PartitionProcessorThre...6b-8ea0-d8e2f2e22d9e-0-14 |  1156000 |   379000 |   466512801 |  14972828546 |         0 |      0 |  1591141882 |      0 |      0 |         0 
 120267 Thread 29 - PartitionProcessorThre...6b-8ea0-d8e2f2e22d9e-0-15 |  1178000 |   428000 |   487018668 |  15664035585 |     36864 |      0 |  1524615672 |      0 |      0 |         0 
 120268 Thread 30 - PartitionProcessorThre...6b-8ea0-d8e2f2e22d9e-0-16 |  1250000 |   401000 |   502428176 |  16102499332 |         0 |      0 |  1393949205 |      0 |      0 |         0 
 120269 Thread 31 - PartitionProcessorThre...6b-8ea0-d8e2f2e22d9e-0-17 |  1170000 |   390000 |   471966805 |  15214359671 |      8192 |      0 |  1446776820 |      0 |      0 |         0 
 120270 Thread 32 - PartitionProcessorThre...6b-8ea0-d8e2f2e22d9e-0-18 |  1231000 |   419000 |   499012262 |  16094925667 |  10831872 |      0 |  1520404674 |      0 |      0 |         0 
 120271 Thread 33 - PartitionProcessorThre...6b-8ea0-d8e2f2e22d9e-0-19 |  1221000 |   441000 |   505664852 |  16212082695 |         0 |      0 |  1406689592 |      0 |      0 |         0 
 120272 Thread 34 - PartitionProcessorThre...86b-8ea0-d8e2f2e22d9e-2-0 |  1218000 |   414000 |   498338582 |  15920271449 |         0 |      0 |  1415529525 |      0 |      0 |         0 
 120273 Thread 35 - PartitionProcessorThre...86b-8ea0-d8e2f2e22d9e-2-1 |  1206000 |   395000 |   490956246 |  15618620863 |         0 |      0 |  1471412004 |      0 |      0 |         0 
 120274 Thread 36 - PartitionProcessorThre...86b-8ea0-d8e2f2e22d9e-2-2 |  1077000 |   463000 |   471466004 |  15023197476 |         0 |      0 |  1285890120 |      0 |      0 |         0 
 120275 Thread 37 - PartitionProcessorThre...86b-8ea0-d8e2f2e22d9e-2-3 |  1154000 |   412000 |   478516071 |  15276954734 |         0 |      0 |  1540217526 |      0 |      0 |         0 
 120276 Thread 38 - PartitionProcessorThre...86b-8ea0-d8e2f2e22d9e-2-4 |  1250000 |   430000 |   513500781 |  16389048402 |         0 |      0 |  1610499492 |      0 |      0 |         0 
 120277 Thread 39 - PartitionProcessorThre...86b-8ea0-d8e2f2e22d9e-2-5 |  1200000 |   397000 |   487969180 |  15579497343 |         0 |      0 |  1383292462 |      0 |      0 |         0 
 120278 Thread 40 - PartitionProcessorThre...86b-8ea0-d8e2f2e22d9e-2-6 |  1223000 |   386000 |   491225535 |  15696499878 |         0 |      0 |  1353042699 |      0 |      0 |         0 
 120279 Thread 41 - PartitionProcessorThre...86b-8ea0-d8e2f2e22d9e-2-7 |  1263000 |   409000 |   510396258 |  16310712921 |         0 |      0 |  1486625511 |      0 |      0 |         0 
 120280 Thread 42 - PartitionProcessorThre...86b-8ea0-d8e2f2e22d9e-2-8 |  1240000 |   438000 |   513030156 |  16370045562 |         0 |      0 |  1481153552 |      0 |      0 |         0 
 120281 Thread 43 - PartitionProcessorThre...86b-8ea0-d8e2f2e22d9e-2-9 |  1276000 |   454000 |   528895031 |  16876866945 |         0 |      0 |  1403111524 |      0 |      0 |         0 
 120282 Thread 44 - PartitionProcessorThre...6b-8ea0-d8e2f2e22d9e-2-10 |  1261000 |   415000 |   512260141 |  16350177597 |         0 |      0 |  1240920926 |      0 |      0 |         0 
 120283 Thread 45 - PartitionProcessorThre...6b-8ea0-d8e2f2e22d9e-2-11 |  1246000 |   409000 |   505665152 |  16145487753 |         0 |      0 |  1515884679 |      0 |      0 |         0 
 120284 Thread 46 - PartitionProcessorThre...6b-8ea0-d8e2f2e22d9e-2-12 |  1185000 |   433000 |   494507352 |  15784320273 |         0 |      0 |  1400091162 |      0 |      0 |         0 
 120285 Thread 47 - PartitionProcessorThre...6b-8ea0-d8e2f2e22d9e-2-13 |  1209000 |   378000 |   484401336 |  15482089960 |         0 |      0 |  1431604283 |      0 |      0 |         0 
 120286 Thread 48 - PartitionProcessorThre...6b-8ea0-d8e2f2e22d9e-2-14 |  1139000 |   428000 |   479421481 |  15287192156 |         0 |      0 |  1484788748 |      0 |      0 |         0 
 120287 Thread 49 - PartitionProcessorThre...6b-8ea0-d8e2f2e22d9e-2-15 |  1247000 |   421000 |   509098758 |  16272184691 |         0 |      0 |  1502217015 |      0 |      0 |         0 
 120288 Thread 50 - PartitionProcessorThre...6b-8ea0-d8e2f2e22d9e-2-16 |  1246000 |   402000 |   503994453 |  16077250949 |         0 |      0 |  1491676776 |      0 |      0 |         0 
 120289 Thread 51 - PartitionProcessorThre...6b-8ea0-d8e2f2e22d9e-2-17 |  1243000 |   416000 |   506896488 |  16184694828 |         0 |      0 |  1348061521 |      0 |      0 |         0 
 120290 Thread 52 - PartitionProcessorThre...6b-8ea0-d8e2f2e22d9e-2-18 |  1198000 |   440000 |   501077590 |  15979288640 |         0 |      0 |  1366917088 |      0 |      0 |         0 
 120291 Thread 53 - PartitionProcessorThre...6b-8ea0-d8e2f2e22d9e-2-19 |  1197000 |   396000 |   485916192 |  15540385640 |         0 |      0 |  1419257101 |      0 |      0 |         0 
 120292 Thread 54 - PartitionProcessorThre...86b-8ea0-d8e2f2e22d9e-1-0 |  1159000 |   434000 |   488427883 |  15540675707 |         0 |      0 |  1417970760 |      0 |      0 |         0 
 120293 Thread 55 - PartitionProcessorThre...86b-8ea0-d8e2f2e22d9e-1-1 |  1224000 |   406000 |   499125078 |  15901689374 |         0 |      0 |  1293472654 |      0 |      0 |         0 
 120294 Thread 56 - PartitionProcessorThre...86b-8ea0-d8e2f2e22d9e-1-2 |  1241000 |   435000 |   513783769 |  16350080078 |         0 |      0 |  1448892046 |      0 |      0 |         0 
 120295 Thread 57 - PartitionProcessorThre...86b-8ea0-d8e2f2e22d9e-1-3 |  1167000 |   420000 |   486503973 |  15482046800 |         0 |      0 |  1367516751 |      0 |      0 |         0 
 120296 Thread 58 - PartitionProcessorThre...86b-8ea0-d8e2f2e22d9e-1-4 |  1180000 |   400000 |   483263191 |  15413456140 |         0 |      0 |  1493168048 |      0 |      0 |         0 
 120297 Thread 59 - PartitionProcessorThre...86b-8ea0-d8e2f2e22d9e-1-5 |  1232000 |   395000 |   498434129 |  15872070800 |         0 |      0 |  1515143921 |      0 |      0 |         0 
 120298 Thread 60 - PartitionProcessorThre...86b-8ea0-d8e2f2e22d9e-1-6 |  1221000 |   402000 |   497762992 |  15832947363 |         0 |      0 |  1477962183 |      0 |      0 |         0 
 120299 Thread 61 - PartitionProcessorThre...86b-8ea0-d8e2f2e22d9e-1-7 |  1166000 |   404000 |   480670461 |  15316030749 |         0 |      0 |  1604128848 |      0 |      0 |         0 
 120300 Thread 62 - PartitionProcessorThre...86b-8ea0-d8e2f2e22d9e-1-8 |  1188000 |   427000 |   495191859 |  15755071710 |         0 |      0 |  1622665078 |      0 |      0 |         0 
 120301 Thread 63 - PartitionProcessorThre...86b-8ea0-d8e2f2e22d9e-1-9 |  1228000 |   431000 |   507994226 |  16184689292 |         0 |      0 |  1292872170 |      0 |      0 |         0 
 120302 Thread 64 - PartitionProcessorThre...6b-8ea0-d8e2f2e22d9e-1-10 |  1239000 |   402000 |   503160699 |  16008770144 |         0 |      0 |  1455683661 |      0 |      0 |         0 
 120303 Thread 65 - PartitionProcessorThre...6b-8ea0-d8e2f2e22d9e-1-11 |  1195000 |   372000 |   480746301 |  15287058347 |         0 |      0 |  1489103741 |      0 |      0 |         0 
 120304 Thread 66 - PartitionProcessorThre...6b-8ea0-d8e2f2e22d9e-1-12 |  1193000 |   404000 |   489922953 |  15579359187 |         0 |      0 |  1343271384 |      0 |      0 |         0 
 120305 Thread 67 - PartitionProcessorThre...6b-8ea0-d8e2f2e22d9e-1-13 |  1183000 |   452000 |   501706773 |  15950067234 |         0 |      0 |  1306272111 |      0 |      0 |         0 
 120306 Thread 68 - PartitionProcessorThre...6b-8ea0-d8e2f2e22d9e-1-14 |  1226000 |   419000 |   504850125 |  16047739390 |         0 |      0 |  1424505316 |      0 |      0 |         0 
