                                 Task                                 |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    | d:bio  | d:swap | d:reclaim 
 70734 Thread 1 - main                                                |   775000 |   161000 |    62028806 |   7178057572 |  34535424 |   1024 |     5594191 |      0 |      0 |         0 
 70756 Thread 2 - Reference Handler                                   |     7000 |        0 |      959343 |     58529449 |         0 |      0 |       35604 |      0 |      0 |         0 
 70757 Thread 3 - Finalizer                                           |     6000 |     3000 |      814148 |     71176371 |      5120 |      0 |     1525562 |      0 |      0 |         0 
 70758 Thread 4 - Surrogate Locker Thread (Concurrent GC)             |        0 |        0 |           0 |            0 |         0 |      0 |           0 |      0 |      0 |         0 
 70759 Thread 5 - Signal Dispatcher                                   |        0 |        0 |           0 |            0 |         0 |      0 |        5246 |      0 |      0 |         0 
 70767 Thread 12 - RMI Scheduler(0)                                   |     2000 |        0 |      371355 |     17523449 |      2048 |      0 |     1142811 |      0 |      0 |         0 
 70768 Thread 13 - RMI RenewClean-[10.231.182.152:44024]              |        0 |        0 |           0 |            0 |      1024 |      0 |           0 |      0 |      0 |         0 
 70769 Thread 14 - GC Daemon                                          |        0 |        0 |           0 |            0 |         0 |      0 |           0 |      0 |      0 |         0 
 70771 Thread 15 - DecatonSubscriptionThread-decaton-benchmark        | 24114000 | 34916000 | 17652228903 | 575201423033 | 574119936 | 114688 | 14035727139 |  92048 |      0 |         0 
 70773 Thread 16 - kafka-coordinator-hear...hread | decaton-benchmark |   226000 |    36000 |    76822647 |   2538140905 |   6020096 |   6144 |    16745788 | 135567 |      0 |         0 
 70778 Thread 17 - PartitionProcessorThre...c40-84c3-e87666e7f22a-0-0 |  1030000 |   454000 |   442131418 |  14467135838 |     34816 |      0 |  1131721209 |      0 |      0 |         0 
 70779 Thread 18 - PartitionProcessorThre...c40-84c3-e87666e7f22a-0-1 |  1006000 |   356000 |   407197829 |  13283900303 |         0 |      0 |  1007705830 |      0 |      0 |         0 
 70780 Thread 19 - PartitionProcessorThre...c40-84c3-e87666e7f22a-0-2 |  1077000 |   377000 |   434535172 |  14186508424 |         0 |      0 |   968744762 |      0 |      0 |         0 
 70781 Thread 20 - PartitionProcessorThre...c40-84c3-e87666e7f22a-0-3 |  1142000 |   416000 |   465730032 |  15200056408 |         0 |      0 |   939149082 |      0 |      0 |         0 
 70782 Thread 21 - PartitionProcessorThre...c40-84c3-e87666e7f22a-0-4 |  1017000 |   368000 |   414657872 |  13512044253 |         0 |      0 |   869921340 |      0 |      0 |         0 
 70783 Thread 22 - PartitionProcessorThre...c40-84c3-e87666e7f22a-0-5 |  1085000 |   363000 |   432479059 |  14127165627 |         0 |      0 |   830719250 |      0 |      0 |         0 
 70784 Thread 23 - PartitionProcessorThre...c40-84c3-e87666e7f22a-0-6 |  1010000 |   373000 |   414794751 |  13494191901 |         0 |      0 |  1020427710 |      0 |      0 |         0 
 70785 Thread 24 - PartitionProcessorThre...c40-84c3-e87666e7f22a-0-7 |  1066000 |   380000 |   433045098 |  14108182030 |         0 |      0 |   950876786 |      0 |      0 |         0 
 70786 Thread 25 - PartitionProcessorThre...c40-84c3-e87666e7f22a-0-8 |  1119000 |   358000 |   442860180 |  14413349838 |         0 |      0 |   922286534 |      0 |      0 |         0 
 70787 Thread 26 - PartitionProcessorThre...c40-84c3-e87666e7f22a-0-9 |  1100000 |   395000 |   446710125 |  14585679143 |      2048 |      0 |   827913375 |      0 |      0 |         0 
 70788 Thread 27 - PartitionProcessorThre...40-84c3-e87666e7f22a-0-10 |  1088000 |   431000 |   453860094 |  14821592037 |         0 |      0 |   827846047 |      0 |      0 |         0 
 70789 Thread 28 - PartitionProcessorThre...40-84c3-e87666e7f22a-0-11 |  1086000 |   411000 |   449804016 |  14607330326 |         0 |      0 |   879790506 |      0 |      0 |         0 
 70790 Thread 29 - PartitionProcessorThre...40-84c3-e87666e7f22a-0-12 |  1047000 |   422000 |   440441192 |  14335388908 |         0 |      0 |   920862707 |      0 |      0 |         0 
 70791 Thread 30 - PartitionProcessorThre...40-84c3-e87666e7f22a-0-13 |  1105000 |   375000 |   443124540 |  14440330565 |  10835968 |      0 |   899838966 |      0 |      0 |         0 
 70792 Thread 31 - PartitionProcessorThre...40-84c3-e87666e7f22a-0-14 |  1070000 |   437000 |   451523661 |  14704177483 |      1024 |      0 |   979848786 |      0 |      0 |         0 
 70793 Thread 32 - PartitionProcessorThre...40-84c3-e87666e7f22a-0-15 |  1124000 |   429000 |   464266891 |  15153333818 |         0 |      0 |   915204788 |      0 |      0 |         0 
 70794 Thread 33 - PartitionProcessorThre...40-84c3-e87666e7f22a-0-16 |  1077000 |   386000 |   438244973 |  14275432350 |         0 |      0 |   898661693 |      0 |      0 |         0 
 70795 Thread 34 - PartitionProcessorThre...40-84c3-e87666e7f22a-0-17 |  1047000 |   420000 |   439286551 |  14315224229 |         0 |      0 |   851622208 |      0 |      0 |         0 
 70796 Thread 35 - PartitionProcessorThre...40-84c3-e87666e7f22a-0-18 |  1085000 |   400000 |   444228250 |  14487403490 |      1024 |      0 |   937518945 |      0 |      0 |         0 
