                                 Task                                  |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    | d:bio  | d:swap | d:reclaim 
 137282 Thread 1 - main                                                |   810000 |   119000 |    62343951 |   7152911350 |  34140160 |   2048 |     6871156 |      0 |      0 |         0 
 137304 Thread 2 - Reference Handler                                   |     8000 |        0 |      832792 |     65302402 |         0 |      0 |      433122 |      0 |      0 |         0 
 137305 Thread 3 - Finalizer                                           |     8000 |     1000 |      685499 |     69695238 |      5120 |      0 |      423344 |      0 |      0 |         0 
 137306 Thread 4 - Surrogate Locker Thread (Concurrent GC)             |        0 |        0 |           0 |            0 |         0 |      0 |        6291 |      0 |      0 |         0 
 137307 Thread 5 - Signal Dispatcher                                   |        0 |     1000 |      292867 |      9757746 |         0 |      0 |        1182 |      0 |      0 |         0 
 137315 Thread 12 - RMI Scheduler(0)                                   |     3000 |        0 |      651167 |     27276285 |      4096 |      0 |      575755 |      0 |      0 |         0 
 137316 Thread 13 - RMI RenewClean-[10.231.182.152:41032]              |     1000 |        0 |       81847 |      7893246 |      1024 |      0 |           0 |      0 |      0 |         0 
 137317 Thread 14 - GC Daemon                                          |        0 |     1000 |       75937 |      7893246 |         0 |      0 |           0 |      0 |      0 |         0 
 137321 Thread 15 - DecatonSubscriptionThread-decaton-benchmark        | 32178000 | 34381000 | 19272421567 | 648718968887 | 625416192 | 146432 | 21679847438 | 224859 |      0 |         0 
 137323 Thread 16 - kafka-coordinator-hear...hread | decaton-benchmark |   241000 |    86000 |    93282936 |   3178885186 |   5500928 |   6144 |    24931600 | 386173 |      0 |         0 
 137328 Thread 17 - PartitionProcessorThre...72e-a24e-0dca1996771c-1-0 |  1409000 |   531000 |   559555028 |  18907587449 |     33792 |      0 |  1703327524 |      0 |      0 |         0 
 137329 Thread 18 - PartitionProcessorThre...72e-a24e-0dca1996771c-1-1 |  1392000 |   459000 |   534720286 |  18057640782 |      1024 |      0 |  1762437493 |      0 |      0 |         0 
 137330 Thread 19 - PartitionProcessorThre...72e-a24e-0dca1996771c-1-2 |  1407000 |   477000 |   544175075 |  18378664106 |         0 |      0 |  1531119826 |      0 |      0 |         0 
