                                 Task                                 |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    | d:bio  | d:swap | d:reclaim 
 29673 Thread 1 - main                                                |   816000 |   132000 |    62780775 |   7276830322 |  34331648 |   1024 |     9885961 |      0 |      0 |         0 
 29695 Thread 2 - Reference Handler                                   |     4000 |     1000 |      368253 |     38026722 |         0 |      0 |     2335014 |      0 |      0 |         0 
 29696 Thread 3 - Finalizer                                           |     3000 |     1000 |      367617 |     31308796 |      5120 |      0 |     4756956 |      0 |      0 |         0 
 29697 Thread 4 - Surrogate Locker Thread (Concurrent GC)             |        0 |        0 |           0 |            0 |         0 |      0 |       12925 |      0 |      0 |         0 
 29698 Thread 5 - Signal Dispatcher                                   |        0 |        0 |           0 |            0 |         0 |      0 |        5983 |      0 |      0 |         0 
 29706 Thread 12 - RMI Scheduler(0)                                   |     2000 |     1000 |      665792 |     27278308 |      4096 |      0 |      324841 |      0 |      0 |         0 
 29707 Thread 13 - RMI RenewClean-[10.231.182.152:42558]              |        0 |        0 |           0 |            0 |      1024 |      0 |           0 |      0 |      0 |         0 
 29708 Thread 14 - GC Daemon                                          |        0 |        0 |           0 |            0 |         0 |      0 |           0 |      0 |      0 |         0 
 29711 Thread 15 - DecatonSubscriptionThread-decaton-benchmark        | 26694000 | 30594000 | 16704547718 | 558117702936 | 572977152 | 135168 | 18677939972 | 968596 |      0 |         0 
 29712 Thread 16 - kafka-coordinator-hear...hread | decaton-benchmark |   232000 |    50000 |    82605792 |   2748275561 |   6747136 |   5120 |    25418567 | 456878 |      0 |         0 
 29717 Thread 17 - PartitionProcessorThre...5ab-9643-0727714cc86a-1-0 |  1371000 |   390000 |   516660489 |  17170919176 |     40960 |      0 |  1482332886 |      0 |      0 |         0 
 29718 Thread 18 - PartitionProcessorThre...5ab-9643-0727714cc86a-1-1 |  1313000 |   434000 |   513338555 |  17046463058 |         0 |      0 |  1603442594 |      0 |      0 |         0 
 29719 Thread 19 - PartitionProcessorThre...5ab-9643-0727714cc86a-1-2 |  1399000 |   413000 |   531274840 |  17674367082 |         0 |      0 |  1516207034 |      0 |      0 |         0 
 29720 Thread 20 - PartitionProcessorThre...5ab-9643-0727714cc86a-1-3 |  1382000 |   441000 |   535225262 |  17782223047 |         0 |      0 |  1810930081 |      0 |      0 |         0 
 29721 Thread 21 - PartitionProcessorThre...5ab-9643-0727714cc86a-1-4 |  1396000 |   438000 |   537846348 |  17888155172 |     12288 |      0 |  1590128299 |      0 |      0 |         0 
 29722 Thread 22 - PartitionProcessorThre...5ab-9643-0727714cc86a-1-5 |  1428000 |   398000 |   536517606 |  17816078886 |         0 |      0 |  1581542812 |      0 |      0 |         0 
 29723 Thread 23 - PartitionProcessorThre...5ab-9643-0727714cc86a-1-6 |  1467000 |   397000 |   545629895 |  18181325289 |      1024 |      0 |  1645910445 |      0 |      0 |         0 
 29724 Thread 24 - PartitionProcessorThre...5ab-9643-0727714cc86a-1-7 |  1388000 |   411000 |   528336262 |  17553432539 |         0 |      0 |  1597650467 |      0 |      0 |         0 
 29725 Thread 25 - PartitionProcessorThre...5ab-9643-0727714cc86a-1-8 |  1472000 |   455000 |   565580290 |  18801484808 |         0 |      0 |  1649511321 |      0 |      0 |         0 
 29726 Thread 26 - PartitionProcessorThre...5ab-9643-0727714cc86a-1-9 |  1411000 |   440000 |   543975872 |  18060564402 |         0 |      0 |  1824559141 |      0 |      0 |         0 
 29727 Thread 27 - PartitionProcessorThre...ab-9643-0727714cc86a-1-10 |  1420000 |   419000 |   540279743 |  17943803785 |         0 |      0 |  1753230345 |      0 |      0 |         0 
 29728 Thread 28 - PartitionProcessorThre...ab-9643-0727714cc86a-1-11 |  1393000 |   454000 |   542538391 |  18019543925 |         0 |      0 |  1907181872 |      0 |      0 |         0 
 29729 Thread 29 - PartitionProcessorThre...ab-9643-0727714cc86a-1-12 |  1416000 |   396000 |   532028071 |  17678519566 |         0 |      0 |  1617337894 |      0 |      0 |         0 
 29730 Thread 30 - PartitionProcessorThre...ab-9643-0727714cc86a-1-13 |  1400000 |   427000 |   536618981 |  17827270086 |         0 |      0 |  1662386924 |      0 |      0 |         0 
 29731 Thread 31 - PartitionProcessorThre...ab-9643-0727714cc86a-1-14 |  1334000 |   397000 |   508298798 |  16888847297 |         0 |      0 |  1763797656 |      0 |      0 |         0 
 29732 Thread 32 - PartitionProcessorThre...ab-9643-0727714cc86a-1-15 |  1401000 |   440000 |   541649528 |  17964003359 |         0 |      0 |  1677452495 |      0 |      0 |         0 
 29733 Thread 33 - PartitionProcessorThre...ab-9643-0727714cc86a-1-16 |  1363000 |   377000 |   510867266 |  16976860207 |  10831872 |      0 |  1602766565 |      0 |      0 |         0 
 29734 Thread 34 - PartitionProcessorThre...ab-9643-0727714cc86a-1-17 |  1408000 |   404000 |   532287508 |  17681067500 |         0 |      0 |  1796157998 |      0 |      0 |         0 
 29735 Thread 35 - PartitionProcessorThre...ab-9643-0727714cc86a-1-18 |  1337000 |   436000 |   521509325 |  17300390527 |         0 |      0 |  1890825102 |      0 |      0 |         0 
 29736 Thread 36 - PartitionProcessorThre...ab-9643-0727714cc86a-1-19 |  1321000 |   406000 |   507752669 |  16851955480 |         0 |      0 |  1833481972 |      0 |      0 |         0 
 29737 Thread 37 - PartitionProcessorThre...5ab-9643-0727714cc86a-0-0 |  1483000 |   442000 |   558150598 |  18784249910 |         0 |      0 |  1682414009 |      0 |      0 |         0 
 29738 Thread 38 - PartitionProcessorThre...5ab-9643-0727714cc86a-0-1 |  1425000 |   408000 |   531865360 |  17886117625 |         0 |      0 |  1761804805 |      0 |      0 |         0 
 29739 Thread 39 - PartitionProcessorThre...5ab-9643-0727714cc86a-0-2 |  1397000 |   379000 |   516039579 |  17329843992 |         0 |      0 |  1956653997 |      0 |      0 |         0 
 29740 Thread 40 - PartitionProcessorThre...5ab-9643-0727714cc86a-0-3 |  1367000 |   406000 |   514425962 |  17301162597 |         0 |      0 |  1878404031 |      0 |      0 |         0 
 29741 Thread 41 - PartitionProcessorThre...5ab-9643-0727714cc86a-0-4 |  1434000 |   411000 |   535844801 |  18003387789 |         0 |      0 |  1753461813 |      0 |      0 |         0 
