                                 Task                                 |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    | d:bio  | d:swap | d:reclaim 
 11043 Thread 1 - main                                                |   851000 |   137000 |    66462506 |   7605430506 |  34140160 |   1024 |    14464978 |      0 |      0 |         0 
 11065 Thread 2 - Reference Handler                                   |     4000 |        0 |      370148 |     31719062 |         0 |      0 |      877905 |      0 |      0 |         0 
 11066 Thread 3 - Finalizer                                           |     4000 |     1000 |      373070 |     38707140 |      5120 |      0 |     2615194 |      0 |      0 |         0 
 11067 Thread 4 - Surrogate Locker Thread (Concurrent GC)             |        0 |        0 |           0 |            0 |         0 |      0 |           0 |      0 |      0 |         0 
 11068 Thread 5 - Signal Dispatcher                                   |        0 |        0 |           0 |            0 |         0 |      0 |        7429 |      0 |      0 |         0 
 11081 Thread 12 - RMI Scheduler(0)                                   |     3000 |        0 |      646656 |     27276285 |      4096 |      0 |      125945 |      0 |      0 |         0 
 11082 Thread 13 - RMI RenewClean-[10.231.182.152:40788]              |     1000 |     1000 |      157386 |     15719488 |      1024 |      0 |       22675 |      0 |      0 |         0 
 11083 Thread 14 - GC Daemon                                          |        0 |     1000 |       75871 |      7893246 |         0 |      0 |           0 |      0 |      0 |         0 
 11086 Thread 15 - DecatonSubscriptionThread-decaton-benchmark        | 31128000 | 33865000 | 18804077488 | 633461691432 | 624324608 | 141312 | 20540677179 | 313893 |      0 |         0 
 11087 Thread 16 - kafka-coordinator-hear...hread | decaton-benchmark |   242000 |    65000 |    87915507 |   2986069108 |   6605824 |   6144 |    36311989 | 481714 |      0 |         0 
 11091 Thread 17 - PartitionProcessorThre...169-a484-50dcfe23489b-0-0 |  1365000 |   463000 |   528229082 |  17824968059 |     33792 |      0 |  1728413966 |      0 |      0 |         0 
 11092 Thread 18 - PartitionProcessorThre...169-a484-50dcfe23489b-0-1 |  1359000 |   427000 |   517403762 |  17429187168 |         0 |      0 |  1779971374 |      0 |      0 |         0 
 11093 Thread 19 - PartitionProcessorThre...169-a484-50dcfe23489b-0-2 |  1299000 |   423000 |   498910000 |  16800626668 |     53248 |      0 |  1638579756 |      0 |      0 |         0 
